rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Dante Brogno,Unknown,426,121,21,33.044,1986-2001,Brogno,13,52,2,R Charleroi SC,Attack - Centre-Forward,"1,77 m",Belgium,be,https://www.transfermarkt.us/dante-brogno/profil/spieler/143582,https://img.a.transfermarkt.technology/portrait/small/143582-1609687345.jpg?lm=1,,02.05.1966,Charleroi,Retired
2,Charly Jacobs,Charles Jacobs,201,67,0,16.95,1972-1982,Jacobs,10,11,0,R Charleroi SC,Attack - Centre-Forward,Unknown,Belgium,be,https://www.transfermarkt.us/charly-jacobs/profil/spieler/282107,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,,21.07.1948,Charleroi,---
3,Didier Beugnies,Unknown,190,61,0,15.646,1984-1992,Beugnies,Unknown,17,0,R Charleroi SC,Attack,Unknown,Belgium,be,https://www.transfermarkt.us/didier-beugnies/profil/spieler/490338,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,,14.03.1961,Frameries,Retired
4,Rainer Gebauer,Unknown,184,54,0,15.959,1974-1980,Gebauer,Unknown,1,0,R Charleroi SC,Attack - Right Winger,,Germany,de,https://www.transfermarkt.us/rainer-gebauer/profil/spieler/97232,https://img.a.transfermarkt.technology/portrait/small/97232-1636130096.jpg?lm=1,,24.08.1951,Bonn,Retired
5,Nebojsa Malbasa,Небојша Малбаша,123,46,0,10.456,1991-1995,Malbasa,-,15,1,R Charleroi SC,Attack,Unknown,Serbia,rs,https://www.transfermarkt.us/nebojsa-malbasa/profil/spieler/120406,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,,25.06.1959,Belgrad,Retired
6,Kaveh Rezaei,کاوه رضایی,99,41,12,7.305,,Rezaei,24,10,0,R Charleroi SC,Attack - Centre-Forward,"1,85 m",Iran,ir,https://www.transfermarkt.us/kaveh-rezaei/profil/spieler/132553,https://img.a.transfermarkt.technology/portrait/small/132553-1608842913.jpg?lm=1,,05.04.1992,"Eslamabad Gharb, Kermanshah",Sepahan FC
7,Jérémy Perbet,Unknown,90,40,4,5.084,"2007-2007, 2015-2016, 2018-2019, 2020-2020",Perbet,Unknown,7,1,R Charleroi SC,Attack - Centre-Forward,"1,84 m",France,fr,https://www.transfermarkt.us/jeremy-perbet/profil/spieler/23966,https://img.a.transfermarkt.technology/portrait/small/23966-1487325892.jpg?lm=1,,12.12.1984,Le Puy-en-Velay,Without Club
8,Jean Boulet,Unknown,96,39,0,8.447,1967-1974,Boulet,Unknown,1,0,R Charleroi SC,Attack - Centre-Forward,Unknown,Belgium,be,https://www.transfermarkt.us/jean-boulet/profil/spieler/825946,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,,15.01.1942,Unknown,---
9,Jean-Jacques Missé-Missé,Unknown,103,39,0,8.897,1993-1996,Missé-Missé,-,6,0,R Charleroi SC,Attack - Centre-Forward,"1,80 m",Cameroon,cm,https://www.transfermarkt.us/jean-jacques-misse-misse/profil/spieler/15540,https://img.a.transfermarkt.technology/portrait/small/15540-1611489343.jpg?lm=1,,07.08.1968,Yaoundé,Retired
10,Claude Bissot,Unknown,97,38,0,7.597,1966-1972,Bissot,Unknown,0,0,R Charleroi SC,Attack,Unknown,Belgium,be,https://www.transfermarkt.us/claude-bissot/profil/spieler/825948,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,,15.05.1947,Unknown,Retired
