name,status,profile_url,image_url,jersey_name,jersey_number,nation,nation_code,club,place_of_birth,full_name,position,height,date_of_birth,appearances,goals,assists,own_goals,yellow_cards,second_yellow,red_cards,substituted_on,substituted_off,minutes_played
Everton Ribeiro,Esporte Clube Bahia,https://www.transfermarkt.us/everton-ribeiro/profil/spieler/52896,https://img.a.transfermarkt.technology/portrait/small/52896-1610006872.jpg?lm=1,Everton Ribeiro,22,Brazil,br,CR Flamengo,Arujá,Unknown,Midfield - Attacking Midfield,"1,74 m",10.04.1989,391,45,64,0,42,0,2,63,195,28.187
Léo Moura,Retired,https://www.transfermarkt.us/leo-moura/profil/spieler/29368,https://img.a.transfermarkt.technology/portrait/small/29368-1571658651.jpg?lm=1,Léo Moura,-,Brazil,br,CR Flamengo,Niterói,Unknown,Defender - Right-Back,"1,76 m",23.10.1978,389,38,44,0,54,1,4,3,42,33.694
Willian Arão,Panathinaikos FC,https://www.transfermarkt.us/willian-arao/profil/spieler/210747,https://img.a.transfermarkt.technology/portrait/small/210747-1666617919.png?lm=1,Arão,-,Brazil,br,CR Flamengo,São Paulo,Willian Souza Arão da Silva,Midfield - Defensive Midfield,"1,81 m",12.03.1992,371,35,22,3,45,1,2,38,53,29.834
Gabriel Barbosa,Cruzeiro Esporte Clube,https://www.transfermarkt.us/gabriel-barbosa/profil/spieler/244275,https://img.a.transfermarkt.technology/portrait/small/244275-1660003081.jpg?lm=1,Gabriel Barbosa,21,Brazil,br,CR Flamengo,São Bernardo do Campo,Unknown,Attack - Centre-Forward,"1,78 m",30.08.1996,306,161,43,0,72,4,5,52,101,22.530
Giorgian de Arrascaeta,CR Flamengo,https://www.transfermarkt.us/giorgian-de-arrascaeta/profil/spieler/248410,https://img.a.transfermarkt.technology/portrait/small/248410-1668501457.jpg?lm=1,de Arrascaeta,10,Uruguay,uy,CR Flamengo,Nuevo Berlín,Giorgian Daniel de Arrascaeta Benedetti,Midfield - Attacking Midfield,"1,74 m",01.06.1994,301,75,95,0,23,0,0,43,161,21.905
Bruno Henrique,CR Flamengo,https://www.transfermarkt.us/bruno-henrique/profil/spieler/353108,https://img.a.transfermarkt.technology/portrait/small/353108-1733188857.jpg?lm=1,Bruno Henrique,21,Brazil,br,CR Flamengo,Belo Horizonte,Unknown,Attack - Centre-Forward,"1,84 m",30.12.1990,288,100,56,0,67,1,5,57,112,20.794
Diego,Retired,https://www.transfermarkt.us/diego/profil/spieler/4248,https://img.a.transfermarkt.technology/portrait/small/4248-1701786244.jpg?lm=1,Diego,20,Brazil,br,CR Flamengo,Ribeirão Preto,Unknown,Midfield - Attacking Midfield,"1,73 m",28.02.1985,285,42,32,0,71,0,2,71,101,18.614
Pedro,CR Flamengo,https://www.transfermarkt.us/pedro/profil/spieler/432895,https://img.a.transfermarkt.technology/portrait/small/432895-1668696996.jpg?lm=1,Pedro,19,Brazil,br,CR Flamengo,Rio de Janeiro,Unknown,Attack - Centre-Forward,"1,85 m",20.06.1997,263,135,32,0,20,0,0,91,90,15.608
Gerson,CR Flamengo,https://www.transfermarkt.us/gerson/profil/spieler/341705,https://img.a.transfermarkt.technology/portrait/small/341705-1640777566.jpg?lm=1,Gerson,8,Brazil,br,CR Flamengo,Belford Roxo,Unknown,Midfield - Central Midfield,"1,84 m",20.05.1997,234,18,31,0,39,1,3,19,80,18.642
Éverton,Without Club,https://www.transfermarkt.us/everton/profil/spieler/76120,https://img.a.transfermarkt.technology/portrait/small/76120-1524123758.jpg?lm=1,Éverton,Unknown,Brazil,br,CR Flamengo,Nortelândia,Unknown,Attack - Right Winger,"1,73 m",11.12.1988,228,33,28,0,49,2,1,21,89,17.609
