name,status,profile_url,image_url,jersey_name,jersey_number,nation,nation_code,club,place_of_birth,full_name,position,height,date_of_birth,appearances,goals,assists,own_goals,yellow_cards,second_yellow,red_cards,substituted_on,substituted_off,minutes_played
Tinga,Fortaleza Esporte Clube,https://www.transfermarkt.us/tinga/profil/spieler/273442,https://img.a.transfermarkt.technology/portrait/small/273442-1543585527.jpg?lm=1,Tinga,-,Brazil,br,Fortaleza Esporte Clube,Porto Alegre,Unknown,Defender - Right-Back,"1,79 m",01.09.1993,376,25,33,0,34,0,1,49,31,29.682
Felipe,Liaoning Tieren,https://www.transfermarkt.us/felipe/profil/spieler/508930,https://img.a.transfermarkt.technology/portrait/small/508930-1597912624.jpg?lm=1,Felipe,Unknown,Brazil,br,Fortaleza Esporte Clube,Maranguape,Unknown,Midfield - Defensive Midfield,"1,84 m",10.04.1994,282,9,6,1,80,6,1,36,69,21.396
Romarinho,Sport Club do Recife,https://www.transfermarkt.us/romarinho/profil/spieler/267849,https://img.a.transfermarkt.technology/portrait/small/267849-1606753188.jpg?lm=1,Romarinho,Unknown,Brazil,br,Fortaleza Esporte Clube,Ceará-Mirim,Unknown,Attack - Right Winger,"1,68 m",01.03.1994,251,22,17,0,18,0,2,107,113,13.092
Yago Pikachu,Fortaleza Esporte Clube,https://www.transfermarkt.us/yago-pikachu/profil/spieler/265660,https://img.a.transfermarkt.technology/portrait/small/265660-1547648152.jpg?lm=1,Pikachu,Unknown,Brazil,br,Fortaleza Esporte Clube,Belém,Glaybson Yago Souza Lisboa,Attack - Right Winger,"1,72 m",05.06.1992,247,59,33,0,44,0,2,74,74,15.783
Titi,Fortaleza Esporte Clube,https://www.transfermarkt.us/titi/profil/spieler/55250,https://img.a.transfermarkt.technology/portrait/small/55250-1615775454.jpeg?lm=1,Titi,Unknown,Brazil,br,Fortaleza Esporte Clube,Pelotas,Unknown,Defender - Centre-Back,"1,88 m",12.03.1988,223,6,5,2,45,0,0,7,23,19.230
Bruno Melo,Coritiba Foot Ball Club,https://www.transfermarkt.us/bruno-melo/profil/spieler/538230,https://img.a.transfermarkt.technology/portrait/small/538230-1597912489.jpg?lm=1,Bruno Melo,Unknown,Brazil,br,Fortaleza Esporte Clube,Paracuru,Unknown,Defender - Centre-Back,"1,83 m",26.10.1992,200,29,5,1,31,2,1,37,15,14.902
Marcelo Boeck,Retired,https://www.transfermarkt.us/marcelo-boeck/profil/spieler/27346,https://img.a.transfermarkt.technology/portrait/small/27346-1445431960.jpg?lm=1,Marcelo Boeck,Unknown,Brazil,br,Fortaleza Esporte Clube,Santa Cruz,Unknown,Goalkeeper,"1,91 m",28.11.1984,158,0,0,1,13,0,0,2,1,14.106
Zé Welison,Fortaleza Esporte Clube,https://www.transfermarkt.us/ze-welison/profil/spieler/323452,https://img.a.transfermarkt.technology/portrait/small/323452-1599563317.jpg?lm=1,Zé Welison,Unknown,Brazil,br,Fortaleza Esporte Clube,São Pedro,Unknown,Midfield - Defensive Midfield,"1,77 m",11.03.1995,157,9,6,0,28,0,1,50,49,9.467
Moisés,Fortaleza Esporte Clube,https://www.transfermarkt.us/moises/profil/spieler/788361,https://img.a.transfermarkt.technology/portrait/small/788361-1730499627.jpg?lm=1,Moisés,Unknown,Brazil,br,Fortaleza Esporte Clube,Morro da Fumaça,Unknown,Attack - Left Winger,"1,77 m",02.09.1996,154,42,16,0,5,0,0,60,85,8.178
Osvaldo,Esporte Clube Vitória,https://www.transfermarkt.us/osvaldo/profil/spieler/76191,https://img.a.transfermarkt.technology/portrait/small/76191-1681676097.jpg?lm=1,Osvaldo,15,Brazil,br,Fortaleza Esporte Clube,Fortaleza,Unknown,Attack - Right Winger,"1,70 m",11.04.1987,152,17,16,0,15,0,1,59,80,7.883
Wellington Paulista,Retired,https://www.transfermarkt.us/wellington-paulista/profil/spieler/51716,https://img.a.transfermarkt.technology/portrait/small/51716-1543929199.jpg?lm=1,Wellington Paulista,Unknown,Brazil,br,Fortaleza Esporte Clube,São Paulo,Unknown,Attack - Centre-Forward,"1,80 m",22.04.1983,148,42,9,0,18,0,0,51,56,8.587
Tomás Pochettino,Fortaleza Esporte Clube,https://www.transfermarkt.us/tomas-pochettino/profil/spieler/348354,https://img.a.transfermarkt.technology/portrait/small/348354-1644877968.png?lm=1,Pochettino,Unknown,Argentina,ar,Fortaleza Esporte Clube,Rafaela,Unknown,Midfield - Attacking Midfield,"1,80 m",01.02.1996,143,14,25,0,15,0,0,43,88,8.100
Felipe Alves,Santa Cruz FC (PE),https://www.transfermarkt.us/felipe-alves/profil/spieler/189682,https://img.a.transfermarkt.technology/portrait/small/189682-1547634039.jpg?lm=1,Felipe Alves,Unknown,Brazil,br,Fortaleza Esporte Clube,São Paulo,Unknown,Goalkeeper,"1,87 m",21.05.1988,142,0,0,0,11,0,1,0,2,12.650
Emanuel Brítez,Fortaleza Esporte Clube,https://www.transfermarkt.us/emanuel-britez/profil/spieler/262851,https://img.a.transfermarkt.technology/portrait/small/262851-1637935701.JPG?lm=1,Brítez,Unknown,Argentina,ar,Fortaleza Esporte Clube,Santa Fe,Unknown,Defender - Centre-Back,"1,78 m",26.03.1992,141,2,6,2,44,2,4,4,7,11.985
Marcelo Benevenuto,Criciúma Esporte Clube,https://www.transfermarkt.us/marcelo-benevenuto/profil/spieler/476339,https://img.a.transfermarkt.technology/portrait/small/476339-1589359905.jpg?lm=1,Marcelo Benevenuto,Unknown,Brazil,br,Fortaleza Esporte Clube,Resende,Unknown,Defender - Centre-Back,"1,81 m",07.01.1996,140,5,2,0,33,0,1,9,6,11.895
Juan Martín Lucero,Fortaleza Esporte Clube,https://www.transfermarkt.us/juan-martin-lucero/profil/spieler/162807,https://img.a.transfermarkt.technology/portrait/small/162807-1636330927.JPG?lm=1,Lucero,Unknown,Argentina,ar,Fortaleza Esporte Clube,Mendoza,Unknown,Attack - Centre-Forward,"1,82 m",10.10.1991,140,53,13,0,19,0,0,36,60,9.363
Hércules,Fluminense Football Club,https://www.transfermarkt.us/hercules/profil/spieler/982617,https://img.a.transfermarkt.technology/portrait/small/982617-1684807166.jpg?lm=1,Hércules,Unknown,Brazil,br,Fortaleza Esporte Clube,Jaicós,Unknown,Midfield - Central Midfield,"1,78 m",20.10.2000,136,19,5,0,15,0,2,52,64,7.611
João Ricardo,Fortaleza Esporte Clube,https://www.transfermarkt.us/joao-ricardo/profil/spieler/270420,https://img.a.transfermarkt.technology/portrait/small/270420-1662314871.jpg?lm=1,João Ricardo,Unknown,Brazil,br,Fortaleza Esporte Clube,Mariano Moro,Unknown,Goalkeeper,"1,86 m",06.09.1988,132,0,0,0,12,0,0,0,2,11.846
Lucas Crispim,Buriram United,https://www.transfermarkt.us/lucas-crispim/profil/spieler/344626,https://img.a.transfermarkt.technology/portrait/small/344626-1598017705.jpg?lm=1,Lucas Crispim,Unknown,Brazil,br,Fortaleza Esporte Clube,Brasília,Unknown,Midfield - Attacking Midfield,"1,78 m",19.06.1994,128,9,17,0,11,0,0,43,55,7.256
David,Clube de Regatas Vasco da Gama,https://www.transfermarkt.us/david/profil/spieler/373189,https://img.a.transfermarkt.technology/portrait/small/373189-1597912752.jpg?lm=1,David,Unknown,Brazil,br,Fortaleza Esporte Clube,Vitória,Unknown,Attack - Left Winger,"1,79 m",17.10.1995,112,25,12,0,16,0,1,18,83,7.652
Ronaldo Angelim,Retired,https://www.transfermarkt.us/ronaldo-angelim/profil/spieler/53055,https://img.a.transfermarkt.technology/portrait/small/s_53055_8698_2010_1.jpg?lm=1,Ronaldo Angelim,Unknown,Brazil,br,Fortaleza Esporte Clube,São Paulo,Unknown,Defender - Centre-Back,"1,78 m",26.11.1975,110,3,0,0,14,1,1,0,5,9.428
Ronald,Esporte Clube Vitória,https://www.transfermarkt.us/ronald/profil/spieler/688684,https://img.a.transfermarkt.technology/portrait/small/688684-1716603111.jpg?lm=1,Ronald,Unknown,Brazil,br,Fortaleza Esporte Clube,Belford Roxo,Unknown,Midfield - Defensive Midfield,"1,71 m",18.06.1997,110,3,5,0,17,0,1,40,46,5.974
Dude,Retired,https://www.transfermarkt.us/dude/profil/spieler/76199,https://img.a.transfermarkt.technology/portrait/small/76199-1711594089.jpg?lm=1,Dude,Unknown,Brazil,br,Fortaleza Esporte Clube,Unknown,Unknown,Midfield - Defensive Midfield,"1,73 m",04.08.1975,108,2,0,0,29,0,5,20,16,7.507
Lucas Sasha,Fortaleza Esporte Clube,https://www.transfermarkt.us/lucas-sasha/profil/spieler/121986,https://img.a.transfermarkt.technology/portrait/small/121986-1648631635.png?lm=1,Lucas Sasha,Unknown,Brazil,br,Fortaleza Esporte Clube,São Paulo,Unknown,Midfield - Defensive Midfield,"1,77 m",01.03.1990,107,4,3,0,13,0,1,39,35,6.109
Bruno Pacheco,Fortaleza Esporte Clube,https://www.transfermarkt.us/bruno-pacheco/profil/spieler/435163,https://img.a.transfermarkt.technology/portrait/small/435163-1597909478.jpg?lm=1,Bruno Pacheco,Unknown,Brazil,br,Fortaleza Esporte Clube,Araraquara,Unknown,Defender - Left-Back,"1,75 m",08.12.1991,105,3,9,0,16,1,0,13,18,8.109
Robson,Grêmio Novorizontino,https://www.transfermarkt.us/robson/profil/spieler/161188,https://img.a.transfermarkt.technology/portrait/small/161188-1682801079.jpg?lm=1,Robson,Unknown,Brazil,br,Fortaleza Esporte Clube,Campinas,Unknown,Attack - Right Winger,"1,75 m",30.05.1991,105,21,10,0,19,0,1,37,59,5.863
Erandir,Retired,https://www.transfermarkt.us/erandir/profil/spieler/53230,https://img.a.transfermarkt.technology/portrait/small/s_53230_291_2010_1.jpg?lm=1,Erandir,Unknown,Brazil,br,Fortaleza Esporte Clube,Fortaleza,Unknown,Midfield - Defensive Midfield,"1,82 m",05.08.1982,102,2,0,0,23,0,4,3,13,8.108
Carlinhos,Retired,https://www.transfermarkt.us/carlinhos/profil/spieler/55243,https://img.a.transfermarkt.technology/portrait/small/55243-1496132342.jpg?lm=1,Carlinhos,Unknown,Brazil,br,Fortaleza Esporte Clube,Piripiri,Unknown,Defender - Left-Back,"1,67 m",29.11.1986,100,2,7,1,20,3,0,16,7,7.851
