name,status,profile_url,image_url,jersey_name,jersey_number,nation,nation_code,club,place_of_birth,full_name,position,height,date_of_birth,appearances,goals,assists,own_goals,yellow_cards,second_yellow,red_cards,substituted_on,substituted_off,minutes_played
Cleiton,Red Bull Bragantino,https://www.transfermarkt.us/cleiton/profil/spieler/468247,https://img.a.transfermarkt.technology/portrait/small/468247-1553769368.jpg?lm=1,Cleiton,1,Brazil,br,Red Bull Bragantino,Descanso,Unknown,Goalkeeper,"1,90 m",19.08.1997,275,0,0,2,23,1,2,0,1,24.682
Léo Jaime,Retired,https://www.transfermarkt.us/leo-jaime/profil/spieler/76198,https://img.a.transfermarkt.technology/portrait/small/s_76198_8793_2012_1.jpg?lm=1,Léo Jaime,Unknown,Brazil,br,Red Bull Bragantino,Fortaleza,Unknown,Attack - Centre-Forward,"1,60 m",28.03.1986,251,47,8,0,53,2,1,42,98,17.544
Aderlan,Santos FC,https://www.transfermarkt.us/aderlan/profil/spieler/101506,https://img.a.transfermarkt.technology/portrait/small/101506-1623761103.jpg?lm=1,Aderlan,Unknown,Brazil,br,Red Bull Bragantino,Campina Grande,Unknown,Defender - Right-Back,"1,80 m",18.08.1990,218,6,22,1,53,1,2,18,44,17.608
Lucas Evangelista,Sociedade Esportiva Palmeiras,https://www.transfermarkt.us/lucas-evangelista/profil/spieler/270188,https://img.a.transfermarkt.technology/portrait/small/270188-1582120817.png?lm=1,Evangelista,8,Brazil,br,Red Bull Bragantino,Limeira,Lucas Evangelista Santana de Oliveira,Midfield - Central Midfield,"1,81 m",06.05.1995,214,15,18,0,33,0,2,38,68,15.541
Jadsom,Al-Wahda FC,https://www.transfermarkt.us/jadsom/profil/spieler/612162,https://img.a.transfermarkt.technology/portrait/small/612162-1662651231.jpg?lm=1,Jadsom,8,Brazil,br,Red Bull Bragantino,Recife,Unknown,Midfield - Defensive Midfield,"1,76 m",20.05.2001,203,2,4,0,54,0,2,69,69,12.094
Léo Ortiz,CR Flamengo,https://www.transfermarkt.us/leo-ortiz/profil/spieler/374136,https://img.a.transfermarkt.technology/portrait/small/374136-1726495070.jpeg?lm=1,Unknown,Unknown,Brazil,br,Red Bull Bragantino,Unknown,Unknown,Unknown,Unknown,03.01.1996,198,14,7,3,30,0,1,7,7,17.089
Gilvan,Retired,https://www.transfermarkt.us/gilvan/profil/spieler/105369,https://img.a.transfermarkt.technology/portrait/small/s_105369_8793_2012_1.jpg?lm=1,Gilvan,Unknown,Brazil,br,Red Bull Bragantino,Palmares,Unknown,Goalkeeper,"1,89 m",20.01.1980,185,0,0,0,15,2,0,1,0,16.594
Eric Ramires,Red Bull Bragantino,https://www.transfermarkt.us/eric-ramires/profil/spieler/614328,https://img.a.transfermarkt.technology/portrait/small/614328-1662650922.jpg?lm=1,Eric Ramires,7,Brazil,br,Red Bull Bragantino,Salvador,Unknown,Midfield - Central Midfield,"1,72 m",10.08.2000,184,13,12,0,12,1,3,73,72,10.204
Helinho,Deportivo Toluca,https://www.transfermarkt.us/helinho/profil/spieler/412365,https://img.a.transfermarkt.technology/portrait/small/412365-1558599995.png?lm=1,Helinho,-,Brazil,br,Red Bull Bragantino,Sertãozinho,Unknown,Attack - Right Winger,"1,75 m",25.04.2000,182,33,23,0,46,0,1,44,112,11.457
Luan Cândido,Grêmio Foot-Ball Porto Alegrense,https://www.transfermarkt.us/luan-candido/profil/spieler/432166,https://img.a.transfermarkt.technology/portrait/small/432166-1662650775.jpg?lm=1,Cândido,-,Brazil,br,Red Bull Bragantino,Ubá,Luan Cândido de Almeida,Defender - Left-Back,"1,87 m",02.02.2001,179,21,8,0,26,1,3,37,25,12.684
