name,status,profile_url,image_url,jersey_name,jersey_number,nation,nation_code,club,place_of_birth,full_name,position,height,date_of_birth,appearances,goals,assists,own_goals,yellow_cards,second_yellow,red_cards,substituted_on,substituted_off,minutes_played
Léo,Retired,https://www.transfermarkt.us/leotm/profil/spieler/20051,https://img.a.transfermarkt.technology/portrait/small/s_20051_221_2012_2.jpg?lm=1,Léo,16,Brazil,br,Santos FC,Campos dos Goytacazes,Unknown,Defender - Left-Back,"1,69 m",06.07.1975,323,14,20,0,56,1,4,15,56,26.240
Renato,Retired,https://www.transfermarkt.us/renato/profil/spieler/15445,https://img.a.transfermarkt.technology/portrait/small/15445-1543927822.jpg?lm=1,Renato,19,Brazil,br,Santos FC,Santa Mercedes,Unknown,Midfield - Central Midfield,"1,77 m",15.05.1979,290,20,7,0,11,0,0,22,45,23.833
Pará,Without Club,https://www.transfermarkt.us/para/profil/spieler/76100,https://img.a.transfermarkt.technology/portrait/small/76100-1571745651.jpg?lm=1,Pará,Unknown,Brazil,br,Santos FC,São João do Araguaia,Unknown,Defender - Right-Back,"1,73 m",14.02.1986,289,3,13,3,45,1,1,60,58,20.919
Alison,Londrina Esporte Clube (PR),https://www.transfermarkt.us/alison/profil/spieler/167825,https://img.a.transfermarkt.technology/portrait/small/167825-1706137907.jpg?lm=1,Alison,-,Brazil,br,Santos FC,Itanhaém,Unknown,Midfield - Defensive Midfield,"1,82 m",01.03.1993,272,4,7,1,79,3,2,41,88,19.609
Arouca,Retired,https://www.transfermarkt.us/arouca/profil/spieler/26270,https://img.a.transfermarkt.technology/portrait/small/26270-1543832415.jpg?lm=1,Arouca,-,Brazil,br,Santos FC,Duas Barras,Unknown,Midfield - Defensive Midfield,"1,71 m",11.08.1986,264,6,16,0,38,0,0,2,38,22.979
Victor Ferraz,Serra Branca EC,https://www.transfermarkt.us/victor-ferraz/profil/spieler/153905,https://img.a.transfermarkt.technology/portrait/small/153905-1516097344.jpg?lm=1,Victor Ferraz,Unknown,Brazil,br,Santos FC,João Pessoa,Unknown,Midfield - Central Midfield,"1,74 m",14.01.1988,259,11,21,0,31,0,0,6,16,22.642
Jean Mota,Vila Nova Futebol Clube (GO),https://www.transfermarkt.us/jean-mota/profil/spieler/215212,https://img.a.transfermarkt.technology/portrait/small/215212-1710078569.jpg?lm=1,Jean Mota,Unknown,Brazil,br,Santos FC,São Paulo,Unknown,Midfield - Central Midfield,"1,72 m",15.10.1993,255,19,26,0,34,1,1,83,89,15.380
Vanderlei,São Bernardo FC,https://www.transfermarkt.us/vanderlei/profil/spieler/68727,https://img.a.transfermarkt.technology/portrait/small/68727-1663118421.jpg?lm=1,Vanderlei,Unknown,Brazil,br,Santos FC,Porecatu,Unknown,Goalkeeper,"1,95 m",01.02.1984,252,0,0,0,15,0,1,1,1,22.593
Lucas Lima,Sport Club do Recife,https://www.transfermarkt.us/lucas-lima/profil/spieler/232847,https://img.a.transfermarkt.technology/portrait/small/232847-1624436030.jpg?lm=1,Lucas Lima,20,Brazil,br,Santos FC,Marília,Unknown,Midfield - Attacking Midfield,"1,76 m",09.07.1990,251,21,46,0,58,1,1,20,83,19.835
Fábio Costa,Retired,https://www.transfermarkt.us/fabio-costa/profil/spieler/52916,https://img.a.transfermarkt.technology/portrait/small/52916-1723388910.jpg?lm=1,Costa,-,Brazil,br,Santos FC,Camaçari,Unknown,Goalkeeper,"1,87 m",27.11.1977,249,0,0,0,19,0,0,0,2,22.245
Durval,Retired,https://www.transfermarkt.us/durval/profil/spieler/32808,https://img.a.transfermarkt.technology/portrait/small/s_32808_221_2012_2.jpg?lm=1,Durval,-,Brazil,br,Santos FC,Cruz do Espírito Santo,Unknown,Defender - Centre-Back,"1,85 m",11.07.1980,245,7,6,2,41,0,0,1,1,22.009
Elano,Retired,https://www.transfermarkt.us/elano/profil/spieler/20053,https://img.a.transfermarkt.technology/portrait/small/20053-1413549445.jpg?lm=1,Elano,17,Brazil,br,Santos FC,Iracemápolis,Unknown,Midfield - Attacking Midfield,"1,74 m",14.06.1981,237,55,15,0,47,1,1,56,94,13.494
João Paulo,Santos FC,https://www.transfermarkt.us/joao-paulo/profil/spieler/275412,https://img.a.transfermarkt.technology/portrait/small/275412-1543927359.jpg?lm=1,João Paulo,Unknown,Brazil,br,Santos FC,Dourados,Unknown,Goalkeeper,"1,88 m",29.06.1995,233,0,0,1,27,0,0,1,3,20.763
Neymar,Santos FC,https://www.transfermarkt.us/neymar/profil/spieler/68290,https://img.a.transfermarkt.technology/portrait/small/68290-1692601435.jpg?lm=1,Neymar,10,Brazil,br,Santos FC,Mogi das Cruzes,Unknown,Attack - Left Winger,"1,75 m",05.02.1992,232,139,69,0,65,2,3,23,43,18.646
Edú Dracena,Retired,https://www.transfermarkt.us/edu-dracena/profil/spieler/15419,https://img.a.transfermarkt.technology/portrait/small/15419-1489054311.jpg?lm=1,Edú Dracena,-,Brazil,br,Santos FC,Dracena,Unknown,Defender - Centre-Back,"1,87 m",18.05.1981,227,17,3,0,54,2,2,2,11,20.094
Gustavo Henrique,Sport Club Corinthians Paulista,https://www.transfermarkt.us/gustavo-henrique/profil/spieler/208681,https://img.a.transfermarkt.technology/portrait/small/208681-1725326922.jpg?lm=1,Gustavo Henrique,-,Brazil,br,Santos FC,São Paulo,Unknown,Defender - Centre-Back,"1,94 m",24.03.1993,217,13,2,0,46,4,2,9,10,18.364
David Braz,Mirassol Futebol Clube (SP),https://www.transfermarkt.us/david-braz/profil/spieler/53226,https://img.a.transfermarkt.technology/portrait/small/53226-1571658415.jpg?lm=1,David Braz,-,Brazil,br,Santos FC,Guarulhos,Unknown,Defender - Centre-Back,"1,88 m",21.05.1987,216,17,5,0,49,2,1,6,10,18.784
Diego Pituca,Santos FC,https://www.transfermarkt.us/diego-pituca/profil/spieler/546000,https://img.a.transfermarkt.technology/portrait/small/546000-1571742269.jpg?lm=1,Diego Pituca,Unknown,Brazil,br,Santos FC,Mogi Guaçu,Unknown,Midfield - Central Midfield,"1,78 m",15.08.1992,215,13,12,0,32,3,0,15,42,17.599
Felipe Jonatan,Fortaleza Esporte Clube,https://www.transfermarkt.us/felipe-jonatan/profil/spieler/587786,https://img.a.transfermarkt.technology/portrait/small/587786-1706137583.jpg?lm=1,Felipe Jonatan,-,Brazil,br,Santos FC,Fortaleza,Unknown,Defender - Left-Back,"1,76 m",15.02.1998,211,6,13,0,24,0,0,27,64,15.914
