name,status,profile_url,image_url,jersey_name,jersey_number,nation,nation_code,club,place_of_birth,full_name,position,height,date_of_birth,appearances,goals,assists,own_goals,yellow_cards,second_yellow,red_cards,substituted_on,substituted_off,minutes_played
Rogério Ceni,Retired,https://www.transfermarkt.us/rogerio-ceni/profil/spieler/13811,https://img.a.transfermarkt.technology/portrait/small/13811-1591950054.jpg?lm=1,Ceni,-,Brazil,br,São Paulo Futebol Clube,Pato Branco,Unknown,Goalkeeper,"1,88 m",22.01.1973,836,99,3,2,45,0,3,0,8,74.926
Reinaldo,Mirassol Futebol Clube (SP),https://www.transfermarkt.us/reinaldo/profil/spieler/225617,https://img.a.transfermarkt.technology/portrait/small/225617-1488967289.jpg?lm=1,Reinaldo,Unknown,Brazil,br,São Paulo Futebol Clube,Porto Calvo,Unknown,Defender - Left-Back,"1,78 m",28.09.1989,365,31,44,0,71,1,1,39,67,28.671
Miranda,Retired,https://www.transfermarkt.us/miranda/profil/spieler/33357,https://img.a.transfermarkt.technology/portrait/small/33357-1448967043.jpg?lm=1,Miranda,14,Brazil,br,São Paulo Futebol Clube,Paranavaí,Unknown,Defender - Centre-Back,"1,86 m",07.09.1984,342,12,10,1,72,4,0,4,23,29.711
Hernanes,ASD Sale,https://www.transfermarkt.us/hernanes/profil/spieler/52897,https://img.a.transfermarkt.technology/portrait/small/52897-1410955079.jpg?lm=1,Hernanes,18,Brazil,br,São Paulo Futebol Clube,Recife,Unknown,Midfield - Attacking Midfield,"1,80 m",29.05.1985,320,52,42,0,47,1,0,72,54,22.839
Robert Arboleda,São Paulo Futebol Clube,https://www.transfermarkt.us/robert-arboleda/profil/spieler/139867,https://img.a.transfermarkt.technology/portrait/small/139867-1668498219.jpg?lm=1,Arboleda,4,Ecuador,ec,São Paulo Futebol Clube,Esmeraldas,Robert Abel Arboleda Escobar,Defender - Centre-Back,"1,89 m",22.10.1991,315,21,5,0,47,0,3,12,12,27.081
Luís Fabiano,Retired,https://www.transfermarkt.us/luis-fabiano/profil/spieler/19082,https://img.a.transfermarkt.technology/portrait/small/19082-1588240076.jpg?lm=1,Luís Fabiano,9,Brazil,br,São Paulo Futebol Clube,Campinas,Unknown,Attack - Centre-Forward,"1,86 m",08.11.1980,290,171,39,0,62,5,5,19,66,22.743
Luciano,São Paulo Futebol Clube,https://www.transfermarkt.us/luciano/profil/spieler/223560,https://img.a.transfermarkt.technology/portrait/small/223560-1490622723.jpg?lm=1,Luciano,23,Brazil,br,São Paulo Futebol Clube,Anápolis,Unknown,Attack - Second Striker,"1,81 m",18.05.1993,271,88,24,0,63,1,0,62,150,18.204
Rodrigo Caio,Without Club,https://www.transfermarkt.us/rodrigo-caio/profil/spieler/172054,https://img.a.transfermarkt.technology/portrait/small/172054-1471615155.jpg?lm=1,Rodrigo Caio,14,Brazil,br,São Paulo Futebol Clube,Dracena,Unknown,Defender - Centre-Back,"1,82 m",17.08.1993,268,13,7,1,46,4,1,24,12,21.828
Dagoberto,Retired,https://www.transfermarkt.us/dagoberto/profil/spieler/26266,https://img.a.transfermarkt.technology/portrait/small/26266-1505766235.png?lm=1,Dagoberto,-,Brazil,br,São Paulo Futebol Clube,Dois Vizinhos,Unknown,Attack - Centre-Forward,"1,75 m",22.03.1983,241,61,48,0,65,1,4,40,120,17.093
Richarlyson,Retired,https://www.transfermarkt.us/richarlyson/profil/spieler/16159,https://img.a.transfermarkt.technology/portrait/small/16159-1583847266.jpg?lm=1,Richarlyson,-,Brazil,br,São Paulo Futebol Clube,Natal,Unknown,Midfield - Central Midfield,"1,76 m",27.12.1982,233,11,19,1,68,7,4,37,24,17.583
Jonathan Calleri,São Paulo Futebol Clube,https://www.transfermarkt.us/jonathan-calleri/profil/spieler/284727,https://img.a.transfermarkt.technology/portrait/small/284727-1738840512.jpg?lm=1,Calleri,9,Argentina,ar,São Paulo Futebol Clube,Buenos Aires,Unknown,Attack - Centre-Forward,"1,81 m",23.09.1993,221,79,26,0,41,3,2,36,66,16.444
Rodrigo Nestor,Esporte Clube Bahia,https://www.transfermarkt.us/rodrigo-nestor/profil/spieler/468304,https://img.a.transfermarkt.technology/portrait/small/468304-1690483898.jpg?lm=1,Nestor,17,Brazil,br,São Paulo Futebol Clube,São Paulo,Rodrigo Nestor Bertalia,Midfield - Central Midfield,"1,75 m",09.08.2000,219,12,27,0,37,1,3,68,113,13.026
Ganso,Fluminense Football Club,https://www.transfermarkt.us/ganso/profil/spieler/67920,https://img.a.transfermarkt.technology/portrait/small/67920-1462894569.jpg?lm=1,Ganso,7,Brazil,br,São Paulo Futebol Clube,Ananindeua,Unknown,Midfield - Attacking Midfield,"1,84 m",12.10.1989,214,24,46,0,40,2,1,27,41,17.025
Jorge Wagner,Retired,https://www.transfermarkt.us/jorge-wagner/profil/spieler/9630,https://img.a.transfermarkt.technology/portrait/small/s_9630_6632_2013_02_16_1.jpg?lm=1,Wagner,Unknown,Brazil,br,São Paulo Futebol Clube,Feira de Santana,Jorge Wagner Goés Conceição,Attack - Left Winger,"1,78 m",17.11.1978,210,22,54,0,37,0,0,23,31,16.802
Igor Vinícius,São Paulo Futebol Clube,https://www.transfermarkt.us/igor-vinicius/profil/spieler/552240,https://img.a.transfermarkt.technology/portrait/small/552240-1597915697.jpg?lm=1,Igor Vinícius,Unknown,Brazil,br,São Paulo Futebol Clube,Sinop,Unknown,Defender - Right-Back,"1,74 m",01.04.1997,210,7,23,1,36,2,2,56,56,14.097
Igor Gomes,Clube Atlético Mineiro,https://www.transfermarkt.us/igor-gomes/profil/spieler/553459,https://img.a.transfermarkt.technology/portrait/small/553459-1709690092.jpg?lm=1,Igor Gomes,18,Brazil,br,São Paulo Futebol Clube,São José do Rio Preto,Unknown,Midfield - Attacking Midfield,"1,83 m",17.03.1999,208,12,17,0,20,2,0,59,89,13.083
Jean,FC Pantanal (MS),https://www.transfermarkt.us/jean/profil/spieler/69641,https://img.a.transfermarkt.technology/portrait/small/69641-1543836511.jpg?lm=1,Jean,-,Brazil,br,São Paulo Futebol Clube,Campo Grande,Unknown,Midfield - Defensive Midfield,"1,70 m",24.06.1986,205,11,15,0,24,2,0,21,17,16.708
Lucas Moura,São Paulo Futebol Clube,https://www.transfermarkt.us/lucas-moura/profil/spieler/77100,https://img.a.transfermarkt.technology/portrait/small/77100-1654164113.jpg?lm=1,Lucas Moura,-,Brazil,br,São Paulo Futebol Clube,São Paulo,Unknown,Attack - Right Winger,"1,72 m",13.08.1992,204,53,39,0,25,1,1,12,75,16.429
Souza,Retired,https://www.transfermarkt.us/souza/profil/spieler/50792,https://img.a.transfermarkt.technology/portrait/small/s_50792_609_2010_1.jpg?lm=1,Souza,Unknown,Brazil,br,São Paulo Futebol Clube,Maceió,Unknown,Midfield - Attacking Midfield,"1,73 m",04.02.1979,201,27,29,0,38,0,2,68,44,13.677
Denílson,Retired,https://www.transfermarkt.us/denilson/profil/spieler/42352,https://img.a.transfermarkt.technology/portrait/small/s_42352_585_2012_2.jpg?lm=1,Denílson,-,Brazil,br,São Paulo Futebol Clube,São Paulo,Unknown,Midfield - Defensive Midfield,"1,78 m",16.02.1988,197,1,10,1,53,7,0,12,44,15.807
Húdson,Retired,https://www.transfermarkt.us/hudson/profil/spieler/54257,https://img.a.transfermarkt.technology/portrait/small/54257-1608191533.jpg?lm=1,Húdson,Unknown,Brazil,br,São Paulo Futebol Clube,Juiz de Fora,Unknown,Midfield - Defensive Midfield,"1,79 m",30.01.1988,194,6,11,0,51,1,0,37,37,14.056
Tiago Volpi,Grêmio Foot-Ball Porto Alegrense,https://www.transfermarkt.us/tiago-volpi/profil/spieler/227671,https://img.a.transfermarkt.technology/portrait/small/227671-1547634654.jpg?lm=1,Volpi,Unknown,Brazil,br,São Paulo Futebol Clube,Blumenau,Tiago Luis Volpi,Goalkeeper,"1,89 m",19.12.1990,193,0,1,0,5,0,0,0,1,17.339
Bruno Alves,Cuiabá Esporte Clube (MT),https://www.transfermarkt.us/bruno-alves/profil/spieler/177534,https://img.a.transfermarkt.technology/portrait/small/177534-1708653884.jpg?lm=1,Bruno Alves,Unknown,Brazil,br,São Paulo Futebol Clube,Jacareí,Unknown,Defender - Centre-Back,"1,85 m",16.04.1991,187,7,3,1,43,0,0,10,17,15.618
André Dias,Retired,https://www.transfermarkt.us/andre-dias/profil/spieler/52918,https://img.a.transfermarkt.technology/portrait/small/s_52918_398_2013_09_12_1.jpg?lm=1,André Dias,-,Brazil,br,São Paulo Futebol Clube,São Bernardo do Campo,Unknown,Defender - Centre-Back,"1,84 m",15.05.1979,186,9,3,0,47,3,3,8,15,15.455
Diego Lugano,Retired,https://www.transfermarkt.us/diego-lugano/profil/spieler/13829,https://img.a.transfermarkt.technology/portrait/small/s_13829_1084_2013_06_24_1.jpg?lm=1,Lugano,2,Uruguay,uy,São Paulo Futebol Clube,Canelones,Diego Alfredo Lugano Moreno,Defender - Centre-Back,"1,88 m",02.11.1980,175,12,3,0,65,2,1,9,1,15.096
Wellington,Without Club,https://www.transfermarkt.us/wellington/profil/spieler/74789,https://img.a.transfermarkt.technology/portrait/small/74789-1447750036.jpg?lm=1,Wellington,-,Brazil,br,São Paulo Futebol Clube,São Paulo,Unknown,Midfield - Defensive Midfield,"1,73 m",28.01.1991,172,2,6,0,62,1,1,43,23,11.947
Denis,Sport Club do Recife,https://www.transfermarkt.us/denis/profil/spieler/75102,https://img.a.transfermarkt.technology/portrait/small/s_75102_585_2012_1.jpg?lm=1,Denis,Unknown,Brazil,br,São Paulo Futebol Clube,Jaú,Unknown,Goalkeeper,"1,88 m",14.04.1987,167,0,1,0,2,1,0,7,1,14.611
Luan Santos,São Paulo Futebol Clube,https://www.transfermarkt.us/luan-santos/profil/spieler/574904,https://img.a.transfermarkt.technology/portrait/small/574904-1598537274.jpg?lm=1,Luan Santos,5,Brazil,br,São Paulo Futebol Clube,São Paulo,Unknown,Midfield - Defensive Midfield,"1,75 m",14.05.1999,165,6,4,0,25,0,0,46,54,10.500
Welington,Southampton FC,https://www.transfermarkt.us/welington/profil/spieler/729264,https://img.a.transfermarkt.technology/portrait/small/729264-1625147299.jpg?lm=1,Welington,16,Brazil,br,São Paulo Futebol Clube,São Paulo,Unknown,Defender - Left-Back,"1,70 m",19.02.2001,164,2,11,1,32,1,0,47,46,10.838
Léo,Club Athletico Paranaense,https://www.transfermarkt.us/leotm/profil/spieler/403296,https://img.a.transfermarkt.technology/portrait/small/403296-1737135493.jpg?lm=1,Léo,Unknown,Brazil,br,São Paulo Futebol Clube,Rio de Janeiro,Unknown,Defender - Centre-Back,"1,83 m",06.03.1996,162,0,4,0,22,1,1,27,13,12.384
Júnior,Retired,https://www.transfermarkt.us/junior/profil/spieler/5861,https://img.a.transfermarkt.technology/portrait/small/5861-1698165704.jpg?lm=1,Júnior,16,Brazil,br,São Paulo Futebol Clube,Santo Antônio de Jesus,Unknown,Defender - Left-Back,"1,70 m",20.06.1973,162,8,8,0,22,0,1,26,41,11.633
Diego Costa,FC Krasnodar,https://www.transfermarkt.us/diego-costa/profil/spieler/546212,https://img.a.transfermarkt.technology/portrait/small/546212-1721636039.png?lm=1,Diego Costa,Unknown,Brazil,br,São Paulo Futebol Clube,Campo Grande,Unknown,Defender - Centre-Back,"1,84 m",21.07.1999,161,5,0,0,33,0,1,27,15,12.179
Osvaldo,Esporte Clube Vitória,https://www.transfermarkt.us/osvaldo/profil/spieler/76191,https://img.a.transfermarkt.technology/portrait/small/76191-1681676097.jpg?lm=1,Osvaldo,15,Brazil,br,São Paulo Futebol Clube,Fortaleza,Unknown,Attack - Right Winger,"1,70 m",11.04.1987,156,20,34,0,19,0,1,56,47,9.287
Maicon,Retired,https://www.transfermarkt.us/maicon/profil/spieler/50047,https://img.a.transfermarkt.technology/portrait/small/50047-1571658781.jpg?lm=1,Maicon,Unknown,Brazil,br,São Paulo Futebol Clube,Rio de Janeiro,Unknown,Midfield - Central Midfield,"1,84 m",14.09.1985,153,9,8,0,23,1,0,50,46,9.485
Borges,Retired,https://www.transfermarkt.us/borges/profil/spieler/52768,https://img.a.transfermarkt.technology/portrait/small/s_52768_609_2012_2.jpg?lm=1,Borges,-,Brazil,br,São Paulo Futebol Clube,Salvador,Unknown,Attack - Centre-Forward,"1,76 m",05.10.1980,150,55,16,0,23,1,1,36,59,9.678
