rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Lúcio Flávio,Unknown,172,40,29,13.404,N/A,Lúcio Flávio,Unknown,16,2,Botafogo de Futebol e Regatas,Midfield - Attacking Midfield,"1,75 m",Brazil,br,https://www.transfermarkt.us/lucio-flavio/profil/spieler/52714,https://img.a.transfermarkt.technology/portrait/small/52714-1731706820.jpg?lm=1,N/A,02.03.1979,Curitiba,Retired
2,Rodrigo Pimpão,Rodrigo Pimpão Vianna,186,26,24,11.473,N/A,Pimpão,Unknown,40,1,Botafogo de Futebol e Regatas,Attack - Left Winger,"1,76 m",Brazil,br,https://www.transfermarkt.us/rodrigo-pimpao/profil/spieler/76134,https://img.a.transfermarkt.technology/portrait/small/76134-1487335122.jpg?lm=1,N/A,23.10.1987,Curitiba,Without Club
3,Jorge Henrique,Unknown,81,10,17,6.554,N/A,Jorge Henrique,Unknown,23,2,Botafogo de Futebol e Regatas,Midfield - Attacking Midfield,"1,69 m",Brazil,br,https://www.transfermarkt.us/jorge-henrique/profil/spieler/52710,https://img.a.transfermarkt.technology/portrait/small/52710-1447749309.jpg?lm=1,N/A,23.04.1982,Resende,Piauí EC (PI)
4,Tiquinho Soares,Unknown,120,44,17,8.015,N/A,Tiquinho Soares,Unknown,22,1,Botafogo de Futebol e Regatas,Attack - Centre-Forward,"1,87 m",Brazil,br,https://www.transfermarkt.us/tiquinho-soares/profil/spieler/103381,https://img.a.transfermarkt.technology/portrait/small/103381-1542106367.png?lm=1,N/A,17.01.1991,Sousa,Santos FC
5,Marlon Freitas,Unknown,135,4,15,9.860,N/A,Marlon Freitas,Unknown,16,1,Botafogo de Futebol e Regatas,Midfield - Defensive Midfield,"1,85 m",Brazil,br,https://www.transfermarkt.us/marlon-freitas/profil/spieler/364972,https://img.a.transfermarkt.technology/portrait/small/364972-1664556414.jpg?lm=1,N/A,27.03.1995,Magé,Botafogo de Futebol e Regatas
6,Leonardo Valencia,Leonardo Felipe Valencia Rossel,92,6,15,5.934,N/A,Valencia,19,12,1,Botafogo de Futebol e Regatas,Midfield - Attacking Midfield,"1,69 m",Chile,cl,https://www.transfermarkt.us/leonardo-valencia/profil/spieler/201318,https://img.a.transfermarkt.technology/portrait/small/201318-1738420411.png?lm=1,N/A,25.04.1991,Peñaflor,Audax Italiano
7,Clarence Seedorf,Clarence Clyde Seedorf,67,17,14,5.509,N/A,Seedorf,20,7,0,Botafogo de Futebol e Regatas,Midfield - Central Midfield,"1,77 m",Netherlands,nl,https://www.transfermarkt.us/clarence-seedorf/profil/spieler/4168,https://img.a.transfermarkt.technology/portrait/small/s_4168_537_2013_05_22_1.jpg?lm=1,N/A,01.04.1976,Paramaribo,Retired
8,Jefferson Savarino,Jefferson David Savarino Quintero,62,15,14,4.383,N/A,Savarino,-,3,0,Botafogo de Futebol e Regatas,Midfield - Attacking Midfield,"1,68 m",Venezuela,ve,https://www.transfermarkt.us/jefferson-savarino/profil/spieler/309193,https://img.a.transfermarkt.technology/portrait/small/309193-1678299144.jpg?lm=1,N/A,11.11.1996,Maracaibo,Botafogo de Futebol e Regatas
9,Elkeson,艾克森,77,21,12,5.866,N/A,Elkeson,-,14,0,Botafogo de Futebol e Regatas,Attack - Centre-Forward,"1,80 m",China,cn,https://www.transfermarkt.us/elkeson/profil/spieler/103588,https://img.a.transfermarkt.technology/portrait/small/103588-1563350233.jpg?lm=1,N/A,13.07.1989,Coelho Neto,Without Club
10,Eduardo,Unknown,98,23,12,6.963,N/A,Eduardo,Unknown,13,1,Botafogo de Futebol e Regatas,Midfield - Attacking Midfield,"1,84 m",Brazil,br,https://www.transfermarkt.us/eduardo/profil/spieler/110078,https://img.a.transfermarkt.technology/portrait/small/110078-1682522098.jpg?lm=1,N/A,17.10.1989,Ribeirão Preto,Cruzeiro Esporte Clube
11,Lucas,Unknown,94,3,12,7.365,N/A,Lucas,-,22,3,Botafogo de Futebol e Regatas,Defender - Right-Back,"1,74 m",Brazil,br,https://www.transfermarkt.us/lucas/profil/spieler/54308,https://img.a.transfermarkt.technology/portrait/small/54308-1543832371.jpg?lm=1,N/A,26.03.1988,Passos,Retired
12,Rafael Marques,Rafael Marques Mariano,63,15,11,4.637,N/A,Marques,Unknown,3,0,Botafogo de Futebol e Regatas,Attack - Centre-Forward,"1,90 m",Brazil,br,https://www.transfermarkt.us/rafael-marques/profil/spieler/34862,https://img.a.transfermarkt.technology/portrait/small/34862-1526459718.jpg?lm=1,N/A,27.05.1983,São Paulo,Retired
13,Renato,Unknown,95,5,11,7.188,N/A,Renato,19,7,0,Botafogo de Futebol e Regatas,Midfield - Central Midfield,"1,77 m",Brazil,br,https://www.transfermarkt.us/renato/profil/spieler/15445,https://img.a.transfermarkt.technology/portrait/small/15445-1543927822.jpg?lm=1,N/A,15.05.1979,Santa Mercedes,Retired
14,Germán Herrera,Germán Gustavo Herrera,79,26,11,5.565,N/A,Herrera,-,21,1,Botafogo de Futebol e Regatas,Attack - Centre-Forward,"1,80 m",Argentina,ar,https://www.transfermarkt.us/german-herrera/profil/spieler/32710,https://img.a.transfermarkt.technology/portrait/small/32710-1726682431.jpg?lm=1,N/A,19.07.1983,Granadero Baigorria,Retired
15,Rafael Navarro,Unknown,63,18,10,4.213,N/A,Rafael Navarro,-,7,0,Botafogo de Futebol e Regatas,Attack - Centre-Forward,"1,83 m",Brazil,br,https://www.transfermarkt.us/rafael-navarro/profil/spieler/371267,https://img.a.transfermarkt.technology/portrait/small/371267-1740820593.jpg?lm=1,N/A,14.04.2000,Cabo Frio,Colorado Rapids
16,Marcinho,Unknown,105,2,10,8.739,N/A,Marcinho,22,18,1,Botafogo de Futebol e Regatas,Defender - Right-Back,"1,80 m",Brazil,br,https://www.transfermarkt.us/marcinho/profil/spieler/432967,https://img.a.transfermarkt.technology/portrait/small/432967-1708625485.png?lm=1,N/A,16.05.1996,Rio de Janeiro,Atlético Clube Goianiense
17,João Paulo,Unknown,119,7,10,9.249,N/A,João Paulo,-,24,1,Botafogo de Futebol e Regatas,Midfield - Central Midfield,"1,71 m",Brazil,br,https://www.transfermarkt.us/joao-paulo/profil/spieler/135984,https://img.a.transfermarkt.technology/portrait/small/135984-1740862997.jpg?lm=1,N/A,08.03.1991,Rio Grande do Sul,Seattle Sounders FC
18,Chay,Unknown,50,7,10,3.499,N/A,Chay,Unknown,7,0,Botafogo de Futebol e Regatas,Midfield - Attacking Midfield,"1,77 m",Brazil,br,https://www.transfermarkt.us/chay/profil/spieler/766381,https://img.a.transfermarkt.technology/portrait/small/766381-1631630025.jpg?lm=1,N/A,29.09.1990,Maceió,Volta Redonda Futebol Clube (RJ)
19,Rodrigo Lindoso,Rodrigo Oliveira Lindoso,163,17,10,13.429,N/A,Lindoso,Unknown,24,0,Botafogo de Futebol e Regatas,Midfield - Defensive Midfield,"1,82 m",Brazil,br,https://www.transfermarkt.us/rodrigo-lindoso/profil/spieler/186922,https://img.a.transfermarkt.technology/portrait/small/186922-1662313057.jpg?lm=1,N/A,06.06.1989,São Luís,Madureira EC
20,Nicolás Lodeiro,Marcelo Nicolás Lodeiro Benítez,64,9,10,4.764,N/A,Lodeiro,7,9,0,Botafogo de Futebol e Regatas,Midfield - Attacking Midfield,"1,73 m",Uruguay,uy,https://www.transfermarkt.us/nicolas-lodeiro/profil/spieler/72653,https://img.a.transfermarkt.technology/portrait/small/72653-1740864307.jpg?lm=1,N/A,21.03.1989,Paysandú,Houston Dynamo FC
21,Daniel Borges,Unknown,88,1,10,6.163,N/A,Daniel Borges,Unknown,3,0,Botafogo de Futebol e Regatas,Defender - Right-Back,"1,74 m",Brazil,br,https://www.transfermarkt.us/daniel-borges/profil/spieler/276877,https://img.a.transfermarkt.technology/portrait/small/276877-1606989148.jpg?lm=1,N/A,23.03.1993,São José dos Campos,Mirassol Futebol Clube (SP)
22,Maicosuel,Unknown,64,8,9,5.030,N/A,Maicosuel,Unknown,9,0,Botafogo de Futebol e Regatas,Midfield - Attacking Midfield,,Brazil,br,https://www.transfermarkt.us/maicosuel/profil/spieler/54183,https://img.a.transfermarkt.technology/portrait/small/s_54183_410_2013_09_18_1.jpg?lm=1,N/A,16.06.1986,Cosmópolis,Retired
23,Marçal,Unknown,90,3,9,6.151,N/A,Marçal,Unknown,29,2,Botafogo de Futebol e Regatas,Defender - Left-Back,"1,78 m",Brazil,br,https://www.transfermarkt.us/marcal/profil/spieler/137745,https://img.a.transfermarkt.technology/portrait/small/137745-1682960861.jpg?lm=1,N/A,19.02.1989,São Paulo,Botafogo de Futebol e Regatas
24,Luis Ricardo,Unknown,95,2,9,7.883,N/A,Luis Ricardo,Unknown,7,0,Botafogo de Futebol e Regatas,Defender - Right-Back,"1,83 m",Brazil,br,https://www.transfermarkt.us/luis-ricardo/profil/spieler/75089,https://img.a.transfermarkt.technology/portrait/small/75089-1663703643.jpg?lm=1,N/A,21.01.1984,Goiânia,Without Club
25,Luis Henrique,Unknown,90,8,9,4.533,N/A,Luis Henrique,Unknown,3,0,Botafogo de Futebol e Regatas,Attack - Left Winger,"1,81 m",Brazil,br,https://www.transfermarkt.us/luis-henrique/profil/spieler/691316,https://img.a.transfermarkt.technology/portrait/small/691316-1632769083.jpg?lm=1,N/A,14.12.2001,João Pessoa,Olympique Marseille
