rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Jádson,Unknown,184,6,15,14.780,N/A,Jádson,-,45,2,Esporte Clube Juventude,Midfield - Central Midfield,"1,71 m",Brazil,br,https://www.transfermarkt.us/jadson/profil/spieler/205179,https://img.a.transfermarkt.technology/portrait/small/205179-1661909061.jpg?lm=1,N/A,30.08.1993,São Bernardo do Campo,Esporte Clube Juventude
2,Nenê,Unknown,71,10,13,4.083,N/A,Nenê,-,14,0,Esporte Clube Juventude,Midfield - Attacking Midfield,"1,81 m",Brazil,br,https://www.transfermarkt.us/nene/profil/spieler/29091,https://img.a.transfermarkt.technology/portrait/small/29091-1724955986.jpg?lm=1,N/A,19.07.1981,Jundiaí,Esporte Clube Juventude
3,Jean Carlos,Unknown,53,9,12,3.037,N/A,Jean Carlos,Unknown,9,0,Esporte Clube Juventude,Midfield - Attacking Midfield,"1,78 m",Brazil,br,https://www.transfermarkt.us/jean-carlos/profil/spieler/102574,https://img.a.transfermarkt.technology/portrait/small/102574-1725225691.jpg?lm=1,N/A,15.02.1992,Cornélio Procópio,Esporte Clube Juventude
4,Renato Cajá,Unknown,81,16,10,5.720,N/A,Renato Cajá,Unknown,13,0,Esporte Clube Juventude,Midfield - Attacking Midfield,"1,73 m",Brazil,br,https://www.transfermarkt.us/renato-caja/profil/spieler/55489,https://img.a.transfermarkt.technology/portrait/small/55489-1458740697.jpg?lm=1,N/A,15.09.1984,Cajazeiras,Retired
5,Erick Farias,Unknown,79,13,8,5.057,N/A,Erick Farias,Unknown,3,0,Esporte Clube Juventude,Attack - Centre-Forward,"1,74 m",Brazil,br,https://www.transfermarkt.us/erick-farias/profil/spieler/535037,https://img.a.transfermarkt.technology/portrait/small/535037-1629100496.png?lm=1,N/A,03.01.1997,Pelotas,Ulsan HD FC
6,João Lucas,Unknown,49,2,7,4.221,N/A,João Lucas,Unknown,10,0,Esporte Clube Juventude,Defender - Right-Back,"1,81 m",Brazil,br,https://www.transfermarkt.us/joao-lucas/profil/spieler/672292,https://img.a.transfermarkt.technology/portrait/small/672292-1662430855.jpg?lm=1,N/A,09.03.1998,Belo Horizonte,Grêmio Foot-Ball Porto Alegrense
7,Capixaba,Unknown,119,9,6,7.277,N/A,Capixaba,Unknown,22,0,Esporte Clube Juventude,Attack - Left Winger,"1,70 m",Brazil,br,https://www.transfermarkt.us/capixaba/profil/spieler/435253,https://img.a.transfermarkt.technology/portrait/small/435253-1601471741.jpg?lm=1,N/A,09.01.1997,Guarapari,Shimizu S-Pulse
8,Eltinho,Unknown,77,8,6,6.230,N/A,Eltinho,Unknown,21,0,Esporte Clube Juventude,Defender - Left-Back,"1,71 m",Brazil,br,https://www.transfermarkt.us/eltinho/profil/spieler/80927,https://img.a.transfermarkt.technology/portrait/small/80927-1661917201.jpg?lm=1,N/A,07.07.1987,Guaraí,Patriotas Futebol Clube
9,Chico Kim,김현솔,76,3,5,4.083,N/A,Chico Kim,Unknown,6,1,Esporte Clube Juventude,Midfield - Attacking Midfield,"1,75 m","Korea, South",unknown,https://www.transfermarkt.us/chico-kim/profil/spieler/349166,https://img.a.transfermarkt.technology/portrait/small/349166-1661911119.jpg?lm=1,N/A,16.05.1991,Cascavel,Mirassol Futebol Clube (SP)
10,Guilherme Castilho,Unknown,46,8,5,3.394,N/A,Guilherme Castilho,Unknown,8,1,Esporte Clube Juventude,Midfield - Central Midfield,"1,80 m",Brazil,br,https://www.transfermarkt.us/guilherme-castilho/profil/spieler/726005,https://img.a.transfermarkt.technology/portrait/small/726005-1706875843.jpg?lm=1,N/A,19.09.1999,Arapoema,FC Juárez
