rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Negueba,Unknown,130,15,12,9.697,N/A,Negueba,Unknown,26,0,Mirassol Futebol Clube (SP),Attack - Right Winger,"1,73 m",Brazil,br,https://www.transfermarkt.us/negueba/profil/spieler/680681,https://img.a.transfermarkt.technology/portrait/small/680681-1682767739.jpg?lm=1,N/A,03.12.1999,Ceará-Mirim,Mirassol Futebol Clube (SP)
2,Danielzinho,Unknown,108,6,12,9.081,N/A,Danielzinho,Unknown,10,1,Mirassol Futebol Clube (SP),Midfield - Central Midfield,"1,66 m",Brazil,br,https://www.transfermarkt.us/danielzinho/profil/spieler/292731,https://img.a.transfermarkt.technology/portrait/small/292731-1660764112.jpg?lm=1,N/A,04.11.1994,Andradina,Mirassol Futebol Clube (SP)
3,Camilo,Unknown,105,27,12,6.141,N/A,Camilo,-,9,2,Mirassol Futebol Clube (SP),Midfield - Attacking Midfield,"1,74 m",Brazil,br,https://www.transfermarkt.us/camilo/profil/spieler/74286,https://img.a.transfermarkt.technology/portrait/small/74286-1580200448.jpg?lm=1,N/A,09.03.1986,Rio de Janeiro,Figueirense Futebol Clube
4,Gabriel,Unknown,107,16,9,7.602,N/A,Gabriel,Unknown,13,0,Mirassol Futebol Clube (SP),Midfield - Attacking Midfield,"1,78 m",Brazil,br,https://www.transfermarkt.us/gabriel/profil/spieler/174570,https://img.a.transfermarkt.technology/portrait/small/174570-1515684814.jpg?lm=1,N/A,06.01.1990,Salvador,Mirassol Futebol Clube (SP)
5,Lucas Ramon,Unknown,97,6,7,8.162,N/A,Lucas Ramon,Unknown,14,0,Mirassol Futebol Clube (SP),Defender - Right-Back,"1,78 m",Brazil,br,https://www.transfermarkt.us/lucas-ramon/profil/spieler/378189,https://img.a.transfermarkt.technology/portrait/small/378189-1624399048.jpg?lm=1,N/A,07.03.1994,Montes Claros,Mirassol Futebol Clube (SP)
6,Chico Kim,김현솔,107,8,6,6.590,N/A,Chico Kim,Unknown,4,0,Mirassol Futebol Clube (SP),Midfield - Attacking Midfield,"1,75 m","Korea, South",unknown,https://www.transfermarkt.us/chico-kim/profil/spieler/349166,https://img.a.transfermarkt.technology/portrait/small/349166-1661911119.jpg?lm=1,N/A,16.05.1991,Cascavel,Mirassol Futebol Clube (SP)
7,Fernandinho,Unknown,88,7,6,5.206,N/A,Fernandinho,Unknown,4,1,Mirassol Futebol Clube (SP),Attack - Left Winger,"1,75 m",Brazil,br,https://www.transfermarkt.us/fernandinho/profil/spieler/442818,https://img.a.transfermarkt.technology/portrait/small/442818-1544194837.jpg?lm=1,N/A,19.07.1997,São Luís,Ceará Sporting Club
8,Xuxa,Unknown,77,32,5,6.574,N/A,Xuxa,Unknown,17,0,Mirassol Futebol Clube (SP),Midfield - Attacking Midfield,"1,75 m",Brazil,br,https://www.transfermarkt.us/xuxa/profil/spieler/75087,https://img.a.transfermarkt.technology/portrait/small/s_75087_2125_2010_1.jpg?lm=1,N/A,31.08.1981,Guarulhos,Retired
9,Rodrigo Ferreira,Unknown,28,3,4,2.143,N/A,Rodrigo Ferreira,Unknown,4,0,Mirassol Futebol Clube (SP),Defender - Right-Back,"1,80 m",Brazil,br,https://www.transfermarkt.us/rodrigo-ferreira/profil/spieler/555374,https://img.a.transfermarkt.technology/portrait/small/555374-1723255181.png?lm=1,N/A,29.03.1995,Cotia,São Bernardo FC
10,Pará,Unknown,37,4,4,2.934,N/A,Pará,6,6,0,Mirassol Futebol Clube (SP),Defender - Left-Back,"1,67 m",Brazil,br,https://www.transfermarkt.us/para/profil/spieler/323618,https://img.a.transfermarkt.technology/portrait/small/323618-1703189324.jpg?lm=1,N/A,23.08.1995,Capanema,São Bernardo FC
11,Lucas Silva,Unknown,38,1,4,1.347,N/A,Lucas Silva,Unknown,2,0,Mirassol Futebol Clube (SP),Attack - Left Winger,"1,65 m",Brazil,br,https://www.transfermarkt.us/lucas-silva/profil/spieler/381767,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,28.04.1994,Saubara,Águia de Marabá FC
12,Luís Oyama,ルイス大山,45,1,4,3.492,N/A,Luís Oyama,Unknown,8,0,Mirassol Futebol Clube (SP),Midfield - Defensive Midfield,"1,71 m",Brazil,br,https://www.transfermarkt.us/luis-oyama/profil/spieler/555277,https://img.a.transfermarkt.technology/portrait/small/555277-1661761886.jpg?lm=1,N/A,30.01.1997,São José do Rio Preto,Grêmio Novorizontino
13,Zeca,Unknown,27,0,4,2.119,N/A,Zeca,-,5,0,Mirassol Futebol Clube (SP),Defender - Right-Back,"1,69 m",Brazil,br,https://www.transfermarkt.us/zeca/profil/spieler/325196,https://img.a.transfermarkt.technology/portrait/small/325196-1666428219.jpg?lm=1,N/A,16.05.1994,Paranavaí,Without Club
14,Guilherme Biro,Unknown,43,2,3,3.496,N/A,Guilherme Biro,Unknown,6,0,Mirassol Futebol Clube (SP),Defender - Left-Back,"1,84 m",Brazil,br,https://www.transfermarkt.us/guilherme-biro/profil/spieler/740293,https://img.a.transfermarkt.technology/portrait/small/740293-1740777626.jpg?lm=1,N/A,01.05.2000,Curitiba,Austin FC
15,Rodolfo,Unknown,32,2,3,2.267,N/A,Rodolfo,Unknown,4,0,Mirassol Futebol Clube (SP),Midfield - Attacking Midfield,"1,73 m",Brazil,br,https://www.transfermarkt.us/rodolfo/profil/spieler/268521,https://img.a.transfermarkt.technology/portrait/small/s_268521_614_2012_1.jpg?lm=1,N/A,03.05.1993,Mesquita,EC XV de Piracicaba
16,Tony,Unknown,13,0,3,1.164,N/A,Tony,Unknown,2,0,Mirassol Futebol Clube (SP),Defender - Right-Back,"1,77 m",Brazil,br,https://www.transfermarkt.us/tony/profil/spieler/226509,https://img.a.transfermarkt.technology/portrait/small/s_226509_7178_2012_1.jpg?lm=1,N/A,04.08.1989,Maraial,Without Club
17,Rafael Silva,Unknown,48,6,3,2.341,N/A,Rafael Silva,Unknown,5,0,Mirassol Futebol Clube (SP),Attack - Centre-Forward,"1,77 m",Brazil,br,https://www.transfermarkt.us/rafael-silva/profil/spieler/349447,https://img.a.transfermarkt.technology/portrait/small/349447-1598363744.jpg?lm=1,N/A,26.05.1995,Goiânia,Tombense Futebol Clube (MG)
18,Daniel Borges,Unknown,47,3,3,3.589,N/A,Daniel Borges,Unknown,7,0,Mirassol Futebol Clube (SP),Defender - Right-Back,"1,74 m",Brazil,br,https://www.transfermarkt.us/daniel-borges/profil/spieler/276877,https://img.a.transfermarkt.technology/portrait/small/276877-1606989148.jpg?lm=1,N/A,23.03.1993,São José dos Campos,Mirassol Futebol Clube (SP)
