rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Andrés D'Alessandro,Unknown,519,92,82,37.948,N/A,Unknown,Unknown,138,7,Sport Club Internacional,Unknown,Unknown,Argentina,ar,https://www.transfermarkt.us/andres-dalessandro/profil/spieler/3445,https://img.a.transfermarkt.technology/portrait/small/3445-1580200506.jpg?lm=1,N/A,15.04.1981,Unknown,Retired
2,Edenilson,Unknown,306,48,33,24.848,N/A,Unknown,Unknown,55,3,Sport Club Internacional,Unknown,Unknown,Brazil,br,https://www.transfermarkt.us/edenilson/profil/spieler/169052,https://img.a.transfermarkt.technology/portrait/small/169052-1662689029.jpg?lm=1,N/A,18.12.1989,Unknown,Grêmio Foot-Ball Porto Alegrense
3,Alan Patrick,Unknown,194,42,31,13.257,N/A,Unknown,Unknown,25,1,Sport Club Internacional,Unknown,Unknown,Brazil,br,https://www.transfermarkt.us/alan-patrick/profil/spieler/104505,https://img.a.transfermarkt.technology/portrait/small/104505-1641992716.png?lm=1,N/A,13.05.1991,Unknown,Sport Club Internacional
4,Leandro Damião,Unknown,226,106,28,17.364,N/A,Unknown,Unknown,39,1,Sport Club Internacional,Unknown,Unknown,Brazil,br,https://www.transfermarkt.us/leandro-damiao/profil/spieler/139449,https://img.a.transfermarkt.technology/portrait/small/139449-1454414211.jpg?lm=1,N/A,22.07.1989,Unknown,Without Club
5,Kléber,Unknown,223,13,26,18.736,N/A,Unknown,Unknown,38,2,Sport Club Internacional,Unknown,Unknown,Brazil,br,https://www.transfermarkt.us/kleber/profil/spieler/9511,https://img.a.transfermarkt.technology/portrait/small/s_9511_6600_2012_2.jpg?lm=1,N/A,01.04.1980,Unknown,Retired
6,Mauricio,Unknown,176,25,25,10.129,N/A,Unknown,Unknown,21,1,Sport Club Internacional,Unknown,Unknown,Brazil,br,https://www.transfermarkt.us/mauricio/profil/spieler/678439,https://img.a.transfermarkt.technology/portrait/small/678439-1662317819.jpg?lm=1,N/A,22.06.2001,Unknown,Sociedade Esportiva Palmeiras
7,Alex,Unknown,288,64,24,19.286,N/A,Unknown,Unknown,51,2,Sport Club Internacional,Unknown,Unknown,Brazil,br,https://www.transfermarkt.us/alex/profil/spieler/27370,https://img.a.transfermarkt.technology/portrait/small/27370-1447748584.jpg?lm=1,N/A,25.03.1982,Unknown,Retired
8,Andrezinho,Unknown,204,32,22,11.203,N/A,Unknown,Unknown,17,0,Sport Club Internacional,Unknown,Unknown,Brazil,br,https://www.transfermarkt.us/andrezinho/profil/spieler/16876,https://img.a.transfermarkt.technology/portrait/small/16876-1547029173.jpg?lm=1,N/A,30.07.1983,Unknown,Retired
9,Oscar,Unknown,70,19,22,5.201,N/A,Unknown,Unknown,5,0,Sport Club Internacional,Unknown,Unknown,Brazil,br,https://www.transfermarkt.us/oscar/profil/spieler/85314,https://img.a.transfermarkt.technology/portrait/small/85314-1563435929.jpg?lm=1,N/A,09.09.1991,Unknown,São Paulo Futebol Clube
10,Wanderson,Unknown,145,21,19,9.401,N/A,Unknown,Unknown,18,0,Sport Club Internacional,Unknown,Unknown,Brazil,br,https://www.transfermarkt.us/wanderson/profil/spieler/236202,https://img.a.transfermarkt.technology/portrait/small/236202-1574609625.png?lm=1,N/A,07.10.1994,Unknown,Cruzeiro Esporte Clube
11,Nicolás López,Unknown,168,40,18,10.889,N/A,Unknown,Unknown,26,1,Sport Club Internacional,Unknown,Unknown,Uruguay,uy,https://www.transfermarkt.us/nicolas-lopez/profil/spieler/185593,https://img.a.transfermarkt.technology/portrait/small/185593-1700765951.jpg?lm=1,N/A,01.10.1993,Unknown,Club Nacional
12,Fabrício,Unknown,177,16,18,13.843,N/A,Unknown,Unknown,31,4,Sport Club Internacional,Unknown,Unknown,Brazil,br,https://www.transfermarkt.us/fabricio/profil/spieler/54140,https://img.a.transfermarkt.technology/portrait/small/54140-1554732404.jpg?lm=1,N/A,11.01.1987,Unknown,Retired
13,Victor Cuesta,Unknown,270,10,16,23.954,N/A,Unknown,Unknown,79,2,Sport Club Internacional,Unknown,Unknown,Argentina,ar,https://www.transfermarkt.us/victor-cuesta/profil/spieler/104326,https://img.a.transfermarkt.technology/portrait/small/104326-1547634540.jpg?lm=1,N/A,19.11.1988,Unknown,CA Newell's Old Boys
14,Patrick,Unknown,199,26,16,14.952,N/A,Unknown,Unknown,28,3,Sport Club Internacional,Unknown,Unknown,Brazil,br,https://www.transfermarkt.us/patrick/profil/spieler/333159,https://img.a.transfermarkt.technology/portrait/small/333159-1675216507.jpg?lm=1,N/A,29.07.1992,Unknown,Club Athletico Paranaense
15,Giuliano,Unknown,102,21,15,5.917,N/A,Unknown,Unknown,11,0,Sport Club Internacional,Unknown,Unknown,Brazil,br,https://www.transfermarkt.us/giuliano/profil/spieler/54375,https://img.a.transfermarkt.technology/portrait/small/54375-1706143918.jpg?lm=1,N/A,31.05.1990,Unknown,Club Athletico Paranaense
16,Carlos de Pena,Unknown,102,11,14,6.717,N/A,Unknown,Unknown,17,0,Sport Club Internacional,Unknown,Unknown,Uruguay,uy,https://www.transfermarkt.us/carlos-de-pena/profil/spieler/257740,https://img.a.transfermarkt.technology/portrait/small/257740-1612464258.png?lm=1,N/A,11.03.1992,Unknown,Coritiba Foot Ball Club
17,Taison,Unknown,198,43,14,12.292,N/A,Unknown,Unknown,34,2,Sport Club Internacional,Unknown,Unknown,Brazil,br,https://www.transfermarkt.us/taison/profil/spieler/76028,https://img.a.transfermarkt.technology/portrait/small/76028-1727967515.png?lm=1,N/A,13.01.1988,Unknown,PAOK Thessaloniki
18,Nilmar,Unknown,158,66,14,12.427,N/A,Unknown,Unknown,12,1,Sport Club Internacional,Unknown,Unknown,Brazil,br,https://www.transfermarkt.us/nilmar/profil/spieler/22750,https://img.a.transfermarkt.technology/portrait/small/22750-1447749575.jpg?lm=1,N/A,14.07.1984,Unknown,Retired
19,Fabricio Bustos,Unknown,132,6,13,10.807,N/A,Unknown,Unknown,18,1,Sport Club Internacional,Unknown,Unknown,Argentina,ar,https://www.transfermarkt.us/fabricio-bustos/profil/spieler/275381,https://img.a.transfermarkt.technology/portrait/small/275381-1635922877.JPG?lm=1,N/A,28.04.1996,Unknown,CA River Plate
20,Moisés,Unknown,103,3,13,8.409,N/A,Unknown,Unknown,27,1,Sport Club Internacional,Unknown,Unknown,Brazil,br,https://www.transfermarkt.us/moises/profil/spieler/368468,https://img.a.transfermarkt.technology/portrait/small/368468-1659678313.png?lm=1,N/A,11.03.1995,Unknown,CSKA Moscow
21,Rodrigo Dourado,Unknown,307,20,11,25.177,N/A,Unknown,Unknown,69,1,Sport Club Internacional,Unknown,Unknown,Brazil,br,https://www.transfermarkt.us/rodrigo-dourado/profil/spieler/181780,https://img.a.transfermarkt.technology/portrait/small/181780-1611222548.jpg?lm=1,N/A,17.06.1994,Unknown,Atlético de San Luis
22,Camilo,Unknown,51,2,11,1.922,N/A,Unknown,Unknown,2,0,Sport Club Internacional,Unknown,Unknown,Brazil,br,https://www.transfermarkt.us/camilo/profil/spieler/74286,https://img.a.transfermarkt.technology/portrait/small/74286-1580200448.jpg?lm=1,N/A,09.03.1986,Unknown,Figueirense Futebol Clube
23,Rafael Sóbis,Unknown,191,51,11,12.656,N/A,Unknown,Unknown,26,2,Sport Club Internacional,Unknown,Unknown,Brazil,br,https://www.transfermarkt.us/rafael-sobis/profil/spieler/27376,https://img.a.transfermarkt.technology/portrait/small/27376-1494843480.jpg?lm=1,N/A,17.06.1985,Unknown,Retired
24,Alecsandro,Unknown,116,54,10,7.667,N/A,Unknown,Unknown,15,1,Sport Club Internacional,Unknown,Unknown,Brazil,br,https://www.transfermarkt.us/alecsandro/profil/spieler/44131,https://img.a.transfermarkt.technology/portrait/small/s_44131_330_2012_1.jpg?lm=1,N/A,04.02.1981,Unknown,Retired
25,Thiago Galhardo,Unknown,82,34,10,4.953,N/A,Unknown,Unknown,11,1,Sport Club Internacional,Unknown,Unknown,Brazil,br,https://www.transfermarkt.us/thiago-galhardo/profil/spieler/186399,https://img.a.transfermarkt.technology/portrait/small/186399-1556811939.png?lm=1,N/A,20.07.1989,Unknown,Santa Cruz FC (PE)
26,Uendel,Unknown,131,1,9,10.924,N/A,Unknown,Unknown,15,1,Sport Club Internacional,Unknown,Unknown,Brazil,br,https://www.transfermarkt.us/uendel/profil/spieler/74747,https://img.a.transfermarkt.technology/portrait/small/74747-1580199744.jpg?lm=1,N/A,08.10.1988,Unknown,Retired
27,Rodinei,Unknown,52,3,9,4.104,N/A,Unknown,Unknown,9,1,Sport Club Internacional,Unknown,Unknown,Brazil,br,https://www.transfermarkt.us/rodinei/profil/spieler/185966,https://img.a.transfermarkt.technology/portrait/small/185966-1728417668.png?lm=1,N/A,29.01.1992,Unknown,Olympiacos Piraeus
28,William Pottker,Unknown,108,26,9,7.382,N/A,Unknown,Unknown,14,2,Sport Club Internacional,Unknown,Unknown,Brazil,br,https://www.transfermarkt.us/william-pottker/profil/spieler/199472,https://img.a.transfermarkt.technology/portrait/small/199472-1543929744.jpg?lm=1,N/A,22.12.1993,Unknown,Atlético Clube Goianiense
29,Dagoberto,Unknown,40,10,9,2.682,N/A,Unknown,Unknown,12,0,Sport Club Internacional,Unknown,Unknown,Brazil,br,https://www.transfermarkt.us/dagoberto/profil/spieler/26266,https://img.a.transfermarkt.technology/portrait/small/26266-1505766235.png?lm=1,N/A,22.03.1983,Unknown,Retired
30,Fred,Unknown,55,8,9,4.315,N/A,Unknown,Unknown,13,0,Sport Club Internacional,Unknown,Unknown,Brazil,br,https://www.transfermarkt.us/fred/profil/spieler/191614,https://img.a.transfermarkt.technology/portrait/small/191614-1728391871.JPG?lm=1,N/A,05.03.1993,Unknown,Fenerbahce
31,Pablo Guiñazú,Unknown,268,3,9,23.423,N/A,Unknown,Unknown,89,0,Sport Club Internacional,Unknown,Unknown,Argentina,ar,https://www.transfermarkt.us/pablo-guinazu/profil/spieler/24995,https://img.a.transfermarkt.technology/portrait/small/s_24995_978_2012_1.jpg?lm=1,N/A,26.08.1978,Unknown,Retired
32,Jajá,Unknown,30,4,8,1.500,N/A,Unknown,Unknown,0,0,Sport Club Internacional,Unknown,Unknown,Brazil,br,https://www.transfermarkt.us/jaja/profil/spieler/27245,https://img.a.transfermarkt.technology/portrait/small/27245-1729164969.jpg?lm=1,N/A,28.02.1986,Unknown,Disqualification
33,Marcão,Unknown,69,0,8,5.615,N/A,Unknown,Unknown,11,1,Sport Club Internacional,Unknown,Unknown,Brazil,br,https://www.transfermarkt.us/marcao/profil/spieler/26255,https://img.a.transfermarkt.technology/portrait/small/s_26255_3197_2010_2.jpg?lm=1,N/A,28.03.1975,Unknown,Retired
34,Heitor,Unknown,90,2,8,6.176,N/A,Unknown,Unknown,19,1,Sport Club Internacional,Unknown,Unknown,Brazil,br,https://www.transfermarkt.us/heitor/profil/spieler/670969,https://img.a.transfermarkt.technology/portrait/small/670969-1598538401.jpg?lm=1,N/A,05.11.2000,Unknown,Portimonense SC
