name,club,periods
Diego Souza,Grêmio Foot-Ball Porto Alegrense,"2007-2007, 2020-2023"
Luan,Grêmio Foot-Ball Porto Alegrense,"2014-2020, 2023-2024"
Jonas,Grêmio Foot-Ball Porto Alegrense,"2007-2008, 2008-2011"
Everton,Grêmio Foot-Ball Porto Alegrense,2014-2020
Douglas,Grêmio Foot-Ball Porto Alegrense,"2010-2012, 2015-2016, 2017-2019"
Hernán Barcos,Grêmio Foot-Ball Porto Alegrense,2013-2015
André Lima,Grêmio Foot-Ball Porto Alegrense,"2010-2010, 2011-2013"
Pepê,Grêmio Foot-Ball Porto Alegrense,2017-2021
Pedro Rocha,Grêmio Foot-Ball Porto Alegrense,2015-2017
Franco Cristaldo,Grêmio Foot-Ball Porto Alegrense,2023-2025
Tcheco,Grêmio Foot-Ball Porto Alegrense,"2006-2007, 2008-2010"
Ferreirinha,Grêmio Foot-Ball Porto Alegrense,2020-2024
Souza,Grêmio Foot-Ball Porto Alegrense,"2008-2009, 2009-2011"
Cláudio Pitbull,Grêmio Foot-Ball Porto Alegrense,"1999-2002, 2002-2005"
Kléber,Grêmio Foot-Ball Porto Alegrense,"2012-2014, 2014-2015"
Alisson,Grêmio Foot-Ball Porto Alegrense,2018-2022
Jean Pyerre,Grêmio Foot-Ball Porto Alegrense,"2018-2022, 2022-2023"
Ramiro,Grêmio Foot-Ball Porto Alegrense,2013-2019
Giuliano,Grêmio Foot-Ball Porto Alegrense,2014-2016
Rafael Marques,Grêmio Foot-Ball Porto Alegrense,2009-2012
Thaciano,Grêmio Foot-Ball Porto Alegrense,"2018-2019, 2019-2021, 2021-2021, 2022-2023"
Werley,Grêmio Foot-Ball Porto Alegrense,"2012-2012, 2012-2015, 2015-2016, 2016-2017"
Pedro Geromel,Grêmio Foot-Ball Porto Alegrense,"2014-2015, 2016-2025"
Zé Roberto,Grêmio Foot-Ball Porto Alegrense,2012-2015
Maicon,Grêmio Foot-Ball Porto Alegrense,"2015-2015, 2016-2022"
Mathías Villasanti,Grêmio Foot-Ball Porto Alegrense,2021-2025
Fernandinho,Grêmio Foot-Ball Porto Alegrense,"2014-2015, 2015-2016, 2016-2018"
Willian Magrão,Grêmio Foot-Ball Porto Alegrense,"2007-2012, 2012-2012, 2012-2013, 2013-2014, 2014-2014"
Fernando,Grêmio Foot-Ball Porto Alegrense,2010-2013
Matheus Henrique,Grêmio Foot-Ball Porto Alegrense,"2018-2021, 2022-2022"
Léo,Grêmio Foot-Ball Porto Alegrense,2007-2010
Réver,Grêmio Foot-Ball Porto Alegrense,"2008-2008, 2009-2010"
Reinaldo,Grêmio Foot-Ball Porto Alegrense,2023-2025
Marquinhos,Grêmio Foot-Ball Porto Alegrense,2011-2013
Michel,Grêmio Foot-Ball Porto Alegrense,"2017-2017, 2018-2020, 2020-2021, 2021-2022"
Goiano,Grêmio Foot-Ball Porto Alegrense,1995-2000
Edílson,Grêmio Foot-Ball Porto Alegrense,"2010-2011, 2011-2013, 2016-2018, 2022-2023"
Bruno Alves,Grêmio Foot-Ball Porto Alegrense,"2022-2023, 2023-2024"
Paulo Miranda,Grêmio Foot-Ball Porto Alegrense,2018-2022
João Pedro,Grêmio Foot-Ball Porto Alegrense,2023-2025
Claudiomiro,Grêmio Foot-Ball Porto Alegrense,2001-2005
Fábio Rochemback,Grêmio Foot-Ball Porto Alegrense,2009-2012
Marcelo Oliveira,Grêmio Foot-Ball Porto Alegrense,2015-2020
Walace,Grêmio Foot-Ball Porto Alegrense,2014-2017
Walter Kannemann,Grêmio Foot-Ball Porto Alegrense,2016-2025
Tinga,Grêmio Foot-Ball Porto Alegrense,"1997-1999, 2001-2004"
Bressan,Grêmio Foot-Ball Porto Alegrense,"2013-2015, 2015-2016, 2017-2019"
Lucas Silva,Grêmio Foot-Ball Porto Alegrense,2020-2023
Gabriel,Grêmio Foot-Ball Porto Alegrense,"2010-2011, 2011-2013"
Fábio Santos,Grêmio Foot-Ball Porto Alegrense,2009-2011
Rodrigues,Grêmio Foot-Ball Porto Alegrense,"2019-2019, 2019-2022, 2023-2024"
Léo Moura,Grêmio Foot-Ball Porto Alegrense,2017-2020
Léo Gomes,Grêmio Foot-Ball Porto Alegrense,2017-2023
Pepê,Grêmio Foot-Ball Porto Alegrense,2023-2025
Roger Machado,Grêmio Foot-Ball Porto Alegrense,1994-2004
Lúcio,Grêmio Foot-Ball Porto Alegrense,"2007-2007, 2009-2010, 2010-2012"
Mário Fernandes,Grêmio Foot-Ball Porto Alegrense,2009-2012
Rhodolfo,Grêmio Foot-Ball Porto Alegrense,"2013-2014, 2015-2015"
Patrício,Grêmio Foot-Ball Porto Alegrense,"2006-2006, 2007-2008"
Bruno Cortez,Grêmio Foot-Ball Porto Alegrense,2017-2022
Darlan,Grêmio Foot-Ball Porto Alegrense,"2019-2022, 2022-2022, 2022-2023"
Adilson,Grêmio Foot-Ball Porto Alegrense,2007-2012
Diogo Barbosa,Grêmio Foot-Ball Porto Alegrense,"2020-2023, 2023-2024"
William,Grêmio Foot-Ball Porto Alegrense,2006-2008
Pará,Grêmio Foot-Ball Porto Alegrense,"2012-2012, 2013-2015, 2015-2016"
Victor,Grêmio Foot-Ball Porto Alegrense,2008-2012
