name,club,periods
Yuri Alberto,Sport Club Corinthians Paulista,"2022-2023, 2023-2025"
Jô,Sport Club Corinthians Paulista,"2003-2006, 2017-2018, 2020-2022"
Ángel Romero,Sport Club Corinthians Paulista,"2014-2019, 2023-2025"
Paolo Guerrero,Sport Club Corinthians Paulista,2012-2015
Jádson,Sport Club Corinthians Paulista,"2014-2016, 2017-2020"
Luizão,Sport Club Corinthians Paulista,1999-2002
Róger Guedes,Sport Club Corinthians Paulista,2021-2023
Marcelinho Carioca,Sport Club Corinthians Paulista,"1994-1997, 1998-2001, 2006-2007"
Liedson,Sport Club Corinthians Paulista,"2003-2003, 2011-2012"
Dentinho,Sport Club Corinthians Paulista,2007-2011
Paulinho,Sport Club Corinthians Paulista,"2010-2012, 2012-2013, 2022-2024"
Elias,Sport Club Corinthians Paulista,"2008-2011, 2014-2016"
Ronaldo,Sport Club Corinthians Paulista,2008-2011
Danilo,Sport Club Corinthians Paulista,2010-2019
Carlos Tevez,Sport Club Corinthians Paulista,2005-2006
Fábio Santos,Sport Club Corinthians Paulista,"2011-2015, 2020-2024"
Rodriguinho,Sport Club Corinthians Paulista,"2013-2014, 2014-2014, 2015-2018"
Chicão,Sport Club Corinthians Paulista,2008-2013
Emerson,Sport Club Corinthians Paulista,"2011-2014, 2014-2015, 2018-2018"
Renato Augusto,Sport Club Corinthians Paulista,"2013-2016, 2021-2024"
Ricardinho,Sport Club Corinthians Paulista,"1998-2002, 2006-2006"
Jorge Henrique,Sport Club Corinthians Paulista,2009-2013
Gil,Sport Club Corinthians Paulista,2000-2005
Romarinho,Sport Club Corinthians Paulista,2012-2014
Edílson,Sport Club Corinthians Paulista,1997-2000
Deivid,Sport Club Corinthians Paulista,2001-2003
Luciano,Sport Club Corinthians Paulista,"2014-2016, 2017-2017"
Rogério,Sport Club Corinthians Paulista,2000-2004
Gil,Sport Club Corinthians Paulista,"2013-2016, 2019-2024"
Roger,Sport Club Corinthians Paulista,"2005-2007, 2007-2008, 2008-2008"
Alexandre Pato,Sport Club Corinthians Paulista,"2013-2014, 2015-2016, 2016-2016"
Gustavo Silva,Sport Club Corinthians Paulista,"2019-2019, 2019-2019, 2020-2020, 2020-2024"
Marcelo Mattos,Sport Club Corinthians Paulista,"2005-2007, 2008-2008, 2009-2010"
Mauro Boselli,Sport Club Corinthians Paulista,2019-2021
Fabián Balbuena,Sport Club Corinthians Paulista,"2016-2018, 2022-2023"
Rosinei,Sport Club Corinthians Paulista,2004-2007
André Santos,Sport Club Corinthians Paulista,2008-2009
Willian Bigode,Sport Club Corinthians Paulista,2011-2012
Maycon,Sport Club Corinthians Paulista,"2016-2016, 2016-2018, 2022-2022, 2023-2025"
Bruno César,Sport Club Corinthians Paulista,2010-2011
Mateus Vital,Sport Club Corinthians Paulista,"2018-2021, 2022-2023"
Clayson,Sport Club Corinthians Paulista,2017-2020
Gustavo,Sport Club Corinthians Paulista,"2016-2017, 2017-2017, 2017-2018, 2018-2020, 2020-2020"
Rodrigo Garro,Sport Club Corinthians Paulista,2024-2025
Fernando Baiano,Sport Club Corinthians Paulista,1999-2002
Douglas,Sport Club Corinthians Paulista,"2008-2008, 2008-2009, 2012-2014, 2014-2015"
Adson,Sport Club Corinthians Paulista,2021-2023
Nilmar,Sport Club Corinthians Paulista,"2005-2006, 2006-2007"
Gustavo Nery,Sport Club Corinthians Paulista,"2005-2005, 2005-2007, 2007-2008"
Danilo Avelar,Sport Club Corinthians Paulista,"2018-2019, 2019-2022, 2022-2023"
Lucca,Sport Club Corinthians Paulista,"2015-2016, 2016-2017, 2017-2018, 2019-2019, 2019-2020, 2020-2020"
Fagner,Sport Club Corinthians Paulista,"2006-2007, 2014-2014, 2015-2025, 2025-2025"
Giuliano,Sport Club Corinthians Paulista,2021-2024
Wilson,Sport Club Corinthians Paulista,"2003-2006, 2006-2008"
Fabinho,Sport Club Corinthians Paulista,"2001-2004, 2008-2009"
Marquinhos Gabriel,Sport Club Corinthians Paulista,"2016-2018, 2019-2019"
Iarley,Sport Club Corinthians Paulista,"2010-2011, 2011-2011"
Renato Abreu,Sport Club Corinthians Paulista,2001-2005
Germán Herrera,Sport Club Corinthians Paulista,2008-2008
Ralf,Sport Club Corinthians Paulista,"2010-2016, 2018-2020"
Malcom,Sport Club Corinthians Paulista,2014-2016
Carlos Alberto,Sport Club Corinthians Paulista,"2005-2007, 2007-2007"
Pedrinho,Sport Club Corinthians Paulista,2017-2020
Luan,Sport Club Corinthians Paulista,"2020-2022, 2022-2023"
Guilherme,Sport Club Corinthians Paulista,2012-2014
Paulo André,Sport Club Corinthians Paulista,"2009-2010, 2010-2014"
Memphis Depay,Sport Club Corinthians Paulista,2024-2025
Ewerthon,Sport Club Corinthians Paulista,"1998-1999, 1999-2001"
Souza,Sport Club Corinthians Paulista,"2009-2011, 2011-2012"
Vampeta,Sport Club Corinthians Paulista,"1998-2000, 2002-2004, 2007-2008"
Coelho,Sport Club Corinthians Paulista,"2003-2007, 2008-2008, 2009-2009"
Cristian,Sport Club Corinthians Paulista,"2008-2009, 2015-2017, 2017-2018"
Leandro,Sport Club Corinthians Paulista,2001-2003
Felipe,Sport Club Corinthians Paulista,"2012-2016, 2016-2016"
