name,status,profile_url,image_url,jersey_name,jersey_number,nation,nation_code,club,place_of_birth,full_name,position,height,date_of_birth,appearances,goals,assists,own_goals,yellow_cards,second_yellow,red_cards,substituted_on,substituted_off,minutes_played
Kun Xiao,Qingdao Hainiu,https://www.transfermarkt.us/kun-xiao/profil/spieler/496368,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Xiao,Unknown,China,cn,Shenzhen Peng City,Hunan,肖鲲,Midfield - Defensive Midfield,"1,88 m",15.02.1995,112,10,5,0,16,0,0,24,18,8.072
Song Nan,Shenzhen Peng City,https://www.transfermarkt.us/song-nan/profil/spieler/456030,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Nan,-,China,cn,Shenzhen Peng City,"Yanbian, Jilin",南松,Midfield - Attacking Midfield,"1,70 m",21.06.1997,108,4,9,0,18,0,0,32,53,6.572
Qiao Wang,Shenzhen Peng City,https://www.transfermarkt.us/qiao-wang/profil/spieler/281516,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Wang,-,China,cn,Shenzhen Peng City,"Tieling, Liaoning",王峤,Defender - Right-Back,"1,81 m",26.03.1995,100,2,1,0,7,0,0,33,24,6.326
Chu Wang,Retired,https://www.transfermarkt.us/chu-wang/profil/spieler/235976,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Wang,Unknown,China,cn,Shenzhen Peng City,"Chengdu, Sichuan",王楚,Midfield - Attacking Midfield,"1,80 m",10.01.1991,100,11,2,0,11,0,1,26,50,5.796
Xiaoshun Geng,Retired,https://www.transfermarkt.us/xiaoshun-geng/profil/spieler/211329,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Geng,Unknown,China,cn,Shenzhen Peng City,"Liaoyang, Liaoning",耿晓顺,Defender - Centre-Back,"1,85 m",17.05.1990,89,1,0,0,9,0,1,3,3,7.793
Jun Ruan,Shaanxi Union,https://www.transfermarkt.us/jun-ruan/profil/spieler/430102,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Ruan,Unknown,China,cn,Shenzhen Peng City,"Mianyang, Sichuan",阮君,Attack - Second Striker,"1,76 m",02.01.1997,89,26,1,0,22,0,2,19,33,6.152
Dalong Xia,Guangdong GZ-Power,https://www.transfermarkt.us/dalong-xia/profil/spieler/655560,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Xia,Unknown,China,cn,Shenzhen Peng City,Nagoya,夏达龙,Attack - Centre-Forward,"1,90 m",27.06.1993,81,12,2,0,3,0,0,48,23,3.524
Chen Song,Dalian K'un City,https://www.transfermarkt.us/chen-song/profil/spieler/211679,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Song,Unknown,China,cn,Shenzhen Peng City,"Dalian, Liaoning",宋琛,Defender - Right-Back,"1,82 m",03.01.1990,77,2,0,0,7,0,0,25,26,4.720
Edu García,Shenzhen Peng City,https://www.transfermarkt.us/edu-garcia/profil/spieler/221985,https://img.a.transfermarkt.technology/portrait/small/221985-1580981081.jpg?lm=1,García,Unknown,Spain,es,Shenzhen Peng City,Zaragoza,Eduardo García Martín,Midfield - Attacking Midfield,"1,82 m",24.04.1990,71,26,6,0,7,0,0,5,41,5.272
Nizamdin Ependi,Dingnan United,https://www.transfermarkt.us/nizamdin-ependi/profil/spieler/425173,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Ependi,Unknown,China,cn,Shenzhen Peng City,Artux,尼扎木丁·阿凡提,Defender - Right-Back,"1,78 m",23.04.1991,70,0,3,0,4,1,0,12,18,5.064
Qi Wang,Shenzhen Peng City Reserves,https://www.transfermarkt.us/qi-wang/profil/spieler/254888,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Wang,-,China,cn,Shenzhen Peng City,"Chengdu, Sichuan",王琪,Midfield - Defensive Midfield,"1,70 m",17.10.1993,68,11,7,0,3,0,0,44,14,3.385
Endian Li,Guangxi Union,https://www.transfermarkt.us/endian-li/profil/spieler/430094,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Li,Unknown,China,cn,Shenzhen Peng City,Unknown,李恩典,Defender - Right-Back,"1,74 m",06.03.1997,62,9,0,0,5,0,0,15,12,4.378
Jun Zhao,Shenzhen Peng City Reserves,https://www.transfermarkt.us/jun-zhao/profil/spieler/430088,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Zhao,Unknown,China,cn,Shenzhen Peng City,Unknown,赵君,Defender,"1,72 m",05.03.1997,58,5,1,1,4,0,0,25,7,3.271
Jorge Ortiz,Mumbai City FC,https://www.transfermarkt.us/jorge-ortiz/profil/spieler/379629,https://img.a.transfermarkt.technology/portrait/small/379629-1571162930.jpg?lm=1,Ortiz,Unknown,Spain,es,Shenzhen Peng City,Villacañas,Jorge Ortiz Mendoza,Attack - Right Winger,"1,73 m",25.04.1992,56,15,11,0,3,0,0,9,18,4.138
Haojie Li,Retired,https://www.transfermarkt.us/haojie-li/profil/spieler/252296,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Li,Unknown,China,cn,Shenzhen Peng City,Yanbian,李浩杰,Midfield - Defensive Midfield,"1,78 m",03.07.1993,55,0,0,0,10,0,0,14,18,3.554
Nuali Zimin,Nantong Zhiyun,https://www.transfermarkt.us/nuali-zimin/profil/spieler/660591,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Zimin,Unknown,China,cn,Shenzhen Peng City,Unknown,努艾力·孜明,Midfield - Left Midfield,"1,80 m",13.01.2000,55,6,0,0,2,0,0,28,23,2.071
Rui Yu,Shenzhen Peng City,https://www.transfermarkt.us/rui-yu/profil/spieler/224162,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Yu,-,China,cn,Shenzhen Peng City,"Benxi, Liaoning",于睿,Defender - Centre-Back,"1,85 m",11.08.1992,54,2,2,0,9,1,0,4,2,4.530
Yudong Zhang,Shenzhen Peng City,https://www.transfermarkt.us/yudong-zhang/profil/spieler/221911,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Zhang,Unknown,China,cn,Shenzhen Peng City,Unknown,张煜东,Midfield - Defensive Midfield,"1,79 m",09.09.1992,52,3,4,0,11,0,0,6,7,4.087
Dadi Zhou,Shenzhen Peng City,https://www.transfermarkt.us/dadi-zhou/profil/spieler/316345,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Zhou,2,China,cn,Shenzhen Peng City,Unknown,周大地,Midfield - Left Midfield,"1,76 m",18.02.1996,52,3,4,0,12,0,0,26,21,2.363
Zhi Li,Shenzhen Peng City,https://www.transfermarkt.us/zhi-li/profil/spieler/254840,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Li,Unknown,China,cn,Shenzhen Peng City,Unknown,李智,Defender - Left-Back,"1,78 m",29.07.1993,51,2,4,0,13,1,1,4,21,3.999
Baojie Zhu,Shanghai Jiading Huilong,https://www.transfermarkt.us/baojie-zhu/profil/spieler/211068,https://img.a.transfermarkt.technology/portrait/small/211068-1588754801.jpg?lm=1,Zhu,Unknown,China,cn,Shenzhen Peng City,Unknown,朱宝杰,Midfield - Defensive Midfield,"1,70 m",11.08.1989,51,1,11,0,5,0,1,7,32,3.655
Shengxiong Zheng,Guizhou Zhucheng Athletic,https://www.transfermarkt.us/shengxiong-zheng/profil/spieler/661945,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Zheng,Unknown,China,cn,Shenzhen Peng City,"Guiyang, Guizhou",郑圣雄,Midfield - Left Midfield,"1,73 m",05.01.1999,51,5,2,0,3,0,0,13,21,3.506
Chao Yang,Foshan Nanshi,https://www.transfermarkt.us/chao-yang/profil/spieler/269269,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Yang,Unknown,China,cn,Shenzhen Peng City,Unknown,杨超,Goalkeeper,"1,88 m",03.08.1993,49,0,0,0,1,0,0,0,0,4.410
Heng Zhao,Without Club,https://www.transfermarkt.us/heng-zhao/profil/spieler/430087,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Zhao,Unknown,China,cn,Shenzhen Peng City,Unknown,赵恒,Goalkeeper,"1,86 m",24.01.1997,48,0,0,0,2,0,0,0,2,4.320
Shi Zhao,Shenzhen Peng City,https://www.transfermarkt.us/shi-zhao/profil/spieler/268793,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Zhao,Unknown,China,cn,Shenzhen Peng City,"Handan, Hebei",赵石,Goalkeeper,"1,90 m",16.03.1993,47,0,0,0,6,0,0,0,2,4.161
Xialu Shan,Sichuan Tianfu,https://www.transfermarkt.us/xialu-shan/profil/spieler/254819,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Shan,Unknown,China,cn,Shenzhen Peng City,Unknown,单夏路,Midfield,"1,75 m",23.01.1991,46,2,0,0,8,0,0,9,8,3.474
Xiaoheng Nan,Nantong Zhiyun,https://www.transfermarkt.us/xiaoheng-nan/profil/spieler/316756,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Nan,Unknown,China,cn,Shenzhen Peng City,Unknown,南小亨,Attack - Centre-Forward,"1,77 m",23.12.1995,46,5,0,0,14,0,0,8,32,2.870
Yiyao Cao,Xi'an Hi-Tech Yilian,https://www.transfermarkt.us/yiyao-cao/profil/spieler/430103,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Cao,Unknown,China,cn,Shenzhen Peng City,"Shaoguan, Guangdong",曹艺耀,Midfield,"1,85 m",05.11.1997,44,9,0,0,6,0,0,12,21,2.442
Muzapar Muhta,Wenzhou FC,https://www.transfermarkt.us/muzapar-muhta/profil/spieler/658712,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Muhta,Unknown,China,cn,Shenzhen Peng City,Unknown,木扎帕尔·木合塔,Midfield - Right Midfield,"1,75 m",25.06.2000,44,2,2,0,3,0,1,26,8,2.011
Nemanja Vidic,FK Vozdovac,https://www.transfermarkt.us/nemanja-vidic/profil/spieler/135554,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Vidic,Unknown,Serbia,rs,Shenzhen Peng City,Zemun,Немања Видић,Defender - Centre-Back,"1,89 m",06.08.1989,43,1,0,0,10,0,0,3,5,3.531
Yue Song,Dalian Yingbo,https://www.transfermarkt.us/yue-song/profil/spieler/266874,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Song,Unknown,China,cn,Shenzhen Peng City,Unknown,宋岳,Defender - Centre-Back,"1,84 m",20.11.1991,43,1,1,0,11,0,0,3,8,3.508
Shuang He,Sichuan Youth Athletic,https://www.transfermarkt.us/shuang-he/profil/spieler/430093,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,He,Unknown,China,cn,Shenzhen Peng City,"Guangyuan, Sichuan",何双,Midfield,"1,78 m",09.06.1997,41,0,0,0,6,0,1,6,10,2.959
Weijian Wu,Unknown,https://www.transfermarkt.us/weijian-wu/profil/spieler/430092,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Wu,Unknown,China,cn,Shenzhen Peng City,Unknown,吴伟健,Midfield,"1,74 m",25.04.1997,41,2,0,0,5,0,0,7,28,2.760
Behram Abduweli,Shenzhen Peng City,https://www.transfermarkt.us/behram-abduweli/profil/spieler/946750,https://img.a.transfermarkt.technology/portrait/small/946750-1723238779.jpg?lm=1,Abduweli,9,China,cn,Shenzhen Peng City,Unknown,拜合拉木·阿卜杜外力,Attack - Centre-Forward,"1,83 m",08.03.2003,41,7,1,0,7,1,0,14,21,2.425
Jiaqi Zhang,Zhejiang FC,https://www.transfermarkt.us/jiaqi-zhang/profil/spieler/127104,https://img.a.transfermarkt.technology/portrait/small/s_127104_1164_2012_1.jpg?lm=1,Zhang,24,China,cn,Shenzhen Peng City,Shenyang,张佳祺,Midfield - Defensive Midfield,"1,91 m",09.12.1991,40,6,0,0,17,0,0,8,15,2.767
Bowen Li,Foshan Nanshi,https://www.transfermarkt.us/bowen-li/profil/spieler/316037,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Li,Unknown,China,cn,Shenzhen Peng City,Unknown,李博文,Defender - Centre-Back,"1,82 m",23.01.1995,40,0,0,0,6,0,0,18,12,1.938
Xinxin Yang,Without Club,https://www.transfermarkt.us/xinxin-yang/profil/spieler/252183,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Yang,-,China,cn,Shenzhen Peng City,"Shenzhen, Guangdong",杨欣鑫,Midfield - Left Midfield,"1,82 m",24.11.1992,39,1,0,0,4,0,0,1,2,3.462
Ötkür Hesen,Without Club,https://www.transfermarkt.us/otkur-hesen/profil/spieler/228325,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Hesen,-,China,cn,Shenzhen Peng City,"Yining, Ili, Xinjiang","ئۆتكۈر ھەسەن , 吾提库尔·艾山",Defender - Left-Back,"1,81 m",10.04.1993,35,0,1,0,4,0,0,0,1,3.150
Wenxin Jin,Retired,https://www.transfermarkt.us/wenxin-jin/profil/spieler/266816,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Jin,Unknown,China,cn,Shenzhen Peng City,Unknown,金文鑫,Goalkeeper,"1,90 m",11.03.1989,35,0,0,0,0,0,0,2,0,2.972
Yu Zheng,Without Club,https://www.transfermarkt.us/yu-zheng/profil/spieler/430098,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Zheng,Unknown,China,cn,Shenzhen Peng City,Unknown,郑宇,Defender,"1,72 m",09.03.1997,35,1,0,0,0,0,0,9,9,2.142
Shuang Hao,Shizuishan Hengxing,https://www.transfermarkt.us/shuang-hao/profil/spieler/211721,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Hao,Unknown,China,cn,Shenzhen Peng City,Unknown,郝爽,Defender - Centre-Back,"1,90 m",06.01.1989,34,0,1,0,5,0,0,0,0,3.060
Xufei Xing,Lijiang Yuanheng,https://www.transfermarkt.us/xufei-xing/profil/spieler/211020,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Xing,Unknown,China,cn,Shenzhen Peng City,Unknown,邢序飞,Defender,"1,87 m",27.03.1989,34,4,0,0,3,0,0,1,0,3.015
Yi Chen,Sichuan Youth Athletic,https://www.transfermarkt.us/yi-chen/profil/spieler/356240,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Chen,-,China,cn,Shenzhen Peng City,Unknown,陈奕,Midfield - Central Midfield,"1,78 m",06.01.1997,33,1,1,0,5,0,0,21,2,1.282
