rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Giovanni Moreno,Giovanni Andrés Moreno Cardona,265,86,41,21.514,N/A,Moreno,20,37,0,Shanghai Shenhua,Midfield - Attacking Midfield,"1,92 m",Colombia,co,https://www.transfermarkt.us/giovanni-moreno/profil/spieler/74661,https://img.a.transfermarkt.technology/portrait/small/74661-1511174615.jpg?lm=1,N/A,01.07.1986,Segovia,Retired
2,Yunding Cao,曹贇定,350,39,78,23.566,N/A,Cao,16,31,3,Shanghai Shenhua,Midfield - Left Midfield,"1,73 m",China,cn,https://www.transfermarkt.us/yunding-cao/profil/spieler/185084,https://img.a.transfermarkt.technology/portrait/small/185084-1511174519.jpg?lm=1,N/A,22.11.1989,Shanghai,Retired
3,Cephas Malele,Unknown,67,36,8,5.457,N/A,Malele,16,8,0,Shanghai Shenhua,Attack - Centre-Forward,"1,85 m",Switzerland,ch,https://www.transfermarkt.us/cephas-malele/profil/spieler/22686,https://img.a.transfermarkt.technology/portrait/small/22686-1661769776.jpg?lm=1,N/A,08.01.1994,Buco-Zau,Dalian Yingbo
4,Demba Ba,Unknown,54,34,8,4.716,N/A,Ba,9,6,0,Shanghai Shenhua,Attack - Centre-Forward,"1,89 m",Senegal,sn,https://www.transfermarkt.us/demba-ba/profil/spieler/40205,https://img.a.transfermarkt.technology/portrait/small/40205-1583155060.jpg?lm=1,N/A,25.05.1985,Sèvres,Retired
5,Obafemi Martins,Obafemi Akinwunmi Martins,63,32,9,4.325,N/A,Martins,9,2,0,Shanghai Shenhua,Attack - Centre-Forward,,Nigeria,ng,https://www.transfermarkt.us/obafemi-martins/profil/spieler/5794,https://img.a.transfermarkt.technology/portrait/small/5794-1511175376.jpg?lm=1,N/A,28.10.1984,Lagos,Retired
6,Hanchao Yu,于汉超,134,29,12,6.890,N/A,Yu,20,11,0,Shanghai Shenhua,Attack - Left Winger,"1,76 m",China,cn,https://www.transfermarkt.us/hanchao-yu/profil/spieler/45308,https://img.a.transfermarkt.technology/portrait/small/45308-1488976042.jpg?lm=1,N/A,25.02.1987,Dalian,Shanghai Shenhua
7,Fredy Guarín,Fredy Alejandro Guarín Vásquez,100,28,22,8.561,N/A,Guarín,13,17,1,Shanghai Shenhua,Midfield - Central Midfield,"1,83 m",Colombia,co,https://www.transfermarkt.us/fredy-guarin/profil/spieler/39090,https://img.a.transfermarkt.technology/portrait/small/39090-1410339957.jpg?lm=1,N/A,30.06.1986,Puerto Boyacá,Retired
8,Duvier Riascos,Duvier Orlando Riascos Barahona,44,25,4,3.700,N/A,Riascos,Unknown,12,0,Shanghai Shenhua,Attack - Centre-Forward,"1,82 m",Colombia,co,https://www.transfermarkt.us/duvier-riascos/profil/spieler/119229,https://img.a.transfermarkt.technology/portrait/small/119229-1670575501.png?lm=1,N/A,26.06.1986,Buenaventura,Without Club
9,André Luis,Unknown,42,24,9,3.568,N/A,André Luis,Unknown,2,0,Shanghai Shenhua,Attack - Centre-Forward,"1,84 m",Brazil,br,https://www.transfermarkt.us/andre-luis/profil/spieler/539203,https://img.a.transfermarkt.technology/portrait/small/539203-1705664678.png?lm=1,N/A,09.03.1994,Unknown,Shanghai Shenhua
10,Xi Wu,吴曦,198,20,13,15.649,N/A,Wu,15,23,0,Shanghai Shenhua,Midfield - Central Midfield,"1,80 m",China,cn,https://www.transfermarkt.us/xi-wu/profil/spieler/148891,https://img.a.transfermarkt.technology/portrait/small/148891-1488970663.jpg?lm=1,N/A,19.02.1989,"Shijiazhuang, Hebei",Shanghai Shenhua
11,Jianrong Zhu,朱建荣,66,19,6,2.404,N/A,Zhu,-,8,0,Shanghai Shenhua,Attack - Centre-Forward,"1,85 m",China,cn,https://www.transfermarkt.us/jianrong-zhu/profil/spieler/211164,https://img.a.transfermarkt.technology/portrait/small/211164-1564397514.jpg?lm=1,N/A,12.07.1991,Qingdao,Retired
