name,club,periods
Xizhe Zhang,Beijing Guoan,"2010-2015, 2015-2025"
Cédric Bakambu,Beijing Guoan,2018-2022
Yuning Zhang,Beijing Guoan,2019-2025
Renato Augusto,Beijing Guoan,2016-2021
Jonathan Soriano,Beijing Guoan,2017-2019
Joel Griffiths,Beijing Guoan,"2009-2009, 2010-2012"
Ziming Wang,Beijing Guoan,"2017-2017, 2017-2025"
Jonathan Viera,Beijing Guoan,"2018-2019, 2019-2021"
Dejan Damjanović,Beijing Guoan,2014-2016
Fabio Abreu,Beijing Guoan,2023-2025
Dabao Yu,Beijing Guoan,2015-2025
Wálter Martínez,Beijing Guoan,"2007-2008, 2010-2012"
Pablo Batalla,Beijing Guoan,2014-2016
Jiayi Shao,Beijing Guoan,2012-2015
Liang Xu,Beijing Guoan,2010-2013
Burak Yılmaz,Beijing Guoan,2016-2017
Cheng Piao,Beijing Guoan,2011-2024
Ryan Griffiths,Beijing Guoan,2009-2011
Xiangchuang Yan,Beijing Guoan,"2004-2011, 2011-2012"
Peter Utaka,Beijing Guoan,"2013-2014, 2014-2015"
Wei Tao,Beijing Guoan,1998-2011
Tiago,Beijing Guoan,"2007-2007, 2008-2008"
Erton Fejzullahu,Beijing Guoan,"2014-2014, 2015-2016"
Sang-woo Kang,Beijing Guoan,2022-2024
Frédéric Kanouté,Beijing Guoan,2012-2013
Yongjing Cao,Beijing Guoan,"2021-2023, 2023-2025"
Changqing Wang,Beijing Guoan,
Alan,Beijing Guoan,2020-2020
Liangming Lin,Beijing Guoan,2024-2025
Liyu Yang,Beijing Guoan,2023-2025
Wenhui Du,Beijing Guoan,
Yang Yu,Beijing Guoan,"2010-2010, 2010-2015, 2017-2023"
Hao Yang,Beijing Guoan,
Ting Zhou,Beijing Guoan,2006-2017
Samuel Adegbenro,Beijing Guoan,"2022-2023, 2023-2025"
Chiming Zhang,Beijing Guoan,2015-2018
Yunlong Xu,Beijing Guoan,2000-2017
Hao Fang,Beijing Guoan,2023-2025
Emil Martínez,Beijing Guoan,2009-2009
Guga,Beijing Guoan,2024-2025
Zhizhao Chen,Beijing Guoan,2014-2016
Reinaldo,Beijing Guoan,2012-2013
Lei Li,Beijing Guoan,"2015-2022, 2023-2025"
Bowen Huang,Beijing Guoan,2004-2011
Dun Ba,Beijing Guoan,"2014-2015, 2015-2016, 2016-2021, 2021-2022"
Tenglong Lei,Beijing Guoan,"2011-2013, 2014-2020"
Zheng Lang,Beijing Guoan,"2011-2015, 2016-2017"
Souza,Beijing Guoan,2023-2024
Roberto,Beijing Guoan,2011-2011
Fernando,Beijing Guoan,"2019-2019, 2020-2021"
Tianyi Gao,Beijing Guoan,2021-2024
Shihao Wei,Beijing Guoan,2018-2019
Samir Memisevic,Beijing Guoan,2022-2022
Michael Ngadeu,Beijing Guoan,2023-2025
John Hou Saeter,Beijing Guoan,2019-2023
Zhongguo Chi,Beijing Guoan,2018-2025
Dae-sung Ha,Beijing Guoan,2014-2016
Gang Wang,Beijing Guoan,2019-2025
Boxuan Song,Beijing Guoan,2014-2018
Hao Wang,Beijing Guoan,2012-2016
Nico Yennaris,Beijing Guoan,"2019-2022, 2023-2025"
Darko Matic,Beijing Guoan,2009-2016
Mingyang Du,Beijing Guoan,"2013-2015, 2016-2018, 2018-2019"
Andrija Kaludjerovic,Beijing Guoan,"2012-2012, 2013-2013, 2013-2014, 2014-2014"
André Lima,Beijing Guoan,"2013-2013, 2014-2014"
Hui Guo,Beijing Guoan,
Anderson Silva,Beijing Guoan,2021-2022
Xiaobin Zhang,Beijing Guoan,"2012-2015, 2015-2018"
Nebijan Muhmet,Beijing Guoan,2022-2025
Ladji Keita,Beijing Guoan,2011-2011
Yang Bai,Beijing Guoan,2021-2025
Chen Yang,Beijing Guoan,"1994-1998, 1998-1998, 1999-1999"
Dezhi Duan,Beijing Guoan,"2023-2024, 2024-2025"
Wenhao Jiang,Beijing Guoan,"2021-2022, 2022-2024, 2024-2025"
Valdo,Beijing Guoan,2010-2010
Marko Dabro,Beijing Guoan,"2022-2023, 2023-2024"
Hanbo Li,Beijing Guoan,2011-2018
Mo Ross,Beijing Guoan,2010-2011
Yupeng He,Beijing Guoan,2024-2025
Shaowen Liang,Beijing Guoan,"2019-2020, 2021-2024, 2024-2025"
Miodrag Pantelic,Beijing Guoan,2007-2007
Igor Sergeev,Beijing Guoan,2016-2016
Guobo Liu,Beijing Guoan,"2018-2023, 2023-2023"
Yuan Zhang,Beijing Guoan,2023-2025
Dongliang Sui,Beijing Guoan,2004-2009
Shuai Zhang,Beijing Guoan,
Huan Liu,Beijing Guoan,"2018-2020, 2020-2023"
Ralf,Beijing Guoan,2016-2018
Egor Krimets,Beijing Guoan,"2013-2013, 2016-2017"
Yifan Zhu,Beijing Guoan,"2008-2013, 2013-2014"
Taiyan Jin,Beijing Guoan,2017-2023
Yonghai Zhang,Beijing Guoan,"2007-2012, 2012-2013, 2013-2014, 2014-2014"
Hejing Zhao,Beijing Guoan,2014-2018
