name,club,periods
Felipe Silva,Chengdu Rongcheng,2021-2025
Rômulo,Chengdu Rongcheng,2021-2025
Xiaolei Ma,Chengdu Rongcheng,"2018-2021, 2021-2021, 2021-2022, 2022-2023"
Leonardo,Chengdu Rongcheng,2020-2022
Tim Chow,Chengdu Rongcheng,2022-2025
Ruofan Liu,Chengdu Rongcheng,2021-2021
Mingtian Hu,Chengdu Rongcheng,"2018-2022, 2022-2023, 2023-2023, 2023-2024"
Guichao Wu,Chengdu Rongcheng,2020-2024
Min-woo Kim,Chengdu Rongcheng,2022-2024
Manuel Palacios,Chengdu Rongcheng,2023-2025
Elkeson,Chengdu Rongcheng,2023-2024
Shihao Wei,Chengdu Rongcheng,2024-2025
Tao Liu,Chengdu Rongcheng,2019-2025
Zhuoyi Feng,Chengdu Rongcheng,2020-2025
Rui Gan,Chengdu Rongcheng,2018-2024
Mutallep Iminqari,Chengdu Rongcheng,2022-2025
Chuang Tang,Chengdu Rongcheng,2023-2025
Chao Gan,Chengdu Rongcheng,"2021-2021, 2022-2025"
Junchen Gou,Chengdu Rongcheng,2021-2024
Baixu Xiang,Chengdu Rongcheng,2021-2023
Tianbao Cao,Chengdu Rongcheng,2018-2021
Andrigo,Chengdu Rongcheng,"2023-2024, 2024-2025"
Chaolong Wang,Chengdu Rongcheng,"2019-2021, 2021-2022, 2022-2023"
Miao Tang,Chengdu Rongcheng,"2018-2022, 2022-2023"
Ruibao Hu,Chengdu Rongcheng,2022-2024
Dani Quintana,Chengdu Rongcheng,2020-2021
Yongfa Hu,Chengdu Rongcheng,"2020-2022, 2022-2023"
Matheus Saldanha,Chengdu Rongcheng,2022-2022
Junjie Meng,Chengdu Rongcheng,2021-2023
Hetao Hu,Chengdu Rongcheng,2022-2025
Bin Liu,Chengdu Rongcheng,2021-2024
Guanghui Han,Chengdu Rongcheng,"2021-2023, 2023-2024"
Miao Tang,Chengdu Rongcheng,2023-2025
Richard Windbichler,Chengdu Rongcheng,2022-2024
Timo Letschert,Chengdu Rongcheng,2024-2025
Nikola Djurdjic,Chengdu Rongcheng,"2020-2021, 2021-2021"
Lei Wu,Chengdu Rongcheng,2024-2025
Xiaolong Wang,Chengdu Rongcheng,2020-2021
Zhuangfei Wu,Chengdu Rongcheng,2019-2020
Dinghao Yan,Chengdu Rongcheng,2024-2025
Hanlin Wang,Chengdu Rongcheng,2019-2023
Yahav Gurfinkel,Chengdu Rongcheng,2024-2025
Chaoyang Liu,Chengdu Rongcheng,2021-2021
Yiming Yang,Chengdu Rongcheng,2023-2025
Yang Li,Chengdu Rongcheng,2024-2025
Jing Hu,Chengdu Rongcheng,2022-2024
Xin Tang,Chengdu Rongcheng,2021-2025
Xin He,Chengdu Rongcheng,"2021-2022, 2022-2023"
Yanfeng Dong,Chengdu Rongcheng,2023-2025
Murahmetjan Muzepper,Chengdu Rongcheng,2024-2025
Chao Huang,Chengdu Rongcheng,2018-2020
Xiao Zhang,Chengdu Rongcheng,2019-2021
Pengfei Han,Chengdu Rongcheng,2025-2025
Ming-Yang Yang,Chengdu Rongcheng,2025-2025
Yu Xing,Chengdu Rongcheng,"2021-2023, 2023-2024"
Weifeng Ran,Chengdu Rongcheng,"2022-2024, 2024-2025"
Rongxiang Liao,Chengdu Rongcheng,2023-2025
Issa Kallon,Chengdu Rongcheng,2025-2025
Zihong Fang,Chengdu Rongcheng,"2019-2021, 2021-2022"
Johnathan,Chengdu Rongcheng,"2021-2021, 2021-2022"
Shuai Shao,Chengdu Rongcheng,2018-2020
Yi'nuo Zhang,Chengdu Rongcheng,2020-2022
Moyu Li,Chengdu Rongcheng,2025-2025
Yunyi Zhou,Chengdu Rongcheng,
Zetao Luo,Chengdu Rongcheng,2019-2019
Dianzuo Liu,Chengdu Rongcheng,2025-2025
Jiulong Gao,Chengdu Rongcheng,2018-2019
Wenhao Dai,Chengdu Rongcheng,2023-2024
Guoliang Chen,Chengdu Rongcheng,2024-2025
Zhong Cheng,Chengdu Rongcheng,2018-2019
Hao Wang,Chengdu Rongcheng,
Weijie Ying,Chengdu Rongcheng,
Hongxiao Hu,Chengdu Rongcheng,
Yuan Zhuang,Chengdu Rongcheng,2019-2020
Yitao Zhang,Chengdu Rongcheng,
Ji Ren,Chengdu Rongcheng,
Pedro Delgado,Chengdu Rongcheng,2025-2025
Ting Yang,Chengdu Rongcheng,"2021-2023, 2023-2024"
Zexiang Yang,Chengdu Rongcheng,2021-2021
Hankui Gong,Chengdu Rongcheng,"2019-2021, 2021-2022, 2022-2023, 2023-2024"
Tao Jian,Chengdu Rongcheng,2023-2025
Yu Liu,Chengdu Rongcheng,2019-2022
Shi Li,Chengdu Rongcheng,"2018-2021, 2021-2022"
Shipeng Yan,Chengdu Rongcheng,2019-2021
Yang He,Chengdu Rongcheng,2018-2021
Shuai Yang,Chengdu Rongcheng,2024-2025
Junlin Min,Chengdu Rongcheng,"2021-2023, 2023-2024"
Shanglin Li,Chengdu Rongcheng,"2019-2021, 2021-2022, 2022-2023"
Xiaofeng Geng,Chengdu Rongcheng,2022-2025
Yan Zhang,Chengdu Rongcheng,2021-2025
Chen Yang,Chengdu Rongcheng,2019-2021
Xuan Han,Chengdu Rongcheng,"2021-2022, 2022-2023, 2023-2024"
Xingyu Hu,Chengdu Rongcheng,2022-2023
Abduhamit Abdugheni,Chengdu Rongcheng,2022-2023
Jianbin Li,Chengdu Rongcheng,2021-2023
Xin Luo,Chengdu Rongcheng,
Jinzhao Chu,Chengdu Rongcheng,2020-2021
