name,club,periods
Xuebin Zhao,Dalian Yingbo,2023-2025
Peng Yan,Dalian Yingbo,2022-2025
Andrej Kotnik,Dalian Yingbo,2024-2024
Fernando Karanga,Dalian Yingbo,2024-2025
Pengyu Zhu,Dalian Yingbo,2024-2025
Bo Sun,Dalian Yingbo,2023-2025
Zhuoyi Lü,Dalian Yingbo,2024-2025
Yu Fei,Dalian Yingbo,2024-2025
Xuanhong Wang,Dalian Yingbo,2022-2025
Xiangchuang Yan,Dalian Yingbo,2024-2025
Zhenxian Zheng,Dalian Yingbo,2023-2024
Zhengyu Ji,Dalian Yingbo,2022-2024
Yuxiang Ge,Dalian Yingbo,2022-2024
Hao Yuan,Dalian Yingbo,"2022-2024, 2024-2025"
Zhen Cong,Dalian Yingbo,2023-2024
Mingjian Zhao,Dalian Yingbo,2024-2024
Hongda Lu,Dalian Yingbo,2023-2024
Shengbo Wang,Dalian Yingbo,
Zhen Li,Dalian Yingbo,"2023-2024, 2024-2025"
Robson,Dalian Yingbo,2024-2025
Zhongkai Cui,Dalian Yingbo,2022-2025
Xiaoqiang He,Dalian Yingbo,2024-2024
Qiang Jin,Dalian Yingbo,2023-2024
Shixin Wang,Dalian Yingbo,2024-2025
Zakaria Labyad,Dalian Yingbo,2025-2025
Jiabao Wen,Dalian Yingbo,2025-2025
Yunchao Jin,Dalian Yingbo,
Junhao Zeng,Dalian Yingbo,
Zhurun Liu,Dalian Yingbo,2025-2025
Qi Cui,Dalian Yingbo,2025-2025
Xinze Wu,Dalian Yingbo,2024-2024
Isnik Alimi,Dalian Yingbo,2025-2025
Jintao Liao,Dalian Yingbo,2025-2025
Mamadou Traoré,Dalian Yingbo,2025-2025
Yi Liu,Dalian Yingbo,2025-2025
Yang Liu,Dalian Yingbo,2023-2024
Cephas Malele,Dalian Yingbo,2025-2025
Tengda Wang,Dalian Yingbo,2024-2025
Yue Song,Dalian Yingbo,2025-2025
Geping Qu,Dalian Yingbo,2024-2025
Zhen Zhang,Dalian Yingbo,2022-2025
José Embaló,Dalian Yingbo,2024-2024
Muzapar Obuqasym,Dalian Yingbo,
Xu Han,Dalian Yingbo,2022-2024
Shan Huang,Dalian Yingbo,2024-2025
Oliver Gerbig,Dalian Yingbo,2024-2024
Peng Lü,Dalian Yingbo,2024-2025
Hongjiang Zhang,Dalian Yingbo,2023-2024
Pengxiang Jin,Dalian Yingbo,2024-2025
Lu Yin,Dalian Yingbo,2022-2024
Weijie Sui,Dalian Yingbo,2024-2025
Yifan Tian,Dalian Yingbo,"2023-2024, 2024-2025"
Mingrui Yang,Dalian Yingbo,2024-2025
