rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Long Tan,谭龙,219,79,28,17.072,2017-2025,Tan,11,14,0,Changchun Yatai,Attack - Centre-Forward,"1,85 m",China,cn,https://www.transfermarkt.us/long-tan/profil/spieler/158315,https://img.a.transfermarkt.technology/portrait/small/158315-1583261521.jpg?lm=1,,01.04.1988,"Dalian, Liaoning",Changchun Yatai
2,Odion Ighalo,Odion Jude Ighalo,55,36,8,4.837,2017-2019,Ighalo,9,6,0,Changchun Yatai,Attack - Centre-Forward,"1,81 m",Nigeria,ng,https://www.transfermarkt.us/odion-ighalo/profil/spieler/62121,https://img.a.transfermarkt.technology/portrait/small/62121-1681407481.jpg?lm=1,,16.06.1989,Lagos,Al-Wehda FC
3,Zhenyu Du,杜震宇,171,30,38,12.054,"2012-2013, 2015-2018",Du,-,37,1,Changchun Yatai,Midfield - Left Midfield,"1,75 m",China,cn,https://www.transfermarkt.us/zhenyu-du/profil/spieler/147772,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,,10.02.1983,Shenyang,Retired
4,Serginho,Unknown,100,30,23,7.991,2020-2025,Unknown,Unknown,2,0,Changchun Yatai,Unknown,Unknown,China,cn,https://www.transfermarkt.us/serginho/profil/spieler/329013,https://img.a.transfermarkt.technology/portrait/small/329013-1568203385.png?lm=1,,15.03.1995,Unknown,Beijing Guoan
5,Júnior Negrão,Unknown,39,23,1,2.72,,Júnior Negrão,Unknown,1,0,Changchun Yatai,Attack - Centre-Forward,"1,88 m",Brazil,br,https://www.transfermarkt.us/junior-negrao/profil/spieler/52790,https://img.a.transfermarkt.technology/portrait/small/52790-1589992734.jpg?lm=1,,30.12.1986,Salvador,Shenzhen Peng City Reserves
6,Marcelo Moreno,Marcelo Moreno Martins,53,22,8,4.74,2015-2017,Moreno,9,9,0,Changchun Yatai,Attack - Centre-Forward,"1,83 m",Bolivia,bo,https://www.transfermarkt.us/marcelo-moreno/profil/spieler/54162,https://img.a.transfermarkt.technology/portrait/small/54162-1487064845.jpg?lm=1,,18.06.1987,Santa Cruz de la Sierra,Retired
7,Dong Wang,王栋,127,22,15,10.49,"2001-2013, 2013-2014",Wang,-,22,0,Changchun Yatai,Midfield - Central Midfield,"1,80 m",China,cn,https://www.transfermarkt.us/dong-wang/profil/spieler/63539,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,,10.09.1981,Qingdao,Retired
8,Wenzhao Zhang,张文钊,132,19,12,10.23,2009-2014,Zhang,-,22,0,Changchun Yatai,Midfield - Right Midfield,"1,78 m",China,cn,https://www.transfermarkt.us/wenzhao-zhang/profil/spieler/147837,https://img.a.transfermarkt.technology/portrait/small/147837-1488975722.jpg?lm=1,,28.05.1987,Anshan,Without Club
9,Tianbao Cao,曹添堡,144,17,12,8.876,2011-2015,Cao,-,8,0,Changchun Yatai,Attack - Centre-Forward,"1,85 m",China,cn,https://www.transfermarkt.us/tianbao-cao/profil/spieler/147765,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,,03.04.1982,Shenyang,Changchun Shenhuá
10,Erik,Unknown,50,16,10,4.117,2021-2023,Erik,-,4,0,Changchun Yatai,Attack - Right Winger,"1,70 m",Brazil,br,https://www.transfermarkt.us/erik/profil/spieler/262016,https://img.a.transfermarkt.technology/portrait/small/262016-1489053815.jpg?lm=1,,18.07.1994,Nova Repartimento,Vissel Kobe
11,Richairo Zivkovic,"Richairo Juliano Živković , Ришарио Живковић",31,15,3,2.365,"2019-2020, 2020-2020, 2020-2021",Zivkovic,11,5,0,Changchun Yatai,Attack - Left Winger,"1,87 m",Curacao,unknown,https://www.transfermarkt.us/richairo-zivkovic/profil/spieler/252755,https://img.a.transfermarkt.technology/portrait/small/252755-1658760725.jpg?lm=1,,05.09.1996,Assen,True Bangkok United
12,Elvis Scott,Elvis Geovany Scott Ruiz,40,15,3,2.482,"2006-2008, 2009-2010",Scott,-,2,0,Changchun Yatai,Attack - Centre-Forward,"1,82 m",Honduras,hn,https://www.transfermarkt.us/elvis-scott/profil/spieler/62273,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,,01.08.1978,Puerto Cortés,Retired
13,Anzur Ismoilov,Исмоилов Анзур Ҳусанович,197,15,5,17.545,2011-2018,Ismoilov,5,28,1,Changchun Yatai,Defender - Centre-Back,"1,90 m",Uzbekistan,uz,https://www.transfermarkt.us/anzur-ismoilov/profil/spieler/86710,https://img.a.transfermarkt.technology/portrait/small/86710-1726738080.png?lm=1,,21.04.1985,Tashkent,Lokomotiv Tashkent
14,Robert Beric,Robert Berić,31,14,6,2.566,2024-2025,Beric,19,0,0,Changchun Yatai,Attack - Centre-Forward,"1,88 m",Slovenia,si,https://www.transfermarkt.us/robert-beric/profil/spieler/91415,https://img.a.transfermarkt.technology/portrait/small/91415-1583439126.jpg?lm=1,,17.06.1991,Krsko,Changchun Yatai
15,Szabolcs Huszti,Unknown,55,13,15,4.63,"2014-2016, 2017-2018",Huszti,11,16,0,Changchun Yatai,Midfield - Left Midfield,"1,73 m",Hungary,hu,https://www.transfermarkt.us/szabolcs-huszti/profil/spieler/18331,https://img.a.transfermarkt.technology/portrait/small/18331-1570647886.jpg?lm=1,,18.04.1983,Miskolc,Retired
16,Weidong Liu,刘卫东,123,12,3,5.753,2015-2016,Liu,Unknown,12,0,Changchun Yatai,Midfield - Left Midfield,"1,78 m",China,cn,https://www.transfermarkt.us/weidong-liu/profil/spieler/147789,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,,29.01.1987,Changchun,Retired
17,Peter Zulj,Peter Žulj,62,12,20,5.24,,Zulj,18,10,1,Changchun Yatai,Midfield - Central Midfield,"1,85 m",Austria,at,https://www.transfermarkt.us/peter-zulj/profil/spieler/128105,https://img.a.transfermarkt.technology/portrait/small/128105-1610388892.jpeg?lm=1,,09.06.1993,Wels,Buriram United
18,Guillaume Dah Zadi,Unknown,26,12,1,2.075,2007-2010,Dah Zadi,-,1,0,Changchun Yatai,Attack - Centre-Forward,Unknown,Cote d'Ivoire,unknown,https://www.transfermarkt.us/guillaume-dah-zadi/profil/spieler/34804,https://img.a.transfermarkt.technology/portrait/small/34804-1672251241.png?lm=1,,01.01.1978,Unknown,Retired
19,Ricardo Steer,Edder Ricardo Steer Lara,43,12,1,2.425,,Steer,Unknown,4,0,Changchun Yatai,Attack - Centre-Forward,"1,85 m",Colombia,co,https://www.transfermarkt.us/ricardo-steer/profil/spieler/90851,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,,08.06.1982,Valledupar,Retired
20,Léo,Unknown,13,11,4,986.0,,Léo,Unknown,2,0,Changchun Yatai,Attack - Centre-Forward,"1,80 m",Brazil,br,https://www.transfermarkt.us/leotm/profil/spieler/546292,https://img.a.transfermarkt.technology/portrait/small/546292-1669144901.jpg?lm=1,,28.05.1997,Sorocaba,Shanghai Port
