rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Peng Han,韩鹏,215,72,13,13.628,,Han,9,30,0,Shandong Taishan,Attack - Centre-Forward,"1,88 m",China,cn,https://www.transfermarkt.us/peng-han/profil/spieler/50489,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,,13.09.1983,"Ji‘nan, Shandong",Retired
2,Cryzan,Unknown,102,66,25,7.831,2022-2025,Cryzan,Unknown,18,2,Shandong Taishan,Attack - Centre-Forward,"1,90 m",Brazil,br,https://www.transfermarkt.us/cryzan/profil/spieler/373300,https://img.a.transfermarkt.technology/portrait/small/373300-1520764732.jpg?lm=1,,07.07.1996,Sud Menucci,Shandong Taishan
3,Graziano Pellè,Unknown,133,63,24,10.969,2016-2021,Pellè,17,19,0,Shandong Taishan,Attack - Centre-Forward,"1,94 m",Italy,it,https://www.transfermarkt.us/graziano-pelle/profil/spieler/29594,https://img.a.transfermarkt.technology/portrait/small/29594-1609843452.jpg?lm=1,,15.07.1985,San Cesario di Lecce,Retired
4,Yongpo Wang,王永珀,234,53,35,15.284,2004-2017,Wang,27,32,1,Shandong Taishan,Midfield - Attacking Midfield,"1,76 m",China,cn,https://www.transfermarkt.us/yongpo-wang/profil/spieler/50536,https://img.a.transfermarkt.technology/portrait/small/50536-1488278165.jpg?lm=1,,19.01.1987,Qingdao,Without Club
5,Diego Tardelli,Unknown,98,51,26,7.921,"2015-2016, 2017-2019",Diego Tardelli,7,11,0,Shandong Taishan,Attack - Centre-Forward,"1,78 m",Brazil,br,https://www.transfermarkt.us/diego-tardelli/profil/spieler/37536,https://img.a.transfermarkt.technology/portrait/small/37536-1413038743.jpg?lm=1,,10.05.1985,Santa Bárbara d'Oeste,Retired
6,Marouane Fellaini,Marouane Fellaini-Bakkioui,141,50,14,10.349,2019-2024,Fellaini,8,21,1,Shandong Taishan,Midfield - Central Midfield,"1,94 m",Belgium,be,https://www.transfermarkt.us/marouane-fellaini/profil/spieler/39679,https://img.a.transfermarkt.technology/portrait/small/39679-1549036391.jpg?lm=1,,22.11.1987,Etterbeek,Retired
7,Aloísio,洛国富,85,41,12,5.793,2014-2016,Aloísio,18,8,0,Shandong Taishan,Attack - Centre-Forward,"1,70 m",China,cn,https://www.transfermarkt.us/aloisio/profil/spieler/55246,https://img.a.transfermarkt.technology/portrait/small/55246-1682804361.jpg?lm=1,,19.06.1988,Araranguá,Retired
8,Roda Antar,"رضا عنتر, Roda Abdelhassan Antar",145,34,6,12.627,2009-2014,Antar,20,26,0,Shandong Taishan,Midfield - Defensive Midfield,,Lebanon,lb,https://www.transfermarkt.us/roda-antar/profil/spieler/1369,https://img.a.transfermarkt.technology/portrait/small/1369-1520602092.jpg?lm=1,,12.09.1980,Freetown,Retired
9,Moisés,Unknown,118,33,40,9.048,2019-2024,Moisés,Unknown,14,1,Shandong Taishan,Midfield - Central Midfield,"1,84 m",Brazil,br,https://www.transfermarkt.us/moises/profil/spieler/128822,https://img.a.transfermarkt.technology/portrait/small/128822-1512665744.jpg?lm=1,,17.03.1988,Belo Horizonte,Retired
10,Binbin Liu,刘彬彬,295,32,46,15.661,2012-2025,Liu,21,19,0,Shandong Taishan,Attack - Left Winger,"1,72 m",China,cn,https://www.transfermarkt.us/binbin-liu/profil/spieler/218268,https://img.a.transfermarkt.technology/portrait/small/218268-1564660386.jpg?lm=1,,16.06.1993,Meixian,Shandong Taishan
11,Vágner Love,Unknown,43,28,12,3.57,2013-2015,Vágner Love,9,12,0,Shandong Taishan,Attack - Centre-Forward,"1,72 m",Brazil,br,https://www.transfermarkt.us/vagner-love/profil/spieler/18829,https://img.a.transfermarkt.technology/portrait/small/18829-1588240175.jpg?lm=1,,11.06.1984,Rio de Janeiro,Avaí FC
12,Zheng Lü,吕征,162,27,18,9.401,,Lü,-,17,1,Shandong Taishan,Attack - Right Winger,"1,82 m",China,cn,https://www.transfermarkt.us/zheng-lu/profil/spieler/50540,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,,25.02.1985,Peking,Retired
13,Róger Guedes,Unknown,53,27,10,4.305,2018-2021,Róger Guedes,Unknown,5,0,Shandong Taishan,Attack - Second Striker,"1,82 m",Brazil,br,https://www.transfermarkt.us/roger-guedes/profil/spieler/348263,https://img.a.transfermarkt.technology/portrait/small/348263-1740665203.jpg?lm=1,,02.10.1996,Ibirubá,Al-Rayyan SC
14,Jinyu Li,李金羽,73,27,4,4.602,2004-2011,Li,-,13,0,Shandong Taishan,Attack - Centre-Forward,"1,80 m",China,cn,https://www.transfermarkt.us/jinyu-li/profil/spieler/50501,https://img.a.transfermarkt.technology/portrait/small/50501-1647002735.jpg?lm=1,,06.07.1977,"Shenyang, Liaoning",Retired
15,Xu Yang,杨旭,95,26,14,6.072,"2013-2014, 2014-2017, 2017-2018",Yang,9,14,0,Shandong Taishan,Attack - Centre-Forward,"1,88 m",China,cn,https://www.transfermarkt.us/xu-yang/profil/spieler/140382,https://img.a.transfermarkt.technology/portrait/small/140382-1566213946.jpg?lm=1,,12.02.1988,Dalian,Retired
16,Pu Chen,陈蒲,107,23,12,6.024,"2019-2020, 2020-2021, 2021-2025",Chen,21,9,0,Shandong Taishan,Attack - Left Winger,"1,75 m",China,cn,https://www.transfermarkt.us/pu-chen/profil/spieler/376597,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,,15.01.1997,Chongqing,Shandong Taishan
17,Walter Montillo,Walter Damián Montillo,96,21,22,6.85,2014-2017,Montillo,-,8,0,Shandong Taishan,Midfield - Attacking Midfield,"1,70 m",Argentina,ar,https://www.transfermarkt.us/walter-montillo/profil/spieler/19984,https://img.a.transfermarkt.technology/portrait/small/19984-1484240057.jpg?lm=1,,14.04.1984,Lanús,Retired
18,Xinghan Wu,吴兴涵,266,21,32,15.363,"2012-2023, 2024-2025",Wu,17,30,0,Shandong Taishan,Defender - Left-Back,"1,83 m",China,cn,https://www.transfermarkt.us/xinghan-wu/profil/spieler/221670,https://img.a.transfermarkt.technology/portrait/small/221670-1564660327.jpg?lm=1,,24.02.1993,Tianjin,Shandong Taishan
19,Jingdao Jin,金敬道,222,20,31,15.566,2013-2023,Jin,16,35,0,Shandong Taishan,Midfield - Central Midfield,"1,70 m",China,cn,https://www.transfermarkt.us/jingdao-jin/profil/spieler/198438,https://img.a.transfermarkt.technology/portrait/small/198438-1564659839.jpg?lm=1,,18.11.1992,Yanbian,Retired
20,Papiss Demba Cissé,Unknown,34,18,0,2.529,2016-2018,Cissé,15,1,0,Shandong Taishan,Attack - Centre-Forward,"1,80 m",Senegal,sn,https://www.transfermarkt.us/papiss-demba-cisse/profil/spieler/33952,https://img.a.transfermarkt.technology/portrait/small/33952-1603566371.jpeg?lm=1,,03.06.1985,Dakar,Al-Qabila FC
21,Tianyu Guo,郭田雨,68,18,5,3.334,"2019-2019, 2019-2022, 2022-2023",Guo,16,6,0,Shandong Taishan,Attack - Centre-Forward,"1,92 m",China,cn,https://www.transfermarkt.us/tianyu-guo/profil/spieler/424769,https://img.a.transfermarkt.technology/portrait/small/424769-1618990068.jpg?lm=1,,05.03.1999,Unknown,Singha Chiangrai United
22,Júnior Urso,Unknown,72,16,7,6.173,"2014-2016, 2016-2017",Júnior Urso,Unknown,10,0,Shandong Taishan,Midfield - Central Midfield,"1,81 m",Brazil,br,https://www.transfermarkt.us/junior-urso/profil/spieler/144789,https://img.a.transfermarkt.technology/portrait/small/144789-1740864285.jpg?lm=1,,10.03.1989,Taboão da Serra,Houston Dynamo FC
23,Pedro Delgado,"Pedro Miguel Gomes Delgado, 德尔加多",59,16,5,2.42,"2019-2020, 2020-2020, 2021-2022, 2022-2023, 2024-2025, 2025-2025",Delgado,18,7,0,Shandong Taishan,Midfield - Attacking Midfield,"1,88 m",Portugal,pt,https://www.transfermarkt.us/pedro-delgado/profil/spieler/258021,https://img.a.transfermarkt.technology/portrait/small/258021-1564659933.jpg?lm=1,,07.04.1997,Portimão,Chengdu Rongcheng
24,Zheng Zheng,郑铮,429,15,20,35.154,2008-2025,Zheng,2,70,1,Shandong Taishan,Defender - Left-Back,"1,85 m",China,cn,https://www.transfermarkt.us/zheng-zheng/profil/spieler/148011,https://img.a.transfermarkt.technology/portrait/small/148011-1564578979.jpg?lm=1,,11.07.1989,Jinan,Shandong Taishan
25,Obina,Unknown,44,14,2,2.405,"2011-2012, 2012-2013, 2013-2014",Obina,Unknown,6,0,Shandong Taishan,Attack - Centre-Forward,"1,83 m",Brazil,br,https://www.transfermarkt.us/obina/profil/spieler/53076,https://img.a.transfermarkt.technology/portrait/small/53076-1628638813.jpg?lm=1,,31.01.1983,Vera Cruz,Retired
26,Jadson,Jadson Cristiano Silva de Morais,76,14,3,5.517,"2021-2022, 2022-2025",Jadson,Unknown,16,2,Shandong Taishan,Defender - Centre-Back,"1,89 m",Brazil,br,https://www.transfermarkt.us/jadson/profil/spieler/388588,https://img.a.transfermarkt.technology/portrait/small/388588-1510158109.jpg?lm=1,,05.11.1991,Rio de Janeiro,Without Club
27,Valeri Qazaishvili,ვალერი ყაზაიშვილი,48,13,14,3.628,,Qazaishvili,8,3,0,Shandong Taishan,Attack - Left Winger,"1,74 m",Georgia,ge,https://www.transfermarkt.us/valeri-qazaishvili/profil/spieler/156115,https://img.a.transfermarkt.technology/portrait/small/156115-1584131710.JPG?lm=1,,29.01.1993,Ozurgeti,Shandong Taishan
28,Gilberto Macena,Gilberto Macedo da Macena,58,13,13,4.102,2012-2014,Macena,Unknown,3,0,Shandong Taishan,Attack - Right Winger,"1,74 m",Brazil,br,https://www.transfermarkt.us/gilberto-macena/profil/spieler/41022,https://img.a.transfermarkt.technology/portrait/small/41022-1485029328.jpg?lm=1,,01.04.1984,Rio de Janeiro,Rasisalai United
29,Junmin Hao,蒿俊闵,277,12,50,21.296,2011-2021,Hao,8,13,0,Shandong Taishan,Midfield - Central Midfield,"1,81 m",China,cn,https://www.transfermarkt.us/junmin-hao/profil/spieler/63549,https://img.a.transfermarkt.technology/portrait/small/63549-1564660064.jpg?lm=1,,24.03.1987,Wuhan,Without Club
30,Haibin Zhou,周海滨,174,12,13,11.607,"2003-2009, 2010-2013, 2013-2014, 2017-2020",Zhou,6,22,0,Shandong Taishan,Midfield - Defensive Midfield,"1,83 m",China,cn,https://www.transfermarkt.us/haibin-zhou/profil/spieler/50496,https://img.a.transfermarkt.technology/portrait/small/50496-1564581764.jpg?lm=1,,19.07.1985,"Dalian, Liaoning",Retired
31,Yang Liu,刘洋,209,11,11,14.142,2016-2025,Liu,-,17,1,Shandong Taishan,Defender - Left-Back,"1,84 m",China,cn,https://www.transfermarkt.us/yang-liu/profil/spieler/316041,https://img.a.transfermarkt.technology/portrait/small/316041-1564579054.jpg?lm=1,,17.06.1995,"Qingdao, Shandong",Shandong Taishan
32,Gil,Unknown,134,11,4,12.0,2016-2019,Gil,4,9,0,Shandong Taishan,Defender - Centre-Back,"1,92 m",Brazil,br,https://www.transfermarkt.us/giltm/profil/spieler/101469,https://img.a.transfermarkt.technology/portrait/small/101469-1523621399.jpg?lm=1,,12.06.1987,Campos dos Goytacazes,Santos FC
33,Chi Zhang,张弛,228,11,17,13.159,,Zhang,Unknown,30,0,Shandong Taishan,Midfield - Right Midfield,"1,82 m",China,cn,https://www.transfermarkt.us/chi-zhang/profil/spieler/148009,https://img.a.transfermarkt.technology/portrait/small/148009-1564660166.jpg?lm=1,,08.07.1987,"Jinan, Shandong",Shandong Taishan
34,Aleksandar Zivkovic,Aleksandar Živković,54,10,21,4.795,2006-2010,Zivkovic,-,15,1,Shandong Taishan,Midfield - Central Midfield,"1,78 m",Serbia,rs,https://www.transfermarkt.us/aleksandar-zivkovic/profil/spieler/28708,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,,28.07.1977,Niš,Retired
35,Wenneng Xie,谢文能,52,9,4,2.634,"2021-2021, 2021-2022, 2022-2025",Xie,7,13,0,Shandong Taishan,Attack - Right Winger,"1,75 m",China,cn,https://www.transfermarkt.us/wenneng-xie/profil/spieler/824087,https://img.a.transfermarkt.technology/portrait/small/824087-1729003567.jpg?lm=1,,06.02.2001,Unknown,Shandong Taishan
36,Wenzhao Zhang,张文钊,77,9,5,3.397,2014-2016,Zhang,-,7,0,Shandong Taishan,Midfield - Right Midfield,"1,78 m",China,cn,https://www.transfermarkt.us/wenzhao-zhang/profil/spieler/147837,https://img.a.transfermarkt.technology/portrait/small/147837-1488975722.jpg?lm=1,,28.05.1987,Anshan,Without Club
37,Liuyu Duan,段刘愚,85,9,11,4.385,"2018-2023, 2023-2024, 2024-2025, 2025-2025",Duan,-,4,0,Shandong Taishan,Midfield - Attacking Midfield,"1,76 m",China,cn,https://www.transfermarkt.us/liuyu-duan/profil/spieler/571342,https://img.a.transfermarkt.technology/portrait/small/571342-1598427369.jpg?lm=1,,24.07.1998,"Chengdu, Sichuan",Qingdao West Coast
38,Wei Li,李微,135,8,2,6.77,2013-2019,Li,Unknown,15,1,Shandong Taishan,Midfield - Defensive Midfield,"1,80 m",China,cn,https://www.transfermarkt.us/wei-li/profil/spieler/50529,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,,18.03.1985,Peking,Retired
39,Long Song,宋龙,123,8,5,9.311,"2016-2024, 2024-2025, 2025-2025",Song,Unknown,21,0,Shandong Taishan,Defender - Left-Back,"1,80 m",China,cn,https://www.transfermarkt.us/long-song/profil/spieler/211680,https://img.a.transfermarkt.technology/portrait/small/211680-1564579084.jpg?lm=1,,20.08.1989,Unknown,Qingdao Hainiu
40,Zhuoxiang Deng,邓卓翔,56,8,7,3.707,2010-2012,Deng,-,3,0,Shandong Taishan,Midfield - Attacking Midfield,"1,82 m",China,cn,https://www.transfermarkt.us/zhuoxiang-deng/profil/spieler/134429,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,,24.10.1988,Wuhan,Retired
41,Lisheng Liao,廖力生,77,7,7,4.832,2022-2025,Liao,16,11,0,Shandong Taishan,Midfield - Central Midfield,"1,80 m",China,cn,https://www.transfermarkt.us/lisheng-liao/profil/spieler/251910,https://img.a.transfermarkt.technology/portrait/small/251910-1566213321.jpg?lm=1,,29.04.1993,"Jieyang, Guangdong",Chengdu Rongcheng
42,Wei Du,杜威,54,7,4,4.658,2012-2015,Du,-,11,0,Shandong Taishan,Defender - Centre-Back,"1,87 m",China,cn,https://www.transfermarkt.us/wei-du/profil/spieler/34190,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,,09.02.1982,"Luoyang, Henan",Retired
43,Peng Cui,崔鹏,161,7,12,10.977,"2004-2014, 2014-2015, 2017-2020",Cui,7,31,1,Shandong Taishan,Midfield - Central Midfield,"1,77 m",China,cn,https://www.transfermarkt.us/peng-cui/profil/spieler/151457,https://img.a.transfermarkt.technology/portrait/small/151457-1564660104.jpg?lm=1,,31.05.1987,Dalian,Retired
44,Yuanyi Li,李源一,76,6,12,5.263,2023-2025,Li,11,18,0,Shandong Taishan,Midfield - Central Midfield,"1,83 m",China,cn,https://www.transfermarkt.us/yuanyi-li/profil/spieler/265712,https://img.a.transfermarkt.technology/portrait/small/265712-1566207324.jpg?lm=1,,28.08.1993,"Deyang, Sichuan",Shandong Taishan
