rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Fran Karacic,Fran Karačić,170,11,23,14.670,N/A,Karacic,-,28,1,NK Lokomotiva Zagreb,Defender - Right-Back,"1,85 m",Australia,au,https://www.transfermarkt.us/fran-karacic/profil/spieler/367795,https://img.a.transfermarkt.technology/portrait/small/367795-1613461062.jpg?lm=1,N/A,12.05.1996,Zagreb,NK Lokomotiva Zagreb
2,Karlo Brucic,Karlo Bručić,131,7,17,10.728,N/A,Brucic,16,15,0,NK Lokomotiva Zagreb,Defender - Centre-Back,"1,86 m",Croatia,hr,https://www.transfermarkt.us/karlo-brucic/profil/spieler/115447,https://img.a.transfermarkt.technology/portrait/small/115447-1661769543.jpg?lm=1,N/A,17.04.1992,Zagreb,Maccabi Bnei Reineh
3,Myrto Uzuni,Unknown,69,20,16,5.846,N/A,Uzuni,-,9,1,NK Lokomotiva Zagreb,Attack - Left Winger,"1,78 m",Albania,al,https://www.transfermarkt.us/myrto-uzuni/profil/spieler/315289,https://img.a.transfermarkt.technology/portrait/small/315289-1740778782.jpg?lm=1,N/A,31.05.1995,Berat,Austin FC
4,Lovro Majer,Unknown,62,18,16,4.736,N/A,Majer,10,12,0,NK Lokomotiva Zagreb,Midfield - Attacking Midfield,"1,78 m",Croatia,hr,https://www.transfermarkt.us/lovro-majer/profil/spieler/387106,https://img.a.transfermarkt.technology/portrait/small/387106-1695624038.jpg?lm=1,N/A,17.01.1998,Zagreb,VfL Wolfsburg
5,Ivan Milicevic,Ivan Milićević,82,2,14,6.289,N/A,Milicevic,6,9,0,NK Lokomotiva Zagreb,Defender - Left-Back,"1,83 m",Bosnia-Herzegovina,unknown,https://www.transfermarkt.us/ivan-milicevic/profil/spieler/466452,https://img.a.transfermarkt.technology/portrait/small/466452-1616334860.jpg?lm=1,N/A,16.07.1998,Split,Fehérvár FC
6,Damir Sovsic,Damir Šovšić,64,10,14,4.709,N/A,Sovsic,-,2,0,NK Lokomotiva Zagreb,Midfield - Attacking Midfield,"1,77 m",Croatia,hr,https://www.transfermarkt.us/damir-sovsic/profil/spieler/89594,https://img.a.transfermarkt.technology/portrait/small/89594-1668889377.png?lm=1,N/A,05.02.1990,Gorazde,TS Galaxy FC
7,Luka Ivanusec,Luka Ivanušec,92,10,13,7.416,N/A,Ivanusec,7,10,0,NK Lokomotiva Zagreb,Attack - Left Winger,"1,75 m",Croatia,hr,https://www.transfermarkt.us/luka-ivanusec/profil/spieler/387105,https://img.a.transfermarkt.technology/portrait/small/387105-1686815745.jpg?lm=1,N/A,26.11.1998,Varaždin,Feyenoord Rotterdam
8,Petar Misic,Petar Mišić,58,10,12,3.158,N/A,Misic,17,5,0,NK Lokomotiva Zagreb,Attack - Right Winger,"1,76 m",Croatia,hr,https://www.transfermarkt.us/petar-misic/profil/spieler/231215,https://img.a.transfermarkt.technology/portrait/small/231215-1736616863.jpg?lm=1,N/A,24.07.1994,Bruchsal,HNK Cibalia Vinkovci
9,Silvio Gorican,Silvio Goričan,124,17,12,8.069,N/A,Gorican,-,16,0,NK Lokomotiva Zagreb,Attack - Left Winger,"1,76 m",Croatia,hr,https://www.transfermarkt.us/silvio-gorican/profil/spieler/393825,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,27.02.2000,Zabok,NK Lokomotiva Zagreb
10,Karlo Bartolec,Unknown,108,0,12,9.266,N/A,Bartolec,22,13,1,NK Lokomotiva Zagreb,Defender - Right-Back,"1,78 m",Croatia,hr,https://www.transfermarkt.us/karlo-bartolec/profil/spieler/291947,https://img.a.transfermarkt.technology/portrait/small/291947-1723651457.png?lm=1,N/A,20.04.1995,Zagreb,FC Astana
11,Luka Stojkovic,Luka Stojković,70,7,11,3.616,N/A,Stojkovic,-,6,0,NK Lokomotiva Zagreb,Attack - Left Winger,"1,82 m",Croatia,hr,https://www.transfermarkt.us/luka-stojkovic/profil/spieler/665266,https://img.a.transfermarkt.technology/portrait/small/665266-1687344351.jpg?lm=1,N/A,28.10.2003,Zagreb,GNK Dinamo Zagreb
12,Branimir Cipetic,Branimir Cipetić,89,0,11,7.052,N/A,Cipetic,15,14,0,NK Lokomotiva Zagreb,Defender - Right-Back,"1,84 m",Bosnia-Herzegovina,unknown,https://www.transfermarkt.us/branimir-cipetic/profil/spieler/519782,https://img.a.transfermarkt.technology/portrait/small/519782-1614458126.jpeg?lm=1,N/A,24.05.1995,Split,Kisvárda FC
13,Lirim Kastrati,Lirim Kastrati,99,21,11,7.353,N/A,Kastrati,21,7,0,NK Lokomotiva Zagreb,Attack - Right Winger,"1,74 m",Kosovo,unknown,https://www.transfermarkt.us/lirim-kastrati/profil/spieler/531218,https://img.a.transfermarkt.technology/portrait/small/531218-1627914925.jpg?lm=1,N/A,16.01.1999,Ogošte / Hogosht,Fehérvár FC
14,Enis Cokaj,Enis Çokaj,102,5,11,7.878,N/A,Cokaj,8,31,0,NK Lokomotiva Zagreb,Midfield - Defensive Midfield,"1,82 m",Albania,al,https://www.transfermarkt.us/enis-cokaj/profil/spieler/644244,https://img.a.transfermarkt.technology/portrait/small/644244-1736713209.png?lm=1,N/A,23.02.1999,Koplik,APO Levadiakos
15,Indrit Tuci,Unknown,105,21,11,5.222,N/A,Tuci,9,13,0,NK Lokomotiva Zagreb,Attack - Centre-Forward,"1,91 m",Albania,al,https://www.transfermarkt.us/indrit-tuci/profil/spieler/675857,https://img.a.transfermarkt.technology/portrait/small/675857-1708671924.jpg?lm=1,N/A,14.09.2000,Lezhe,AC Sparta Prague
16,Josip Pivaric,Josip Pivarić,139,14,11,10.873,N/A,Pivaric,22,17,0,NK Lokomotiva Zagreb,Defender - Left-Back,"1,75 m",Croatia,hr,https://www.transfermarkt.us/josip-pivaric/profil/spieler/45826,https://img.a.transfermarkt.technology/portrait/small/45826-1523610127.jpg?lm=1,N/A,30.01.1989,Zagreb,Retired
17,Mario Musa,Unknown,145,10,11,11.060,N/A,Musa,3,27,1,NK Lokomotiva Zagreb,Defender - Left-Back,"1,83 m",Croatia,hr,https://www.transfermarkt.us/mario-musa/profil/spieler/86633,https://img.a.transfermarkt.technology/portrait/small/86633-1541542877.png?lm=1,N/A,06.07.1990,Zagreb,Without Club
18,Tomislav Martinac,Unknown,96,5,10,4.339,N/A,Martinac,Unknown,23,0,NK Lokomotiva Zagreb,Midfield - Left Midfield,"1,83 m",Croatia,hr,https://www.transfermarkt.us/tomislav-martinac/profil/spieler/89699,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,27.06.1983,Zagreb,NK Sloga-Maris Jazavica
19,Ivan Krstanovic,Ivan Krstanović,47,12,10,3.081,N/A,Krstanovic,Unknown,7,0,NK Lokomotiva Zagreb,Attack - Centre-Forward,"1,96 m",Bosnia-Herzegovina,unknown,https://www.transfermarkt.us/ivan-krstanovic/profil/spieler/47171,https://img.a.transfermarkt.technology/portrait/small/47171-1460744972.jpg?lm=1,N/A,05.01.1983,Tomislavgrad,NK Karlovac 1919
20,Nino Bule,Unknown,70,28,10,6.157,N/A,Bule,-,14,1,NK Lokomotiva Zagreb,Attack - Centre-Forward,"1,88 m",Croatia,hr,https://www.transfermarkt.us/nino-bule/profil/spieler/18262,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,19.03.1976,Capljina,Retired
21,Eros Grezda,Eros Genc Grezda,72,15,9,5.235,N/A,Grezda,7,17,0,NK Lokomotiva Zagreb,Attack - Right Winger,"1,82 m",Albania,al,https://www.transfermarkt.us/eros-grezda/profil/spieler/289814,https://img.a.transfermarkt.technology/portrait/small/289814-1662208510.png?lm=1,N/A,15.04.1995,Gjakovë,Career break
