name,club,periods
Mislav Orsic,GNK Dinamo Zagreb,2018-2023
Bruno Petkovic,GNK Dinamo Zagreb,"2018-2019, 2019-2025"
El Arbi Hillel Soudani,GNK Dinamo Zagreb,2013-2018
Duje Cop,GNK Dinamo Zagreb,"2012-2015, 2015-2015, 2021-2022, 2022-2022, 2023-2023"
Sammir,GNK Dinamo Zagreb,"2006-2007, 2007-2014, 2017-2017"
Mario Mandžukić,GNK Dinamo Zagreb,2007-2010
Ángelo Henríquez,GNK Dinamo Zagreb,"2014-2015, 2015-2018"
Armin Hodzic,GNK Dinamo Zagreb,2014-2018
Junior Fernandes,GNK Dinamo Zagreb,"2013-2014, 2014-2017, 2017-2017"
Mario Gavranovic,GNK Dinamo Zagreb,2018-2021
Eduardo,GNK Dinamo Zagreb,"2001-2002, 2002-2007"
Arijan Ademi,GNK Dinamo Zagreb,"2010-2012, 2012-2023, 2023-2025"
Fatos Beqiraj,GNK Dinamo Zagreb,2010-2014
Luka Ivanusec,GNK Dinamo Zagreb,2019-2023
Marko Pjaca,GNK Dinamo Zagreb,"2014-2016, 2024-2025"
Dani Olmo,GNK Dinamo Zagreb,2015-2020
Milan Badelj,GNK Dinamo Zagreb,"2006-2007, 2008-2012"
Luka Modric,GNK Dinamo Zagreb,"2002-2003, 2004-2004, 2005-2008"
Sandro Kulenovic,GNK Dinamo Zagreb,"2019-2020, 2021-2021, 2023-2025"
Pedro Morales,GNK Dinamo Zagreb,"2008-2012, 2012-2013"
Josip Tadic,GNK Dinamo Zagreb,2007-2009
Ante Coric,GNK Dinamo Zagreb,2014-2018
Slaven Zambata,GNK Dinamo Zagreb,"1959-1969, 1972-1973"
Ante Rukavina,GNK Dinamo Zagreb,"2010-2014, 2015-2015, 2016-2016"
Igor Cvitanovic,GNK Dinamo Zagreb,1999-2001
Martin Baturina,GNK Dinamo Zagreb,2021-2025
Damian Kadzior,GNK Dinamo Zagreb,2018-2020
Bosko Balaban,GNK Dinamo Zagreb,"2000-2001, 2002-2003, 2007-2009"
Josip Drmic,GNK Dinamo Zagreb,2022-2024
Amer Gojak,GNK Dinamo Zagreb,"2015-2020, 2021-2022"
Dario Spikic,GNK Dinamo Zagreb,"2021-2021, 2021-2025, 2025-2025"
Ivan Krstanovic,GNK Dinamo Zagreb,2011-2013
Davor Vugrinec,GNK Dinamo Zagreb,2006-2008
Lovro Majer,GNK Dinamo Zagreb,2018-2021
Ognjen Vukojevic,GNK Dinamo Zagreb,"2006-2008, 2014-2015"
Komnen Andric,GNK Dinamo Zagreb,"2019-2020, 2020-2020, 2021-2022"
Dino Peric,GNK Dinamo Zagreb,"2013-2014, 2014-2015, 2015-2015, 2016-2017, 2017-2025"
Luis Ibáñez,GNK Dinamo Zagreb,"2008-2013, 2014-2015"
Ivan Tomecak,GNK Dinamo Zagreb,"2008-2008, 2009-2013"
Izet Hajrovic,GNK Dinamo Zagreb,2018-2021
Tomislav Sokota,GNK Dinamo Zagreb,2007-2009
Marcelo Brozović,GNK Dinamo Zagreb,"2012-2015, 2016-2016"
Miroslav Slepicka,GNK Dinamo Zagreb,"2009-2011, 2011-2011"
Iyayi Atiemwen,GNK Dinamo Zagreb,"2019-2020, 2020-2021, 2022-2022, 2022-2022"
Marko Rog,GNK Dinamo Zagreb,"2015-2016, 2017-2017, 2024-2025"
Andrej Kramaric,GNK Dinamo Zagreb,"2009-2012, 2013-2013"
Luka Menalo,GNK Dinamo Zagreb,"2018-2019, 2019-2019, 2020-2020, 2021-2024, 2024-2025"
Mahir Emreli,GNK Dinamo Zagreb,"2022-2023, 2023-2024"
Marijan Novak,GNK Dinamo Zagreb,1964-1972
Goran Vlaovic,GNK Dinamo Zagreb,
Domagoj Antolic,GNK Dinamo Zagreb,"2008-2008, 2009-2010, 2013-2018"
Mario Situm,GNK Dinamo Zagreb,"2011-2012, 2014-2014, 2016-2017, 2018-2020"
Ilija Sivonjic,GNK Dinamo Zagreb,"2009-2010, 2010-2010"
Mario Budimir,GNK Dinamo Zagreb,2018-2019
Gabriel Vidovic,GNK Dinamo Zagreb,2023-2024
Dino Drpic,GNK Dinamo Zagreb,"2000-2009, 2009-2009"
Domagoj Vida,GNK Dinamo Zagreb,2011-2013
Drazan Jerkovic,GNK Dinamo Zagreb,1954-1965
Mihael Mikic,GNK Dinamo Zagreb,2007-2009
Marko Bulat,GNK Dinamo Zagreb,"2021-2021, 2021-2024, 2025-2025"
Stjepan Lamza,GNK Dinamo Zagreb,1960-1968
