name,club,periods
Goran Roce,NK Istra 1961,"2005-2006, 2007-2013, 2016-2017, 2018-2018"
Dejan Radonjic,NK Istra 1961,"2013-2014, 2014-2015"
Sime Grzan,NK Istra 1961,"2016-2018, 2019-2021"
Asim Sehic,NK Istra 1961,"2003-2006, 2009-2011"
Sandi Krizman,NK Istra 1961,"2012-2014, 2015-2015"
Ante Erceg,NK Istra 1961,2022-2024
Antonio Ivancic,NK Istra 1961,2018-2022
Slavko Blagojevic,NK Istra 1961,"2012-2015, 2020-2025"
Matej Vuk,NK Istra 1961,"2020-2021, 2023-2025"
Mateo Lisica,NK Istra 1961,2020-2025
Tomislav Havojic,NK Istra 1961,2012-2014
Stipe Bacelic-Grgic,NK Istra 1961,2012-2013
Hassane Bandé,NK Istra 1961,2021-2022
Petar Franjic,NK Istra 1961,"2013-2014, 2014-2015"
Gedeon Guzina,NK Istra 1961,2020-2021
Adrián Fuentes,NK Istra 1961,2018-2021
Regan Obeng,NK Istra 1961,2018-2021
Hrvoje Milic,NK Istra 1961,2011-2013
Frano Mlinar,NK Istra 1961,2021-2024
Dario Tomic,NK Istra 1961,2014-2016
Abdallahi Mahmoud,NK Istra 1961,"2021-2022, 2023-2023"
Einar Galilea,NK Istra 1961,"2019-2021, 2021-2023"
Antonio Repic,NK Istra 1961,2014-2016
Dario Maresic,NK Istra 1961,"2022-2023, 2023-2025"
Marcel Heister,NK Istra 1961,"2014-2016, 2024-2025"
Mateo Susic,NK Istra 1961,2010-2013
Robert Peric-Komsic,NK Istra 1961,"2018-2020, 2021-2021"
Mario Cuic,NK Istra 1961,2023-2025
Marin Matos,NK Istra 1961,2014-2016
Armend Alimi,NK Istra 1961,2009-2011
Mislav Andjelkovic,NK Istra 1961,2007-2013
Facundo Cáseres,NK Istra 1961,2021-2023
Andrea Ottochian,NK Istra 1961,"2012-2013, 2018-2018"
Mauro Perkovic,NK Istra 1961,"2021-2023, 2023-2023"
Jure Obsivac,NK Istra 1961,2013-2015
Jô,NK Istra 1961,"2013-2014, 2014-2015"
Fausto Budicin,NK Istra 1961,"2006-2006, 2011-2014"
Marin Grujevic,NK Istra 1961,"2017-2018, 2018-2020"
Nikola Prelcec,NK Istra 1961,"2008-2011, 2011-2013, 2016-2018"
Dino Halilovic,NK Istra 1961,"2017-2018, 2020-2021"
Advan Kadusic,NK Istra 1961,2022-2025
Petar Bosančić,NK Istra 1961,2018-2021
David Puclin,NK Istra 1961,2016-2018
Risto Mitrevski,NK Istra 1961,2016-2018
Abdelhakim Bouhna,NK Istra 1961,2015-2017
Antonio Mauric,NK Istra 1961,2022-2025
Nikola Zizic,NK Istra 1961,2015-2017
Luka Marin,NK Istra 1961,2021-2023
Ante Batarelo,NK Istra 1961,"2011-2012, 2013-2014"
Oleksandr Petrusenko,NK Istra 1961,2022-2024
Renato Gojkovic,NK Istra 1961,2015-2018
Sime Gregov,NK Istra 1961,2014-2016
Luka Hujber,NK Istra 1961,2020-2024
Stefan Loncar,NK Istra 1961,2019-2021
João Silva,NK Istra 1961,"2021-2021, 2021-2022"
Kenan Hadzic,NK Istra 1961,"2013-2013, 2014-2014, 2015-2018"
Moris Valincic,NK Istra 1961,2023-2025
Markus Pavic,NK Istra 1961,2019-2020
Woon Jeong,NK Istra 1961,2013-2015
Dalibor Pauletic,NK Istra 1961,2007-2011
Arona Sané,NK Istra 1961,2018-2021
Hasan Kacic,NK Istra 1961,2007-2011
Josip Tomasevic,NK Istra 1961,2019-2021
Ville Koski,NK Istra 1961,2024-2025
Igor Cagalj,NK Istra 1961,2012-2014
Lovro Majkic,NK Istra 1961,2018-2025
Ivan Brkic,NK Istra 1961,2014-2017
Slobodan Stranatic,NK Istra 1961,2010-2012
Vanja Ivesa,NK Istra 1961,"2004-2007, 2015-2017, 2018-2018"
Andrej Prskalo,NK Istra 1961,2010-2014
Josip Condric,NK Istra 1961,2018-2020
Ivan Lucic,NK Istra 1961,2020-2023
Antonio Perera,NK Istra 1961,2020-2022
Ivica Ivusic,NK Istra 1961,2015-2018
Bojan Pavlovic,NK Istra 1961,2014-2017
