name,club,periods
Ivan Krstanovic,Slaven Belupo Koprivnica,2019-2023
Bojan Vrucina,Slaven Belupo Koprivnica,"2004-2008, 2008-2010, 2012-2012"
Mateas Delic,Slaven Belupo Koprivnica,"2007-2011, 2012-2017, 2018-2020"
Mirko Ivanovski,Slaven Belupo Koprivnica,2016-2018
Muzafer Ejupi,Slaven Belupo Koprivnica,"2015-2016, 2019-2019"
Davor Vugrinec,Slaven Belupo Koprivnica,2012-2015
Marijo Dodik,Slaven Belupo Koprivnica,1999-2007
Srebrenko Posavec,Slaven Belupo Koprivnica,"2004-2005, 2007-2010"
Leon Benko,Slaven Belupo Koprivnica,2011-2012
Filip Ozobic,Slaven Belupo Koprivnica,2013-2016
Stjepan Poljak,Slaven Belupo Koprivnica,"2007-2008, 2010-2012"
Aljosa Vojnovic,Slaven Belupo Koprivnica,2009-2012
Arbër Hoxha,Slaven Belupo Koprivnica,2022-2024
Dejan Glavica,Slaven Belupo Koprivnica,2011-2014
Benedik Mioc,Slaven Belupo Koprivnica,2022-2024
Alen Maras,Slaven Belupo Koprivnica,2008-2013
Marko Miric,Slaven Belupo Koprivnica,2014-2015
Mario Juric,Slaven Belupo Koprivnica,2007-2010
Ante Crnac,Slaven Belupo Koprivnica,2022-2023
Héber,Slaven Belupo Koprivnica,2016-2017
Törles Knöll,Slaven Belupo Koprivnica,2020-2021
Bruno Bogojevic,Slaven Belupo Koprivnica,"2017-2018, 2018-2022"
Tomislav Busic,Slaven Belupo Koprivnica,2010-2013
Tomislav Bozic,Slaven Belupo Koprivnica,2019-2025
Franjo Tepuric,Slaven Belupo Koprivnica,"2006-2007, 2007-2011, 2011-2011"
Goran Mujanovic,Slaven Belupo Koprivnica,2010-2012
Mato Jajalo,Slaven Belupo Koprivnica,2007-2009
Tomislav Strkalj,Slaven Belupo Koprivnica,2023-2024
Stipe Bacelic-Grgic,Slaven Belupo Koprivnica,2018-2021
Nikola Rak,Slaven Belupo Koprivnica,2012-2014
Dario Canadjija,Slaven Belupo Koprivnica,"2011-2014, 2019-2019"
Asim Sehic,Slaven Belupo Koprivnica,2007-2009
Mario Gregurina,Slaven Belupo Koprivnica,2007-2017
Mateus,Slaven Belupo Koprivnica,2018-2020
Kristijan Caval,Slaven Belupo Koprivnica,2007-2010
Dominik Glavina,Slaven Belupo Koprivnica,2013-2015
Petar Brlek,Slaven Belupo Koprivnica,2011-2016
Adriano Jagusic,Slaven Belupo Koprivnica,2024-2025
Dino Kresinger,Slaven Belupo Koprivnica,2007-2009
Miljenko Mumlek,Slaven Belupo Koprivnica,2005-2007
Alen Grgic,Slaven Belupo Koprivnica,"2021-2022, 2024-2025"
Vinko Medjimorec,Slaven Belupo Koprivnica,"2015-2020, 2023-2024, 2024-2025"
Ilija Nestorovski,Slaven Belupo Koprivnica,2024-2025
Enes Novinic,Slaven Belupo Koprivnica,2013-2015
Nemanja Glavcic,Slaven Belupo Koprivnica,2019-2022
Stefan Savic,Slaven Belupo Koprivnica,2015-2017
Pero Pejic,Slaven Belupo Koprivnica,"2003-2007, 2017-2018"
Josip Brezovec,Slaven Belupo Koprivnica,"2011-2012, 2018-2018"
Miljenko Kovacic,Slaven Belupo Koprivnica,2001-2003
Franck Etoundi,Slaven Belupo Koprivnica,2019-2021
Milos Vidovic,Slaven Belupo Koprivnica,2017-2019
Matej Jelic,Slaven Belupo Koprivnica,2018-2019
Elvis Kokalovic,Slaven Belupo Koprivnica,"2007-2007, 2007-2013"
Miroslav Ilicic,Slaven Belupo Koprivnica,2020-2021
Ante Suto,Slaven Belupo Koprivnica,2024-2025
Mato Grgic,Slaven Belupo Koprivnica,2011-2015
Ljuban Crepulja,Slaven Belupo Koprivnica,"2013-2016, 2024-2025"
Petar Bosnjak,Slaven Belupo Koprivnica,1999-2009
Matija Poredski,Slaven Belupo Koprivnica,2009-2011
Renato Jurcec,Slaven Belupo Koprivnica,1999-2002
Matej Sakota,Slaven Belupo Koprivnica,2023-2025
