name,status,profile_url,image_url,jersey_name,jersey_number,nation,nation_code,club,place_of_birth,full_name,position,height,date_of_birth,appearances,goals,assists,own_goals,yellow_cards,second_yellow,red_cards,substituted_on,substituted_off,minutes_played
Josef Jindrisek,Bohemians Prague 1905,https://www.transfermarkt.us/josef-jindrisek/profil/spieler/21040,https://img.a.transfermarkt.technology/portrait/small/21040-1684310196.jpg?lm=1,Jindrisek,Unknown,Czech Republic,cz,Bohemians Prague 1905,Plavy,Josef Jindřišek,Midfield - Defensive Midfield,"1,78 m",14.02.1981,434,27,11,2,44,0,0,53,38,34.343
David Bartek,Bohemians Prague 1905 B,https://www.transfermarkt.us/david-bartek/profil/spieler/62971,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Bartek,Unknown,Czech Republic,cz,Bohemians Prague 1905,Praha,Unknown,Midfield - Right Midfield,Unknown,13.02.1988,361,32,21,0,34,3,0,100,90,23.443
Martin Dostal,Bohemians Prague 1905,https://www.transfermarkt.us/martin-dostal/profil/spieler/178466,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Dostal,Unknown,Czech Republic,cz,Bohemians Prague 1905,Praha,Martin Dostál,Defender - Right-Back,"1,77 m",23.09.1989,261,8,20,1,24,0,1,35,38,20.436
Lukas Hulka,Bohemians Prague 1905,https://www.transfermarkt.us/lukas-hulka/profil/spieler/198607,https://img.a.transfermarkt.technology/portrait/small/198607-1707975001.jpg?lm=1,Hulka,2,Czech Republic,cz,Bohemians Prague 1905,Mladá Boleslav,Lukáš Hůlka,Defender - Centre-Back,"1,82 m",31.03.1995,207,17,6,0,21,0,0,7,4,18.142
Michal Smid,Retired,https://www.transfermarkt.us/michal-smid/profil/spieler/63050,https://img.a.transfermarkt.technology/portrait/small/63050-1606430520.jpg?lm=1,Smid,Unknown,Czech Republic,cz,Bohemians Prague 1905,Praha,Michal Šmíd,Defender - Centre-Back,"1,89 m",20.10.1986,202,12,2,0,37,0,3,21,7,16.424
Jan Moravec,SK Moravske Kninice,https://www.transfermarkt.us/jan-moravec/profil/spieler/63021,https://img.a.transfermarkt.technology/portrait/small/63021-1655891736.jpg?lm=1,Moravec,Unknown,Czech Republic,cz,Bohemians Prague 1905,Rohozná,Unknown,Midfield - Right Midfield,"1,78 m",13.07.1987,189,12,13,0,17,0,0,25,53,14.528
Daniel Krch,TJ Spoje Prague,https://www.transfermarkt.us/daniel-krch/profil/spieler/146719,https://img.a.transfermarkt.technology/portrait/small/146719-1702410020.png?lm=1,Krch,-,Czech Republic,cz,Bohemians Prague 1905,Tábor,Unknown,Defender - Centre-Back,"1,82 m",20.03.1992,177,10,2,1,18,0,0,29,10,13.551
Radek Snozik,FK Lety,https://www.transfermarkt.us/radek-snozik/profil/spieler/21120,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Snozik,Unknown,Czech Republic,cz,Bohemians Prague 1905,Unknown,Radek Sňozík,Goalkeeper,"1,85 m",17.10.1975,156,3,0,0,7,0,1,0,1,13.928
Daniel Köstl,MFK Ruzomberok,https://www.transfermarkt.us/daniel-kostl/profil/spieler/293358,https://img.a.transfermarkt.technology/portrait/small/293358-1707975035.jpg?lm=1,Köstl,-,Czech Republic,cz,Bohemians Prague 1905,Praha,Daniel Köstl,Defender - Centre-Back,"1,90 m",23.05.1998,151,7,5,0,28,2,0,21,19,11.543
David Puskac,FK Jablonec,https://www.transfermarkt.us/david-puskac/profil/spieler/194562,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Puskac,Unknown,Czech Republic,cz,Bohemians Prague 1905,Unknown,David Puškáč,Attack - Centre-Forward,"1,89 m",14.05.1993,134,27,13,0,12,0,2,52,76,6.958
Jan Vondra,Bohemians Prague 1905,https://www.transfermarkt.us/jan-vondra/profil/spieler/198617,https://img.a.transfermarkt.technology/portrait/small/198617-1583767434.png?lm=1,Vondra,-,Czech Republic,cz,Bohemians Prague 1905,Praha,Unknown,Defender - Centre-Back,Unknown,13.09.1995,130,1,2,0,31,0,0,13,18,10.590
Marek Nikl,Retired,https://www.transfermarkt.us/marek-nikl/profil/spieler/763,https://img.a.transfermarkt.technology/portrait/small/s_763_123_2013_04_26_1.jpg?lm=1,Nikl,-,Czech Republic,cz,Bohemians Prague 1905,Nymburk,Unknown,Defender - Centre-Back,"1,82 m",20.02.1976,126,4,2,0,15,1,0,3,9,10.959
