name,status,profile_url,image_url,jersey_name,jersey_number,nation,nation_code,club,place_of_birth,full_name,position,height,date_of_birth,appearances,goals,assists,own_goals,yellow_cards,second_yellow,red_cards,substituted_on,substituted_off,minutes_played
Jan Jerabek,FK Jiskra Hermanuv Mestec,https://www.transfermarkt.us/jan-jerabek/profil/spieler/235171,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Jerabek,Unknown,Czech Republic,cz,FK Pardubice,Prachovice,Jan Jeřábek,Midfield - Defensive Midfield,"1,83 m",12.02.1984,296,26,24,2,75,0,1,14,21,25.092
Pavel Cerny,MFK Chrudim,https://www.transfermarkt.us/pavel-cerny/profil/spieler/63859,https://img.a.transfermarkt.technology/portrait/small/63859-1726289205.png?lm=1,Cerny,Unknown,Czech Republic,cz,FK Pardubice,Hradec Králové,Pavel Černý,Attack - Centre-Forward,"1,85 m",28.01.1985,216,30,24,0,22,0,0,42,148,13.314
Martin Sejvl,SV Oberndorf,https://www.transfermarkt.us/martin-sejvl/profil/spieler/235210,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Sejvl,Unknown,Czech Republic,cz,FK Pardubice,Pardubice,Martin Šejvl,Defender - Centre-Back,"1,77 m",18.02.1992,195,4,3,0,11,0,2,5,7,16.963
Adam Fousek,FK Pardubice,https://www.transfermarkt.us/adam-fousek/profil/spieler/273101,https://img.a.transfermarkt.technology/portrait/small/273101-1708700422.png?lm=1,Fousek,Unknown,Czech Republic,cz,FK Pardubice,Pardubice,Unknown,Midfield - Left Midfield,"1,85 m",08.03.1994,152,32,19,0,22,0,0,31,90,9.819
Jan Reznicek,MFK Chrudim,https://www.transfermarkt.us/jan-reznicek/profil/spieler/235202,https://img.a.transfermarkt.technology/portrait/small/235202-1702739716.png?lm=1,Reznicek,Unknown,Czech Republic,cz,FK Pardubice,Pardubice,Jan Řezníček,Midfield - Defensive Midfield,"1,80 m",22.11.1992,147,13,11,0,14,0,0,23,40,10.932
Michal Petran,TJ Sokol Zivanice,https://www.transfermarkt.us/michal-petran/profil/spieler/187585,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Petran,Unknown,Czech Republic,cz,FK Pardubice,Unknown,Michal Petráň,Attack - Centre-Forward,"1,84 m",26.06.1992,146,49,5,0,13,0,1,34,64,9.876
Emil Tischler,SK Dynamo Ceske Budejovice,https://www.transfermarkt.us/emil-tischler/profil/spieler/263359,https://img.a.transfermarkt.technology/portrait/small/263359-1471429943.jpg?lm=1,Tischler,19,Czech Republic,cz,FK Pardubice,Stockerau,Unknown,Midfield - Central Midfield,"1,84 m",13.03.1998,143,15,8,0,17,0,0,35,41,9.507
Petr Kudrna,Retired,https://www.transfermarkt.us/petr-kudrna/profil/spieler/248357,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Kudrna,Unknown,Czech Republic,cz,FK Pardubice,Unknown,Petr Kudrna,Midfield - Defensive Midfield,"1,78 m",21.09.1989,132,7,5,0,23,0,0,3,26,11.212
Tomas Celustka,MFK Vyskov,https://www.transfermarkt.us/tomas-celustka/profil/spieler/194579,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Celustka,Unknown,Czech Republic,cz,FK Pardubice,Zlín,Tomáš Čelůstka,Defender - Left-Back,"1,81 m",19.07.1991,131,8,26,0,14,0,0,4,9,11.457
Tomas Solil,FK Pardubice,https://www.transfermarkt.us/tomas-solil/profil/spieler/488870,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Solil,13,Czech Republic,cz,FK Pardubice,Unknown,Tomáš Solil,Midfield - Central Midfield,"1,83 m",01.02.2000,129,12,9,0,23,0,1,15,29,10.137
Michal Hlavaty,FC Slovan Liberec,https://www.transfermarkt.us/michal-hlavaty/profil/spieler/293355,https://img.a.transfermarkt.technology/portrait/small/293355-1708699550.png?lm=1,Hlavaty,13,Czech Republic,cz,FK Pardubice,Hořovice,Michal Hlavatý,Midfield - Central Midfield,"1,72 m",17.06.1998,125,25,14,1,24,0,0,4,49,10.482
Martin Toml,MFK Chrudim,https://www.transfermarkt.us/martin-toml/profil/spieler/221287,https://img.a.transfermarkt.technology/portrait/small/221287-1713242722.png?lm=1,Toml,13,Czech Republic,cz,FK Pardubice,Unknown,Martin Toml,Defender - Centre-Back,"1,88 m",25.03.1996,108,8,2,1,7,0,0,4,2,9.446
Tomas Pospisil,Retired,https://www.transfermarkt.us/tomas-pospisil/profil/spieler/123919,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Pospisil,-,Czech Republic,cz,FK Pardubice,Příbram,Tomáš Pospíšil,Defender - Left-Back,"1,81 m",30.01.1991,102,5,3,0,9,0,0,12,14,8.079
David Huf,MFK Ruzomberok,https://www.transfermarkt.us/david-huf/profil/spieler/339072,https://img.a.transfermarkt.technology/portrait/small/339072-1702741420.png?lm=1,Huf,-,Czech Republic,cz,FK Pardubice,Unknown,Unknown,Attack - Centre-Forward,"1,87 m",23.01.1999,102,13,5,0,4,0,0,83,20,2.965
