name,status,profile_url,image_url,jersey_name,jersey_number,nation,nation_code,club,place_of_birth,full_name,position,height,date_of_birth,appearances,goals,assists,own_goals,yellow_cards,second_yellow,red_cards,substituted_on,substituted_off,minutes_played
Pavel Novak,FC SILON Taborsko,https://www.transfermarkt.us/pavel-novak/profil/spieler/148705,https://img.a.transfermarkt.technology/portrait/small/148705-1614143063.png?lm=1,Novak,Unknown,Czech Republic,cz,SK Dynamo Ceske Budejovice,Jindřichův Hradec,Pavel Novák,Defender - Centre-Back,"1,86 m",30.11.1989,266,8,6,0,49,0,1,23,16,21.875
Patrik Cavos,MFK Karvina,https://www.transfermarkt.us/patrik-cavos/profil/spieler/283614,https://img.a.transfermarkt.technology/portrait/small/283614-1703614466.png?lm=1,Cavos,-,Czech Republic,cz,SK Dynamo Ceske Budejovice,Praha,Patrik Čavoš,Midfield - Defensive Midfield,"1,80 m",07.01.1995,219,16,13,0,35,1,1,24,48,17.255
Lukas Havel,FK Teplice,https://www.transfermarkt.us/lukas-havel/profil/spieler/383869,https://img.a.transfermarkt.technology/portrait/small/383869-1700723880.png?lm=1,Havel,Unknown,Czech Republic,cz,SK Dynamo Ceske Budejovice,České Budějovice,Lukáš Havel,Defender - Centre-Back,"1,87 m",06.06.1996,205,29,6,2,22,0,2,27,4,16.253
Petr Benat,Retired,https://www.transfermarkt.us/petr-benat/profil/spieler/21006,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Benat,Unknown,Czech Republic,cz,SK Dynamo Ceske Budejovice,Děčín,Petr Benát,Midfield - Attacking Midfield,"1,84 m",20.05.1980,200,24,20,0,12,0,0,32,55,14.999
Roman Lengyel,Retired,https://www.transfermarkt.us/roman-lengyel/profil/spieler/25010,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Lengyel,5,Czech Republic,cz,SK Dynamo Ceske Budejovice,České Budějovice,Roman Lengyel,Defender - Centre-Back,"1,91 m",03.11.1978,195,8,5,1,33,0,0,9,10,16.722
David Horejs,Retired,https://www.transfermarkt.us/david-horejs/profil/spieler/21032,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Horejs,Unknown,Czech Republic,cz,SK Dynamo Ceske Budejovice,Unknown,David Horejš,Defender - Centre-Back,"1,85 m",19.05.1977,188,9,1,0,35,1,3,9,24,15.370
Martin Vozabal,Retired,https://www.transfermarkt.us/martin-vozabal/profil/spieler/21135,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Vozabal,-,Czech Republic,cz,SK Dynamo Ceske Budejovice,Tábor,Martin Vozábal,Midfield - Central Midfield,"1,82 m",08.11.1978,175,15,8,0,39,0,1,35,52,12.412
Petr Javorek,FC SILON Taborsko B,https://www.transfermarkt.us/petr-javorek/profil/spieler/35177,https://img.a.transfermarkt.technology/portrait/small/35177-1614143532.png?lm=1,Javorek,-,Czech Republic,cz,SK Dynamo Ceske Budejovice,Praha,Petr Javorek,Midfield - Defensive Midfield,"1,86 m",09.02.1986,174,9,17,0,35,0,0,15,33,13.885
Zdenek Krizek,Retired,https://www.transfermarkt.us/zdenek-krizek/profil/spieler/63005,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Krizek,Unknown,Czech Republic,cz,SK Dynamo Ceske Budejovice,Strakonice,Zdeněk Křížek,Goalkeeper,"1,95 m",16.01.1983,173,0,0,0,9,0,0,0,1,15.493
Ivo Taborsky,Retired,https://www.transfermarkt.us/ivo-taborsky/profil/spieler/21128,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Taborsky,-,Czech Republic,cz,SK Dynamo Ceske Budejovice,Praha,Ivo Táborský,Attack - Left Winger,"1,84 m",10.05.1985,157,41,7,0,20,1,0,61,44,9.221
Jiri Kladrubsky,SK Plana,https://www.transfermarkt.us/jiri-kladrubsky/profil/spieler/57415,https://img.a.transfermarkt.technology/portrait/small/57415-1614143157.png?lm=1,Kladrubsky,-,Czech Republic,cz,SK Dynamo Ceske Budejovice,České Budějovice,Jiří Kladrubský,Defender - Right-Back,"1,85 m",19.11.1985,150,15,15,0,29,1,3,15,14,12.058
Ladislav Fujdiar,Retired,https://www.transfermarkt.us/ladislav-fujdiar/profil/spieler/377027,https://img.a.transfermarkt.technology/portrait/small/377027-1454175862.jpg?lm=1,Fujdiar,Unknown,Czech Republic,cz,SK Dynamo Ceske Budejovice,Kladno,Unknown,Attack,Unknown,29.01.1967,144,32,8,0,24,1,1,42,54,9.639
Karel Vacha,Retired,https://www.transfermarkt.us/karel-vacha/profil/spieler/108143,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Vacha,-,Czech Republic,cz,SK Dynamo Ceske Budejovice,České Budějovice,Karel Vácha,Attack - Centre-Forward,"1,82 m",02.08.1970,138,39,12,0,14,1,1,15,23,10.865
