rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,David Bartek,Unknown,361,32,21,23.443,N/A,Bartek,Unknown,34,0,Bohemians Prague 1905,Midfield - Right Midfield,Unknown,Czech Republic,cz,https://www.transfermarkt.us/david-bartek/profil/spieler/62971,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,13.02.1988,Praha,Bohemians Prague 1905 B
2,Josef Jindrisek,Josef Jindřišek,434,27,11,34.343,N/A,Jindrisek,Unknown,44,0,Bohemians Prague 1905,Midfield - Defensive Midfield,"1,78 m",Czech Republic,cz,https://www.transfermarkt.us/josef-jindrisek/profil/spieler/21040,https://img.a.transfermarkt.technology/portrait/small/21040-1684310196.jpg?lm=1,N/A,14.02.1981,Plavy,Bohemians Prague 1905
3,David Puskac,David Puškáč,134,27,13,6.958,N/A,Puskac,Unknown,12,2,Bohemians Prague 1905,Attack - Centre-Forward,"1,89 m",Czech Republic,cz,https://www.transfermarkt.us/david-puskac/profil/spieler/194562,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,14.05.1993,Unknown,FK Jablonec
4,Milan Skoda,Milan Škoda,114,25,6,8.031,N/A,Skoda,-,19,0,Bohemians Prague 1905,Attack - Centre-Forward,"1,92 m",Czech Republic,cz,https://www.transfermarkt.us/milan-skoda/profil/spieler/63047,https://img.a.transfermarkt.technology/portrait/small/63047-1697911030.png?lm=1,N/A,16.01.1986,Praha,SK Slavia Prague B
5,Roman Kvet,Roman Květ,101,22,12,7.110,N/A,Kvet,7,15,1,Bohemians Prague 1905,Midfield - Central Midfield,"1,87 m",Czech Republic,cz,https://www.transfermarkt.us/roman-kvet/profil/spieler/400649,https://img.a.transfermarkt.technology/portrait/small/400649-1693401752.png?lm=1,N/A,17.12.1997,Benesov,FCV Dender EH
6,Petr Hronek,Unknown,110,19,13,8.326,N/A,Hronek,Unknown,22,0,Bohemians Prague 1905,Midfield - Central Midfield,"1,82 m",Czech Republic,cz,https://www.transfermarkt.us/petr-hronek/profil/spieler/280856,https://img.a.transfermarkt.technology/portrait/small/280856-1697832731.png?lm=1,N/A,04.07.1993,Unknown,FC Slovan Velvary
7,Lukas Hulka,Lukáš Hůlka,207,17,6,18.142,N/A,Hulka,2,21,0,Bohemians Prague 1905,Defender - Centre-Back,"1,82 m",Czech Republic,cz,https://www.transfermarkt.us/lukas-hulka/profil/spieler/198607,https://img.a.transfermarkt.technology/portrait/small/198607-1707975001.jpg?lm=1,N/A,31.03.1995,Mladá Boleslav,Bohemians Prague 1905
8,Lukas Hartig,Lukáš Hartig,118,15,10,8.034,N/A,Hartig,Unknown,17,0,Bohemians Prague 1905,Attack - Centre-Forward,"1,84 m",Czech Republic,cz,https://www.transfermarkt.us/lukas-hartig/profil/spieler/15654,https://img.a.transfermarkt.technology/portrait/small/15654-1674682619.jpg?lm=1,N/A,28.10.1976,Kolín,Retired
9,Jan Matousek,Jan Matoušek,64,15,4,3.456,N/A,Matousek,20,10,0,Bohemians Prague 1905,Midfield - Attacking Midfield,"1,78 m",Czech Republic,cz,https://www.transfermarkt.us/jan-matousek/profil/spieler/400653,https://img.a.transfermarkt.technology/portrait/small/400653-1659469858.jpg?lm=1,N/A,09.05.1998,Příbram,Bohemians Prague 1905
10,Jakub Rada,Jakub Rada,102,15,12,8.502,N/A,Rada,-,17,0,Bohemians Prague 1905,Midfield - Defensive Midfield,"1,85 m",Czech Republic,cz,https://www.transfermarkt.us/jakub-rada/profil/spieler/70193,https://img.a.transfermarkt.technology/portrait/small/70193-1618929694.jpg?lm=1,N/A,05.05.1987,Praha,TJ Spoje Prague
11,Yusuf,Unknown,54,14,9,3.372,N/A,Unknown,Unknown,6,0,Bohemians Prague 1905,Unknown,Unknown,Bahrain,bh,https://www.transfermarkt.us/yusuf/profil/spieler/351181,https://img.a.transfermarkt.technology/portrait/small/351181-1702842333.png?lm=1,N/A,12.06.1993,Unknown,Bohemians Prague 1905
12,Vladimir Hruska,Vladimír Hruška,35,14,0,2.647,N/A,Hruska,-,3,0,Bohemians Prague 1905,Midfield - Left Midfield,"1,89 m",Czech Republic,cz,https://www.transfermarkt.us/vladimir-hruska/profil/spieler/298547,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,02.08.1957,Praha,Retired
13,Erik Prekop,Unknown,63,14,7,4.481,N/A,Prekop,-,18,0,Bohemians Prague 1905,Attack - Centre-Forward,"1,85 m",Slovakia,sk,https://www.transfermarkt.us/erik-prekop/profil/spieler/446573,https://img.a.transfermarkt.technology/portrait/small/446573-1618929021.jpg?lm=1,N/A,08.10.1997,Unknown,FC Banik Ostrava
14,Dominik Masek,Dominik Mašek,75,13,6,5.236,N/A,Masek,22,7,0,Bohemians Prague 1905,Midfield - Attacking Midfield,"1,73 m",Czech Republic,cz,https://www.transfermarkt.us/dominik-masek/profil/spieler/126770,https://img.a.transfermarkt.technology/portrait/small/126770-1447863914.jpg?lm=1,N/A,10.07.1995,Příbram,FK Pribram
15,Pavel Chaloupka,Pavel Chaloupka,42,13,0,3.634,N/A,Chaloupka,-,3,0,Bohemians Prague 1905,Midfield - Attacking Midfield,,Czech Republic,cz,https://www.transfermarkt.us/pavel-chaloupka/profil/spieler/106983,https://img.a.transfermarkt.technology/portrait/small/106983-1491834493.jpg?lm=1,N/A,04.05.1959,Most,Retired
16,Jan Moravec,Unknown,189,12,13,14.528,N/A,Moravec,Unknown,17,0,Bohemians Prague 1905,Midfield - Right Midfield,"1,78 m",Czech Republic,cz,https://www.transfermarkt.us/jan-moravec/profil/spieler/63021,https://img.a.transfermarkt.technology/portrait/small/63021-1655891736.jpg?lm=1,N/A,13.07.1987,Rohozná,SK Moravske Kninice
17,Michal Smid,Michal Šmíd,202,12,2,16.424,N/A,Smid,Unknown,37,3,Bohemians Prague 1905,Defender - Centre-Back,"1,89 m",Czech Republic,cz,https://www.transfermarkt.us/michal-smid/profil/spieler/63050,https://img.a.transfermarkt.technology/portrait/small/63050-1606430520.jpg?lm=1,N/A,20.10.1986,Praha,Retired
18,Karol Kisel,Karol Kisel,83,11,14,7.021,N/A,Kisel,-,17,0,Bohemians Prague 1905,Midfield - Central Midfield,"1,72 m",Slovakia,sk,https://www.transfermarkt.us/karol-kisel/profil/spieler/21247,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,15.03.1977,Košice,Retired
19,Jan Moravek,Jan Morávek,48,11,3,3.673,N/A,Moravek,-,4,0,Bohemians Prague 1905,Midfield - Central Midfield,"1,80 m",Czech Republic,cz,https://www.transfermarkt.us/jan-moravek/profil/spieler/63022,https://img.a.transfermarkt.technology/portrait/small/63022-1658601042.jpg?lm=1,N/A,01.11.1989,Praha,Without Club
20,Vaclav Drchal,Václav Drchal,59,11,7,4.087,N/A,Drchal,20,1,0,Bohemians Prague 1905,Attack - Centre-Forward,"1,87 m",Czech Republic,cz,https://www.transfermarkt.us/vaclav-drchal/profil/spieler/421984,https://img.a.transfermarkt.technology/portrait/small/421984-1699719693.png?lm=1,N/A,25.07.1999,České Budějovice,Bohemians Prague 1905
21,Robert Neumann,Unknown,56,11,4,4.896,N/A,Neumann,Unknown,6,0,Bohemians Prague 1905,Midfield - Central Midfield,Unknown,Czech Republic,cz,https://www.transfermarkt.us/robert-neumann/profil/spieler/225992,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,08.10.1972,Unknown,Retired
22,Matej Pulkrab,Matěj Pulkrab,29,10,3,1.798,N/A,Pulkrab,10,9,0,Bohemians Prague 1905,Attack - Centre-Forward,"1,85 m",Czech Republic,cz,https://www.transfermarkt.us/matej-pulkrab/profil/spieler/256097,https://img.a.transfermarkt.technology/portrait/small/256097-1702842469.png?lm=1,N/A,23.05.1997,Praha,FK Mlada Boleslav
23,Daniel Krch,Unknown,177,10,2,13.551,N/A,Krch,-,18,0,Bohemians Prague 1905,Defender - Centre-Back,"1,82 m",Czech Republic,cz,https://www.transfermarkt.us/daniel-krch/profil/spieler/146719,https://img.a.transfermarkt.technology/portrait/small/146719-1702410020.png?lm=1,N/A,20.03.1992,Tábor,TJ Spoje Prague
24,Jan Stohanzl,Jan Štohanzl,52,9,1,4.232,N/A,Stohanzl,-,11,0,Bohemians Prague 1905,Midfield - Central Midfield,"1,74 m",Czech Republic,cz,https://www.transfermarkt.us/jan-stohanzl/profil/spieler/35829,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,20.03.1985,Unknown,FC Libisany
25,Martin Hasek,Martin Hašek,72,9,5,6.091,N/A,Hasek,7,7,0,Bohemians Prague 1905,Midfield - Central Midfield,"1,81 m",Czech Republic,cz,https://www.transfermarkt.us/martin-hasek/profil/spieler/299961,https://img.a.transfermarkt.technology/portrait/small/299961-1728942452.png?lm=1,N/A,03.10.1995,Liberec,Without Club
26,Evgeniy Kabaev,Кабаев Евгений Геннадьевич,37,9,0,1.787,N/A,Kabaev,Unknown,1,0,Bohemians Prague 1905,Attack - Centre-Forward,"1,83 m",Russia,unknown,https://www.transfermarkt.us/evgeniy-kabaev/profil/spieler/123954,https://img.a.transfermarkt.technology/portrait/small/123954-1551719063.png?lm=1,N/A,28.02.1988,St. Petersburg,Medialiga (RU)
27,Jakub Necas,Jakub Nečas,91,9,8,3.913,N/A,Necas,15,5,0,Bohemians Prague 1905,Attack - Left Winger,"1,74 m",Czech Republic,cz,https://www.transfermarkt.us/jakub-necas/profil/spieler/301019,https://img.a.transfermarkt.technology/portrait/small/301019-1701282594.png?lm=1,N/A,26.01.1995,Unknown,FK Pribram
