rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Milan Petrzela,Milan Petržela,365,47,67,25.143,N/A,Petrzela,12,58,1,FC Viktoria Plzen,Midfield - Right Midfield,"1,72 m",Czech Republic,cz,https://www.transfermarkt.us/milan-petrzela/profil/spieler/21101,https://img.a.transfermarkt.technology/portrait/small/21101-1703023035.png?lm=1,N/A,19.06.1983,Hoštice-Heroltice,FK Viktoria Zizkov
2,Pavel Horvath,Pavel Horváth,228,43,63,19.117,N/A,Horvath,14,41,0,FC Viktoria Plzen,Midfield - Central Midfield,"1,78 m",Czech Republic,cz,https://www.transfermarkt.us/pavel-horvath/profil/spieler/21033,https://img.a.transfermarkt.technology/portrait/small/s_21033_941_2013_10_23_2.jpg?lm=1,N/A,22.04.1975,Praha,Retired
3,Jan Kopic,Jan Kopic,330,54,55,22.849,N/A,Kopic,19,37,1,FC Viktoria Plzen,Midfield - Right Midfield,"1,80 m",Czech Republic,cz,https://www.transfermarkt.us/jan-kopic/profil/spieler/119103,https://img.a.transfermarkt.technology/portrait/small/119103-1703072679.png?lm=1,N/A,04.06.1990,Humpolec,FC Viktoria Plzen
4,David Limbersky,David Limberský,502,24,49,43.012,N/A,Limbersky,8,115,2,FC Viktoria Plzen,Defender - Left-Back,"1,81 m",Czech Republic,cz,https://www.transfermarkt.us/david-limbersky/profil/spieler/16090,https://img.a.transfermarkt.technology/portrait/small/16090-1464947374.jpg?lm=1,N/A,06.10.1983,Plzeň,Slavoj Kolovec
5,Lukas Kalvach,Lukáš Kalvach,245,17,42,21.101,N/A,Kalvach,-,46,0,FC Viktoria Plzen,Midfield - Defensive Midfield,"1,81 m",Czech Republic,cz,https://www.transfermarkt.us/lukas-kalvach/profil/spieler/283621,https://img.a.transfermarkt.technology/portrait/small/283621-1666810155.jpg?lm=1,N/A,19.07.1995,Unknown,FC Viktoria Plzen
6,Jan Kovarik,Jan Kovařík,270,32,42,17.839,N/A,Kovarik,-,14,0,FC Viktoria Plzen,Midfield - Left Midfield,"1,83 m",Czech Republic,cz,https://www.transfermarkt.us/jan-kovarik/profil/spieler/81800,https://img.a.transfermarkt.technology/portrait/small/81800-1493906412.jpg?lm=1,N/A,19.06.1988,Most,Bohemians Prague 1905
7,Daniel Kolar,Daniel Kolář,316,82,36,24.534,N/A,Kolar,14,35,0,FC Viktoria Plzen,Midfield - Attacking Midfield,"1,81 m",Czech Republic,cz,https://www.transfermarkt.us/daniel-kolar/profil/spieler/43246,https://img.a.transfermarkt.technology/portrait/small/43246-1464947651.jpg?lm=1,N/A,27.10.1985,Praha,Retired
8,Frantisek Rajtoral,František Rajtoral,237,26,31,18.418,N/A,Rajtoral,12,24,0,FC Viktoria Plzen,Defender - Right-Back,"1,79 m",Czech Republic,cz,https://www.transfermarkt.us/frantisek-rajtoral/profil/spieler/34527,https://img.a.transfermarkt.technology/portrait/small/34527-1492975853.jpg?lm=1,N/A,12.03.1986,Příbram,---
9,Tomas Chory,Tomáš Chorý,226,63,28,12.141,N/A,Chory,23,49,0,FC Viktoria Plzen,Attack - Centre-Forward,"1,99 m",Czech Republic,cz,https://www.transfermarkt.us/tomas-chory/profil/spieler/198614,https://img.a.transfermarkt.technology/portrait/small/198614-1515072144.jpg?lm=1,N/A,26.01.1995,Olomouc,SK Slavia Prague
10,Jhon Mosquera,Jhon Édison Mosquera Rebolledo,128,21,24,7.917,N/A,Mosquera,Unknown,25,0,FC Viktoria Plzen,Attack - Left Winger,"1,86 m",Colombia,co,https://www.transfermarkt.us/jhon-mosquera/profil/spieler/239126,https://img.a.transfermarkt.technology/portrait/small/239126-1632312395.jpg?lm=1,N/A,08.05.1990,Santiago de Cali,FK Dukla Prague
11,Radim Reznik,Radim Řezník,308,15,24,24.048,N/A,Reznik,2,46,1,FC Viktoria Plzen,Defender - Right-Back,"1,83 m",Czech Republic,cz,https://www.transfermarkt.us/radim-reznik/profil/spieler/62794,https://img.a.transfermarkt.technology/portrait/small/62794-1713471978.jpg?lm=1,N/A,20.01.1989,Český Těšín,TJ Jiskra Domazlice
12,Pavel Sulc,Pavel Šulc,152,39,24,10.752,N/A,Sulc,11,16,0,FC Viktoria Plzen,Midfield - Attacking Midfield,"1,77 m",Czech Republic,cz,https://www.transfermarkt.us/pavel-sulc/profil/spieler/500053,https://img.a.transfermarkt.technology/portrait/small/500053-1718742395.jpg?lm=1,N/A,29.12.2000,Karlovy Vary,FC Viktoria Plzen
13,Ales Cermak,Aleš Čermák,152,25,23,8.932,N/A,Cermak,-,13,0,FC Viktoria Plzen,Midfield - Attacking Midfield,"1,81 m",Czech Republic,cz,https://www.transfermarkt.us/ales-cermak/profil/spieler/147540,https://img.a.transfermarkt.technology/portrait/small/147540-1696587203.png?lm=1,N/A,01.10.1994,Praha,Bohemians Prague 1905
14,Milan Havel,Milan Havel,214,22,22,16.044,N/A,Havel,19,29,1,FC Viktoria Plzen,Midfield - Right Midfield,"1,83 m",Czech Republic,cz,https://www.transfermarkt.us/milan-havel/profil/spieler/261913,https://img.a.transfermarkt.technology/portrait/small/261913-1498548026.jpg?lm=1,N/A,07.08.1994,Benešov,FC Viktoria Plzen
