rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Tomas Berger,Tomáš Berger,173,35,19,13.063,N/A,Berger,Unknown,29,0,FK Dukla Prague,Midfield - Right Midfield,"1,80 m",Czech Republic,cz,https://www.transfermarkt.us/tomas-berger/profil/spieler/63820,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,22.08.1985,Praha,Retired
2,Petr Maly,Petr Malý,155,22,8,11.337,N/A,Maly,Unknown,25,0,FK Dukla Prague,Midfield - Defensive Midfield,"1,79 m",Czech Republic,cz,https://www.transfermarkt.us/petr-maly/profil/spieler/81972,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,01.06.1984,Unknown,Retired
3,Marek Hanousek,Marek Hanousek,229,21,9,18.511,N/A,Hanousek,-,36,1,FK Dukla Prague,Midfield - Defensive Midfield,"1,86 m",Czech Republic,cz,https://www.transfermarkt.us/marek-hanousek/profil/spieler/76655,https://img.a.transfermarkt.technology/portrait/small/76655-1674763571.png?lm=1,N/A,06.08.1991,Dolní Kralovice,Widzew Lodz
4,Lukas Buchvaldek,Lukáš Buchvaldek,97,20,14,5.268,N/A,Buchvaldek,7,5,0,FK Dukla Prague,Midfield - Attacking Midfield,"1,77 m",Czech Republic,cz,https://www.transfermarkt.us/lukas-buchvaldek/profil/spieler/221266,https://img.a.transfermarkt.technology/portrait/small/221266-1702410918.png?lm=1,N/A,30.01.1996,Unknown,FC Zlin
5,David Kozel,Unknown,108,20,8,7.074,N/A,Kozel,-,16,0,FK Dukla Prague,Midfield - Central Midfield,"1,79 m",Czech Republic,cz,https://www.transfermarkt.us/david-kozel/profil/spieler/580135,https://img.a.transfermarkt.technology/portrait/small/580135-1702410769.png?lm=1,N/A,28.11.2001,Unknown,FK Mlada Boleslav
6,Néstor Albiach,Néstor Albiach Roger,84,15,13,5.041,N/A,Albiach,Unknown,7,0,FK Dukla Prague,Attack - Second Striker,"1,87 m",Spain,es,https://www.transfermarkt.us/nestor-albiach/profil/spieler/257379,https://img.a.transfermarkt.technology/portrait/small/257379-1715149571.png?lm=1,N/A,18.08.1992,Xirivella,NorthEast United FC
7,Jan Pazler,Jan Pázler,86,14,2,3.632,N/A,Pazler,-,3,0,FK Dukla Prague,Attack - Centre-Forward,"1,86 m",Czech Republic,cz,https://www.transfermarkt.us/jan-pazler/profil/spieler/170679,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,10.01.1991,Náchod,FK Olympia Radotin
8,Dominik Preisler,Unknown,83,14,10,5.329,N/A,Preisler,-,6,0,FK Dukla Prague,Midfield - Left Midfield,"1,86 m",Czech Republic,cz,https://www.transfermarkt.us/dominik-preisler/profil/spieler/333637,https://img.a.transfermarkt.technology/portrait/small/333637-1706252154.png?lm=1,N/A,20.09.1995,Unknown,Ruch Chorzow
9,Jan Svatonsky,Jan Svatonský,118,14,2,7.443,N/A,Svatonsky,Unknown,12,0,FK Dukla Prague,Attack - Right Winger,"1,79 m",Czech Republic,cz,https://www.transfermarkt.us/jan-svatonsky/profil/spieler/63993,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,12.05.1984,Vratimov,1.BFK Frydlant nad Ostravici
10,Daniel Tetour,Unknown,155,12,15,11.717,N/A,Tetour,16,26,0,FK Dukla Prague,Midfield - Central Midfield,"1,81 m",Czech Republic,cz,https://www.transfermarkt.us/daniel-tetour/profil/spieler/366883,https://img.a.transfermarkt.technology/portrait/small/366883-1497029157.jpg?lm=1,N/A,17.07.1994,Praha,Ethnikos Achnas
