rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Jan Chramosta,Unknown,218,64,24,14.054,N/A,Chramosta,19,9,0,FK Mlada Boleslav,Attack - Centre-Forward,"1,81 m",Czech Republic,cz,https://www.transfermarkt.us/jan-chramosta/profil/spieler/95792,https://img.a.transfermarkt.technology/portrait/small/95792-1699719703.png?lm=1,N/A,12.10.1990,Praha,FK Jablonec
2,Lukas Magera,Lukáš Magera,168,49,13,10.000,N/A,Magera,-,36,0,FK Mlada Boleslav,Attack - Centre-Forward,"1,95 m",Czech Republic,cz,https://www.transfermarkt.us/lukas-magera/profil/spieler/22055,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,17.01.1983,Opava,SK Slovan Podebrady
3,Nikolay Komlichenko,Комличенко Николай Николаевич,74,46,14,5.554,N/A,Komlichenko,16,14,0,FK Mlada Boleslav,Attack - Centre-Forward,"1,90 m",Russia,unknown,https://www.transfermarkt.us/nikolay-komlichenko/profil/spieler/300538,https://img.a.transfermarkt.technology/portrait/small/300538-1721923239.png?lm=1,N/A,29.06.1995,"Plastunovskaya, Krasnodar Region",FC Rostov
4,Tomas Ladra,Tomáš Ladra,251,39,33,16.711,N/A,Ladra,21,10,0,FK Mlada Boleslav,Attack - Second Striker,"1,78 m",Czech Republic,cz,https://www.transfermarkt.us/tomas-ladra/profil/spieler/334803,https://img.a.transfermarkt.technology/portrait/small/334803-1702842456.png?lm=1,N/A,24.04.1997,Česká Lípa,FK Mlada Boleslav
5,Marek Kulic,Marek Kulič,141,36,37,10.618,N/A,Kulic,18,29,1,FK Mlada Boleslav,Attack - Centre-Forward,"1,75 m",Czech Republic,cz,https://www.transfermarkt.us/marek-kulic/profil/spieler/21058,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,11.10.1975,Hradec Králové,Retired
6,Lubos Pecka,Luboš Pecka,114,35,5,8.488,N/A,Pecka,-,9,0,FK Mlada Boleslav,Attack,"1,78 m",Czech Republic,cz,https://www.transfermarkt.us/lubos-pecka/profil/spieler/26908,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,19.02.1978,Prachatice,FK Laziste
7,Jasmin Scuk,Jasmin Šćuk,163,33,3,13.264,N/A,Scuk,-,31,0,FK Mlada Boleslav,Midfield - Defensive Midfield,"1,85 m",Bosnia-Herzegovina,unknown,https://www.transfermarkt.us/jasmin-scuk/profil/spieler/186639,https://img.a.transfermarkt.technology/portrait/small/186639-1588244371.JPG?lm=1,N/A,14.07.1990,Mostar,Retired
8,Marek Matejovsky,Marek Matějovský,331,26,47,24.008,N/A,Matejovsky,17,90,0,FK Mlada Boleslav,Midfield - Central Midfield,"1,81 m",Czech Republic,cz,https://www.transfermarkt.us/marek-matejovsky/profil/spieler/26906,https://img.a.transfermarkt.technology/portrait/small/26906-1702842881.png?lm=1,N/A,20.12.1981,Brandýs nad Labem,FK Mlada Boleslav
9,Ondrej Zahustel,Ondřej Zahustel,125,25,12,8.531,N/A,Zahustel,-,10,0,FK Mlada Boleslav,Midfield - Right Midfield,"1,87 m",Czech Republic,cz,https://www.transfermarkt.us/ondrej-zahustel/profil/spieler/143148,https://img.a.transfermarkt.technology/portrait/small/143148-1623329859.jpg?lm=1,N/A,18.06.1991,Mladá Boleslav,FC Novy Bor
10,Jan Rajnoch,Jan Rajnoch,94,22,5,8.194,N/A,Rajnoch,4,19,0,FK Mlada Boleslav,Defender - Centre-Back,"1,85 m",Czech Republic,cz,https://www.transfermarkt.us/jan-rajnoch/profil/spieler/21108,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,30.09.1981,Frýdlant,TJ Jiloviste
