name,club,periods
Libor Dosek,1.FC Slovacko,"1997-1998, 1998-1998, 2011-2016"
Marek Havlík,1.FC Slovacko,2013-2025
Vlastimil Danicek,1.FC Slovacko,"2010-2014, 2015-2025"
Jiri Kowalik,1.FC Slovacko,"1998-2004, 2006-2006"
Jan Kalabiska,1.FC Slovacko,2018-2024
Vaclav Jurecka,1.FC Slovacko,2020-2022
Jaroslav Divis,1.FC Slovacko,"2014-2017, 2019-2019"
Milan Petrzela,1.FC Slovacko,"2003-2006, 2019-2025"
Milan Ivana,1.FC Slovacko,"2004-2007, 2008-2008"
Jiri Valenta,1.FC Slovacko,"2010-2011, 2012-2016"
Milan Kerbr,1.FC Slovacko,"2011-2012, 2012-2015, 2015-2017"
Lukas Sadilek,1.FC Slovacko,"2015-2016, 2016-2017, 2017-2022"
Vaclav Ondrejka,1.FC Slovacko,"2009-2012, 2013-2014, 2015-2015"
Michal Meduna,1.FC Slovacko,2001-2004
Petr Svancara,1.FC Slovacko,"1997-1998, 2009-2011"
Tomas Polach,1.FC Slovacko,2000-2006
Rigino Cicilia,1.FC Slovacko,"2020-2022, 2023-2025"
Jan Kliment,1.FC Slovacko,2020-2021
Ladislav Volesak,1.FC Slovacko,2010-2014
Tomas Kosut,1.FC Slovacko,2010-2017
Vaclav Cincala,1.FC Slovacko,"2001-2004, 2007-2008"
Lubomir Blaha,1.FC Slovacko,1999-2002
Jan Nezmar,1.FC Slovacko,2003-2005
Filip Hlupik,1.FC Slovacko,2010-2017
Ondrej Mihalik,1.FC Slovacko,2022-2024
Filip Vecheta,1.FC Slovacko,2021-2024
Ondrej Sasinka,1.FC Slovacko,"2019-2019, 2021-2023"
Lubos Kalouda,1.FC Slovacko,2014-2017
Michal Kohut,1.FC Slovacko,"2019-2019, 2019-2025"
Michal Travnik,1.FC Slovacko,"2012-2015, 2022-2023, 2023-2025"
Jan Trousil,1.FC Slovacko,"1998-2002, 2011-2014"
Pavel Juroska,1.FC Slovacko,2023-2025
Vlasiy Sinyavskiy,1.FC Slovacko,2022-2025
Ales Chmelicek,1.FC Slovacko,2007-2010
Daniel Holzer,1.FC Slovacko,2021-2024
Martin Abraham,1.FC Slovacko,2001-2005
Velice Sumulikoski,1.FC Slovacko,"2002-2004, 2013-2018"
Filip Kubala,1.FC Slovacko,"2016-2019, 2019-2019, 2019-2020, 2020-2021, 2022-2022"
Jan Navratil,1.FC Slovacko,2017-2022
Libor Soldan,1.FC Slovacko,1997-2002
Lukas Fujerik,1.FC Slovacko,"2009-2009, 2009-2013"
Francis Koné,1.FC Slovacko,2015-2017
Michal Ordos,1.FC Slovacko,2004-2006
Jakub Petr,1.FC Slovacko,"2013-2014, 2017-2019"
Seung-bin Kim,1.FC Slovacko,2023-2025
Pavel Nemcicky,1.FC Slovacko,1999-2010
Petr Pavlik,1.FC Slovacko,2004-2006
Jan Kuchta,1.FC Slovacko,2018-2018
Patrik Brandner,1.FC Slovacko,2022-2024
Marian Kovar,1.FC Slovacko,2015-2016
David Pavelka,1.FC Slovacko,2011-2012
Michal Kadlec,1.FC Slovacko,"2001-2005, 2018-2024"
Thomas Sowunmi,1.FC Slovacko,2005-2007
Jan Juroska,1.FC Slovacko,2017-2020
Cléber,1.FC Slovacko,2009-2011
Martin Kuncl,1.FC Slovacko,2010-2016
Petr Coupek,1.FC Slovacko,2003-2005
Michael Krmencik,1.FC Slovacko,2024-2025
Michal Kordula,1.FC Slovacko,2009-2013
Matyas Kozak,1.FC Slovacko,2024-2025
Tomas Vajda,1.FC Slovacko,1997-2003
Jan Rajnoch,1.FC Slovacko,2004-2006
Matej Valenta,1.FC Slovacko,2023-2023
Eldar Civic,1.FC Slovacko,2014-2017
Libor Kozák,1.FC Slovacko,2022-2023
Radek Szmek,1.FC Slovacko,"2010-2011, 2012-2013"
Pavol Kopacka,1.FC Slovacko,1999-2002
Petr Kasprak,1.FC Slovacko,"2006-2008, 2008-2009"
Ferenc Róth,1.FC Slovacko,2005-2007
Vitezslav Brozik,1.FC Slovacko,2006-2007
Tomas Tok,1.FC Slovacko,"2016-2018, 2018-2018, 2018-2019, 2019-2019"
Tomas Mica,1.FC Slovacko,2001-2004
Radek Görner,1.FC Slovacko,"2006-2008, 2009-2009"
Zbynek Pospech,1.FC Slovacko,2004-2005
Michal Gonda,1.FC Slovacko,2008-2010
Marko Kvasina,1.FC Slovacko,2024-2025
Dominik Janosek,1.FC Slovacko,"2018-2018, 2018-2019"
Tomas Ineman,1.FC Slovacko,2006-2009
Ilija Nestorovski,1.FC Slovacko,"2010-2011, 2011-2012, 2012-2013, 2015-2015"
Dusko Stajic,1.FC Slovacko,2004-2005
Jaromir Srubek,1.FC Slovacko,"2021-2021, 2023-2024"
Jiri Krejci,1.FC Slovacko,2018-2020
Patrik Hellebrand,1.FC Slovacko,"2017-2020, 2020-2020"
Tomas Docekal,1.FC Slovacko,2014-2014
Tomas Brecka,1.FC Slovacko,"2013-2018, 2022-2025"
Ondrej Smetana,1.FC Slovacko,2009-2009
Richard Dostalek,1.FC Slovacko,2005-2005
Patrik Blahut,1.FC Slovacko,"2024-2024, 2024-2025"
Ondrej Zahustel,1.FC Slovacko,2020-2020
