rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,David Lafata,David Lafata,172,94,19,15.04,2007-2018,Lafata,21,26,0,FK Jablonec,Attack - Centre-Forward,"1,80 m",Czech Republic,cz,https://www.transfermarkt.us/david-lafata/profil/spieler/5077,https://img.a.transfermarkt.technology/portrait/small/5077-1418295185.jpg?lm=1,,18.09.1981,České Budějovice,Retired
2,Martin Dolezal,Martin Doležal,275,85,25,18.926,,Dolezal,11,23,1,FK Jablonec,Attack - Centre-Forward,"1,89 m",Czech Republic,cz,https://www.transfermarkt.us/martin-dolezal/profil/spieler/82026,https://img.a.transfermarkt.technology/portrait/small/82026-1703615700.png?lm=1,,03.05.1990,Valašské Meziříčí,TJ Valasske Mezirici
3,Jan Chramosta,Unknown,173,49,12,8.422,"2018-2021, 2022-2025",Chramosta,19,5,0,FK Jablonec,Attack - Centre-Forward,"1,81 m",Czech Republic,cz,https://www.transfermarkt.us/jan-chramosta/profil/spieler/95792,https://img.a.transfermarkt.technology/portrait/small/95792-1699719703.png?lm=1,,12.10.1990,Praha,FK Jablonec
4,Radim Holub,Unknown,135,34,13,9.969,1996-2001,Holub,-,7,0,FK Jablonec,Attack - Centre-Forward,"1,76 m",Czech Republic,cz,https://www.transfermarkt.us/radim-holub/profil/spieler/26773,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,,12.11.1975,Pardubice,SK Drenice
5,Tomas Michalek,Tomáš Michálek,182,34,5,10.946,"2001-2006, 2008-2018",Michalek,Unknown,10,0,FK Jablonec,Midfield - Right Midfield,"1,78 m",Czech Republic,cz,https://www.transfermarkt.us/tomas-michalek/profil/spieler/21083,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,,27.11.1977,Unknown,Retired
6,Radovan Hromadko,Radovan Hromádko,116,31,19,9.526,,Hromadko,-,6,0,FK Jablonec,Attack - Centre-Forward,"1,92 m",Czech Republic,cz,https://www.transfermarkt.us/radovan-hromadko/profil/spieler/214419,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,,16.05.1969,Náchod,Retired
7,Jan Kopic,Jan Kopic,149,31,22,11.455,,Kopic,19,19,0,FK Jablonec,Midfield - Right Midfield,"1,80 m",Czech Republic,cz,https://www.transfermarkt.us/jan-kopic/profil/spieler/119103,https://img.a.transfermarkt.technology/portrait/small/119103-1703072679.png?lm=1,,04.06.1990,Humpolec,FC Viktoria Plzen
8,Karel Piták,Unknown,116,31,29,8.605,,Piták,-,21,0,FK Jablonec,Midfield - Central Midfield,"1,82 m",Czech Republic,cz,https://www.transfermarkt.us/karel-pitak/profil/spieler/21102,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,,28.01.1980,Hradec Králové,SC Xaverov Horni Pocernice
9,Milos Kratochvil,Miloš Kratochvíl,167,26,11,12.959,2018-2024,Kratochvil,7,44,0,FK Jablonec,Midfield - Central Midfield,"1,86 m",Czech Republic,cz,https://www.transfermarkt.us/milos-kratochvil/profil/spieler/289464,https://img.a.transfermarkt.technology/portrait/small/289464-1699719436.png?lm=1,,26.04.1996,Karlovy Vary,Spartak Trnava
10,Stanislav Tecl,Unknown,59,22,6,4.41,"2015-2017, 2017-2018",Tecl,18,4,1,FK Jablonec,Attack - Centre-Forward,"1,81 m",Czech Republic,cz,https://www.transfermarkt.us/stanislav-tecl/profil/spieler/81390,https://img.a.transfermarkt.technology/portrait/small/81390-1697832489.png?lm=1,,01.09.1990,Jindřichův Hradec,Retired
