rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Ivo Taborsky,Ivo Táborský,157,41,7,9.221,"2005-2006, 2006-2007, 2012-2013, 2016-2020",Taborsky,-,20,0,SK Dynamo Ceske Budejovice,Attack - Left Winger,"1,84 m",Czech Republic,cz,https://www.transfermarkt.us/ivo-taborsky/profil/spieler/21128,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,,10.05.1985,Praha,Retired
2,Karel Vacha,Karel Vácha,138,39,12,10.865,1990-2005,Vacha,-,14,1,SK Dynamo Ceske Budejovice,Attack - Centre-Forward,"1,82 m",Czech Republic,cz,https://www.transfermarkt.us/karel-vacha/profil/spieler/108143,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,,02.08.1970,České Budějovice,Retired
3,Ladislav Fujdiar,Unknown,144,32,8,9.639,1989-2007,Fujdiar,Unknown,24,1,SK Dynamo Ceske Budejovice,Attack,Unknown,Czech Republic,cz,https://www.transfermarkt.us/ladislav-fujdiar/profil/spieler/377027,https://img.a.transfermarkt.technology/portrait/small/377027-1454175862.jpg?lm=1,,29.01.1967,Kladno,Retired
4,Lukas Havel,Lukáš Havel,205,29,6,16.253,"2015-2015, 2015-2016, 2016-2024",Havel,Unknown,22,2,SK Dynamo Ceske Budejovice,Defender - Centre-Back,"1,87 m",Czech Republic,cz,https://www.transfermarkt.us/lukas-havel/profil/spieler/383869,https://img.a.transfermarkt.technology/portrait/small/383869-1700723880.png?lm=1,,06.06.1996,České Budějovice,FK Teplice
5,Zdenek Ondrasek,Zdeněk Ondrášek,131,28,9,8.543,"2008-2009, 2009-2012, 2012-2012, 2023-2025",Ondrasek,13,18,0,SK Dynamo Ceske Budejovice,Attack - Centre-Forward,"1,86 m",Czech Republic,cz,https://www.transfermarkt.us/zdenek-ondrasek/profil/spieler/72947,https://img.a.transfermarkt.technology/portrait/small/72947-1700769529.png?lm=1,,22.12.1988,Strakonice,SK Dynamo Ceske Budejovice
6,David Lafata,David Lafata,109,27,4,7.488,,Lafata,21,16,0,SK Dynamo Ceske Budejovice,Attack - Centre-Forward,"1,80 m",Czech Republic,cz,https://www.transfermarkt.us/david-lafata/profil/spieler/5077,https://img.a.transfermarkt.technology/portrait/small/5077-1418295185.jpg?lm=1,,18.09.1981,České Budějovice,Retired
7,David Ledecký,Unknown,65,24,4,4.346,2018-2021,Ledecký,Unknown,13,0,SK Dynamo Ceske Budejovice,Attack - Centre-Forward,"1,85 m",Czech Republic,cz,https://www.transfermarkt.us/david-ledecky/profil/spieler/333654,https://img.a.transfermarkt.technology/portrait/small/333654-1678638927.JPG?lm=1,,24.07.1993,Brandýs nad Labem-Stará Boleslav,SK Wullersdorf
8,Jan Saidl,Unknown,100,24,13,6.985,,Saidl,Unknown,8,0,SK Dynamo Ceske Budejovice,Attack,Unknown,Czech Republic,cz,https://www.transfermarkt.us/jan-saidl/profil/spieler/214667,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,,21.09.1970,Unknown,Retired
9,Petr Benat,Petr Benát,200,24,20,14.999,"2008-2011, 2012-2018",Benat,Unknown,12,0,SK Dynamo Ceske Budejovice,Midfield - Attacking Midfield,"1,84 m",Czech Republic,cz,https://www.transfermarkt.us/petr-benat/profil/spieler/21006,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,,20.05.1980,Děčín,Retired
10,Richard Kalod,Richard Kalod,78,20,7,5.683,2013-2017,Kalod,Unknown,19,0,SK Dynamo Ceske Budejovice,Attack - Centre-Forward,"1,93 m",Czech Republic,cz,https://www.transfermarkt.us/richard-kalod/profil/spieler/62843,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,,08.05.1984,Roznov pod Radhostem,TJ Viktoria Vestec
