name,status,profile_url,image_url,jersey_name,jersey_number,nation,nation_code,club,place_of_birth,full_name,position,height,date_of_birth,appearances,goals,assists,own_goals,yellow_cards,second_yellow,red_cards,substituted_on,substituted_off,minutes_played
Ian Callaghan,Retired,https://www.transfermarkt.us/ian-callaghan/profil/spieler/176036,https://img.a.transfermarkt.technology/portrait/small/176036-1597915647.jpg?lm=1,Callaghan,-,England,unknown,Liverpool FC,Liverpool,Ian Robert Callaghan,Midfield - Right Midfield,"1,70 m",10.04.1942,846,67,85,0,1,0,0,7,7,75.882
Jamie Carragher,Retired,https://www.transfermarkt.us/jamie-carragher/profil/spieler/3597,https://img.a.transfermarkt.technology/portrait/small/3597-1719155810.jpg?lm=1,Carragher,18,England,unknown,Liverpool FC,Bootle,James Lee Duncan Carragher,Defender - Centre-Back,"1,85 m",28.01.1978,737,4,20,8,92,0,3,35,36,63.361
Steven Gerrard,Retired,https://www.transfermarkt.us/steven-gerrard/profil/spieler/3109,https://img.a.transfermarkt.technology/portrait/small/3109-1719152556.jpg?lm=1,Gerrard,4,England,unknown,Liverpool FC,Whiston,Steven George Gerrard,Midfield - Central Midfield,"1,83 m",30.05.1980,710,186,155,3,78,3,4,63,138,57.709
Ray Clemence,---,https://www.transfermarkt.us/ray-clemence/profil/spieler/130301,https://img.a.transfermarkt.technology/portrait/small/130301-1605604895.jpg?lm=1,Clemence,1,England,unknown,Liverpool FC,Skegness,Raymond Neal Clemence,Goalkeeper,N/A,05.08.1948,658,0,1,0,3,0,0,0,0,59.430
Emlyn Hughes,---,https://www.transfermarkt.us/emlyn-hughes/profil/spieler/176065,https://img.a.transfermarkt.technology/portrait/small/176065-1588840727.jpg?lm=1,Hughes,-,England,unknown,Liverpool FC,Barrow-in-Furness,Emlyn Walter Hughes,Defender - Left-Back,N/A,28.08.1947,656,48,17,2,5,0,1,0,5,58.987
Ian Rush,Retired,https://www.transfermarkt.us/ian-rush/profil/spieler/145743,https://img.a.transfermarkt.technology/portrait/small/145743-1524842870.jpg?lm=1,Rush,9,Wales,unknown,Liverpool FC,St. Asaph,Ian James Rush,Attack - Centre-Forward,"1,83 m",20.10.1961,653,339,110,0,7,0,1,30,36,56.443
Phil Neal,Retired,https://www.transfermarkt.us/phil-neal/profil/spieler/130308,https://img.a.transfermarkt.technology/portrait/small/130308-1544094978.jpg?lm=1,Neal,14,England,unknown,Liverpool FC,Irchester,Philip George Neal,Defender - Right-Back,N/A,20.02.1951,649,59,42,3,8,0,0,2,5,58.612
Tommy Smith,---,https://www.transfermarkt.us/tommy-smith/profil/spieler/176056,https://img.a.transfermarkt.technology/portrait/small/176056-1597915849.jpg?lm=1,Smith,-,England,unknown,Liverpool FC,Liverpool,Thomas Smith,Defender - Centre-Back,"1,78 m",05.04.1945,629,47,33,2,12,0,1,1,4,56.649
Bruce Grobbelaar,Retired,https://www.transfermarkt.us/bruce-grobbelaar/profil/spieler/145786,https://img.a.transfermarkt.technology/portrait/small/s_145786_123_2014_01_02_1.jpg?lm=1,Grobbelaar,-,Zimbabwe,zw,Liverpool FC,Durban,Bruce David Grobbelaar,Goalkeeper,N/A,06.10.1957,619,0,3,1,0,0,1,0,2,56.329
Alan Hansen,Retired,https://www.transfermarkt.us/alan-hansen/profil/spieler/135268,https://img.a.transfermarkt.technology/portrait/small/135268-1544095088.jpg?lm=1,Hansen,-,Scotland,unknown,Liverpool FC,Sauchie,Alan David Hansen,Defender - Centre-Back,"1,88 m",13.06.1955,614,14,19,4,9,0,0,2,11,55.254
Chris Lawler,Retired,https://www.transfermarkt.us/chris-lawler/profil/spieler/176038,https://img.a.transfermarkt.technology/portrait/small/176038-1490792086.jpg?lm=1,Lawler,-,England,unknown,Liverpool FC,Liverpool,Christopher Lawler,Defender - Right-Back,Unknown,20.10.1943,541,59,9,0,2,0,0,0,4,48.784
Kenny Dalglish,Retired,https://www.transfermarkt.us/kenny-dalglish/profil/spieler/135269,https://img.a.transfermarkt.technology/portrait/small/135269-1595575902.jpg?lm=1,Dalglish,8,Scotland,unknown,Liverpool FC,Dalmarnock,Sir Kenneth Mathieson Dalglish,Attack - Second Striker,"1,73 m",04.03.1951,511,170,186,0,4,0,1,17,28,44.670
Billy Liddell,---,https://www.transfermarkt.us/billy-liddell/profil/spieler/295527,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Liddell,-,Scotland,unknown,Liverpool FC,Townhill,William Beveridge Liddell,Attack - Left Winger,Unknown,10.01.1922,492,203,76,0,0,0,0,0,0,44.310
Jordan Henderson,Ajax Amsterdam,https://www.transfermarkt.us/jordan-henderson/profil/spieler/61651,https://img.a.transfermarkt.technology/portrait/small/61651-1662621084.jpg?lm=1,Henderson,-,England,unknown,Liverpool FC,Sunderland,Jordan Brian Henderson,Midfield - Central Midfield,"1,82 m",17.06.1990,492,33,58,0,53,1,1,83,115,36.537
Ronnie Whelan,Retired,https://www.transfermarkt.us/ronnie-whelan/profil/spieler/102501,https://img.a.transfermarkt.technology/portrait/small/102501-1697104574.jpg?lm=1,Whelan,-,Ireland,ie,Liverpool FC,Dublin,Ronald Andrew Whelan,Midfield - Left Midfield,N/A,25.09.1961,484,73,50,2,4,0,0,18,19,42.284
Phil Thompson,Retired,https://www.transfermarkt.us/phil-thompson/profil/spieler/130310,https://img.a.transfermarkt.technology/portrait/small/s_130310_123_2013_12_04_1.jpg?lm=1,Thompson,18,England,unknown,Liverpool FC,Liverpool,Philip Bernard Thompson,Defender - Centre-Back,"1,83 m",21.01.1954,477,13,11,3,2,0,0,7,10,42.257
Steve Heighway,Retired,https://www.transfermarkt.us/steve-heighway/profil/spieler/176090,https://img.a.transfermarkt.technology/portrait/small/176090-1563376342.jpg?lm=1,Heighway,-,Ireland,ie,Liverpool FC,Dublin,Stephen Derek Heighway,Midfield - Right Midfield,Unknown,25.11.1947,471,76,67,0,0,0,0,27,48,39.803
Roger Hunt,---,https://www.transfermarkt.us/roger-hunt/profil/spieler/176053,https://img.a.transfermarkt.technology/portrait/small/176053-1633074665.png?lm=1,Hunt,21,England,unknown,Liverpool FC,Golborne,Unknown,Attack - Centre-Forward,"1,75 m",20.07.1938,466,274,38,0,0,0,0,5,4,41.672
Sami Hyypiä,Retired,https://www.transfermarkt.us/sami-hyypia/profil/spieler/3470,https://img.a.transfermarkt.technology/portrait/small/3470-1588600026.jpg?lm=1,Hyypiä,4,Finland,fi,Liverpool FC,Porvoo,Sami Tuomas Hyypiä,Defender - Centre-Back,N/A,07.10.1973,464,35,15,3,26,0,1,9,18,40.715
Steve Nicol,Retired,https://www.transfermarkt.us/steve-nicol/profil/spieler/107096,https://img.a.transfermarkt.technology/portrait/small/s_107096_123_2014_01_03_1.jpg?lm=1,Nicol,-,Scotland,unknown,Liverpool FC,Irvine,Stephen Nicol,Defender - Right-Back,N/A,11.12.1961,458,45,46,2,4,0,0,17,16,40.315
