name,status,profile_url,image_url,jersey_name,jersey_number,nation,nation_code,club,place_of_birth,full_name,position,height,date_of_birth,appearances,goals,assists,own_goals,yellow_cards,second_yellow,red_cards,substituted_on,substituted_off,minutes_played
Jimmy Lawrence,---,https://www.transfermarkt.us/jimmy-lawrence/profil/spieler/956367,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Lawrence,-,Scotland,unknown,Newcastle United,Glasgow,James Lawrence,Goalkeeper,"1,74 m",16.02.1879,498,0,0,0,0,0,0,0,1,44.851
Frank Hudspeth,---,https://www.transfermarkt.us/frank-hudspeth/profil/spieler/956366,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Hudspeth,-,England,unknown,Newcastle United,North Shields,Francis Carr Hudspeth,Defender - Left-Back,"1,7 m",20.04.1890,472,37,0,1,1,0,1,0,1,42.500
Shay Given,Retired,https://www.transfermarkt.us/shay-given/profil/spieler/3146,https://img.a.transfermarkt.technology/portrait/small/3146-1410949943.jpg?lm=1,Given,23,Ireland,ie,Newcastle United,Lifford,Séamus John James Given,Goalkeeper,"1,85 m",20.04.1976,463,0,3,1,14,0,1,1,10,41.373
Frank Clark,Retired,https://www.transfermarkt.us/frank-clark/profil/spieler/244554,https://img.a.transfermarkt.technology/portrait/small/244554-1673274710.jpg?lm=1,Clark,-,England,unknown,Newcastle United,Rowlands Gill,Frank Albert Clark,Defender - Left-Back,Unknown,09.09.1943,457,1,3,1,6,0,0,1,3,41.060
Alf McMichael,---,https://www.transfermarkt.us/alf-mcmichael/profil/spieler/247112,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,McMichael,-,Northern Ireland,unknown,Newcastle United,Belfast,Alfred McMichael,Defender - Left-Back,"1,78 m",01.10.1927,433,1,0,3,0,0,0,0,0,38.970
Bill McCracken,---,https://www.transfermarkt.us/bill-mccracken/profil/spieler/956368,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,McCracken,-,Northern Ireland,unknown,Newcastle United,Belfast,William Robert McCracken,Defender - Right-Back,"1,75 m",29.01.1883,433,8,4,0,1,0,1,0,2,38.880
Dave Craig,Retired,https://www.transfermarkt.us/dave-craig/profil/spieler/253804,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Craig,-,Northern Ireland,unknown,Newcastle United,Belfast,David Craig,Defender - Right-Back,"1,73 m",08.06.1944,413,11,1,2,1,0,0,6,13,36.435
Bobby Mitchell,---,https://www.transfermarkt.us/bobby-mitchell/profil/spieler/831438,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Mitchell,-,Scotland,unknown,Newcastle United,Glasgow,Robert Carmichael Mitchell,Attack - Left Winger,Unknown,16.08.1924,410,113,5,0,0,0,0,0,0,37.020
Alan Shearer,Retired,https://www.transfermarkt.us/alan-shearer/profil/spieler/3110,https://img.a.transfermarkt.technology/portrait/small/3110-1485180006.jpg?lm=1,Shearer,9,England,unknown,Newcastle United,Newcastle upon Tyne,Unknown,Attack - Centre-Forward,"1,83 m",13.08.1970,405,206,58,0,44,1,1,9,30,35.487
Jackie Milburn,---,https://www.transfermarkt.us/jackie-milburn/profil/spieler/241877,https://img.a.transfermarkt.technology/portrait/small/241877-1697134554.jpg?lm=1,Milburn,-,England,unknown,Newcastle United,Ashington,John Edward Thompson Milburn,Attack - Centre-Forward,Unknown,11.05.1924,399,201,6,0,0,0,0,0,0,36.000
Shola Ameobi,Retired,https://www.transfermarkt.us/shola-ameobi/profil/spieler/3276,https://img.a.transfermarkt.technology/portrait/small/s_3276_762_2013_08_07_1.jpg?lm=1,Ameobi,23,Nigeria,ng,Newcastle United,Zaria,Foluwashola Ameobi,Attack - Centre-Forward,"1,91 m",12.10.1981,398,79,43,1,34,2,1,179,103,21.098
Rob Lee,Retired,https://www.transfermarkt.us/rob-lee/profil/spieler/14183,https://img.a.transfermarkt.technology/portrait/small/14183-1596801630.jpg?lm=1,Lee,-,England,unknown,Newcastle United,London,Robert Martin Lee,Midfield - Central Midfield,"1,78 m",01.02.1966,381,56,51,0,43,1,0,12,57,32.472
Wilf Low,---,https://www.transfermarkt.us/wilf-low/profil/spieler/957488,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Low,-,Scotland,unknown,Newcastle United,Aberdeen,Wilfrid Lawson Low,Defender - Centre-Back,"1,80 m",08.12.1884,367,9,0,0,1,0,0,0,2,33.060
Tom McDonald,---,https://www.transfermarkt.us/tom-mcdonald/profil/spieler/956369,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,McDonald,Unknown,Scotland,unknown,Newcastle United,Inverness,Thomas Henry McDonald,Attack - Second Striker,"1,75 m",25.09.1895,366,113,0,0,0,0,0,0,1,32.908
Willie McFaul,Retired,https://www.transfermarkt.us/willie-mcfaul/profil/spieler/305955,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,McFaul,-,Northern Ireland,unknown,Newcastle United,Coleraine,William Stewart Liam McFaul,Goalkeeper,"1,75 m",01.10.1943,353,0,1,1,0,0,0,0,1,31.850
Frank Brennan,---,https://www.transfermarkt.us/frank-brennan/profil/spieler/768967,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Brennan,-,Scotland,unknown,Newcastle United,Annathill,Francis Brennan,Defender - Centre-Back,"1,91 m",23.04.1924,349,3,0,4,0,0,0,0,0,31.440
Bobby Moncur,Retired,https://www.transfermarkt.us/bobby-moncur/profil/spieler/296943,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Moncur,-,Scotland,unknown,Newcastle United,Perth,Robert Moncur,Defender - Centre-Back,Unknown,19.01.1945,345,7,1,2,1,0,0,3,2,30.915
Jock Rutherford,---,https://www.transfermarkt.us/jock-rutherford/profil/spieler/376201,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Rutherford,-,England,unknown,Newcastle United,Percy Main,John Rutherford,Attack - Right Winger,"1,75 m",12.10.1884,336,94,24,0,0,0,0,0,5,30.161
John Anderson,Retired,https://www.transfermarkt.us/john-anderson/profil/spieler/118338,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Anderson,-,Ireland,ie,Newcastle United,Dublin,John Christopher Patrick Anderson,Defender - Right-Back,"1,81 m",07.11.1959,330,15,1,1,8,0,1,16,19,28.127
Bobby Cowell,---,https://www.transfermarkt.us/bobby-cowell/profil/spieler/956462,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Cowell,Unknown,England,unknown,Newcastle United,County Durham,Robert Cowell,Defender - Right-Back,"1,75 m",05.12.1922,328,0,0,2,1,0,0,0,0,29.610
Kenny Wharton,Retired,https://www.transfermarkt.us/kenny-wharton/profil/spieler/481131,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Wharton,Unknown,England,unknown,Newcastle United,Newcastle upon Tyne,Kenneth Wharton,Defender - Left-Back,"1,70 m",28.11.1960,327,28,8,2,23,0,1,24,19,27.435
Peter Beardsley,Retired,https://www.transfermarkt.us/peter-beardsley/profil/spieler/102030,https://img.a.transfermarkt.technology/portrait/small/s_102030_123_2012_1.jpg?lm=1,Beardsley,20,England,unknown,Newcastle United,Hexham,Peter Andrew Beardsley,Attack - Second Striker,"1,73 m",18.01.1961,326,121,42,0,14,0,0,4,18,28.675
Colin Veitch,---,https://www.transfermarkt.us/colin-veitch/profil/spieler/956370,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Veitch,-,England,unknown,Newcastle United,Newcastle upon Tyne,Colin Campbell McKechnie Veitch,Midfield - Right Midfield,"1,67 m",22.05.1881,322,49,7,0,0,0,0,0,0,29.040
