rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Bryan Mbeumo,Bryan Tetsadong Marceau Mbeumo,233,65,47,17.576,N/A,Mbeumo,11,20,0,Brentford FC,Attack - Right Winger,"1,71 m",Cameroon,cm,https://www.transfermarkt.us/bryan-mbeumo/profil/spieler/413039,https://img.a.transfermarkt.technology/portrait/small/413039-1668505084.jpg?lm=1,N/A,07.08.1999,Avallon,Brentford FC
2,Sergi Canós,Sergi Canós Tenés,249,36,32,13.877,N/A,Canós,17,30,1,Brentford FC,Attack - Left Winger,"1,77 m",Spain,es,https://www.transfermarkt.us/sergi-canos/profil/spieler/251845,https://img.a.transfermarkt.technology/portrait/small/251845-1538466933.jpg?lm=1,N/A,02.02.1997,Nules,Valencia CF
3,Sam Saunders,Sam Daniel Saunders,206,30,32,10.971,N/A,Saunders,Unknown,18,0,Brentford FC,Midfield - Central Midfield,"1,73 m",England,unknown,https://www.transfermarkt.us/sam-saunders/profil/spieler/66892,https://img.a.transfermarkt.technology/portrait/small/66892-1484923916.jpg?lm=1,N/A,29.08.1983,London,Retired
4,Alan Judge,Alan Christopher Judge,140,26,31,9.788,N/A,Judge,19,20,0,Brentford FC,Midfield - Central Midfield,"1,68 m",Ireland,ie,https://www.transfermarkt.us/alan-judge/profil/spieler/42249,https://img.a.transfermarkt.technology/portrait/small/42249-1538465341.jpg?lm=1,N/A,11.11.1988,Dublin,Braintree Town
5,Mathias Jensen,Unknown,225,12,27,14.780,N/A,Jensen,8,17,0,Brentford FC,Midfield - Central Midfield,"1,80 m",Denmark,dk,https://www.transfermarkt.us/mathias-jensen/profil/spieler/319859,https://img.a.transfermarkt.technology/portrait/small/319859-1684771732.jpg?lm=1,N/A,01.01.1996,"Jerslev, West Zealand",Brentford FC
6,Saïd Benrahma,محمد سعيد بن رحمة,94,30,26,6.813,N/A,Benrahma,-,7,0,Brentford FC,Attack - Left Winger,"1,72 m",Algeria,dz,https://www.transfermarkt.us/said-benrahma/profil/spieler/290532,https://img.a.transfermarkt.technology/portrait/small/290532-1686212081.jpg?lm=1,N/A,10.08.1995,Aïn Témouchent,NEOM SC
7,Ivan Toney,Unknown,141,72,23,11.984,N/A,Unknown,Unknown,29,0,Brentford FC,Unknown,Unknown,England,unknown,https://www.transfermarkt.us/ivan-toney/profil/spieler/251664,https://img.a.transfermarkt.technology/portrait/small/251664-1677676808.jpg?lm=1,N/A,16.03.1996,Unknown,Al-Ahli SFC
8,Clayton Donaldson,Clayton Andrew Donaldson,155,53,21,12.959,N/A,Donaldson,-,11,0,Brentford FC,Attack - Centre-Forward,"1,85 m",Jamaica,jm,https://www.transfermarkt.us/clayton-donaldson/profil/spieler/52721,https://img.a.transfermarkt.technology/portrait/small/52721-1469696519.jpg?lm=1,N/A,07.02.1984,Bradford,Retired
9,Romaine Sawyers,Unknown,135,8,20,10.971,N/A,Unknown,Unknown,21,0,Brentford FC,Unknown,Unknown,St. Kitts & Nevis,unknown,https://www.transfermarkt.us/romaine-sawyers/profil/spieler/113036,https://img.a.transfermarkt.technology/portrait/small/113036-1538466674.jpg?lm=1,N/A,02.11.1991,Unknown,Bristol Rovers
10,Charlie MacDonald,Charles Lea MacDonald,127,45,19,10.505,N/A,MacDonald,Unknown,5,0,Brentford FC,Attack - Centre-Forward,"1,75 m",England,unknown,https://www.transfermarkt.us/charlie-macdonald/profil/spieler/51351,https://img.a.transfermarkt.technology/portrait/small/s_51351_1078_2013_09_23_1.jpg?lm=1,N/A,13.02.1981,London,Retired
11,Jake Bidwell,Jake Brian Bidwell,211,2,18,18.391,N/A,Bidwell,-,24,1,Brentford FC,Defender - Left-Back,"1,83 m",England,unknown,https://www.transfermarkt.us/jake-bidwell/profil/spieler/121250,https://img.a.transfermarkt.technology/portrait/small/121250-1663853596.jpg?lm=1,N/A,21.03.1993,Southport,Coventry City
12,Neal Maupay,Unknown,126,49,17,8.178,N/A,Maupay,18,26,0,Brentford FC,Attack - Centre-Forward,"1,71 m",France,fr,https://www.transfermarkt.us/neal-maupay/profil/spieler/217115,https://img.a.transfermarkt.technology/portrait/small/217115-1700737951.jpg?lm=1,N/A,14.08.1996,Versailles,Olympique Marseille
13,Toumani Diagouraga,Unknown,246,7,16,18.611,N/A,Diagouraga,Unknown,34,0,Brentford FC,Midfield - Defensive Midfield,"1,88 m",France,fr,https://www.transfermarkt.us/toumani-diagouraga/profil/spieler/37010,https://img.a.transfermarkt.technology/portrait/small/s_37010_1148_2013_09_23_1.jpg?lm=1,N/A,09.06.1987,Paris,Retired
14,Christian Nørgaard,Christian Thers Nørgaard,187,12,16,15.015,N/A,Nørgaard,15,40,1,Brentford FC,Midfield - Defensive Midfield,"1,87 m",Denmark,dk,https://www.transfermarkt.us/christian-norgaard/profil/spieler/148367,https://img.a.transfermarkt.technology/portrait/small/148367-1699799827.jpg?lm=1,N/A,10.03.1994,København,Brentford FC
15,Ollie Watkins,Unknown,143,49,14,11.633,N/A,Unknown,Unknown,17,0,Brentford FC,Unknown,Unknown,England,unknown,https://www.transfermarkt.us/ollie-watkins/profil/spieler/324358,https://img.a.transfermarkt.technology/portrait/small/324358-1708341279.jpg?lm=1,N/A,30.12.1995,Unknown,Aston Villa
16,Myles Weston,Myles Arthur Eugene Wesley Weston,129,14,14,8.753,N/A,Weston,9,6,0,Brentford FC,Attack - Left Winger,"1,80 m",Antigua and Barbuda,ag,https://www.transfermarkt.us/myles-weston/profil/spieler/55525,https://img.a.transfermarkt.technology/portrait/small/s_55525_2814_2013_09_23_1.jpg?lm=1,N/A,12.03.1988,London,Hornchurch FC
17,Lasse Vibe,Unknown,97,37,13,6.495,N/A,Vibe,21,2,0,Brentford FC,Attack - Centre-Forward,"1,81 m",Denmark,dk,https://www.transfermarkt.us/lasse-vibe/profil/spieler/62680,https://img.a.transfermarkt.technology/portrait/small/62680-1601552880.jpg?lm=1,N/A,22.02.1987,Tranbjerg,Retired
18,Emiliano Marcondes,Emiliano Marcondes Camargo Hansen,97,7,13,4.495,N/A,Marcondes,-,6,0,Brentford FC,Midfield - Attacking Midfield,"1,82 m",Denmark,dk,https://www.transfermarkt.us/emiliano-marcondes/profil/spieler/232964,https://img.a.transfermarkt.technology/portrait/small/232964-1700737815.jpg?lm=1,N/A,09.03.1995,Hvidovre,Norwich City
19,Mikkel Damsgaard,Mikkel Krogh Damsgaard,88,3,13,4.722,N/A,Damsgaard,11,9,0,Brentford FC,Midfield - Attacking Midfield,"1,80 m",Denmark,dk,https://www.transfermarkt.us/mikkel-damsgaard/profil/spieler/540941,https://img.a.transfermarkt.technology/portrait/small/540941-1668183899.jpg?lm=1,N/A,03.07.2000,Jyllinge,Brentford FC
20,Josh Dasilva,Pelenda Joshua Tunga Dasilva,157,22,12,8.406,N/A,Dasilva,-,5,2,Brentford FC,Midfield - Central Midfield,"1,84 m",England,unknown,https://www.transfermarkt.us/josh-dasilva/profil/spieler/340321,https://img.a.transfermarkt.technology/portrait/small/340321-1596444356.jpg?lm=1,N/A,23.10.1998,London,Brentford FC
21,Konstantin Kerschbaumer,Unknown,52,1,12,2.447,N/A,Kerschbaumer,-,3,0,Brentford FC,Midfield - Central Midfield,"1,79 m",Austria,at,https://www.transfermarkt.us/konstantin-kerschbaumer/profil/spieler/81694,https://img.a.transfermarkt.technology/portrait/small/81694-1661533690.png?lm=1,N/A,01.07.1992,Tulln,SV Stripfing
22,Adam Forshaw,Adam John Forshaw,100,11,12,7.666,N/A,Forshaw,Unknown,6,0,Brentford FC,Midfield - Central Midfield,"1,75 m",England,unknown,https://www.transfermarkt.us/adam-forshaw/profil/spieler/121257,https://img.a.transfermarkt.technology/portrait/small/121257-1740580508.jpg?lm=1,N/A,08.10.1991,Liverpool,Blackburn Rovers
23,Vitaly Janelt,Unknown,192,13,11,14.203,N/A,Janelt,20,28,0,Brentford FC,Midfield - Defensive Midfield,"1,84 m",Germany,de,https://www.transfermarkt.us/vitaly-janelt/profil/spieler/270171,https://img.a.transfermarkt.technology/portrait/small/270171-1649932358.jpg?lm=1,N/A,10.05.1998,Hamburg,Brentford FC
24,Harry Forrester,Harry Lee Forrester,69,11,11,3.730,N/A,Forrester,-,6,0,Brentford FC,Attack - Left Winger,"1,79 m",England,unknown,https://www.transfermarkt.us/harry-forrester/profil/spieler/62643,https://img.a.transfermarkt.technology/portrait/small/62643-1561734342.jpg?lm=1,N/A,02.01.1991,Milton Keynes,Retired
25,Jota Peleteiro,José Ignacio Peleteiro Ramallo,78,23,11,5.455,N/A,Peleteiro,Unknown,6,0,Brentford FC,Attack - Right Winger,"1,78 m",Spain,es,https://www.transfermarkt.us/jota-peleteiro/profil/spieler/176591,https://img.a.transfermarkt.technology/portrait/small/176591-1559751465.jpg?lm=1,N/A,16.06.1991,A Pobra do Caramiñal,Retired
26,Rico Henry,Rico Antonio Henry,205,5,11,16.933,N/A,Henry,-,17,1,Brentford FC,Defender - Left-Back,"1,70 m",England,unknown,https://www.transfermarkt.us/rico-henry/profil/spieler/339556,https://img.a.transfermarkt.technology/portrait/small/339556-1684771012.jpg?lm=1,N/A,08.07.1997,Birmingham,Brentford FC
27,Jonathan Douglas,Jonathan Michael Douglas,187,17,11,16.518,N/A,Douglas,-,36,0,Brentford FC,Midfield - Central Midfield,"1,80 m",Ireland,ie,https://www.transfermarkt.us/jonathan-douglas/profil/spieler/7435,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,22.11.1981,Monaghan,Retired
28,Mads Roerslev,Mads Roerslev Rasmussen,146,2,11,8.491,N/A,Roerslev,2,8,0,Brentford FC,Defender - Right-Back,"1,84 m",Denmark,dk,https://www.transfermarkt.us/mads-roerslev/profil/spieler/391005,https://img.a.transfermarkt.technology/portrait/small/391005-1684772936.jpg?lm=1,N/A,24.06.1999,Copenhagen,VfL Wolfsburg
