rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Ivan Toney,Unknown,141,72,23,11.984,N/A,Unknown,Unknown,29,0,Brentford FC,Unknown,Unknown,England,unknown,https://www.transfermarkt.us/ivan-toney/profil/spieler/251664,https://img.a.transfermarkt.technology/portrait/small/251664-1677676808.jpg?lm=1,N/A,16.03.1996,Unknown,Al-Ahli SFC
2,Bryan Mbeumo,Bryan Tetsadong Marceau Mbeumo,233,65,47,17.576,N/A,Mbeumo,11,20,0,Brentford FC,Attack - Right Winger,"1,71 m",Cameroon,cm,https://www.transfermarkt.us/bryan-mbeumo/profil/spieler/413039,https://img.a.transfermarkt.technology/portrait/small/413039-1668505084.jpg?lm=1,N/A,07.08.1999,Avallon,Brentford FC
3,Lloyd Owusu,Lloyd Magnus Akwasi Owusu,181,59,5,14.261,N/A,Owusu,-,12,0,Brentford FC,Attack - Centre-Forward,"1,88 m",Ghana,gh,https://www.transfermarkt.us/lloyd-owusu/profil/spieler/13422,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,12.12.1976,Slough,Retired
4,Clayton Donaldson,Clayton Andrew Donaldson,155,53,21,12.959,N/A,Donaldson,-,11,0,Brentford FC,Attack - Centre-Forward,"1,85 m",Jamaica,jm,https://www.transfermarkt.us/clayton-donaldson/profil/spieler/52721,https://img.a.transfermarkt.technology/portrait/small/52721-1469696519.jpg?lm=1,N/A,07.02.1984,Bradford,Retired
5,Neal Maupay,Unknown,126,49,17,8.178,N/A,Maupay,18,26,0,Brentford FC,Attack - Centre-Forward,"1,71 m",France,fr,https://www.transfermarkt.us/neal-maupay/profil/spieler/217115,https://img.a.transfermarkt.technology/portrait/small/217115-1700737951.jpg?lm=1,N/A,14.08.1996,Versailles,Olympique Marseille
6,Ollie Watkins,Unknown,143,49,14,11.633,N/A,Unknown,Unknown,17,0,Brentford FC,Unknown,Unknown,England,unknown,https://www.transfermarkt.us/ollie-watkins/profil/spieler/324358,https://img.a.transfermarkt.technology/portrait/small/324358-1708341279.jpg?lm=1,N/A,30.12.1995,Unknown,Aston Villa
7,Charlie MacDonald,Charles Lea MacDonald,127,45,19,10.505,N/A,MacDonald,Unknown,5,0,Brentford FC,Attack - Centre-Forward,"1,75 m",England,unknown,https://www.transfermarkt.us/charlie-macdonald/profil/spieler/51351,https://img.a.transfermarkt.technology/portrait/small/s_51351_1078_2013_09_23_1.jpg?lm=1,N/A,13.02.1981,London,Retired
8,Yoane Wissa,Unknown,140,44,9,8.190,N/A,Unknown,Unknown,14,0,Brentford FC,Unknown,Unknown,DR Congo,unknown,https://www.transfermarkt.us/yoane-wissa/profil/spieler/388165,https://img.a.transfermarkt.technology/portrait/small/388165-1740646948.jpg?lm=1,N/A,03.09.1996,Unknown,Brentford FC
9,Kevin O'Connor,Kevin Patrick O'Connor,481,41,6,38.097,N/A,O'Connor,-,32,1,Brentford FC,Defender - Right-Back,"1,80 m",Ireland,ie,https://www.transfermarkt.us/kevin-oconnor/profil/spieler/48376,https://img.a.transfermarkt.technology/portrait/small/s_48376_1148_2013_09_23_1.jpg?lm=1,N/A,24.02.1982,Blackburn,Retired
10,Lasse Vibe,Unknown,97,37,13,6.495,N/A,Vibe,21,2,0,Brentford FC,Attack - Centre-Forward,"1,81 m",Denmark,dk,https://www.transfermarkt.us/lasse-vibe/profil/spieler/62680,https://img.a.transfermarkt.technology/portrait/small/62680-1601552880.jpg?lm=1,N/A,22.02.1987,Tranbjerg,Retired
11,Sergi Canós,Sergi Canós Tenés,249,36,32,13.877,N/A,Canós,17,30,1,Brentford FC,Attack - Left Winger,"1,77 m",Spain,es,https://www.transfermarkt.us/sergi-canos/profil/spieler/251845,https://img.a.transfermarkt.technology/portrait/small/251845-1538466933.jpg?lm=1,N/A,02.02.1997,Nules,Valencia CF
12,Sam Saunders,Sam Daniel Saunders,206,30,32,10.971,N/A,Saunders,Unknown,18,0,Brentford FC,Midfield - Central Midfield,"1,73 m",England,unknown,https://www.transfermarkt.us/sam-saunders/profil/spieler/66892,https://img.a.transfermarkt.technology/portrait/small/66892-1484923916.jpg?lm=1,N/A,29.08.1983,London,Retired
13,Saïd Benrahma,محمد سعيد بن رحمة,94,30,26,6.813,N/A,Benrahma,-,7,0,Brentford FC,Attack - Left Winger,"1,72 m",Algeria,dz,https://www.transfermarkt.us/said-benrahma/profil/spieler/290532,https://img.a.transfermarkt.technology/portrait/small/290532-1686212081.jpg?lm=1,N/A,10.08.1995,Aïn Témouchent,NEOM SC
14,Stephen Hunt,Stephen Patrick Hunt,149,28,0,11.832,N/A,Hunt,-,18,1,Brentford FC,Midfield - Left Midfield,"1,74 m",Ireland,ie,https://www.transfermarkt.us/stephen-hunt/profil/spieler/36799,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,01.08.1981,Portlaoise,Retired
15,Paul Evans,Paul Simon Evans,125,28,0,11.006,N/A,Evans,-,22,0,Brentford FC,Midfield - Central Midfield,"1,73 m",Wales,unknown,https://www.transfermarkt.us/paul-evans/profil/spieler/13570,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,01.09.1974,Oswestry,Retired
16,Gary Alexander,Gary George Alexander,77,26,5,5.933,N/A,Alexander,Unknown,8,0,Brentford FC,Attack - Centre-Forward,"1,80 m",England,unknown,https://www.transfermarkt.us/gary-alexander/profil/spieler/48245,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,15.08.1979,London,Retired
17,Alan Judge,Alan Christopher Judge,140,26,31,9.788,N/A,Judge,19,20,0,Brentford FC,Midfield - Central Midfield,"1,68 m",Ireland,ie,https://www.transfermarkt.us/alan-judge/profil/spieler/42249,https://img.a.transfermarkt.technology/portrait/small/42249-1538465341.jpg?lm=1,N/A,11.11.1988,Dublin,Braintree Town
18,Andy Scott,Andrew Scott,92,25,0,7.252,N/A,Scott,Unknown,8,0,Brentford FC,Attack - Centre-Forward,"1,85 m",England,unknown,https://www.transfermarkt.us/andy-scott/profil/spieler/13678,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,02.08.1972,Epsom,Retired
19,Marcello Trotta,Unknown,69,23,9,4.268,N/A,Trotta,21,6,0,Brentford FC,Attack - Centre-Forward,"1,88 m",Italy,it,https://www.transfermarkt.us/marcello-trotta/profil/spieler/129505,https://img.a.transfermarkt.technology/portrait/small/129505-1641773437.jpg?lm=1,N/A,29.09.1992,Santa Maria Capua Vetere,SS Turris Calcio
20,Jota Peleteiro,José Ignacio Peleteiro Ramallo,78,23,11,5.455,N/A,Peleteiro,Unknown,6,0,Brentford FC,Attack - Right Winger,"1,78 m",Spain,es,https://www.transfermarkt.us/jota-peleteiro/profil/spieler/176591,https://img.a.transfermarkt.technology/portrait/small/176591-1559751465.jpg?lm=1,N/A,16.06.1991,A Pobra do Caramiñal,Retired
21,Josh Dasilva,Pelenda Joshua Tunga Dasilva,157,22,12,8.406,N/A,Dasilva,-,5,2,Brentford FC,Midfield - Central Midfield,"1,84 m",England,unknown,https://www.transfermarkt.us/josh-dasilva/profil/spieler/340321,https://img.a.transfermarkt.technology/portrait/small/340321-1596444356.jpg?lm=1,N/A,23.10.1998,London,Brentford FC
22,Jay Tabb,Jay Anthony Tabb,147,22,8,10.227,N/A,Tabb,-,14,0,Brentford FC,Midfield - Left Midfield,"1,70 m",Ireland,ie,https://www.transfermarkt.us/jay-tabb/profil/spieler/42284,https://img.a.transfermarkt.technology/portrait/small/s_42284_1032_2012_1.jpg?lm=1,N/A,21.02.1984,Tooting,Retired
23,Scott Hogan,Scott Andrew Hogan,36,21,1,2.522,N/A,Hogan,-,2,0,Brentford FC,Attack - Centre-Forward,"1,80 m",Ireland,ie,https://www.transfermarkt.us/scott-hogan/profil/spieler/138783,https://img.a.transfermarkt.technology/portrait/small/138783-1476099651.jpg?lm=1,N/A,13.04.1992,Salford,Milton Keynes Dons
24,Glenn Poole,Glenn Stephen Poole,78,21,5,5.883,N/A,Poole,Unknown,4,0,Brentford FC,Midfield - Left Midfield,"1,70 m",England,unknown,https://www.transfermarkt.us/glenn-poole/profil/spieler/67324,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,03.02.1981,London,Retired
25,Robert Taylor,Robert Anthony Taylor,69,21,0,6.051,N/A,Taylor,Unknown,3,0,Brentford FC,Attack - Centre-Forward,Unknown,England,unknown,https://www.transfermarkt.us/robert-taylor/profil/spieler/175899,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,30.04.1971,Norwich,Retired
26,Andre Gray,Andre Anthony Gray,52,20,7,3.933,N/A,Gray,16,1,0,Brentford FC,Attack - Centre-Forward,"1,78 m",Jamaica,jm,https://www.transfermarkt.us/andre-gray/profil/spieler/120565,https://img.a.transfermarkt.technology/portrait/small/120565-1736774221.jpg?lm=1,N/A,26.06.1991,Wolverhampton,Fatih Karagümrük
27,Isaiah Rankin,Isaiah Marcus Rankin,94,19,6,6.912,N/A,Rankin,Unknown,16,0,Brentford FC,Attack - Centre-Forward,"1,78 m",England,unknown,https://www.transfermarkt.us/isaiah-rankin/profil/spieler/16495,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,22.05.1978,London,Retired
28,Marcus Forss,Marcus Uolevi Forss,74,19,3,2.683,N/A,Forss,19,3,0,Brentford FC,Attack - Centre-Forward,"1,82 m",Finland,fi,https://www.transfermarkt.us/marcus-forss/profil/spieler/404584,https://img.a.transfermarkt.technology/portrait/small/404584-1728395881.jpg?lm=1,N/A,18.06.1999,Turku,Middlesbrough FC
29,Ben Burgess,Benjamin Kieron Burgess,45,17,0,3.785,N/A,Burgess,-,3,0,Brentford FC,Attack - Centre-Forward,"1,91 m",Ireland,ie,https://www.transfermarkt.us/ben-burgess/profil/spieler/28046,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,09.11.1981,Buxton,Retired
30,Jonathan Douglas,Jonathan Michael Douglas,187,17,11,16.518,N/A,Douglas,-,36,0,Brentford FC,Midfield - Central Midfield,"1,80 m",Ireland,ie,https://www.transfermarkt.us/jonathan-douglas/profil/spieler/7435,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,22.11.1981,Monaghan,Retired
31,Martin Rowlands,Martin Charles Rowlands,127,17,0,9.645,N/A,Rowlands,-,26,1,Brentford FC,Midfield - Central Midfield,"1,75 m",Ireland,ie,https://www.transfermarkt.us/martin-rowlands/profil/spieler/13734,https://img.a.transfermarkt.technology/portrait/small/s_13734_3717_2013_09_24_1.jpg?lm=1,N/A,08.02.1979,London,Retired
32,Marcus Bean,Marcus Tristam Bean,168,15,7,12.720,N/A,Bean,-,28,0,Brentford FC,Midfield - Defensive Midfield,"1,80 m",Jamaica,jm,https://www.transfermarkt.us/marcus-bean/profil/spieler/13715,https://img.a.transfermarkt.technology/portrait/small/13715-1553698219.jpg?lm=1,N/A,02.01.1984,London,Retired
33,Scott Partridge,Scott Malcolm Partridge,86,14,0,6.785,N/A,Partridge,Unknown,3,0,Brentford FC,Attack - Centre-Forward,"1,75 m",England,unknown,https://www.transfermarkt.us/scott-partridge/profil/spieler/886765,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,13.10.1974,Leicester,Retired
34,Jo Kuffour,Jonathan Osei Kuffour,44,14,3,3.739,N/A,Kuffour,Unknown,3,1,Brentford FC,Attack - Centre-Forward,"1,70 m",England,unknown,https://www.transfermarkt.us/jo-kuffour/profil/spieler/48361,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,17.11.1981,London,Retired
35,Myles Weston,Myles Arthur Eugene Wesley Weston,129,14,14,8.753,N/A,Weston,9,6,0,Brentford FC,Attack - Left Winger,"1,80 m",Antigua and Barbuda,ag,https://www.transfermarkt.us/myles-weston/profil/spieler/55525,https://img.a.transfermarkt.technology/portrait/small/s_55525_2814_2013_09_23_1.jpg?lm=1,N/A,12.03.1988,London,Hornchurch FC
