rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Leif Davis,Unknown,118,6,38,10.007,N/A,Davis,Unknown,14,0,Ipswich Town,Defender - Left-Back,"1,82 m",England,unknown,https://www.transfermarkt.us/leif-davis/profil/spieler/596446,https://img.a.transfermarkt.technology/portrait/small/596446-1738823882.jpg?lm=1,N/A,31.12.1999,Newcastle,Ipswich Town
2,Eric Gates,Eric Lazenby Gates,380,94,37,31.125,N/A,Gates,-,4,1,Ipswich Town,Attack,"1,68 m",England,unknown,https://www.transfermarkt.us/eric-gates/profil/spieler/243979,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,28.06.1955,"Ferryhill, County Durham",Retired
3,Daryl Murphy,Daryl Michael Murphy,225,67,32,17.944,N/A,Murphy,10,3,0,Ipswich Town,Attack - Centre-Forward,"1,89 m",Ireland,ie,https://www.transfermarkt.us/daryl-murphy/profil/spieler/31312,https://img.a.transfermarkt.technology/portrait/small/31312-1541148549.JPG?lm=1,N/A,15.03.1983,Waterford,Retired
4,Roy Stephenson,Unknown,122,17,28,11.010,N/A,Stephenson,Unknown,0,0,Ipswich Town,Attack - Right Winger,Unknown,England,unknown,https://www.transfermarkt.us/roy-stephenson/profil/spieler/306434,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,27.05.1932,Crook,---
5,Wes Burns,Wesley James Burns,145,28,28,10.151,N/A,Burns,16,24,0,Ipswich Town,Attack - Right Winger,"1,73 m",Wales,unknown,https://www.transfermarkt.us/wes-burns/profil/spieler/255731,https://img.a.transfermarkt.technology/portrait/small/255731-1664179868.jpg?lm=1,N/A,23.11.1994,Cardiff,Ipswich Town
6,Alan Brazil,Alan Bernard Brazil,209,80,26,17.344,N/A,Brazil,-,0,0,Ipswich Town,Attack - Centre-Forward,"1,83 m",Scotland,unknown,https://www.transfermarkt.us/alan-brazil/profil/spieler/135270,https://img.a.transfermarkt.technology/portrait/small/s_135270_123_2012_1.jpg?lm=1,N/A,15.06.1959,"Simshill, Glasgow",Retired
7,Aaron Cresswell,Unknown,138,7,25,12.386,N/A,Cresswell,-,6,1,Ipswich Town,Defender - Left-Back,"1,70 m",England,unknown,https://www.transfermarkt.us/aaron-cresswell/profil/spieler/92571,https://img.a.transfermarkt.technology/portrait/small/92571-1700670925.jpg?lm=1,N/A,15.12.1989,Liverpool,West Ham United
8,Freddie Sears,Frederick David Sears,217,34,25,14.152,N/A,Sears,-,10,0,Ipswich Town,Attack - Second Striker,"1,70 m",England,unknown,https://www.transfermarkt.us/freddie-sears/profil/spieler/70714,https://img.a.transfermarkt.technology/portrait/small/70714-1544623066.jpg?lm=1,N/A,27.11.1989,Hornchurch,Chatham Town
9,David McGoldrick,David James McGoldrick,159,45,25,11.784,N/A,McGoldrick,9,13,0,Ipswich Town,Attack - Centre-Forward,"1,84 m",Ireland,ie,https://www.transfermarkt.us/david-mcgoldrick/profil/spieler/35416,https://img.a.transfermarkt.technology/portrait/small/s_35416_677_2013_10_18_1.jpg?lm=1,N/A,29.11.1987,Nottingham,Notts County
10,Paul Mariner,Unknown,333,132,25,29.057,N/A,Mariner,11,8,2,Ipswich Town,Attack - Centre-Forward,,England,unknown,https://www.transfermarkt.us/paul-mariner/profil/spieler/130304,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,22.05.1953,Bolton,---
