rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,John Wark,Unknown,527,154,19,46.496,N/A,Wark,-,12,2,Ipswich Town,Midfield - Attacking Midfield,"1,80 m",Scotland,unknown,https://www.transfermarkt.us/john-wark/profil/spieler/135271,https://img.a.transfermarkt.technology/portrait/small/s_135271_123_2013_04_17_1.jpg?lm=1,N/A,04.08.1957,Glasgow,Retired
2,Paul Mariner,Unknown,333,132,25,29.057,N/A,Mariner,11,8,2,Ipswich Town,Attack - Centre-Forward,,England,unknown,https://www.transfermarkt.us/paul-mariner/profil/spieler/130304,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,22.05.1953,Bolton,---
3,Ray Crawford,Raymond Crawford,148,100,14,13.251,N/A,Crawford,-,0,0,Ipswich Town,Attack - Centre-Forward,Unknown,England,unknown,https://www.transfermarkt.us/ray-crawford/profil/spieler/291533,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,13.07.1936,Portsmouth,Retired
4,Trevor Whymark,Trevor John Whymark,317,95,6,26.387,N/A,Whymark,-,0,0,Ipswich Town,Attack - Centre-Forward,Unknown,England,unknown,https://www.transfermarkt.us/trevor-whymark/profil/spieler/243520,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,04.05.1950,Burston,---
5,Eric Gates,Eric Lazenby Gates,380,94,37,31.125,N/A,Gates,-,4,1,Ipswich Town,Attack,"1,68 m",England,unknown,https://www.transfermarkt.us/eric-gates/profil/spieler/243979,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,28.06.1955,"Ferryhill, County Durham",Retired
6,Alan Brazil,Alan Bernard Brazil,209,80,26,17.344,N/A,Brazil,-,0,0,Ipswich Town,Attack - Centre-Forward,"1,83 m",Scotland,unknown,https://www.transfermarkt.us/alan-brazil/profil/spieler/135270,https://img.a.transfermarkt.technology/portrait/small/s_135270_123_2012_1.jpg?lm=1,N/A,15.06.1959,"Simshill, Glasgow",Retired
7,Daryl Murphy,Daryl Michael Murphy,225,67,32,17.944,N/A,Murphy,10,3,0,Ipswich Town,Attack - Centre-Forward,"1,89 m",Ireland,ie,https://www.transfermarkt.us/daryl-murphy/profil/spieler/31312,https://img.a.transfermarkt.technology/portrait/small/31312-1541148549.JPG?lm=1,N/A,15.03.1983,Waterford,Retired
8,Pablo Couñago,Pablo González Couñago,241,62,20,13.480,N/A,Couñago,-,26,3,Ipswich Town,Attack - Centre-Forward,"1,83 m",Spain,es,https://www.transfermarkt.us/pablo-counago/profil/spieler/13242,https://img.a.transfermarkt.technology/portrait/small/13242-1457019050.jpeg?lm=1,N/A,09.08.1979,Redondela,Retired
9,Ted Phillips,Edward John Phillips,121,61,5,10.920,N/A,Phillips,Unknown,0,0,Ipswich Town,Attack - Centre-Forward,Unknown,England,unknown,https://www.transfermarkt.us/ted-phillips/profil/spieler/306422,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,21.08.1933,Gromford,---
10,David Johnson,Unknown,146,60,0,11.840,N/A,Johnson,-,17,0,Ipswich Town,Attack - Centre-Forward,"1,68 m",Jamaica,jm,https://www.transfermarkt.us/david-johnson/profil/spieler/9979,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,15.08.1976,Kingston,Retired
11,Darren Bent,Darren Ashley Bent,140,56,15,10.617,N/A,Bent,-,3,0,Ipswich Town,Attack - Centre-Forward,"1,80 m",England,unknown,https://www.transfermarkt.us/darren-bent/profil/spieler/13239,https://img.a.transfermarkt.technology/portrait/small/13239-1410951034.jpg?lm=1,N/A,06.02.1984,London,Retired
12,Conor Chaplin,Conor Mark Chaplin,162,55,18,10.429,N/A,Chaplin,Unknown,17,0,Ipswich Town,Attack - Second Striker,"1,68 m",England,unknown,https://www.transfermarkt.us/conor-chaplin/profil/spieler/349503,https://img.a.transfermarkt.technology/portrait/small/349503-1612349000.jpg?lm=1,N/A,16.02.1997,Worthing,Ipswich Town
13,Bryan Hamilton,Unknown,188,53,1,15.786,N/A,Hamilton,-,0,0,Ipswich Town,Midfield,,Northern Ireland,unknown,https://www.transfermarkt.us/bryan-hamilton/profil/spieler/177196,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,21.12.1946,Belfast,Retired
14,James Scowcroft,James Benjamin Scowcroft,223,52,5,16.806,N/A,Scowcroft,-,17,2,Ipswich Town,Attack - Centre-Forward,"1,85 m",England,unknown,https://www.transfermarkt.us/james-scowcroft/profil/spieler/4265,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,15.11.1975,Bury St Edmunds,Retired
15,Tommy Miller,Thomas William Miller,211,46,9,15.697,N/A,Miller,Unknown,18,0,Ipswich Town,Midfield - Central Midfield,"1,85 m",England,unknown,https://www.transfermarkt.us/tommy-miller/profil/spieler/13251,https://img.a.transfermarkt.technology/portrait/small/s_13251_2413_2013_09_23_1.jpg?lm=1,N/A,08.01.1979,Shotton Colliery,Retired
