rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Sergio Agüero,Sergio Leonel Agüero del Castillo,390,260,64,27.822,N/A,Agüero,9,32,1,Manchester City,Attack - Centre-Forward,"1,73 m",Argentina,ar,https://www.transfermarkt.us/sergio-aguero/profil/spieler/26399,https://img.a.transfermarkt.technology/portrait/small/26399-1580460866.jpg?lm=1,N/A,02.06.1988,Quilmes,Retired
2,Joe Hayes,Joseph Hayes,338,146,3,30.420,N/A,Hayes,Unknown,0,0,Manchester City,Attack - Second Striker,Unknown,England,unknown,https://www.transfermarkt.us/joe-hayes/profil/spieler/831995,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,20.01.1936,Kearsley,---
3,Francis Lee,Francis Henry Lee,306,138,14,27.163,N/A,Lee,-,2,1,Manchester City,Attack - Centre-Forward,"1,73 m",England,unknown,https://www.transfermarkt.us/francis-lee/profil/spieler/176910,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,29.04.1944,Westhoughton,---
4,Colin Bell,Unknown,455,137,4,40.673,N/A,Bell,-,1,0,Manchester City,Midfield - Attacking Midfield,"1,82 m",England,unknown,https://www.transfermarkt.us/colin-bell/profil/spieler/176897,https://img.a.transfermarkt.technology/portrait/small/176897-1609937655.jpg?lm=1,N/A,26.02.1946,Hesleden,---
5,Raheem Sterling,Raheem Shaquille Sterling,339,131,73,25.103,N/A,Sterling,10,36,0,Manchester City,Attack - Right Winger,"1,70 m",England,unknown,https://www.transfermarkt.us/raheem-sterling/profil/spieler/134425,https://img.a.transfermarkt.technology/portrait/small/134425-1684165974.jpg?lm=1,N/A,08.12.1994,Kingston,Arsenal FC
6,Erling Haaland,Erling Braut Håland,137,119,18,11.253,N/A,Haaland,18,9,0,Manchester City,Attack - Centre-Forward,"1,95 m",Norway,no,https://www.transfermarkt.us/erling-haaland/profil/spieler/418560,https://img.a.transfermarkt.technology/portrait/small/418560-1709108116.png?lm=1,N/A,21.07.2000,Leeds,Manchester City
7,Kevin De Bruyne,Unknown,412,106,174,30.288,N/A,De Bruyne,10,36,0,Manchester City,Midfield - Attacking Midfield,"1,81 m",Belgium,be,https://www.transfermarkt.us/kevin-de-bruyne/profil/spieler/88755,https://img.a.transfermarkt.technology/portrait/small/88755-1713391485.jpg?lm=1,N/A,28.06.1991,Drongen,Manchester City
8,Shaun Goater,Leonard Shaun Goater,209,102,26,15.991,N/A,Goater,19,7,1,Manchester City,Attack - Centre-Forward,"1,82 m",Bermuda,bm,https://www.transfermarkt.us/shaun-goater/profil/spieler/3353,https://img.a.transfermarkt.technology/portrait/small/3353-1682518181.jpg?lm=1,N/A,25.02.1970,Hamilton,Retired
9,Dennis Tueart,Unknown,261,101,0,22.637,N/A,Tueart,-,3,0,Manchester City,Attack - Right Winger,"1,73 m",England,unknown,https://www.transfermarkt.us/dennis-tueart/profil/spieler/176918,https://img.a.transfermarkt.technology/portrait/small/176918-1709752908.jpg?lm=1,N/A,27.11.1949,Newcastle upon Tyne,Retired
10,Phil Foden,Philip Walter Foden,308,97,60,19.282,N/A,Foden,10,10,0,Manchester City,Attack - Right Winger,"1,71 m",England,unknown,https://www.transfermarkt.us/phil-foden/profil/spieler/406635,https://img.a.transfermarkt.technology/portrait/small/406635-1668524492.jpg?lm=1,N/A,28.05.2000,Stockport,Manchester City
11,Gabriel Jesus,Gabriel Fernando de Jesus,236,95,45,14.273,N/A,Jesus,9,22,0,Manchester City,Attack - Centre-Forward,"1,75 m",Brazil,br,https://www.transfermarkt.us/gabriel-jesus/profil/spieler/363205,https://img.a.transfermarkt.technology/portrait/small/363205-1669711141.jpg?lm=1,N/A,03.04.1997,São Paulo,Arsenal FC
12,Yaya Touré,Gnégnéri Yaya Touré,316,80,45,25.380,N/A,Touré,19,54,1,Manchester City,Midfield - Central Midfield,"1,88 m",Cote d'Ivoire,unknown,https://www.transfermarkt.us/yaya-toure/profil/spieler/13091,https://img.a.transfermarkt.technology/portrait/small/13091-1719518647.jpg?lm=1,N/A,13.05.1983,Bouaké,Retired
