rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Alan Shearer,Unknown,405,206,58,35.487,N/A,Shearer,9,44,1,Newcastle United,Attack - Centre-Forward,"1,83 m",England,unknown,https://www.transfermarkt.us/alan-shearer/profil/spieler/3110,https://img.a.transfermarkt.technology/portrait/small/3110-1485180006.jpg?lm=1,N/A,13.08.1970,Newcastle upon Tyne,Retired
2,Jackie Milburn,John Edward Thompson Milburn,399,201,6,36.000,N/A,Milburn,-,0,0,Newcastle United,Attack - Centre-Forward,Unknown,England,unknown,https://www.transfermarkt.us/jackie-milburn/profil/spieler/241877,https://img.a.transfermarkt.technology/portrait/small/241877-1697134554.jpg?lm=1,N/A,11.05.1924,Ashington,---
3,Len White,Leonard Roy White,270,153,2,24.390,N/A,White,Unknown,0,0,Newcastle United,Attack - Centre-Forward,Unknown,England,unknown,https://www.transfermarkt.us/len-white/profil/spieler/727782,https://img.a.transfermarkt.technology/portrait/small/727782-1673272031.jpg?lm=1,N/A,23.03.1930,Skellow,---
4,Hughie Gallacher,Hugh Kilpatrick Gallacher,174,143,0,15.660,N/A,Gallacher,-,0,0,Newcastle United,Attack - Centre-Forward,"1,65 m",Scotland,unknown,https://www.transfermarkt.us/hughie-gallacher/profil/spieler/776712,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,02.02.1903,Bellshill,---
5,Peter Beardsley,Peter Andrew Beardsley,326,121,42,28.675,N/A,Beardsley,20,14,0,Newcastle United,Attack - Second Striker,"1,73 m",England,unknown,https://www.transfermarkt.us/peter-beardsley/profil/spieler/102030,https://img.a.transfermarkt.technology/portrait/small/s_102030_123_2012_1.jpg?lm=1,N/A,18.01.1961,Hexham,Retired
6,Malcolm Macdonald,Malcolm Ian Macdonald,227,121,7,20.330,N/A,Macdonald,-,1,0,Newcastle United,Attack - Centre-Forward,"1,80 m",England,unknown,https://www.transfermarkt.us/malcolm-macdonald/profil/spieler/176707,https://img.a.transfermarkt.technology/portrait/small/176707-1673273968.jpg?lm=1,N/A,07.01.1950,London,Retired
7,Tom McDonald,Thomas Henry McDonald,366,113,0,32.908,N/A,McDonald,Unknown,0,0,Newcastle United,Attack - Second Striker,"1,75 m",Scotland,unknown,https://www.transfermarkt.us/tom-mcdonald/profil/spieler/956369,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,25.09.1895,Inverness,---
8,Bobby Mitchell,Robert Carmichael Mitchell,410,113,5,37.020,N/A,Mitchell,-,0,0,Newcastle United,Attack - Left Winger,Unknown,Scotland,unknown,https://www.transfermarkt.us/bobby-mitchell/profil/spieler/831438,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,16.08.1924,Glasgow,---
9,Neil Harris,Neil Lamont Harris,194,101,0,17.477,N/A,Harris,-,1,0,Newcastle United,Attack - Centre-Forward,Unknown,Scotland,unknown,https://www.transfermarkt.us/neil-harris/profil/spieler/961345,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,30.10.1894,Glasgow,---
10,Pop Robson,Bryan Stanley Robson,246,97,7,21.990,N/A,Robson,Unknown,0,0,Newcastle United,Attack - Centre-Forward,Unknown,England,unknown,https://www.transfermarkt.us/pop-robson/profil/spieler/176830,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,11.11.1945,Sunderland,Retired
