name,club,periods
Glenn Murray,Brighton & Hove Albion,"2008-2011, 2016-2017, 2017-2020, 2021-2021"
Ashley Barnes,Brighton & Hove Albion,"2010-2010, 2010-2014"
Bobby Zamora,Brighton & Hove Albion,"2000-2000, 2000-2003, 2015-2016"
Nicky Forster,Brighton & Hove Albion,"2007-2010, 2010-2010"
Michael Robinson,Brighton & Hove Albion,1980-1983
Leon Knight,Brighton & Hove Albion,2003-2006
Danny Welbeck,Brighton & Hove Albion,2020-2025
Tomer Hemed,Brighton & Hove Albion,"2015-2018, 2019-2019"
Pascal Groß,Brighton & Hove Albion,2017-2024
Lewis Dunk,Brighton & Hove Albion,"2010-2013, 2013-2025"
Leonardo Ulloa,Brighton & Hove Albion,"2013-2014, 2018-2018"
João Pedro,Brighton & Hove Albion,2023-2025
Anthony Knockaert,Brighton & Hove Albion,"2016-2019, 2020-2020"
Neal Maupay,Brighton & Hove Albion,2019-2022
Dean Hammond,Brighton & Hove Albion,"2002-2003, 2003-2003, 2003-2008, 2012-2013"
Solly March,Brighton & Hove Albion,2013-2025
Leandro Trossard,Brighton & Hove Albion,2019-2023
Craig Mackail-Smith,Brighton & Hove Albion,"2011-2014, 2014-2015"
Andy Ritchie,Brighton & Hove Albion,1980-1983
Dean Cox,Brighton & Hove Albion,"2005-2005, 2005-2006, 2006-2010"
Peter Ward,Brighton & Hove Albion,"1975-1980, 1982-1983"
Kazenga LuaLua,Brighton & Hove Albion,"2010-2010, 2010-2011, 2011-2011, 2012-2017, 2017-2017, 2018-2018"
Kaoru Mitoma,Brighton & Hove Albion,"2021-2021, 2022-2025"
Alexis Mac Allister,Brighton & Hove Albion,"2019-2019, 2019-2019, 2020-2023"
Sam Baldock,Brighton & Hove Albion,2014-2018
Jake Robinson,Brighton & Hove Albion,"2003-2005, 2005-2009, 2009-2009"
Gordon Smith,Brighton & Hove Albion,"1980-1982, 1982-1984"
Iñigo Calderón,Brighton & Hove Albion,2010-2016
Will Buckley,Brighton & Hove Albion,2011-2014
Gerry Ryan,Brighton & Hove Albion,1978-1985
Elliott Bennett,Brighton & Hove Albion,"2009-2011, 2014-2014"
Evan Ferguson,Brighton & Hove Albion,"2022-2025, 2025-2025"
Alex Revell,Brighton & Hove Albion,2006-2008
Gary Hart,Brighton & Hove Albion,1998-2011
Adam Virgo,Brighton & Hove Albion,"2000-2002, 2003-2005, 2008-2010"
Richard Carpenter,Brighton & Hove Albion,2000-2007
Dale Stephens,Brighton & Hove Albion,2014-2020
David López,Brighton & Hove Albion,2012-2014
Andrew Crofts,Brighton & Hove Albion,"2009-2010, 2012-2016, 2016-2016"
Simon Adingra,Brighton & Hove Albion,"2022-2022, 2023-2025"
Paul Brooker,Brighton & Hove Albion,"2000-2000, 2000-2003"
Bas Savage,Brighton & Hove Albion,2007-2008
Jamie Murphy,Brighton & Hove Albion,"2015-2018, 2018-2018"
Chris Wood,Brighton & Hove Albion,2010-2011
Jake Forster-Caskey,Brighton & Hove Albion,"2012-2012, 2013-2015, 2015-2016, 2016-2016, 2017-2017"
Guy Butters,Brighton & Hove Albion,"2002-2003, 2003-2008"
Shane Duffy,Brighton & Hove Albion,"2016-2020, 2021-2022, 2023-2023"
Lee Steele,Brighton & Hove Albion,2000-2002
Tommy Elphick,Brighton & Hove Albion,"2005-2005, 2006-2012"
Georginio Rutter,Brighton & Hove Albion,2024-2025
Deniz Undav,Brighton & Hove Albion,"2022-2022, 2022-2023, 2024-2024"
Jimmy Case,Brighton & Hove Albion,"1981-1985, 1993-1995"
Matt Sparrow,Brighton & Hove Albion,2010-2013
Adam Webster,Brighton & Hove Albion,2019-2025
