name,club,periods
Jamie Vardy,Leicester City,2012-2025
Mike Stringfellow,Leicester City,1962-1975
Jimmy Walsh,Leicester City,1956-1964
Ken Keyworth,Leicester City,1958-1964
Arthur Rowley,Leicester City,1950-1958
Alan Smith,Leicester City,"1982-1987, 1987-1987"
Andy King,Leicester City,"2007-2018, 2018-2019, 2019-2019, 2020-2020, 2020-2020"
Matty Fryatt,Leicester City,2006-2011
Kelechi Iheanacho,Leicester City,2017-2024
Gary Lineker,Leicester City,1976-1985
David Nugent,Leicester City,2011-2015
James Maddison,Leicester City,2018-2023
Jackie Sinclair,Leicester City,1965-1968
Riyad Mahrez,Leicester City,2014-2018
Harvey Barnes,Leicester City,"2018-2018, 2019-2023"
Muzzy Izzet,Leicester City,"1996-1996, 1996-2004"
Arthur Chandler,Leicester City,1923-1935
Dave Gibson,Leicester City,"1962-1970, 1972-1974"
Emile Heskey,Leicester City,1995-2000
Albert Cheesebrough,Leicester City,1959-1963
Paul Dickov,Leicester City,"2002-2004, 2008-2009, 2009-2010"
Steve Lynex,Leicester City,1981-1987
Lloyd Dyer,Leicester City,2008-2014
Howard Riley,Leicester City,1956-1965
Derek Dougan,Leicester City,1965-1967
Keith Weller,Leicester City,1971-1978
Ken Leek,Leicester City,1958-1961
Tony Cottee,Leicester City,"1997-1997, 1997-2000"
Iain Hume,Leicester City,2005-2008
Steve Howard,Leicester City,2008-2012
Gordon Wills,Leicester City,1958-1962
Lenny Glover,Leicester City,1967-1976
Derek Hines,Leicester City,1948-1961
Bobby Roberts,Leicester City,1963-1970
Ernie Hine,Leicester City,1926-1932
Graham Cross,Leicester City,1960-1976
Paul Gallagher,Leicester City,"2009-2012, 2012-2013, 2014-2014, 2015-2015"
James Scowcroft,Leicester City,"2001-2005, 2005-2005"
Youri Tielemans,Leicester City,"2019-2019, 2019-2023"
Jimmy Goodfellow,Leicester City,1963-1968
Frank McLintock,Leicester City,1959-1964
Ian Marshall,Leicester City,1996-2000
Iwan Roberts,Leicester City,1993-1996
Steve Earle,Leicester City,"1974-1977, 1977-1979"
Patson Daka,Leicester City,2021-2025
Tommy McDonald,Leicester City,1956-1960
Jon Sammels,Leicester City,1971-1978
Colin Appleton,Leicester City,1954-1966
Martyn Waghorn,Leicester City,"2009-2010, 2010-2011, 2011-2013, 2013-2014, 2014-2014"
Leonardo Ulloa,Leicester City,"2014-2018, 2018-2018"
Chris Wood,Leicester City,"2013-2015, 2015-2015"
Steve Walsh,Leicester City,1986-2000
Marc Albrighton,Leicester City,"2014-2023, 2023-2024"
Gary McAllister,Leicester City,1985-1990
Brian Deane,Leicester City,2001-2003
Shinji Okazaki,Leicester City,2015-2019
Wilfred Ndidi,Leicester City,2017-2025
Stephy Mavididi,Leicester City,2023-2025
Bob Lee,Leicester City,"1973-1974, 1974-1976"
David Nish,Leicester City,1966-1972
Kiernan Dewsbury-Hall,Leicester City,2021-2024
David Connolly,Leicester City,2004-2005
Rodney Fern,Leicester City,1966-1972
Anthony Knockaert,Leicester City,2012-2015
Ian Banks,Leicester City,1983-1986
Ayoze Pérez,Leicester City,"2019-2023, 2023-2023"
Willie Gardiner,Leicester City,1955-1958
Jermaine Beckford,Leicester City,"2011-2012, 2013-2013"
Danny Drinkwater,Leicester City,2012-2017
Jeffrey Schlupp,Leicester City,"2010-2011, 2011-2017"
Chris Garland,Leicester City,1975-1976
Steve Claridge,Leicester City,"1996-1998, 1998-1998"
Wes Morgan,Leicester City,2012-2021
Alan Birchenall,Leicester City,1971-1977
David Lowe,Leicester City,"1992-1994, 1994-1996"
Ricardo Pereira,Leicester City,2018-2025
Ade Akinbiyi,Leicester City,2000-2015
Bernie Kelly,Leicester City,1958-1959
Les Ferdinand,Leicester City,2003-2004
Garry Parker,Leicester City,1995-2001
Demarai Gray,Leicester City,2016-2021
Islam Slimani,Leicester City,"2016-2018, 2018-2018, 2019-2019, 2020-2021"
Julian Joachim,Leicester City,1992-1996
Derek Hogg,Leicester City,1952-1958
Joey Gudjónsson,Leicester City,2004-2006
Alan Young,Leicester City,1979-1982
Tom Sweenie,Leicester City,1963-1968
Patrick Kisnorbo,Leicester City,2005-2009
Allan Clarke,Leicester City,1968-1969
John Farrington,Leicester City,1969-1973
Mark Robins,Leicester City,"1995-1996, 1996-1997, 1997-1998"
Trevor Benjamin,Leicester City,"2000-2003, 2003-2003, 2003-2004, 2004-2004"
Gerry Taggart,Leicester City,"1998-2003, 2004-2004"
Johnny Morris,Leicester City,1952-1958
Mark de Vries,Leicester City,"2005-2006, 2006-2006, 2007-2007, 2008-2008"
Jim Melrose,Leicester City,1980-1982
Jack Froggatt,Leicester City,1954-1957
