name,club,periods
Alan Shearer,Newcastle United,1996-2006
Jackie Milburn,Newcastle United,1943-1957
Len White,Newcastle United,1953-1962
Hughie Gallacher,Newcastle United,1925-1930
Peter Beardsley,Newcastle United,"1983-1987, 1993-1997"
Malcolm Macdonald,Newcastle United,1971-1976
Tom McDonald,Newcastle United,1921-1931
Bobby Mitchell,Newcastle United,1949-1961
Neil Harris,Newcastle United,1920-1925
Pop Robson,Newcastle United,1962-1971
Jock Rutherford,Newcastle United,1902-1913
Albert Shepherd,Newcastle United,1908-1914
George Robledo,Newcastle United,1949-1953
Bill Appleyard,Newcastle United,1903-1908
Stan Seymour,Newcastle United,1920-1929
Jimmy Howie,Newcastle United,1903-1910
Shola Ameobi,Newcastle United,"2000-2008, 2008-2014"
Jack Smith,Newcastle United,1934-1938
Vic Keeble,Newcastle United,1952-1957
Ron Orr,Newcastle United,1901-1908
Andy Cole,Newcastle United,1993-1995
Jock Peddie,Newcastle United,1897-1902
Micky Quinn,Newcastle United,1989-1992
Alexander Isak,Newcastle United,2022-2025
John Tudor,Newcastle United,1971-1976
Tommy Lang,Newcastle United,1926-1934
Rob Lee,Newcastle United,1992-2002
Wyn Davies,Newcastle United,1966-1971
Billy Cairns,Newcastle United,1933-1944
Jimmy Stewart,Newcastle United,1908-1913
Tommy Pearson,Newcastle United,1933-1948
Chris Waddle,Newcastle United,1980-1985
Jimmy Richardson,Newcastle United,"1929-1934, 1937-1938"
Ivor Allchurch,Newcastle United,1958-1962
Les Ferdinand,Newcastle United,1995-1997
Barrie Thomas,Newcastle United,1962-1964
Reg Davies,Newcastle United,1951-1958
Colin Veitch,Newcastle United,1899-1914
Callum Wilson,Newcastle United,2020-2025
Billy Hibbert,Newcastle United,1911-1920
Kevin Keegan,Newcastle United,1982-1984
Alan Gowling,Newcastle United,1975-1978
Nolberto Solano,Newcastle United,"1998-2004, 2006-2007"
Micky Burns,Newcastle United,1974-1978
Ayoze Pérez,Newcastle United,2014-2019
Ron McGarry,Newcastle United,1963-1967
Papiss Demba Cissé,Newcastle United,2012-2016
Sammy Weaver,Newcastle United,1929-1936
George Hannah,Newcastle United,1949-1957
Craig Bellamy,Newcastle United,"2001-2005, 2005-2005"
Alan Suddick,Newcastle United,1961-1966
Gavin Peacock,Newcastle United,1990-1993
Imre Varadi,Newcastle United,1981-1983
Sandy Higgins,Newcastle United,1905-1919
Jack Allen,Newcastle United,1931-1934
Bill Curry,Newcastle United,1953-1959
Gary Speed,Newcastle United,1998-2004
David Kelly,Newcastle United,1991-1993
Alan Shoulder,Newcastle United,1978-1982
Tommy Walker,Newcastle United,1941-1954
Frank Hudspeth,Newcastle United,1910-1929
Harry McMenemy,Newcastle United,1931-1937
Charlie Wayman,Newcastle United,1941-1947
Mark McGhee,Newcastle United,"1977-1979, 1987-1991"
Kieron Dyer,Newcastle United,1999-2007
Obafemi Martins,Newcastle United,2006-2009
Andy Carroll,Newcastle United,"2006-2007, 2008-2011, 2019-2021"
George Eastham,Newcastle United,1956-1960
Dwight Gayle,Newcastle United,"2016-2018, 2019-2022"
George Wilson,Newcastle United,1907-1915
Dave Hilley,Newcastle United,1962-1967
Laurent Robert,Newcastle United,"2001-2005, 2005-2006"
Kevin Nolan,Newcastle United,2009-2011
Andy Smailes,Newcastle United,1919-1922
Michael Owen,Newcastle United,2005-2009
Miguel Almirón,Newcastle United,2019-2025
Len Shackleton,Newcastle United,1946-1948
Joelinton,Newcastle United,2019-2025
Peter Løvenkrands,Newcastle United,2009-2012
Demba Ba,Newcastle United,2011-2013
Tommy Cassidy,Newcastle United,1970-1980
Kenny Wharton,Newcastle United,1978-1989
Tommy Craig,Newcastle United,1974-1977
Billy Cowan,Newcastle United,1923-1926
Lee Clark,Newcastle United,"1989-1997, 2005-2007"
Peter Withe,Newcastle United,1978-1980
Neil McDonald,Newcastle United,1983-1988
Alec Gardner,Newcastle United,1899-1910
Roy Bentley,Newcastle United,1946-1948
Keith Dyson,Newcastle United,1968-1971
Matt Ritchie,Newcastle United,2016-2024
Tom Urwin,Newcastle United,1924-1930
Bill Imrie,Newcastle United,1934-1938
Paul Gascoigne,Newcastle United,1985-1988
Paul Goddard,Newcastle United,1986-1988
Albert Bennett,Newcastle United,1965-1969
Mirandinha,Newcastle United,1987-1989
Stewart Barrowclough,Newcastle United,1970-1978
Terry McDermott,Newcastle United,"1973-1974, 1982-1985"
