name,club,periods
Harry Kane,Tottenham Hotspur,"2010-2011, 2011-2012, 2012-2012, 2013-2013, 2013-2023"
Jimmy Greaves,Tottenham Hotspur,1961-1970
Heung-min Son,Tottenham Hotspur,2015-2025
Martin Chivers,Tottenham Hotspur,1968-1976
Cliff Jones,Tottenham Hotspur,1958-1968
Jermain Defoe,Tottenham Hotspur,"2004-2008, 2009-2014"
Alan Gilzean,Tottenham Hotspur,1964-1974
Teddy Sheringham,Tottenham Hotspur,"1992-1997, 2001-2003"
Robbie Keane,Tottenham Hotspur,"2002-2008, 2009-2010, 2010-2011, 2011-2011"
Glenn Hoddle,Tottenham Hotspur,1974-1987
Mark Falco,Tottenham Hotspur,"1978-1982, 1982-1986"
Clive Allen,Tottenham Hotspur,1984-1988
Gary Lineker,Tottenham Hotspur,1989-1992
Len Duquemin,Tottenham Hotspur,1946-1958
Steve Archibald,Tottenham Hotspur,1980-1984
Gareth Bale,Tottenham Hotspur,"2007-2013, 2020-2021"
Martin Peters,Tottenham Hotspur,1970-1975
Terry Medwin,Tottenham Hotspur,1956-1963
Garth Crooks,Tottenham Hotspur,"1980-1983, 1984-1985"
Christian Eriksen,Tottenham Hotspur,2013-2020
Dele Alli,Tottenham Hotspur,"2015-2015, 2015-2022"
Les Allen,Tottenham Hotspur,1959-1965
Chris Armstrong,Tottenham Hotspur,1995-2002
George Robb,Tottenham Hotspur,1951-1959
Terry Dyson,Tottenham Hotspur,1955-1965
Les Bennett,Tottenham Hotspur,1939-1954
Dave Mackay,Tottenham Hotspur,1959-1968
Tommy Harmer,Tottenham Hotspur,1948-1960
Darren Anderton,Tottenham Hotspur,1992-2004
Johnny Brooks,Tottenham Hotspur,1953-1959
John White,Tottenham Hotspur,1959-2025
Steffen Iversen,Tottenham Hotspur,1996-2003
Frank Saul,Tottenham Hotspur,1960-1968
Dimitar Berbatov,Tottenham Hotspur,2006-2008
Emmanuel Adebayor,Tottenham Hotspur,"2011-2012, 2012-2015"
Roman Pavlyuchenko,Tottenham Hotspur,2008-2012
Alfie Stokes,Tottenham Hotspur,1953-1959
Chris Waddle,Tottenham Hotspur,1985-1989
John Duncan,Tottenham Hotspur,1975-1979
Eddie Baily,Tottenham Hotspur,1946-1956
Lucas Moura,Tottenham Hotspur,2018-2023
John Pratt,Tottenham Hotspur,1969-1980
Les Ferdinand,Tottenham Hotspur,1997-2003
Jürgen Klinsmann,Tottenham Hotspur,"1994-1995, 1997-1998"
Erik Lamela,Tottenham Hotspur,2013-2021
Paul Stewart,Tottenham Hotspur,1988-1992
Steve Perryman,Tottenham Hotspur,1969-1986
Gary Mabbutt,Tottenham Hotspur,1982-1998
Chris Jones,Tottenham Hotspur,1973-1982
Graham Roberts,Tottenham Hotspur,1980-1986
Paul Gascoigne,Tottenham Hotspur,1988-1992
Aaron Lennon,Tottenham Hotspur,"2005-2015, 2015-2015"
Alan Mullery,Tottenham Hotspur,1964-1972
Jimmy Robertson,Tottenham Hotspur,1963-1968
Tony Galvin,Tottenham Hotspur,1977-1987
Jimmy Pearce,Tottenham Hotspur,1965-1973
Sid McClellan,Tottenham Hotspur,1949-1956
Paul Allen,Tottenham Hotspur,1985-1993
Rafael van der Vaart,Tottenham Hotspur,2010-2012
David Howells,Tottenham Hotspur,1985-1998
Nick Barmby,Tottenham Hotspur,1991-1995
Jermaine Jenas,Tottenham Hotspur,"2005-2011, 2012-2012, 2013-2013"
Dave Dunmore,Tottenham Hotspur,1954-1960
Darren Bent,Tottenham Hotspur,2007-2009
Nacer Chadli,Tottenham Hotspur,2013-2016
Osvaldo Ardiles,Tottenham Hotspur,"1978-1982, 1982-1984, 1984-1988"
Dejan Kulusevski,Tottenham Hotspur,"2022-2023, 2023-2025"
Ralph Coates,Tottenham Hotspur,1971-1978
Peter Crouch,Tottenham Hotspur,"1998-2000, 2000-2000, 2000-2000, 2009-2011"
Micky Hazard,Tottenham Hotspur,"1978-1985, 1993-1995"
Gustavo Poyet,Tottenham Hotspur,2001-2004
Frédéric Kanouté,Tottenham Hotspur,2003-2005
Ricky Villa,Tottenham Hotspur,1978-1983
David Ginola,Tottenham Hotspur,1997-2000
Danny Blanchflower,Tottenham Hotspur,"1954-1961, 1961-1964"
Les Medley,Tottenham Hotspur,1939-2025
Nico Claesen,Tottenham Hotspur,1986-1988
Paul Walsh,Tottenham Hotspur,1988-1992
Eddie Clayton,Tottenham Hotspur,
Peter Taylor,Tottenham Hotspur,1976-1980
Sir Alf Ramsey,Tottenham Hotspur,1949-1955
Brennan Johnson,Tottenham Hotspur,2023-2025
Mike England,Tottenham Hotspur,1966-1975
Maurice Norman,Tottenham Hotspur,1955-1966
Mido,Tottenham Hotspur,"2005-2006, 2006-2007"
Richarlison,Tottenham Hotspur,2022-2025
Simon Davies,Tottenham Hotspur,1999-2005
Chris Hughton,Tottenham Hotspur,1977-1990
Allan Nielsen,Tottenham Hotspur,"1996-2000, 2000-2000"
Gordon Durie,Tottenham Hotspur,1991-1993
Nayim,Tottenham Hotspur,1988-1993
Garry Brooke,Tottenham Hotspur,"1978-1980, 1980-1985"
Luka Modric,Tottenham Hotspur,2008-2012
Vinny Samways,Tottenham Hotspur,1986-1994
Roberto Soldado,Tottenham Hotspur,2013-2015
Tim Sherwood,Tottenham Hotspur,1999-2003
Tom Huddlestone,Tottenham Hotspur,"2005-2005, 2006-2013"
Sergiy Rebrov,Tottenham Hotspur,"2000-2003, 2004-2004"
