name,club,periods
Jimmy Murray,Wolverhampton Wanderers,1953-1963
Steve Bull,Wolverhampton Wanderers,1986-1999
Johnny Hancocks,Wolverhampton Wanderers,1946-1957
John Richards,Wolverhampton Wanderers,"1970-1982, 1983-1983"
Peter Broadbent,Wolverhampton Wanderers,1951-1965
Roy Swinbourne,Wolverhampton Wanderers,1945-1957
Dennis Wilshaw,Wolverhampton Wanderers,"1943-1946, 1948-1957"
Jimmy Mullen,Wolverhampton Wanderers,1938-1960
Derek Dougan,Wolverhampton Wanderers,1967-1975
Jesse Pye,Wolverhampton Wanderers,1946-1952
Kenny Hibbitt,Wolverhampton Wanderers,"1968-1982, 1982-1984"
Norman Deeley,Wolverhampton Wanderers,1950-1962
Sylvan Ebanks-Blake,Wolverhampton Wanderers,2008-2013
Kenny Miller,Wolverhampton Wanderers,"2001-2001, 2002-2006"
Raúl Jiménez,Wolverhampton Wanderers,"2018-2019, 2019-2023"
Bobby Mason,Wolverhampton Wanderers,1954-1962
Terry Wharton,Wolverhampton Wanderers,1959-1967
David Edwards,Wolverhampton Wanderers,2008-2017
Ted Farmer,Wolverhampton Wanderers,1960-1964
Diogo Jota,Wolverhampton Wanderers,"2017-2018, 2018-2020"
Jim McCalliog,Wolverhampton Wanderers,1969-1974
Hugh Curran,Wolverhampton Wanderers,1969-1972
Ray Crawford,Wolverhampton Wanderers,1963-1965
Bakary Sako,Wolverhampton Wanderers,2012-2015
Sammy Smyth,Wolverhampton Wanderers,1947-1951
Andy Gray,Wolverhampton Wanderers,1979-1983
Nouha Dicko,Wolverhampton Wanderers,"2013-2013, 2014-2017"
Ron Flowers,Wolverhampton Wanderers,1952-1967
Peter Knowles,Wolverhampton Wanderers,1962-1982
Don Goodman,Wolverhampton Wanderers,1994-1998
Kevin Doyle,Wolverhampton Wanderers,"2009-2014, 2014-2014, 2015-2015"
Jimmy Dunn,Wolverhampton Wanderers,
Melvyn Eves,Wolverhampton Wanderers,1984-1984
Matt Doherty,Wolverhampton Wanderers,"2010-2012, 2012-2012, 2013-2020, 2023-2025"
Carl Cort,Wolverhampton Wanderers,2004-2007
Dean Sturridge,Wolverhampton Wanderers,"2001-2001, 2001-2003, 2004-2005"
Matheus Cunha,Wolverhampton Wanderers,"2023-2023, 2023-2025"
