rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Gordon Davies,Gordon John Davies,454,178,33,37.432,"1978-1984, 1986-1991",Davies,-,3,1,Fulham FC,Attack - Centre-Forward,"1,70 m",Wales,unknown,https://www.transfermarkt.us/gordon-davies/profil/spieler/176791,https://img.a.transfermarkt.technology/portrait/small/s_176791_123_2012_1.jpg?lm=1,,03.08.1955,Merthyr Tydfil,Retired
2,Johnny Haynes,John Norman Haynes,658,156,142,58.278,1952-1970,Haynes,10,0,1,Fulham FC,Attack - Second Striker,,England,unknown,https://www.transfermarkt.us/johnny-haynes/profil/spieler/136163,https://img.a.transfermarkt.technology/portrait/small/136163-1646903792.jpg?lm=1,,17.10.1934,London,---
3,Bedford Jezzard,Bedford Alfred George Jezzard,305,154,34,27.45,1948-1956,Jezzard,-,0,0,Fulham FC,Attack - Centre-Forward,Unknown,England,unknown,https://www.transfermarkt.us/bedford-jezzard/profil/spieler/222455,https://img.a.transfermarkt.technology/portrait/small/222455-1736153863.jpg?lm=1,,19.10.1927,London,---
4,Graham Leggat,Unknown,280,135,20,25.012,1958-1967,Leggat,-,1,0,Fulham FC,Attack - Right Winger,Unknown,Scotland,unknown,https://www.transfermarkt.us/graham-leggat/profil/spieler/222580,https://img.a.transfermarkt.technology/portrait/small/222580-1653651961.png?lm=1,,23.06.1934,Aberdeen,---
5,Arthur Stevens,Unknown,411,123,68,36.955,1941-1959,Stevens,Unknown,0,0,Fulham FC,Attack - Right Winger,Unknown,England,unknown,https://www.transfermarkt.us/arthur-stevens/profil/spieler/225943,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,,13.01.1921,London,---
6,Aleksandar Mitrović,Александар Митровић,206,111,21,16.603,"2018-2018, 2018-2023",Mitrović,9,40,1,Fulham FC,Attack - Centre-Forward,"1,89 m",Serbia,rs,https://www.transfermarkt.us/aleksandar-mitrovic/profil/spieler/51152,https://img.a.transfermarkt.technology/portrait/small/51152-1697050954.png?lm=1,,16.09.1994,Smederevo,Al-Hilal SFC
7,Steve Earle,Stephen John Earle,327,108,11,28.58,1963-1974,Earle,Unknown,0,0,Fulham FC,Attack - Second Striker,Unknown,England,unknown,https://www.transfermarkt.us/steve-earle/profil/spieler/222449,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,,01.11.1945,Feltham,Retired
8,Maurice Cook,Unknown,248,96,11,22.32,1958-1965,Cook,Unknown,0,0,Fulham FC,Attack - Centre-Forward,Unknown,England,unknown,https://www.transfermarkt.us/maurice-cook/profil/spieler/222562,https://img.a.transfermarkt.technology/portrait/small/222562-1653651934.png?lm=1,,10.12.1931,Berkhamsted,---
9,Les Barrett,Leslie Barrett,491,90,37,43.737,1965-1977,Barrett,Unknown,0,0,Fulham FC,Attack - Left Winger,Unknown,England,unknown,https://www.transfermarkt.us/les-barrett/profil/spieler/222445,https://img.a.transfermarkt.technology/portrait/small/222445-1669625074.jpg?lm=1,,22.10.1947,London,Retired
10,Sir Bobby Robson,Sir Robert William Robson,370,80,18,33.21,"1950-1956, 1962-1967",Robson,-,0,0,Fulham FC,Attack - Right Winger,Unknown,England,unknown,https://www.transfermarkt.us/sir-bobby-robson/profil/spieler/136165,https://img.a.transfermarkt.technology/portrait/small/136165-1636390093.jpg?lm=1,,18.02.1933,Sacriston,---
