name,status,profile_url,image_url,jersey_name,jersey_number,nation,nation_code,club,place_of_birth,full_name,position,height,date_of_birth,appearances,goals,assists,own_goals,yellow_cards,second_yellow,red_cards,substituted_on,substituted_off,minutes_played
Fabien Cool,Retired,https://www.transfermarkt.us/fabien-cool/profil/spieler/5415,https://img.a.transfermarkt.technology/portrait/small/5415-1731450300.jpg?lm=1,Cool,Unknown,France,fr,AJ Auxerre,L'Isle-Adam,Unknown,Goalkeeper,"1,86 m",29.08.1972,467,0,1,1,9,0,0,7,10,41.653
Bruno Martini,---,https://www.transfermarkt.us/bruno-martini/profil/spieler/101116,https://img.a.transfermarkt.technology/portrait/small/101116-1742319565.jpg?lm=1,Martini,1,France,fr,AJ Auxerre,Nevers,Unknown,Goalkeeper,"1,82 m",25.01.1962,381,0,0,1,10,0,1,0,0,34.374
Pascal Vahirua,Retired,https://www.transfermarkt.us/pascal-vahirua/profil/spieler/101120,https://img.a.transfermarkt.technology/portrait/small/101120-1538038576.jpg?lm=1,Vahirua,-,France,fr,AJ Auxerre,Papeete,Unknown,Attack - Left Winger,"1,73 m",09.03.1966,347,69,18,0,8,0,0,16,145,27.888
Christophe Cocard,Retired,https://www.transfermarkt.us/christophe-cocard/profil/spieler/101111,https://img.a.transfermarkt.technology/portrait/small/101111-1676633900.jpg?lm=1,Cocard,12,France,fr,AJ Auxerre,Bernay,Unknown,Attack - Right Winger,"1,80 m",23.11.1967,322,72,13,0,17,0,1,34,32,26.104
Claude Barret,Retired,https://www.transfermarkt.us/claude-barret/profil/spieler/312973,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Barret,Unknown,France,fr,AJ Auxerre,Troyes,Unknown,Defender - Left-Back,"1,82 m",10.11.1960,313,7,0,1,19,0,0,7,9,27.484
Stéphane Grichting,Retired,https://www.transfermarkt.us/stephane-grichting/profil/spieler/5419,https://img.a.transfermarkt.technology/portrait/small/5419-1731450540.jpg?lm=1,Grichting,-,Switzerland,ch,AJ Auxerre,Sierre,Unknown,Defender - Centre-Back,"1,86 m",30.03.1979,313,2,2,2,49,0,1,13,16,27.457
Jean-Sébastien Jaurès,Retired,https://www.transfermarkt.us/jean-sebastien-jaures/profil/spieler/3903,https://img.a.transfermarkt.technology/portrait/small/s_3903_18_2010_1.jpg?lm=1,Jaurès,-,France,fr,AJ Auxerre,Tours,Unknown,Defender - Left-Back,"1,75 m",30.09.1977,311,4,3,1,34,1,0,38,29,25.085
Basile Boli,Retired,https://www.transfermarkt.us/basile-boli/profil/spieler/101109,https://img.a.transfermarkt.technology/portrait/small/s_101109_123_2012_1.jpg?lm=1,Boli,-,France,fr,AJ Auxerre,Abidjan,Unknown,Defender - Centre-Back,"1,82 m",02.01.1967,297,6,0,2,30,0,1,0,24,26.200
Raphaël Guerreiro,Retired,https://www.transfermarkt.us/raphael-guerreiro/profil/spieler/167997,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Guerreiro,Unknown,France,fr,AJ Auxerre,Montreuil,Unknown,Midfield - Central Midfield,"1,67 m",24.04.1968,277,10,3,0,24,2,0,7,23,23.919
Jean-Pascal Mignot,Retired,https://www.transfermarkt.us/jean-pascal-mignot/profil/spieler/12275,https://img.a.transfermarkt.technology/portrait/small/s_12275_618_2012_2.jpg?lm=1,Mignot,Unknown,France,fr,AJ Auxerre,Rouen,Unknown,Defender - Centre-Back,"1,82 m",26.02.1981,259,14,4,1,61,1,1,19,10,21.950
Daniel Dutuel,Retired,https://www.transfermarkt.us/daniel-dutuel/profil/spieler/168571,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Dutuel,Unknown,France,fr,AJ Auxerre,Bort-les-Orgues,Unknown,Midfield - Central Midfield,"1,78 m",10.12.1967,258,34,2,1,14,0,0,20,21,21.692
William Prunier,Retired,https://www.transfermarkt.us/william-prunier/profil/spieler/6979,https://img.a.transfermarkt.technology/portrait/small/6979-1682588424.jpg?lm=1,Prunier,-,France,fr,AJ Auxerre,Montreuil,Unknown,Defender - Centre-Back,"1,84 m",14.08.1967,256,25,0,1,36,1,0,2,10,22.840
Yann Lachuer,Retired,https://www.transfermarkt.us/yann-lachuer/profil/spieler/5429,https://img.a.transfermarkt.technology/portrait/small/5429-1702915014.jpg?lm=1,Lachuer,Unknown,France,fr,AJ Auxerre,Champigny-sur-Marne,Unknown,Midfield - Attacking Midfield,"1,76 m",05.08.1972,256,31,14,0,17,0,0,11,39,21.830
Johan Radet,Retired,https://www.transfermarkt.us/johan-radet/profil/spieler/5424,https://img.a.transfermarkt.technology/portrait/small/5424-1731450200.jpg?lm=1,Radet,Unknown,France,fr,AJ Auxerre,La Fère,Unknown,Defender - Right-Back,"1,74 m",24.11.1976,249,0,1,0,17,1,0,23,32,20.030
