name,status,profile_url,image_url,jersey_name,jersey_number,nation,nation_code,club,place_of_birth,full_name,position,height,date_of_birth,appearances,goals,assists,own_goals,yellow_cards,second_yellow,red_cards,substituted_on,substituted_off,minutes_played
Jean-Luc Ettori,Retired,https://www.transfermarkt.us/jean-luc-ettori/profil/spieler/108761,https://img.a.transfermarkt.technology/portrait/small/108761-1664814200.jpg?lm=1,Ettori,-,France,fr,AS Monaco,Marseille,Unknown,Goalkeeper,"1,75 m",29.07.1955,754,0,0,0,10,0,2,0,2,68.097
Claude Puel,Retired,https://www.transfermarkt.us/claude-puel/profil/spieler/177715,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Puel,-,France,fr,AS Monaco,Castres,Unknown,Midfield - Defensive Midfield,N/A,02.09.1961,597,5,3,0,54,0,2,59,41,48.992
Manuel Amoros,Retired,https://www.transfermarkt.us/manuel-amoros/profil/spieler/101108,https://img.a.transfermarkt.technology/portrait/small/101108-1517844959.jpg?lm=1,Amoros,2,France,fr,AS Monaco,Nîmes,Unknown,Defender - Right-Back,N/A,01.02.1962,349,42,0,1,28,1,1,9,18,30.531
Marcel Dib,Retired,https://www.transfermarkt.us/marcel-dib/profil/spieler/108760,https://img.a.transfermarkt.technology/portrait/small/108760-1742320123.jpg?lm=1,Dib,-,France,fr,AS Monaco,Marseille,Unknown,Midfield - Central Midfield,"1,75 m",10.08.1960,326,21,6,0,38,0,1,15,33,27.820
François Ludo,---,https://www.transfermarkt.us/francois-ludo/profil/spieler/305601,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Ludo,-,France,fr,AS Monaco,Rouvroy,François Ludwikowski,Midfield,"1,72 m",04.03.1930,318,26,0,3,0,0,0,0,0,28.860
Luc Sonor,Retired,https://www.transfermarkt.us/luc-sonor/profil/spieler/108774,https://img.a.transfermarkt.technology/portrait/small/108774-1742319968.jpg?lm=1,Sonor,-,France,fr,AS Monaco,Basse-Terre,Unknown,Defender - Centre-Back,"1,81 m",15.09.1962,314,5,4,0,36,1,0,17,22,26.941
Michel Hidalgo,---,https://www.transfermarkt.us/michel-hidalgo/profil/spieler/170726,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Hidalgo,-,France,fr,AS Monaco,Leffrinckoucke,Unknown,Attack - Right Winger,N/A,22.03.1933,303,31,0,0,0,0,0,0,0,27.420
Jean Petit,---,https://www.transfermarkt.us/jean-petit/profil/spieler/141782,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Petit,-,France,fr,AS Monaco,Toulouse,Unknown,Midfield - Central Midfield,N/A,25.09.1949,302,49,0,1,1,0,0,2,22,26.544
Danijel Subasic,Retired,https://www.transfermarkt.us/danijel-subasic/profil/spieler/27941,https://img.a.transfermarkt.technology/portrait/small/27941-1662876077.jpg?lm=1,Subasic,23,Croatia,hr,AS Monaco,Zadar,Danijel Subašić,Goalkeeper,"1,91 m",27.10.1984,292,1,1,0,19,0,2,1,4,26.007
Georges Thomas,---,https://www.transfermarkt.us/georges-thomas/profil/spieler/306121,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Thomas,Unknown,France,fr,AS Monaco,Saint-Martin-Boulogne,Unknown,Defender - Left-Back,"1,77 m",31.12.1931,291,1,0,2,0,0,1,0,0,26.346
Emmanuel Petit,Retired,https://www.transfermarkt.us/emmanuel-petit/profil/spieler/3166,https://img.a.transfermarkt.technology/portrait/small/3166-1683298039.jpg?lm=1,Petit,17,France,fr,AS Monaco,Dieppe,Emmanuel Laurent Petit,Midfield - Defensive Midfield,"1,85 m",22.09.1970,291,5,13,1,30,1,2,7,32,25.012
Franck Dumas,Retired,https://www.transfermarkt.us/franck-dumas/profil/spieler/149391,https://img.a.transfermarkt.technology/portrait/small/149391-1491231799.jpg?lm=1,Dumas,-,France,fr,AS Monaco,Bayeux,Unknown,Defender - Centre-Back,"1,80 m",09.01.1968,282,2,3,2,33,1,4,4,14,24.837
Alfred Vitalis,Retired,https://www.transfermarkt.us/alfred-vitalis/profil/spieler/298954,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Vitalis,Unknown,France,fr,AS Monaco,Bologhine,Unknown,Defender - Left-Back,"1,76 m",11.09.1953,279,2,0,3,4,0,0,4,13,24.530
Armand Forchério,Retired,https://www.transfermarkt.us/armand-forcherio/profil/spieler/307440,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Forchério,Unknown,Monaco,mc,AS Monaco,Monaco,Unknown,Defender,Unknown,01.03.1941,272,2,0,0,0,0,0,1,1,24.634
Dominique Bijotat,Retired,https://www.transfermarkt.us/dominique-bijotat/profil/spieler/216340,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Bijotat,-,France,fr,AS Monaco,Chassignolles,Unknown,Midfield - Defensive Midfield,"1,77 m",03.01.1961,271,20,1,0,6,0,0,31,27,21.569
Jean-Claude Hernandez,Retired,https://www.transfermarkt.us/jean-claude-hernandez/profil/spieler/305590,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Hernandez,Unknown,France,fr,AS Monaco,Oran,Unknown,Goalkeeper,"1,78 m",15.12.1936,268,1,0,0,0,0,0,0,0,24.330
Ludovic Giuly,Retired,https://www.transfermarkt.us/ludovic-giuly/profil/spieler/5299,https://img.a.transfermarkt.technology/portrait/small/5299-1476891209.jpg?lm=1,Giuly,-,France,fr,AS Monaco,Lyon,Ludovic Vincent Giuly,Attack - Right Winger,"1,64 m",10.07.1976,268,67,13,0,34,1,1,25,106,20.947
Henri Biancheri,---,https://www.transfermarkt.us/henri-biancheri/profil/spieler/305568,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Biancheri,-,France,fr,AS Monaco,Marseille,Unknown,Midfield - Defensive Midfield,"1,70 m",30.07.1932,263,30,0,0,0,0,0,0,0,23.880
Marcel Nowak,---,https://www.transfermarkt.us/marcel-nowak/profil/spieler/305611,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Nowak,-,France,fr,AS Monaco,Piennes,Unknown,Defender,Unknown,10.07.1934,263,5,0,1,0,0,0,0,0,23.790
Christian Dalger,---,https://www.transfermarkt.us/christian-dalger/profil/spieler/141783,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Dalger,-,France,fr,AS Monaco,Nîmes,Christian Georges Dalger,Attack - Right Winger,N/A,18.12.1949,263,64,1,0,6,0,0,4,22,23.098
Théodore Szkudlapski,---,https://www.transfermarkt.us/theodore-szkudlapski/profil/spieler/305632,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Szkudlapski,-,France,fr,AS Monaco,Avion,Unknown,Midfield,"1,77 m",17.01.1935,250,44,0,1,0,0,0,0,0,22.650
Flavio Roma,Retired,https://www.transfermarkt.us/flavio-roma/profil/spieler/5281,https://img.a.transfermarkt.technology/portrait/small/s_5281_162_2013_10_04_1.jpg?lm=1,Roma,-,Italy,it,AS Monaco,Roma,Unknown,Goalkeeper,"1,91 m",21.06.1974,249,0,0,1,16,0,1,2,5,22.167
Delio Onnis,Retired,https://www.transfermarkt.us/delio-onnis/profil/spieler/140864,https://img.a.transfermarkt.technology/portrait/small/140864-1677257622.png?lm=1,Onnis,Unknown,Argentina,ar,AS Monaco,Giuliano di Roma,Unknown,Attack - Centre-Forward,N/A,24.03.1948,246,193,0,0,9,0,0,1,11,21.940
