name,status,profile_url,image_url,jersey_name,jersey_number,nation,nation_code,club,place_of_birth,full_name,position,height,date_of_birth,appearances,goals,assists,own_goals,yellow_cards,second_yellow,red_cards,substituted_on,substituted_off,minutes_played
Steve Mandanda,Stade Rennais FC,https://www.transfermarkt.us/steve-mandanda/profil/spieler/23951,https://img.a.transfermarkt.technology/portrait/small/23951-1666698933.jpg?lm=1,Mandanda,16,France,fr,Olympique Marseille,Kinshasa,Unknown,Goalkeeper,"1,87 m",28.03.1985,613,0,1,2,21,1,3,0,8,55.019
François Bracci,---,https://www.transfermarkt.us/francois-bracci/profil/spieler/141756,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Bracci,-,France,fr,Olympique Marseille,Beinheim,Unknown,Defender - Left-Back,N/A,31.10.1951,343,15,0,2,11,0,1,2,6,30.617
Roger Scotti,---,https://www.transfermarkt.us/roger-scotti/profil/spieler/300933,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Scotti,-,France,fr,Olympique Marseille,Unknown,Unknown,Midfield,Unknown,29.07.1925,341,58,0,3,0,0,0,0,0,30.780
Mathieu Valbuena,Athens Kallithea,https://www.transfermarkt.us/mathieu-valbuena/profil/spieler/40687,https://img.a.transfermarkt.technology/portrait/small/40687-1727960492.jpg?lm=1,Valbuena,8,France,fr,Olympique Marseille,Bruges,Unknown,Midfield - Attacking Midfield,"1,67 m",28.09.1984,330,38,58,0,35,1,0,86,154,21.482
Dimitri Payet,Clube de Regatas Vasco da Gama,https://www.transfermarkt.us/dimitri-payet/profil/spieler/37647,https://img.a.transfermarkt.technology/portrait/small/37647-1617979644.jpg?lm=1,Payet,18,France,fr,Olympique Marseille,Saint-Pierre,Unknown,Midfield - Attacking Midfield,"1,75 m",29.03.1987,326,78,95,0,45,1,3,55,123,23.659
Jules Zvunka,Retired,https://www.transfermarkt.us/jules-zvunka/profil/spieler/266915,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Zvunka,Unknown,France,fr,Olympique Marseille,Le Ban-Saint-Martin,Unknown,Defender - Centre-Back,N/A,17.08.1941,312,0,0,1,2,0,0,0,5,28.198
Benoît Cheyrou,Retired,https://www.transfermarkt.us/benoit-cheyrou/profil/spieler/5645,https://img.a.transfermarkt.technology/portrait/small/5645-1489235277.jpg?lm=1,Cheyrou,-,France,fr,Olympique Marseille,Suresnes,Unknown,Midfield - Defensive Midfield,"1,82 m",03.05.1981,306,28,43,1,46,1,0,43,60,23.719
Victor Zvunka,Retired,https://www.transfermarkt.us/victor-zvunka/profil/spieler/450064,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Zvunka,-,France,fr,Olympique Marseille,Le Ban-Saint-Martin,Victor Zvuncă,Defender - Right-Back,"1,78 m",15.11.1951,299,6,0,0,7,0,0,3,3,26.684
Marius Trésor,Retired,https://www.transfermarkt.us/marius-tresor/profil/spieler/128995,https://img.a.transfermarkt.technology/portrait/small/128995-1547818047.jpg?lm=1,Trésor,-,France,fr,Olympique Marseille,Sainte-Anne,Unknown,Defender - Sweeper,"1,80 m",15.01.1950,298,12,0,2,1,0,0,1,6,26.670
Florian Thauvin,Udinese Calcio,https://www.transfermarkt.us/florian-thauvin/profil/spieler/184892,https://img.a.transfermarkt.technology/portrait/small/184892-1675246062.jpg?lm=1,Thauvin,20,France,fr,Olympique Marseille,Orléans,Florian Tristan Mariano Thauvin,Attack - Second Striker,"1,81 m",26.01.1993,281,86,61,0,33,0,2,39,146,20.522
Éric Di Meco,Retired,https://www.transfermarkt.us/eric-di-meco/profil/spieler/104060,https://img.a.transfermarkt.technology/portrait/small/104060-1599551899.jpg?lm=1,Di Meco,-,France,fr,Olympique Marseille,Avignon,Unknown,Defender - Left-Back,"1,80 m",07.09.1963,277,13,4,0,42,2,2,34,45,21.743
Jean-Pierre Papin,Retired,https://www.transfermarkt.us/jean-pierre-papin/profil/spieler/17168,https://img.a.transfermarkt.technology/portrait/small/17168-1546600583.jpg?lm=1,Papin,9,France,fr,Olympique Marseille,Boulogne-sur-Mer,Unknown,Attack - Centre-Forward,"1,77 m",05.11.1963,275,182,10,0,22,0,0,0,14,24.505
Taye Taiwo,Retired,https://www.transfermarkt.us/taye-taiwo/profil/spieler/28922,https://img.a.transfermarkt.technology/portrait/small/28922-1410511334.jpg?lm=1,Taiwo,-,Nigeria,ng,Olympique Marseille,Lagos,Taye Ismaila Taïwo,Defender - Left-Back,"1,82 m",16.04.1985,271,25,23,0,23,2,2,12,12,23.501
Maurice Gransart,---,https://www.transfermarkt.us/maurice-gransart/profil/spieler/1144534,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Gransart,Unknown,France,fr,Olympique Marseille,Unknown,Unknown,Defender,Unknown,08.07.1930,258,4,0,3,0,0,2,0,0,23.350
Gunnar Johansson,---,https://www.transfermarkt.us/gunnar-johansson/profil/spieler/248444,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Johansson,-,Sweden,se,Olympique Marseille,Hjärtum,Unknown,Defender,"1,82 m",29.02.1924,255,0,0,3,0,0,2,0,0,23.028
Jacky Novi,Retired,https://www.transfermarkt.us/jacky-novi/profil/spieler/266489,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Novi,-,France,fr,Olympique Marseille,Bellegarde,Jacques Novi,Midfield - Defensive Midfield,"1,76 m",18.07.1946,250,15,1,0,0,0,0,7,3,22.304
Joseph Bonnel,---,https://www.transfermarkt.us/joseph-bonnel/profil/spieler/236043,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Bonnel,-,France,fr,Olympique Marseille,Florensac,Unknown,Midfield - Right Midfield,N/A,04.01.1939,250,58,0,1,2,0,1,5,8,22.172
Gunnar Andersson,---,https://www.transfermarkt.us/gunnar-andersson/profil/spieler/466627,https://img.a.transfermarkt.technology/portrait/small/466627-1698157869.jpg?lm=1,Andersson,-,Sweden,se,Olympique Marseille,Arvika,Unknown,Attack - Centre-Forward,"1,75 m",14.08.1928,248,194,0,0,0,0,0,0,0,22.440
Jean-Pierre Lopez,Retired,https://www.transfermarkt.us/jean-pierre-lopez/profil/spieler/266908,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Lopez,Unknown,France,fr,Olympique Marseille,Cierp,Unknown,Defender - Right-Back,"1,80 m",03.01.1943,247,2,1,1,0,0,0,2,5,22.098
Salem Ben Miloud,Retired,https://www.transfermarkt.us/salem-ben-miloud/profil/spieler/1086628,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Ben Miloud,Unknown,Morocco,ma,Olympique Marseille,El Jadida,Abdelsalem Ben Miloud Salem,Defender - Left-Back,"1,82 m",01.01.1921,246,1,0,2,0,0,0,0,0,22.170
Robert Buigues,Retired,https://www.transfermarkt.us/robert-buigues/profil/spieler/304946,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Buigues,-,France,fr,Olympique Marseille,Ain Benian,Unknown,Midfield - Defensive Midfield,N/A,09.05.1950,230,38,2,1,7,0,2,8,12,19.970
Fabien Barthez,Retired,https://www.transfermarkt.us/fabien-barthez/profil/spieler/3289,https://img.a.transfermarkt.technology/portrait/small/3289-1414053325.jpg?lm=1,Barthez,16,France,fr,Olympique Marseille,Lavelanet,Fabien Alain Barthez,Goalkeeper,"1,80 m",28.06.1971,228,0,0,0,18,0,3,0,1,20.583
Mamadou Niang,Retired,https://www.transfermarkt.us/mamadou-niang/profil/spieler/6118,https://img.a.transfermarkt.technology/portrait/small/6118-1671033348.jpg?lm=1,Niang,-,Senegal,sn,Olympique Marseille,Matam,Mamadou Hamidou Niang,Attack - Centre-Forward,"1,78 m",13.10.1979,227,100,36,0,29,0,0,21,105,17.642
Jean-Paul Escale,Retired,https://www.transfermarkt.us/jean-paul-escale/profil/spieler/467948,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Escale,Unknown,France,fr,Olympique Marseille,Barbazan-Debat,Unknown,Goalkeeper,"1,77 m",06.03.1938,221,0,0,0,0,0,0,1,3,19.920
Gérard Migeon,Retired,https://www.transfermarkt.us/gerard-migeon/profil/spieler/302775,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Migeon,Unknown,France,fr,Olympique Marseille,Longjumeau,Unknown,Goalkeeper,"1,75 m",28.11.1947,221,0,0,0,0,0,0,0,0,19.890
Bernard Casoni,Retired,https://www.transfermarkt.us/bernard-casoni/profil/spieler/101110,https://img.a.transfermarkt.technology/portrait/small/101110-1599551613.jpg?lm=1,Casoni,-,France,fr,Olympique Marseille,Cannes,Bernard René Michel Casoni,Defender - Centre-Back,"1,78 m",04.09.1961,221,3,4,2,36,5,3,3,9,19.337
Josip Skoblar,Retired,https://www.transfermarkt.us/josip-skoblar/profil/spieler/102785,https://img.a.transfermarkt.technology/portrait/small/102785-1579017345.jpg?lm=1,Skoblar,-,Croatia,hr,Olympique Marseille,Privlaka,Unknown,Attack - Centre-Forward,N/A,12.03.1941,218,185,0,0,11,0,2,0,3,19.646
