rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Téji Savanier,Unknown,173,44,34,14.354,N/A,Savanier,-,33,7,Montpellier HSC,Midfield - Attacking Midfield,"1,72 m",France,fr,https://www.transfermarkt.us/teji-savanier/profil/spieler/127156,https://img.a.transfermarkt.technology/portrait/small/127156-1702663364.JPG?lm=1,N/A,22.12.1991,Montpellier,Montpellier HSC
2,Souleymane Camara,Unknown,433,76,28,24.878,N/A,Camara,-,24,0,Montpellier HSC,Attack - Right Winger,"1,74 m",Senegal,sn,https://www.transfermarkt.us/souleymane-camara/profil/spieler/5303,https://img.a.transfermarkt.technology/portrait/small/5303-1449589446.jpg?lm=1,N/A,22.12.1982,Dakar,Retired
3,Ryad Boudebouz,رياض بودبوز,73,13,22,6.293,N/A,Boudebouz,7,7,0,Montpellier HSC,Midfield - Attacking Midfield,"1,77 m",Algeria,dz,https://www.transfermarkt.us/ryad-boudebouz/profil/spieler/77826,https://img.a.transfermarkt.technology/portrait/small/77826-1722267234.jpg?lm=1,N/A,19.02.1990,Colmar,JS Kabylie
4,Andy Delort,أندي ديلور,112,47,21,9.450,N/A,Delort,15,15,0,Montpellier HSC,Attack - Centre-Forward,"1,81 m",Algeria,dz,https://www.transfermarkt.us/andy-delort/profil/spieler/122797,https://img.a.transfermarkt.technology/portrait/small/122797-1593970837.jpg?lm=1,N/A,09.10.1991,Sète,Montpellier HSC
5,Gaëtan Laborde,Unknown,118,39,20,9.596,N/A,Laborde,-,6,1,Montpellier HSC,Attack - Centre-Forward,"1,81 m",France,fr,https://www.transfermarkt.us/gaetan-laborde/profil/spieler/181378,https://img.a.transfermarkt.technology/portrait/small/181378-1739972757.jpg?lm=1,N/A,03.05.1994,Mont-de-Marsan,OGC Nice
6,Anthony Mounier,Unknown,111,14,20,7.621,N/A,Mounier,-,10,0,Montpellier HSC,Attack - Left Winger,"1,74 m",France,fr,https://www.transfermarkt.us/anthony-mounier/profil/spieler/57110,https://img.a.transfermarkt.technology/portrait/small/57110-1449135663.jpg?lm=1,N/A,27.09.1987,Aubenas,Retired
7,Rémy Cabella,Rémy Joseph Cabella,121,28,18,8.742,N/A,Cabella,7,15,0,Montpellier HSC,Midfield - Attacking Midfield,"1,72 m",France,fr,https://www.transfermarkt.us/remy-cabella/profil/spieler/113707,https://img.a.transfermarkt.technology/portrait/small/113707-1666690101.jpg?lm=1,N/A,08.03.1990,Ajaccio,LOSC Lille
8,Younès Belhanda,يونس بلهندة,144,29,17,10.185,N/A,Belhanda,10,24,3,Montpellier HSC,Midfield - Attacking Midfield,"1,75 m",Morocco,ma,https://www.transfermarkt.us/younes-belhanda/profil/spieler/118022,https://img.a.transfermarkt.technology/portrait/small/118022-1739291028.jpg?lm=1,N/A,25.02.1990,Avignon,Al-Shamal SC
9,Olivier Giroud,Unknown,85,39,17,7.180,N/A,Unknown,Unknown,15,0,Montpellier HSC,Unknown,Unknown,France,fr,https://www.transfermarkt.us/olivier-giroud/profil/spieler/82442,https://img.a.transfermarkt.technology/portrait/small/82442-1741202564.jpg?lm=1,N/A,30.09.1986,Unknown,Los Angeles FC
10,Tino Costa,Alberto Facundo Costa,70,15,17,6.030,N/A,Costa,-,15,0,Montpellier HSC,Midfield - Central Midfield,"1,76 m",Argentina,ar,https://www.transfermarkt.us/tino-costa/profil/spieler/77003,https://img.a.transfermarkt.technology/portrait/small/77003-1448531413.jpg?lm=1,N/A,09.01.1985,Buenos Aires,Retired
11,Florent Mollet,Unknown,139,24,16,10.166,N/A,Mollet,Unknown,22,2,Montpellier HSC,Midfield - Attacking Midfield,"1,75 m",France,fr,https://www.transfermarkt.us/florent-mollet/profil/spieler/222859,https://img.a.transfermarkt.technology/portrait/small/222859-1704213537.jpg?lm=1,N/A,19.11.1991,Fontaine-lès-Dijon,FC Nantes
