rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Bruno Grougi,Unknown,307,53,30,22.565,N/A,Grougi,-,45,1,Stade Brestois 29,Midfield - Central Midfield,"1,73 m",Martinique,mq,https://www.transfermarkt.us/bruno-grougi/profil/spieler/25113,https://img.a.transfermarkt.technology/portrait/small/25113-1730934992.jpg?lm=1,N/A,26.04.1983,Caen,Retired
2,Julien Faussurier,Unknown,161,14,27,12.172,N/A,Faussurier,Unknown,12,0,Stade Brestois 29,Defender - Right-Back,"1,73 m",France,fr,https://www.transfermarkt.us/julien-faussurier/profil/spieler/78917,https://img.a.transfermarkt.technology/portrait/small/78917-1697213349.jpg?lm=1,N/A,14.01.1987,Lyon,Saint-Colomban Locminé
3,Romain Del Castillo,Unknown,108,19,26,6.480,N/A,Del Castillo,7,8,1,Stade Brestois 29,Attack - Right Winger,"1,72 m",France,fr,https://www.transfermarkt.us/romain-del-castillo/profil/spieler/353399,https://img.a.transfermarkt.technology/portrait/small/353399-1593964996.jpg?lm=1,N/A,29.03.1996,Lyon,Stade Brestois 29
4,Mathias Autret,Unknown,118,21,21,7.258,N/A,Autret,-,7,0,Stade Brestois 29,Midfield - Attacking Midfield,"1,79 m",France,fr,https://www.transfermarkt.us/mathias-autret/profil/spieler/138171,https://img.a.transfermarkt.technology/portrait/small/138171-1593967544.jpg?lm=1,N/A,01.03.1991,Saint-Thégonnec,SM Caen
5,Benoît Lesoimier,Unknown,156,14,20,11.815,N/A,Lesoimier,Unknown,20,0,Stade Brestois 29,Attack - Left Winger,"1,73 m",France,fr,https://www.transfermarkt.us/benoit-lesoimier/profil/spieler/22636,https://img.a.transfermarkt.technology/portrait/small/22636-1702912489.jpg?lm=1,N/A,21.02.1983,Saint-Lô,Retired
6,Romain Poyet,Unknown,158,19,19,10.715,N/A,Poyet,Unknown,10,0,Stade Brestois 29,Attack - Right Winger,"1,84 m",France,fr,https://www.transfermarkt.us/romain-poyet/profil/spieler/5440,https://img.a.transfermarkt.technology/portrait/small/5440-1702913101.jpg?lm=1,N/A,25.11.1980,Le Coteau,Retired
7,Gaëtan Belaud,Unknown,164,2,17,14.360,N/A,Belaud,Unknown,26,0,Stade Brestois 29,Defender - Right-Back,"1,77 m",France,fr,https://www.transfermarkt.us/gaetan-belaud/profil/spieler/103060,https://img.a.transfermarkt.technology/portrait/small/103060-1593967901.jpg?lm=1,N/A,16.09.1986,Oloron-Sainte-Marie,FC Oloronais
8,Franck Honorat,Unknown,109,25,17,8.225,N/A,Honorat,-,7,0,Stade Brestois 29,Attack - Right Winger,"1,80 m",France,fr,https://www.transfermarkt.us/franck-honorat/profil/spieler/229006,https://img.a.transfermarkt.technology/portrait/small/229006-1691248904.jpg?lm=1,N/A,11.08.1996,Toulon,Borussia Mönchengladbach
9,Cristian Battocchio,Cristian Damián Battocchio,131,19,17,8.691,N/A,Battocchio,7,5,0,Stade Brestois 29,Midfield - Central Midfield,"1,69 m",Italy,it,https://www.transfermarkt.us/cristian-battocchio/profil/spieler/129868,https://img.a.transfermarkt.technology/portrait/small/129868-1696055186.JPG?lm=1,N/A,10.02.1992,Rosario,SS Monopoli 1966
10,Gaëtan Charbonnier,Unknown,137,53,15,8.903,N/A,Charbonnier,Unknown,19,0,Stade Brestois 29,Attack - Centre-Forward,"1,88 m",France,fr,https://www.transfermarkt.us/gaetan-charbonnier/profil/spieler/93678,https://img.a.transfermarkt.technology/portrait/small/93678-1593967086.jpg?lm=1,N/A,27.12.1988,Saint-Mandé,Pouzauges Bocage FC
