rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Diego Rigonato,Unknown,164,27,33,12.201,N/A,Diego Rigonato,Unknown,22,0,Stade Reims,Midfield - Left Midfield,"1,75 m",Brazil,br,https://www.transfermarkt.us/diego-rigonato/profil/spieler/55042,https://img.a.transfermarkt.technology/portrait/small/55042-1662313580.jpg?lm=1,N/A,09.03.1988,Americana,Without Club
2,Odaïr Fortes,Odair Júnior Lopes Fortes,247,24,24,16.619,N/A,Fortes,7,16,1,Stade Reims,Attack - Right Winger,"1,85 m",Cape Verde,unknown,https://www.transfermarkt.us/odair-fortes/profil/spieler/80009,https://img.a.transfermarkt.technology/portrait/small/s_80009_1421_2013_10_10_1.jpg?lm=1,N/A,31.03.1987,Praia,Retired
3,Rémi Oudin,Unknown,116,26,16,7.646,N/A,Oudin,Unknown,10,0,Stade Reims,Midfield - Attacking Midfield,"1,86 m",France,fr,https://www.transfermarkt.us/remi-oudin/profil/spieler/399543,https://img.a.transfermarkt.technology/portrait/small/399543-1662015046.jpg?lm=1,N/A,18.11.1996,Châlons-en-Champagne,UC Sampdoria
4,Nicolas de Préville,Nicolas Deroussel de Préville,111,19,16,7.275,N/A,de Préville,-,19,0,Stade Reims,Attack - Centre-Forward,"1,82 m",France,fr,https://www.transfermarkt.us/nicolas-de-preville/profil/spieler/122116,https://img.a.transfermarkt.technology/portrait/small/122116-1595617477.jpg?lm=1,N/A,08.01.1991,Istres,ESTAC Troyes
5,Junya Ito,伊東 純也,96,13,15,8.183,N/A,Ito,-,5,1,Stade Reims,Attack - Right Winger,"1,76 m",Japan,jp,https://www.transfermarkt.us/junya-ito/profil/spieler/348791,https://img.a.transfermarkt.technology/portrait/small/348791-1723820780.png?lm=1,N/A,09.03.1993,"Yokosuka, Kanagawa",Stade Reims
6,Pablo Chavarría,Pablo Alejandro Chavarría,101,26,15,7.206,N/A,Chavarría,Unknown,14,0,Stade Reims,Attack - Centre-Forward,"1,85 m",Argentina,ar,https://www.transfermarkt.us/pablo-chavarria/profil/spieler/118732,https://img.a.transfermarkt.technology/portrait/small/118732-1583333086.jpg?lm=1,N/A,02.01.1988,Las Perdices,CA Racing (Córdoba)
7,Arbër Zeneli,Arbër Zeneli,82,9,14,3.797,N/A,Zeneli,10,1,0,Stade Reims,Attack - Left Winger,"1,76 m",Kosovo,unknown,https://www.transfermarkt.us/arber-zeneli/profil/spieler/222876,https://img.a.transfermarkt.technology/portrait/small/222876-1695400532.png?lm=1,N/A,25.02.1995,Falun,IF Elfsborg
8,Gaëtan Charbonnier,Unknown,111,22,13,6.700,N/A,Charbonnier,Unknown,18,1,Stade Reims,Attack - Centre-Forward,"1,88 m",France,fr,https://www.transfermarkt.us/gaetan-charbonnier/profil/spieler/93678,https://img.a.transfermarkt.technology/portrait/small/93678-1593967086.jpg?lm=1,N/A,27.12.1988,Saint-Mandé,Pouzauges Bocage FC
9,Aïssa Mandi,Unknown,170,14,11,14.606,N/A,Unknown,Unknown,20,2,Stade Reims,Unknown,Unknown,Algeria,dz,https://www.transfermarkt.us/aissa-mandi/profil/spieler/80293,https://img.a.transfermarkt.technology/portrait/small/80293-1704566125.jpg?lm=1,N/A,22.10.1991,Unknown,LOSC Lille
10,Marshall Munetsi,Unknown,159,21,11,12.152,N/A,Unknown,Unknown,33,2,Stade Reims,Unknown,Unknown,Zimbabwe,zw,https://www.transfermarkt.us/marshall-munetsi/profil/spieler/414908,https://img.a.transfermarkt.technology/portrait/small/414908-1723836952.png?lm=1,N/A,22.06.1996,Unknown,Wolverhampton Wanderers
11,Xavier Chavalerin,Unknown,139,8,10,12.318,N/A,Chavalerin,Unknown,33,0,Stade Reims,Midfield - Central Midfield,"1,79 m",France,fr,https://www.transfermarkt.us/xavier-chavalerin/profil/spieler/118278,https://img.a.transfermarkt.technology/portrait/small/118278-1667290562.jpg?lm=1,N/A,07.03.1991,Villeurbanne,ESTAC Troyes
12,Antoine Devaux,Unknown,154,6,8,12.272,N/A,Devaux,Unknown,18,2,Stade Reims,Midfield - Central Midfield,"1,85 m",France,fr,https://www.transfermarkt.us/antoine-devaux/profil/spieler/57376,https://img.a.transfermarkt.technology/portrait/small/s_57376_1421_2013_10_10_1.jpg?lm=1,N/A,21.02.1985,Dieppe,Retired
