name,club,periods
Kylian Mbappé,Paris Saint-Germain,"2017-2018, 2018-2024"
Edinson Cavani,Paris Saint-Germain,2013-2020
Zlatan Ibrahimović,Paris Saint-Germain,2012-2016
Neymar,Paris Saint-Germain,2017-2023
Pauleta,Paris Saint-Germain,2003-2008
Dominique Rocheteau,Paris Saint-Germain,1980-1987
Mustapha Dahleb,Paris Saint-Germain,1974-1984
Ángel Di María,Paris Saint-Germain,2015-2022
François M'Pelé,Paris Saint-Germain,1973-1979
Safet Susic,Paris Saint-Germain,1982-1991
Raí,Paris Saint-Germain,1993-1998
Carlos Bianchi,Paris Saint-Germain,1977-1979
Guillaume Hoarau,Paris Saint-Germain,"2008-2008, 2008-2013"
George Weah,Paris Saint-Germain,1992-1995
Nenê,Paris Saint-Germain,2010-2013
Lucas Moura,Paris Saint-Germain,2013-2018
Javier Pastore,Paris Saint-Germain,2011-2018
David Ginola,Paris Saint-Germain,1991-1995
Nambatingue Toko,Paris Saint-Germain,1980-1985
Marquinhos,Paris Saint-Germain,2013-2025
Luis Fernandez,Paris Saint-Germain,1978-1986
Mauro Icardi,Paris Saint-Germain,"2019-2020, 2020-2022, 2023-2023"
Péguy Luyindula,Paris Saint-Germain,2007-2012
Ousmane Dembélé,Paris Saint-Germain,2023-2025
Patrice Loko,Paris Saint-Germain,"1995-1998, 1999-1999"
Ezequiel Lavezzi,Paris Saint-Germain,2012-2016
Dominique Bathenay,Paris Saint-Germain,1978-1985
Laurent Robert,Paris Saint-Germain,1999-2001
Blaise Matuidi,Paris Saint-Germain,2011-2017
Marco Simone,Paris Saint-Germain,1997-1999
Lionel Messi,Paris Saint-Germain,2021-2023
Boubacar Sarr,Paris Saint-Germain,1979-1983
Mevlüt Erdinç,Paris Saint-Germain,2009-2012
Julio Dely Valdés,Paris Saint-Germain,1995-1997
Christian,Paris Saint-Germain,1999-2001
Gonçalo Ramos,Paris Saint-Germain,"2023-2023, 2024-2025"
Michel N'Gom,Paris Saint-Germain,1981-1984
Daniel Bravo,Paris Saint-Germain,1989-1996
Ronaldinho,Paris Saint-Germain,2001-2003
Christian Perez,Paris Saint-Germain,1988-1992
Paul Le Guen,Paris Saint-Germain,1991-1998
Vincent Guérin,Paris Saint-Germain,1992-1998
Adrien Rabiot,Paris Saint-Germain,"2012-2013, 2013-2019"
Gabriel Calderón,Paris Saint-Germain,1987-1990
Kévin Gameiro,Paris Saint-Germain,2011-2013
Bradley Barcola,Paris Saint-Germain,2023-2025
Amara Simba,Paris Saint-Germain,"1986-1990, 1991-1993"
Pablo Sarabia,Paris Saint-Germain,"2019-2021, 2022-2023"
Daniel Xuereb,Paris Saint-Germain,1986-1989
Zlatko Vujovic,Paris Saint-Germain,1989-1991
Jay-Jay Okocha,Paris Saint-Germain,1998-2002
Fabrice Fiorèse,Paris Saint-Germain,2002-2004
Youri Djorkaeff,Paris Saint-Germain,1995-1996
Amara Diané,Paris Saint-Germain,2006-2008
Aloisio Chulapa,Paris Saint-Germain,2001-2003
Jérémy Ménez,Paris Saint-Germain,2011-2014
Achraf Hakimi,Paris Saint-Germain,2021-2025
Ludovic Giuly,Paris Saint-Germain,2008-2011
Nicolas Anelka,Paris Saint-Germain,"1996-1997, 2000-2001, 2002-2002"
Laurent Leroy,Paris Saint-Germain,"1998-1999, 1999-2003, 2003-2003"
Kees Kist,Paris Saint-Germain,1982-1983
Bonaventure Kalou,Paris Saint-Germain,2005-2007
Laurent Fournier,Paris Saint-Germain,"1991-1994, 1995-1998"
Francis Piasecki,Paris Saint-Germain,1975-1977
Jean-Pierre Tokoto,Paris Saint-Germain,1975-1977
Moise Kean,Paris Saint-Germain,2020-2021
Ricardo Gomes,Paris Saint-Germain,1991-1995
Thiago Silva,Paris Saint-Germain,2012-2020
Mickaël Madar,Paris Saint-Germain,1999-2001
Jean-Marc Pilorget,Paris Saint-Germain,"1975-1987, 1988-1989"
Vitinha,Paris Saint-Germain,2022-2025
Oumar Sène,Paris Saint-Germain,1985-1992
Valdo,Paris Saint-Germain,1991-1995
Reinaldo Oliveira,Paris Saint-Germain,2003-2005
Philippe Jeannol,Paris Saint-Germain,1984-1991
Jean-François Charbonnier,Paris Saint-Germain,"1984-1986, 1987-1991"
Pascal Nouma,Paris Saint-Germain,"1989-1992, 1993-1993, 1994-1996"
Fabrice Pancrate,Paris Saint-Germain,"2004-2005, 2005-2007, 2007-2007, 2008-2009"
Layvin Kurzawa,Paris Saint-Germain,"2015-2022, 2023-2024"
Jean-François Beltramini,Paris Saint-Germain,1979-1981
Florian Maurice,Paris Saint-Germain,1997-1998
Éric Renaut,Paris Saint-Germain,"1972-1975, 1977-1982"
Mathieu Bodmer,Paris Saint-Germain,"2010-2013, 2013-2013"
Louis Floch,Paris Saint-Germain,1974-1976
Maxwell,Paris Saint-Germain,2012-2017
Thomas Meunier,Paris Saint-Germain,2016-2020
Jérôme Leroy,Paris Saint-Germain,"1994-1995, 1996-2000, 2002-2002, 2002-2003"
Jérôme Rothen,Paris Saint-Germain,"2004-2009, 2010-2010, 2010-2010"
Pascal Zaremba,Paris Saint-Germain,1982-1984
Thiago Motta,Paris Saint-Germain,2012-2018
Jean-Claude Bras,Paris Saint-Germain,1970-1972
Ivica Šurjak,Paris Saint-Germain,1981-1982
Alain Roche,Paris Saint-Germain,1992-1998
Sylvain Armand,Paris Saint-Germain,2004-2013
Marco Verratti,Paris Saint-Germain,2012-2023
Stéphane Sessègnon,Paris Saint-Germain,2008-2011
Jean-Claude Lemoult,Paris Saint-Germain,1976-1986
Michel Prost,Paris Saint-Germain,"1966-1967, 1968-1972"
