rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Just Fontaine,Just Louis Fontaine,151,145,1,13.62,1956-1962,Fontaine,-,0,0,Stade Reims,Attack - Centre-Forward,,France,fr,https://www.transfermarkt.us/just-fontaine/profil/spieler/151245,https://img.a.transfermarkt.technology/portrait/small/151245-1592210498.jpg?lm=1,,18.08.1933,Marrakech,---
2,Carlos Bianchi,Unknown,162,139,0,14.442,"1973-1977, 1984-1985",Bianchi,-,1,0,Stade Reims,Attack - Centre-Forward,,Argentina,ar,https://www.transfermarkt.us/carlos-bianchi/profil/spieler/155070,https://img.a.transfermarkt.technology/portrait/small/155070-1674577179.jpg?lm=1,,26.04.1949,Villa Real,Retired
3,Roger Piantoni,Unknown,198,132,0,17.94,1957-1964,Piantoni,-,0,0,Stade Reims,Attack - Left Winger,"1,74 m",France,fr,https://www.transfermarkt.us/roger-piantoni/profil/spieler/245244,https://img.a.transfermarkt.technology/portrait/small/245244-1602138519.jpg?lm=1,,26.12.1931,Étain,---
4,René Bliard,Unknown,182,117,1,16.47,1952-1959,Bliard,-,0,0,Stade Reims,Attack - Centre-Forward,Unknown,France,fr,https://www.transfermarkt.us/rene-bliard/profil/spieler/170721,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,,18.10.1932,Dizy,---
5,Bram Appel,Abraham Leonardus Appel,164,109,0,14.76,1949-1954,Appel,-,0,0,Stade Reims,Attack - Centre-Forward,,Netherlands,nl,https://www.transfermarkt.us/bram-appel/profil/spieler/151561,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,,30.10.1921,Rotterdam,---
6,Jean Vincent,Unknown,319,92,0,28.819,1956-1964,Vincent,-,0,2,Stade Reims,Attack - Left Winger,,France,fr,https://www.transfermarkt.us/jean-vincent/profil/spieler/215712,https://img.a.transfermarkt.technology/portrait/small/s_215712_4023_2014_04_10_1.jpg?lm=1,,29.11.1930,Labeuvrière,---
7,Cédric Fauré,Unknown,212,90,3,16.281,"2006-2008, 2009-2012",Fauré,Unknown,22,0,Stade Reims,Attack - Centre-Forward,"1,87 m",France,fr,https://www.transfermarkt.us/cedric-faure/profil/spieler/6970,https://img.a.transfermarkt.technology/portrait/small/6970-1487695391.jpg?lm=1,,14.02.1979,Toulouse,Retired
8,Raymond Kopa,Raymond Kopaszewski,400,89,2,36.24,"1951-1956, 1959-1967",Kopa,-,0,0,Stade Reims,Midfield - Attacking Midfield,"1,69 m",France,fr,https://www.transfermarkt.us/raymond-kopa/profil/spieler/170730,https://img.a.transfermarkt.technology/portrait/small/170730-1572959422.jpg?lm=1,,13.10.1931,Nœux-les-Mines,---
9,Léon Glovacki,Unknown,220,85,0,19.86,"1952-1957, 1960-1962",Glovacki,-,0,0,Stade Reims,Attack - Right Winger,Unknown,France,fr,https://www.transfermarkt.us/leon-glovacki/profil/spieler/170725,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,,19.02.1928,Libercourt,---
10,Pierre Sinibaldi,Unknown,135,72,0,12.15,1944-1953,Sinibaldi,-,0,0,Stade Reims,Attack - Centre-Forward,,France,fr,https://www.transfermarkt.us/pierre-sinibaldi/profil/spieler/466632,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,,29.02.1924,Montemaggiore,---
