name,status,profile_url,image_url,jersey_name,jersey_number,nation,nation_code,club,place_of_birth,full_name,position,height,date_of_birth,appearances,goals,assists,own_goals,yellow_cards,second_yellow,red_cards,substituted_on,substituted_off,minutes_played
Michael Zorc,Retired,https://www.transfermarkt.us/michael-zorc/profil/spieler/38033,https://img.a.transfermarkt.technology/portrait/small/38033-1457434598.jpg?lm=1,Zorc,-,Germany,de,Borussia Dortmund,Dortmund,Unknown,Midfield - Defensive Midfield,"1,83 m",25.08.1962,572,159,38,0,85,1,2,53,40,46.934
Mats Hummels,AS Roma,https://www.transfermarkt.us/mats-hummels/profil/spieler/39728,https://img.a.transfermarkt.technology/portrait/small/39728-1709560545.jpg?lm=1,Hummels,5,Germany,de,Borussia Dortmund,Bergisch Gladbach,Mats Julian Hummels,Defender - Centre-Back,"1,91 m",16.12.1988,508,38,23,4,68,1,3,32,69,41.601
Roman Weidenfeller,Retired,https://www.transfermarkt.us/roman-weidenfeller/profil/spieler/26,https://img.a.transfermarkt.technology/portrait/small/26-1471509813.jpg?lm=1,Weidenfeller,22,Germany,de,Borussia Dortmund,Diez,Unknown,Goalkeeper,"1,90 m",06.08.1980,453,0,1,0,28,0,3,4,3,40.468
Marco Reus,Los Angeles Galaxy,https://www.transfermarkt.us/marco-reus/profil/spieler/35207,https://img.a.transfermarkt.technology/portrait/small/35207-1740776651.jpg?lm=1,Reus,11,Germany,de,Borussia Dortmund,Dortmund,Unknown,Midfield - Attacking Midfield,"1,80 m",31.05.1989,429,170,131,1,38,1,1,58,201,31.706
Stefan Reuter,Retired,https://www.transfermarkt.us/stefan-reuter/profil/spieler/130,https://img.a.transfermarkt.technology/portrait/small/130-1457434965.jpg?lm=1,Reuter,19,Germany,de,Borussia Dortmund,Dinkelsbühl,Unknown,Midfield - Right Midfield,"1,81 m",16.10.1966,421,15,31,1,83,4,0,8,58,35.951
Lars Ricken,Retired,https://www.transfermarkt.us/lars-ricken/profil/spieler/131,https://img.a.transfermarkt.technology/portrait/small/131-1457431720.jpg?lm=1,Ricken,-,Germany,de,Borussia Dortmund,Dortmund,Unknown,Midfield - Attacking Midfield,"1,78 m",10.07.1976,407,69,68,1,51,2,0,107,172,26.677
Dedê,Retired,https://www.transfermarkt.us/dede/profil/spieler/109,https://img.a.transfermarkt.technology/portrait/small/109-1487263703.jpg?lm=1,Dedê,17,Brazil,br,Borussia Dortmund,Belo Horizonte,Unknown,Defender - Left-Back,N/A,18.04.1978,398,13,55,2,66,1,3,18,41,33.446
Dieter Kurrat,---,https://www.transfermarkt.us/dieter-kurrat/profil/spieler/96975,https://img.a.transfermarkt.technology/portrait/small/96975-1618923770.jpg?lm=1,Kurrat,Unknown,Germany,de,Borussia Dortmund,Dortmund,Unknown,Midfield - Defensive Midfield,N/A,15.05.1942,382,21,14,2,0,0,2,9,5,33.710
Lukasz Piszczek,LKS Goczalkowice-Zdroj,https://www.transfermarkt.us/lukasz-piszczek/profil/spieler/25727,https://img.a.transfermarkt.technology/portrait/small/25727-1534236284.jpg?lm=1,Piszczek,20,Poland,pl,Borussia Dortmund,Czechowice-Dziedzice,Łukasz Piszczek,Defender - Right-Back,"1,84 m",03.06.1985,382,19,64,0,29,0,0,41,38,30.687
Lothar Huber,Retired,https://www.transfermarkt.us/lothar-huber/profil/spieler/95882,https://img.a.transfermarkt.technology/portrait/small/95882-1548857287.jpg?lm=1,Huber,-,Germany,de,Borussia Dortmund,Kaiserslautern,Unknown,Defender - Right-Back,"1,72 m",05.05.1952,372,50,9,2,39,0,0,14,23,32.163
