name,status,profile_url,image_url,jersey_name,jersey_number,nation,nation_code,club,place_of_birth,full_name,position,height,date_of_birth,appearances,goals,assists,own_goals,yellow_cards,second_yellow,red_cards,substituted_on,substituted_off,minutes_played
Hermann Ohlicher,Retired,https://www.transfermarkt.us/hermann-ohlicher/profil/spieler/97163,https://img.a.transfermarkt.technology/portrait/small/97163-1444740007.jpg?lm=1,Ohlicher,-,Germany,de,VfB Stuttgart,Bruggen,Unknown,Midfield - Attacking Midfield,Unknown,02.11.1949,459,157,7,0,36,0,2,6,44,40.016
Helmut Roleder,Retired,https://www.transfermarkt.us/helmut-roleder/profil/spieler/97176,https://img.a.transfermarkt.technology/portrait/small/s_97176_123_2012_1.jpg?lm=1,Roleder,-,Germany,de,VfB Stuttgart,Freital,Unknown,Goalkeeper,N/A,09.10.1953,410,0,0,0,3,0,1,2,3,36.860
Karl Allgöwer,Retired,https://www.transfermarkt.us/karl-allgower/profil/spieler/84619,https://img.a.transfermarkt.technology/portrait/small/84619-1444834278.jpg?lm=1,Allgöwer,-,Germany,de,VfB Stuttgart,Geislingen,Unknown,Midfield - Central Midfield,N/A,05.01.1957,410,167,18,0,16,0,0,6,15,36.492
Zvonimir Soldo,Retired,https://www.transfermarkt.us/zvonimir-soldo/profil/spieler/610,https://img.a.transfermarkt.technology/portrait/small/s_610_123_2012_1.jpg?lm=1,Soldo,14,Croatia,hr,VfB Stuttgart,Zagreb,Unknown,Midfield - Defensive Midfield,N/A,02.11.1967,399,19,23,1,72,2,1,0,51,34.453
Günther Schäfer,Retired,https://www.transfermarkt.us/gunther-schafer/profil/spieler/14833,https://img.a.transfermarkt.technology/portrait/small/14833-1457436005.jpg?lm=1,Schäfer,-,Germany,de,VfB Stuttgart,Waiblingen,Unknown,Defender - Centre-Back,"1,74 m",09.06.1962,399,10,9,3,82,0,2,25,27,33.772
Robert Schlienz,---,https://www.transfermarkt.us/robert-schlienz/profil/spieler/208067,https://img.a.transfermarkt.technology/portrait/small/208067-1678395699.jpg?lm=1,Schlienz,-,Germany,de,VfB Stuttgart,Zuffenhausen,Unknown,Attack - Right Winger,Unknown,03.02.1924,397,102,0,2,0,0,0,0,0,35.820
Guido Buchwald,Retired,https://www.transfermarkt.us/guido-buchwald/profil/spieler/79561,https://img.a.transfermarkt.technology/portrait/small/79561-1457435538.jpg?lm=1,Buchwald,6,Germany,de,VfB Stuttgart,Berlin,Guido Ulrich Buchwald,Defender - Centre-Back,N/A,24.01.1961,387,45,19,2,43,1,1,2,23,34.516
Rolf Blessing,---,https://www.transfermarkt.us/rolf-blessing/profil/spieler/361637,https://img.a.transfermarkt.technology/portrait/small/361637-1678396157.jpg?lm=1,Blessing,-,Germany,de,VfB Stuttgart,Wendlingen am Neckar,Unknown,Attack - Left Winger,Unknown,21.07.1929,385,141,0,1,0,0,0,0,0,34.770
Erich Retter,---,https://www.transfermarkt.us/erich-retter/profil/spieler/259871,https://img.a.transfermarkt.technology/portrait/small/259871-1638540343.jpg?lm=1,Retter,-,Germany,de,VfB Stuttgart,Plüderhausen,Unknown,Defender - Centre-Back,Unknown,17.02.1925,383,9,0,1,0,0,0,0,0,34.560
Christian Gentner,Retired,https://www.transfermarkt.us/christian-gentner/profil/spieler/19112,https://img.a.transfermarkt.technology/portrait/small/19112-1532077594.jpg?lm=1,Gentner,7,Germany,de,VfB Stuttgart,Nürtingen,Unknown,Midfield - Central Midfield,"1,89 m",14.08.1985,373,50,45,2,36,0,0,56,58,28.596
Karlheinz Förster,Retired,https://www.transfermarkt.us/karlheinz-forster/profil/spieler/65919,https://img.a.transfermarkt.technology/portrait/small/65919-1601968998.jpg?lm=1,Förster,4,Germany,de,VfB Stuttgart,Mosbach,Unknown,Defender - Centre-Back,N/A,25.07.1958,365,28,1,4,54,0,1,3,11,32.558
Günter Sawitzki,---,https://www.transfermarkt.us/gunter-sawitzki/profil/spieler/97048,https://img.a.transfermarkt.technology/portrait/small/97048-1608033374.png?lm=1,Sawitzki,-,Germany,de,VfB Stuttgart,Herne,Unknown,Goalkeeper,N/A,22.11.1932,347,0,1,0,0,0,0,0,0,31.260
Cacau,Retired,https://www.transfermarkt.us/cacau/profil/spieler/1426,https://img.a.transfermarkt.technology/portrait/small/1426-1461328101.jpg?lm=1,Cacau,-,Germany,de,VfB Stuttgart,Santo André,Unknown,Attack - Centre-Forward,"1,79 m",27.03.1981,346,109,44,0,61,1,2,87,113,23.571
Eike Immel,Retired,https://www.transfermarkt.us/eike-immel/profil/spieler/73587,https://img.a.transfermarkt.technology/portrait/small/73587-1654866656.png?lm=1,Immel,-,Germany,de,VfB Stuttgart,Stadtallendorf,Unknown,Goalkeeper,N/A,27.11.1960,340,0,0,0,15,0,1,0,4,30.628
Erwin Waldner,---,https://www.transfermarkt.us/erwin-waldner/profil/spieler/97054,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Waldner,-,Germany,de,VfB Stuttgart,Nürtingen,Unknown,Attack - Right Winger,Unknown,24.01.1933,307,116,10,0,0,0,2,0,0,27.725
Manfred Weidmann,Retired,https://www.transfermarkt.us/manfred-weidmann/profil/spieler/97196,https://img.a.transfermarkt.technology/portrait/small/97196-1641917484.jpg?lm=1,Weidmann,Unknown,Germany,de,VfB Stuttgart,Stuttgart,Unknown,Attack - Right Winger,"1,74 m",15.01.1945,302,37,13,0,9,0,0,11,24,25.986
Krasimir Balakov,Retired,https://www.transfermarkt.us/krasimir-balakov/profil/spieler/584,https://img.a.transfermarkt.technology/portrait/small/584-1514995119.jpg?lm=1,Balakov,10,Bulgaria,bg,VfB Stuttgart,Veliko Tarnovo,Красимир Генчев Балъков,Midfield - Attacking Midfield,"1,76 m",29.03.1966,298,73,65,0,25,2,1,5,58,25.546
Timo Hildebrand,Retired,https://www.transfermarkt.us/timo-hildebrand/profil/spieler/598,https://img.a.transfermarkt.technology/portrait/small/598-1540373444.jpg?lm=1,Hildebrand,-,Germany,de,VfB Stuttgart,Worms,Unknown,Goalkeeper,N/A,05.04.1979,296,0,0,0,11,0,0,0,0,26.820
Willi Entenmann,---,https://www.transfermarkt.us/willi-entenmann/profil/spieler/97068,https://img.a.transfermarkt.technology/portrait/small/97068-1487263612.jpg?lm=1,Entenmann,Unknown,Germany,de,VfB Stuttgart,Benningen am Neckar,Unknown,Defender - Centre-Back,N/A,25.09.1943,275,33,9,3,9,0,0,5,16,24.116
Günter Seibold,---,https://www.transfermarkt.us/gunter-seibold/profil/spieler/97049,https://img.a.transfermarkt.technology/portrait/small/97049-1588681506.jpg?lm=1,Seibold,Unknown,Germany,de,VfB Stuttgart,Stuttgart,Unknown,Defender - Centre-Back,N/A,11.12.1936,271,3,1,3,0,0,0,0,3,24.363
Erwin Hadewicz,Retired,https://www.transfermarkt.us/erwin-hadewicz/profil/spieler/81606,https://img.a.transfermarkt.technology/portrait/small/81606-1614070459.jpg?lm=1,Hadewicz,-,Germany,de,VfB Stuttgart,Ellwangen,Unknown,Midfield - Central Midfield,"1,80 m",02.04.1951,271,20,0,0,22,0,0,46,49,20.278
Bernd Förster,Retired,https://www.transfermarkt.us/bernd-forster/profil/spieler/71379,https://img.a.transfermarkt.technology/portrait/small/71379-1491838770.jpg?lm=1,Förster,5,Germany,de,VfB Stuttgart,Mosbach,Bernhard Georg Josef Förster,Defender - Left-Back,N/A,03.05.1956,270,22,0,2,46,0,0,11,13,23.542
Bernd Martin,---,https://www.transfermarkt.us/bernd-martin/profil/spieler/95410,https://img.a.transfermarkt.technology/portrait/small/95410-1715334079.png?lm=1,Martin,-,Germany,de,VfB Stuttgart,Stuttgart,Unknown,Defender - Right-Back,N/A,10.02.1955,269,31,1,0,15,0,0,23,31,21.800
Hans Eisele,---,https://www.transfermarkt.us/hans-eisele/profil/spieler/97027,https://img.a.transfermarkt.technology/portrait/small/97027-1641917567.png?lm=1,Eisele,Unknown,Germany,de,VfB Stuttgart,Stuttgart,Unknown,Defender - Centre-Back,N/A,07.08.1940,266,6,5,1,0,0,2,6,7,23.268
Richard Steimle,---,https://www.transfermarkt.us/richard-steimle/profil/spieler/361701,https://img.a.transfermarkt.technology/portrait/small/361701-1678396020.jpg?lm=1,Steimle,-,Germany,de,VfB Stuttgart,Stuttgart,Unknown,Defender,Unknown,18.12.1923,261,0,0,0,0,0,0,0,0,23.580
Fritz Walter,Retired,https://www.transfermarkt.us/fritz-walter/profil/spieler/12406,https://img.a.transfermarkt.technology/portrait/small/12406-1446127649.jpg?lm=1,Walter,-,Germany,de,VfB Stuttgart,Mannheim,Unknown,Attack - Centre-Forward,N/A,21.07.1960,258,123,33,0,21,1,0,20,91,20.414
Walter Kelsch,Retired,https://www.transfermarkt.us/walter-kelsch/profil/spieler/97139,https://img.a.transfermarkt.technology/portrait/small/97139-1491837627.jpg?lm=1,Kelsch,-,Germany,de,VfB Stuttgart,Stuttgart,Unknown,Attack - Right Winger,N/A,03.09.1955,251,65,2,0,16,0,0,35,25,19.833
Serdar Taşçı,Retired,https://www.transfermarkt.us/serdar-tasci/profil/spieler/34593,https://img.a.transfermarkt.technology/portrait/small/34593-1454346201.jpg?lm=1,Taşçı,4,Germany,de,VfB Stuttgart,Esslingen (Neckar),Unknown,Defender - Centre-Back,N/A,24.04.1987,243,13,4,0,39,0,2,8,12,20.883
Ásgeir Sigurvinsson,Retired,https://www.transfermarkt.us/asgeir-sigurvinsson/profil/spieler/95414,https://img.a.transfermarkt.technology/portrait/small/95414-1446129402.jpg?lm=1,Sigurvinsson,-,Iceland,is,VfB Stuttgart,Vestmannaeyjar,Unknown,Midfield - Left Midfield,N/A,08.05.1955,240,42,17,0,22,0,1,6,33,20.500
Theodor Hoffmann,---,https://www.transfermarkt.us/theodor-hoffmann/profil/spieler/97033,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Hoffmann,Unknown,Germany,de,VfB Stuttgart,Östringen,Unknown,Defender - Centre-Back,N/A,05.07.1940,233,16,3,2,0,0,1,1,7,20.608
Silvio Meißner,Retired,https://www.transfermarkt.us/silvio-meissner/profil/spieler/150,https://img.a.transfermarkt.technology/portrait/small/s_150_123_2012_1.jpg?lm=1,Meißner,Unknown,Germany,de,VfB Stuttgart,Halle (Saale),Unknown,Midfield - Defensive Midfield,N/A,19.01.1973,232,31,8,0,60,2,2,49,60,15.709
Fernando Meira,Retired,https://www.transfermarkt.us/fernando-meira/profil/spieler/1432,https://img.a.transfermarkt.technology/portrait/small/1432-1720410258.jpg?lm=1,Meira,5,Portugal,pt,VfB Stuttgart,Guimarães,Fernando José da Silva Freitas Meira,Defender - Centre-Back,N/A,05.06.1978,230,13,6,1,43,1,7,5,13,19.915
Mario Gómez,Retired,https://www.transfermarkt.us/mario-gomez/profil/spieler/6288,https://img.a.transfermarkt.technology/portrait/small/6288-1683668325.jpg?lm=1,Gómez,23,Germany,de,VfB Stuttgart,Riedlingen,Mario Gómez García,Attack - Centre-Forward,"1,89 m",10.07.1985,230,110,30,0,19,1,0,65,62,15.406
Thomas Berthold,Retired,https://www.transfermarkt.us/thomas-berthold/profil/spieler/57,https://img.a.transfermarkt.technology/portrait/small/57-1457435941.jpg?lm=1,Berthold,-,Germany,de,VfB Stuttgart,Hanau,Unknown,Defender - Centre-Back,N/A,12.11.1964,226,5,5,1,55,5,1,1,19,19.591
Reinhold Zech,Retired,https://www.transfermarkt.us/reinhold-zech/profil/spieler/97201,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Zech,Unknown,Germany,de,VfB Stuttgart,Stuttgart,Unknown,Defender - Sweeper,N/A,27.05.1948,224,5,0,0,7,0,1,4,5,19.765
Hansi Müller,Retired,https://www.transfermarkt.us/hansi-muller/profil/spieler/97158,https://img.a.transfermarkt.technology/portrait/small/s_97158_123_2012_1.jpg?lm=1,Müller,20,Germany,de,VfB Stuttgart,Stuttgart,Hans-Peter Müller,Midfield - Central Midfield,N/A,27.07.1957,224,81,4,0,27,0,1,6,35,19.020
Hans Arnold,---,https://www.transfermarkt.us/hans-arnold/profil/spieler/97018,https://img.a.transfermarkt.technology/portrait/small/97018-1654852772.jpg?lm=1,Arnold,Unknown,Germany,de,VfB Stuttgart,Mannheim,Unknown,Midfield - Attacking Midfield,N/A,08.04.1941,221,9,9,0,0,0,0,7,7,19.471
Aleksandr Hleb,Retired,https://www.transfermarkt.us/aleksandr-hleb/profil/spieler/597,https://img.a.transfermarkt.technology/portrait/small/597-1565344980.png?lm=1,Hleb,10,Belarus,by,VfB Stuttgart,Minsk,Глеб Александр Павлович,Midfield - Attacking Midfield,N/A,01.05.1981,221,21,48,0,18,0,0,23,87,16.475
Sven Ulreich,Bayern Munich,https://www.transfermarkt.us/sven-ulreich/profil/spieler/40680,https://img.a.transfermarkt.technology/portrait/small/40680-1700659982.jpg?lm=1,Ulreich,22,Germany,de,VfB Stuttgart,Schorndorf,Unknown,Goalkeeper,"1,92 m",03.08.1988,220,0,0,1,11,0,0,2,0,19.750
