rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Marc Heider,Unknown,241,85,53,16.979,N/A,Heider,Unknown,26,1,Holstein Kiel,Attack - Centre-Forward,"1,87 m",United States,us,https://www.transfermarkt.us/marc-heider/profil/spieler/31968,https://img.a.transfermarkt.technology/portrait/small/31968-1724007625.jpg?lm=1,N/A,18.05.1986,"Sacramento, California",Sportfreunde Lotte
2,Tim Siedschlag,Unknown,289,39,40,21.223,N/A,Siedschlag,Unknown,24,0,Holstein Kiel,Attack - Right Winger,"1,81 m",Germany,de,https://www.transfermarkt.us/tim-siedschlag/profil/spieler/39998,https://img.a.transfermarkt.technology/portrait/small/39998-1500036368.jpg?lm=1,N/A,26.09.1987,Neumünster,SpVg Eidertal Molfsee II
3,Fiete Sykora,Unknown,166,45,33,9.960,N/A,Sykora,Unknown,28,0,Holstein Kiel,Attack - Second Striker,,Germany,de,https://www.transfermarkt.us/fiete-sykora/profil/spieler/8175,https://img.a.transfermarkt.technology/portrait/small/8175-1437951636.jpg?lm=1,N/A,16.09.1982,Wismar,Retired
4,Alexander Mühling,Unknown,238,44,31,18.314,N/A,Mühling,-,38,0,Holstein Kiel,Midfield - Central Midfield,"1,86 m",Germany,de,https://www.transfermarkt.us/alexander-muhling/profil/spieler/85298,https://img.a.transfermarkt.technology/portrait/small/85298-1739715700.jpg?lm=1,N/A,05.09.1992,Oberhausen,SV Sandhausen
5,Rafael Kazior,Rafał Tomasz Kazior,172,33,24,13.930,N/A,Kazior,Unknown,48,0,Holstein Kiel,Attack - Centre-Forward,,Germany,de,https://www.transfermarkt.us/rafael-kazior/profil/spieler/3993,https://img.a.transfermarkt.technology/portrait/small/3993-1438333836.jpg?lm=1,N/A,07.02.1983,Gliwice,Retired
6,Finn Porath,Finn-Dominik Porath,176,15,16,8.637,N/A,Porath,-,25,0,Holstein Kiel,Midfield - Attacking Midfield,"1,80 m",Germany,de,https://www.transfermarkt.us/finn-porath/profil/spieler/241307,https://img.a.transfermarkt.technology/portrait/small/241307-1657792610.jpg?lm=1,N/A,23.02.1997,Eutin,Holstein Kiel
7,Johannes van den Bergh,Unknown,145,0,16,12.079,N/A,van den Bergh,Unknown,21,1,Holstein Kiel,Defender - Left-Back,"1,83 m",Germany,de,https://www.transfermarkt.us/johannes-van-den-bergh/profil/spieler/31218,https://img.a.transfermarkt.technology/portrait/small/31218-1657792043.jpg?lm=1,N/A,21.11.1986,Viersen,Retired
8,Patrick Herrmann,Unknown,275,3,15,24.084,N/A,Herrmann,Unknown,44,0,Holstein Kiel,Defender - Right-Back,"1,80 m",Germany,de,https://www.transfermarkt.us/patrick-herrmann/profil/spieler/57101,https://img.a.transfermarkt.technology/portrait/small/57101-1659906282.jpg?lm=1,N/A,16.03.1988,Berlin,Retired
9,Fin Bartels,Unknown,137,28,12,9.419,N/A,Bartels,39,20,0,Holstein Kiel,Attack - Right Winger,"1,76 m",Germany,de,https://www.transfermarkt.us/fin-bartels/profil/spieler/36207,https://img.a.transfermarkt.technology/portrait/small/36207-1657792838.jpg?lm=1,N/A,07.02.1987,Kiel,SpVg Eidertal Molfsee II
10,Christian Jürgensen,Unknown,146,7,11,12.208,N/A,Jürgensen,Unknown,13,0,Holstein Kiel,Defender - Centre-Back,,Germany,de,https://www.transfermarkt.us/christian-jurgensen/profil/spieler/42261,https://img.a.transfermarkt.technology/portrait/small/42261-1437951554.jpg?lm=1,N/A,06.04.1985,Flensburg,Retired
11,Hauke Wahl,Hauke Finn Wahl,235,9,8,20.962,N/A,Wahl,Unknown,27,0,Holstein Kiel,Defender - Centre-Back,"1,89 m",Germany,de,https://www.transfermarkt.us/hauke-wahl/profil/spieler/154147,https://img.a.transfermarkt.technology/portrait/small/154147-1723631071.jpeg?lm=1,N/A,15.04.1994,Hamburg,FC St. Pauli
12,Dmitrijus Guscinas,Dmitrijus Guščinas,217,87,4,15.545,N/A,Guscinas,14,7,0,Holstein Kiel,Attack - Centre-Forward,"1,87 m",Lithuania,lt,https://www.transfermarkt.us/dmitrijus-guscinas/profil/spieler/2043,https://img.a.transfermarkt.technology/portrait/small/Y_d_s_2043_269_2009_1.jpg?lm=1,N/A,12.12.1975,Vilnius,Retired
13,Dominik Schmidt,Unknown,154,5,4,11.902,N/A,Schmidt,Unknown,25,1,Holstein Kiel,Defender - Centre-Back,"1,87 m",Germany,de,https://www.transfermarkt.us/dominik-schmidt/profil/spieler/17443,https://img.a.transfermarkt.technology/portrait/small/17443-1660285151.jpg?lm=1,N/A,01.07.1987,Berlin,Retired
14,Eggert Dolling,Unknown,239,36,4,20.647,N/A,Dolling,Unknown,11,1,Holstein Kiel,Midfield,Unknown,Germany,de,https://www.transfermarkt.us/eggert-dolling/profil/spieler/209439,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,11.06.1965,Unknown,Retired
15,Thorsten Rohwer,Unknown,243,11,2,20.172,N/A,Rohwer,Unknown,29,3,Holstein Kiel,Defender - Centre-Back,,Germany,de,https://www.transfermarkt.us/thorsten-rohwer/profil/spieler/2433,https://img.a.transfermarkt.technology/portrait/small/s_2433_1171_2010_1.jpg?lm=1,N/A,18.10.1976,Unknown,Retired
16,Carsten Hinrichsen,Unknown,212,22,1,18.504,N/A,Hinrichsen,Unknown,0,0,Holstein Kiel,Midfield,Unknown,Germany,de,https://www.transfermarkt.us/carsten-hinrichsen/profil/spieler/118102,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,04.06.1968,Unknown,Retired
17,Franz Möck,Franz-Werner Möck,150,0,0,13.500,N/A,Möck,Unknown,0,0,Holstein Kiel,Goalkeeper,Unknown,Germany,de,https://www.transfermarkt.us/franz-mock/profil/spieler/397566,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,07.05.1935,Unknown,---
18,Wlodzimierz Zemojtel,Włodzimierz Żemojtel,151,0,0,13.528,N/A,Zemojtel,Unknown,0,0,Holstein Kiel,Goalkeeper,Unknown,Poland,pl,https://www.transfermarkt.us/wlodzimierz-zemojtel/profil/spieler/374623,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,26.07.1950,Gdańsk,Retired
19,André Bistram,Unknown,142,66,0,10.742,N/A,Bistram,Unknown,0,0,Holstein Kiel,Attack - Centre-Forward,,Germany,de,https://www.transfermarkt.us/andre-bistram/profil/spieler/95028,https://img.a.transfermarkt.technology/portrait/small/95028-1497879886.jpg?lm=1,N/A,25.03.1962,Kiel,Retired
20,Michael Vuchelich,Unknown,151,1,0,12.484,N/A,Vuchelich,Unknown,0,0,Holstein Kiel,Midfield,Unknown,Germany,de,https://www.transfermarkt.us/michael-vuchelich/profil/spieler/134846,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,21.01.1963,Unknown,Retired
21,Helmut Schmuck,Unknown,142,7,0,12.810,N/A,Schmuck,Unknown,0,0,Holstein Kiel,Midfield,Unknown,Germany,de,https://www.transfermarkt.us/helmut-schmuck/profil/spieler/482608,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,02.12.1931,Unknown,Retired
22,Bodo Wehner,Unknown,150,2,0,13.500,N/A,Wehner,Unknown,0,0,Holstein Kiel,Defender,Unknown,Germany,de,https://www.transfermarkt.us/bodo-wehner/profil/spieler/482718,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,06.07.1935,Unknown,---
23,Andrew Pfennig,Unknown,145,11,0,12.296,N/A,Pfennig,Unknown,0,0,Holstein Kiel,Defender,Unknown,Germany,de,https://www.transfermarkt.us/andrew-pfennig/profil/spieler/105998,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,01.01.1962,Unknown,Retired
24,Hans-Joachim Aido,Hans-Joachim Aido,144,8,0,12.544,N/A,Aido,Unknown,12,0,Holstein Kiel,Defender,Unknown,Germany,de,https://www.transfermarkt.us/hans-joachim-aido/profil/spieler/109115,https://img.a.transfermarkt.technology/portrait/small/109115-1656335652.png?lm=1,N/A,27.03.1947,Unknown,Retired
25,Kenneth Kronholm,Unknown,148,0,0,13.350,N/A,Kronholm,Unknown,2,0,Holstein Kiel,Goalkeeper,,United States,us,https://www.transfermarkt.us/kenneth-kronholm/profil/spieler/18971,https://img.a.transfermarkt.technology/portrait/small/18971-1619250238.jpg?lm=1,N/A,14.10.1985,"Fort Belvoir, Virginia",Retired
26,Sven Boy,Unknown,148,6,0,12.879,N/A,Boy,Unknown,12,1,Holstein Kiel,Defender - Centre-Back,"1,85 m",Germany,de,https://www.transfermarkt.us/sven-boy/profil/spieler/1547,https://img.a.transfermarkt.technology/portrait/small/1547-1491555557.jpg?lm=1,N/A,02.10.1976,Helmstedt,Retired
27,Günther Matthies,Unknown,147,8,0,13.260,N/A,Matthies,Unknown,0,0,Holstein Kiel,Defender - Centre-Back,Unknown,Germany,de,https://www.transfermarkt.us/gunther-matthies/profil/spieler/872235,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,18.06.1927,Unknown,Retired
28,Jürgen Harm,Unknown,145,1,0,12.995,N/A,Harm,Unknown,0,0,Holstein Kiel,Defender - Centre-Back,Unknown,Germany,de,https://www.transfermarkt.us/jurgen-harm/profil/spieler/397568,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,16.04.1940,Kiel,---
29,Rudi Balsam,Unknown,155,1,0,13.860,N/A,Balsam,Unknown,0,0,Holstein Kiel,Defender - Right-Back,Unknown,Germany,de,https://www.transfermarkt.us/rudi-balsam/profil/spieler/397579,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,01.07.1935,Unknown,Retired
30,Harry Karl,Unknown,149,21,0,13.410,N/A,Karl,Unknown,0,0,Holstein Kiel,Attack - Centre-Forward,Unknown,Germany,de,https://www.transfermarkt.us/harry-karl/profil/spieler/503059,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,28.08.1923,Unknown,Retired
31,Hans-Peter Ehlers,Unknown,372,49,0,33.510,N/A,Ehlers,Unknown,0,0,Holstein Kiel,Midfield - Central Midfield,,Germany,de,https://www.transfermarkt.us/hans-peter-ehlers/profil/spieler/397570,https://img.a.transfermarkt.technology/portrait/small/397570-1649066137.jpg?lm=1,N/A,22.01.1933,Kiel,---
32,Diether Trede,Unknown,160,38,0,14.430,N/A,Trede,Unknown,0,0,Holstein Kiel,Attack,Unknown,Germany,de,https://www.transfermarkt.us/diether-trede/profil/spieler/870898,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,16.02.1932,Burg a. Fehmarn,---
33,Dietmar Tönsfeldt,Unknown,196,2,0,17.127,N/A,Tönsfeldt,Unknown,5,0,Holstein Kiel,Defender,Unknown,Germany,de,https://www.transfermarkt.us/dietmar-tonsfeldt/profil/spieler/109127,https://img.a.transfermarkt.technology/portrait/small/109127-1656335070.png?lm=1,N/A,26.01.1956,Unknown,Retired
34,Henning Hardt,Unknown,278,7,0,23.665,N/A,Hardt,Unknown,27,0,Holstein Kiel,Defender - Centre-Back,,Germany,de,https://www.transfermarkt.us/henning-hardt/profil/spieler/2060,https://img.a.transfermarkt.technology/portrait/small/2060-1584433342.jpg?lm=1,N/A,10.05.1971,Unknown,Retired
35,Henry Peper,Unknown,275,0,0,24.780,N/A,Peper,Unknown,0,0,Holstein Kiel,Goalkeeper,,Germany,de,https://www.transfermarkt.us/henry-peper/profil/spieler/870644,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,10.07.1928,Neugraben,---
36,Gerd Koll,Unknown,252,134,0,22.590,N/A,Koll,Unknown,0,0,Holstein Kiel,Attack - Centre-Forward,Unknown,Germany,de,https://www.transfermarkt.us/gerd-koll/profil/spieler/397574,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,01.04.1938,Rendsburg,---
37,Immo Stelzer,Unknown,236,21,0,20.393,N/A,Stelzer,Unknown,4,0,Holstein Kiel,Defender,Unknown,Germany,de,https://www.transfermarkt.us/immo-stelzer/profil/spieler/109126,https://img.a.transfermarkt.technology/portrait/small/109126-1656335310.png?lm=1,N/A,01.04.1954,Unknown,Retired
38,Felix Möller,Unknown,236,10,0,19.738,N/A,Möller,Unknown,10,0,Holstein Kiel,Midfield - Right Midfield,Unknown,Germany,de,https://www.transfermarkt.us/felix-moller/profil/spieler/101683,https://img.a.transfermarkt.technology/portrait/small/101683-1738923146.jpg?lm=1,N/A,13.08.1966,Unknown,Retired
39,Alfred Bornemann,Unknown,222,114,0,20.010,N/A,Bornemann,Unknown,0,0,Holstein Kiel,Attack - Centre-Forward,Unknown,Germany,de,https://www.transfermarkt.us/alfred-bornemann/profil/spieler/482720,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,26.10.1932,Bad Schwartau,Retired
40,Bernd Jordt,Unknown,203,22,0,17.352,N/A,Jordt,Unknown,3,0,Holstein Kiel,Midfield,Unknown,Germany,de,https://www.transfermarkt.us/bernd-jordt/profil/spieler/109123,https://img.a.transfermarkt.technology/portrait/small/109123-1656335766.png?lm=1,N/A,12.07.1954,Unknown,Retired
41,Axel Möller,Unknown,193,53,0,13.933,N/A,Möller,Unknown,7,1,Holstein Kiel,Attack,,Germany,de,https://www.transfermarkt.us/axel-moller/profil/spieler/109295,https://img.a.transfermarkt.technology/portrait/small/109295-1656336216.jpg?lm=1,N/A,22.09.1957,Flintbek,Retired
