rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Gerd Müller,Gerhard Müller,613,570,103,55.104,1964-1979,Müller,9,16,1,Bayern Munich,Attack - Centre-Forward,,Germany,de,https://www.transfermarkt.us/gerd-muller/profil/spieler/35604,https://img.a.transfermarkt.technology/portrait/small/35604-1629028308.jpg?lm=1,,03.11.1945,Nördlingen,---
2,Robert Lewandowski,Unknown,375,344,73,31.729,2014-2022,Lewandowski,9,36,0,Bayern Munich,Attack - Centre-Forward,"1,85 m",Poland,pl,https://www.transfermarkt.us/robert-lewandowski/profil/spieler/38253,https://img.a.transfermarkt.technology/portrait/small/38253-1701118759.jpg?lm=1,,21.08.1988,Warszawa,FC Barcelona
3,Thomas Müller,Unknown,741,247,273,52.475,2009-2025,Müller,13,39,1,Bayern Munich,Attack - Second Striker,"1,85 m",Germany,de,https://www.transfermarkt.us/thomas-muller/profil/spieler/58358,https://img.a.transfermarkt.technology/portrait/small/58358-1683890647.jpg?lm=1,,13.09.1989,Weilheim in Oberbayern,Bayern Munich
4,Rainer Ohlhauser,Unknown,360,229,24,32.58,1961-1970,Ohlhauser,-,0,0,Bayern Munich,Attack - Centre-Forward,,Germany,de,https://www.transfermarkt.us/rainer-ohlhauser/profil/spieler/95534,https://img.a.transfermarkt.technology/portrait/small/95534-1487781325.jpg?lm=1,,06.01.1941,Dilsberg,Retired
5,Karl-Heinz Rummenigge,Unknown,422,217,69,36.466,1974-1984,Rummenigge,11,30,1,Bayern Munich,Attack - Centre-Forward,"1,82 m",Germany,de,https://www.transfermarkt.us/karl-heinz-rummenigge/profil/spieler/72343,https://img.a.transfermarkt.technology/portrait/small/72343-1662993469.jpg?lm=1,,25.09.1955,Lippstadt,Retired
6,Roland Wohlfarth,Unknown,332,156,42,26.275,1984-1993,Wohlfarth,-,22,0,Bayern Munich,Attack - Centre-Forward,,Germany,de,https://www.transfermarkt.us/roland-wohlfarth/profil/spieler/84555,https://img.a.transfermarkt.technology/portrait/small/84555-1479737319.jpg?lm=1,,11.01.1963,Bocholt,Retired
7,Dieter Hoeneß,Unknown,302,145,14,24.177,1979-1987,Hoeneß,-,12,0,Bayern Munich,Attack - Centre-Forward,,Germany,de,https://www.transfermarkt.us/dieter-hoeness/profil/spieler/72350,https://img.a.transfermarkt.technology/portrait/small/72350-1444740164.jpg?lm=1,,07.01.1953,Ulm,Retired
8,Arjen Robben,Unknown,309,144,100,22.039,2009-2019,Robben,11,20,1,Bayern Munich,Attack - Right Winger,,Netherlands,nl,https://www.transfermarkt.us/arjen-robben/profil/spieler/4360,https://img.a.transfermarkt.technology/portrait/small/4360-1719545379.jpg?lm=1,,23.01.1984,Bedum,Retired
9,Dieter Brenninger,Unknown,360,141,46,32.277,1962-1971,Brenninger,-,0,0,Bayern Munich,Attack - Left Winger,,Germany,de,https://www.transfermarkt.us/dieter-brenninger/profil/spieler/95516,https://img.a.transfermarkt.technology/portrait/small/95516-1578998948.jpg?lm=1,,16.02.1944,Altenerding,Retired
10,Giovane Élber,Élber Giovane de Souza,266,139,57,20.012,1997-2003,Élber,7,40,1,Bayern Munich,Attack - Centre-Forward,"1,80 m",Brazil,br,https://www.transfermarkt.us/giovane-elber/profil/spieler/198,https://img.a.transfermarkt.technology/portrait/small/198-1461223190.jpg?lm=1,,23.07.1972,Londrina,Retired
11,Claudio Pizarro,Claudio Miguel Pizarro Bosio,327,125,53,19.977,"2001-2007, 2012-2015",Pizarro,14,19,0,Bayern Munich,Attack - Centre-Forward,"1,84 m",Peru,pe,https://www.transfermarkt.us/claudio-pizarro/profil/spieler/532,https://img.a.transfermarkt.technology/portrait/small/532-1535124277.jpg?lm=1,,03.10.1978,Callao,Retired
