rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Anirudh Thapa,अनिरुध थापा,125,12,17,9.286,N/A,Thapa,7,11,0,Chennaiyin FC,Midfield - Central Midfield,"1,69 m",India,in,https://www.transfermarkt.us/anirudh-thapa/profil/spieler/280953,https://img.a.transfermarkt.technology/portrait/small/280953-1738213707.jpg?lm=1,N/A,15.01.1998,"Dehradun, Uttarakhand",Mohun Bagan Super Giant
2,Rafael Crivellaro,Rafael Schuler Crivellaro,54,14,16,4.150,N/A,Crivellaro,Unknown,10,0,Chennaiyin FC,Midfield - Attacking Midfield,"1,87 m",Brazil,br,https://www.transfermarkt.us/rafael-crivellaro/profil/spieler/145692,https://img.a.transfermarkt.technology/portrait/small/145692-1701410271.JPG?lm=1,N/A,18.02.1989,Porto Alegre,Without Club
3,Connor Shields,Connor Jon Shields,48,6,12,4.024,N/A,Shields,Unknown,3,0,Chennaiyin FC,Midfield - Attacking Midfield,"1,79 m",Scotland,unknown,https://www.transfermarkt.us/connor-shields/profil/spieler/429249,https://img.a.transfermarkt.technology/portrait/small/429249-1717830350.png?lm=1,N/A,29.07.1997,Coatbridge,Chennaiyin FC
4,Aakash Sangwan,Unknown,48,2,10,3.882,N/A,Unknown,Unknown,4,0,Chennaiyin FC,Unknown,Unknown,India,in,https://www.transfermarkt.us/aakash-sangwan/profil/spieler/503167,https://img.a.transfermarkt.technology/portrait/small/503167-1717830792.png?lm=1,N/A,28.10.1995,Unknown,FC Goa
5,Jerry Lalrinzuala,Unknown,103,1,7,8.696,N/A,Lalrinzuala,4,13,0,Chennaiyin FC,Defender - Left-Back,"1,67 m",India,in,https://www.transfermarkt.us/jerry-lalrinzuala/profil/spieler/280923,https://img.a.transfermarkt.technology/portrait/small/280923-1712335241.png?lm=1,N/A,30.07.1998,"Aizawl, Mizoram",Odisha FC
6,Thoi Singh,Khangebam Thoi Singh,84,4,7,4.495,N/A,Singh,Unknown,6,0,Chennaiyin FC,Attack - Right Winger,"1,67 m",India,in,https://www.transfermarkt.us/thoi-singh/profil/spieler/351106,https://img.a.transfermarkt.technology/portrait/small/351106-1591006053.png?lm=1,N/A,05.10.1990,"Thoubal, Manipur",Calicut Football Club
7,Jeje Lalpekhlua,Unknown,77,25,7,5.645,N/A,Lalpekhlua,12,2,0,Chennaiyin FC,Attack - Centre-Forward,"1,73 m",India,in,https://www.transfermarkt.us/jeje-lalpekhlua/profil/spieler/207649,https://img.a.transfermarkt.technology/portrait/small/207649-1419246919.jpg?lm=1,N/A,07.01.1991,"Hnahthial, Mizoram",Retired
8,Raphael Augusto,Unknown,69,7,6,5.414,N/A,Raphael Augusto,-,8,0,Chennaiyin FC,Midfield - Central Midfield,"1,81 m",Brazil,br,https://www.transfermarkt.us/raphael-augusto/profil/spieler/112632,https://img.a.transfermarkt.technology/portrait/small/112632-1669850877.jpg?lm=1,N/A,06.03.1991,Rio de Janeiro,Abahani Limited Dhaka
9,Petar Sliskovic,Petar Slišković,22,11,6,1.846,N/A,Sliskovic,11,1,0,Chennaiyin FC,Attack - Centre-Forward,"1,93 m",Croatia,hr,https://www.transfermarkt.us/petar-sliskovic/profil/spieler/82367,https://img.a.transfermarkt.technology/portrait/small/82367-1669278285.png?lm=1,N/A,21.02.1991,Sarajevo,Without Club
10,Elano,Unknown,26,12,6,1.825,N/A,Elano,17,8,0,Chennaiyin FC,Midfield - Attacking Midfield,"1,74 m",Brazil,br,https://www.transfermarkt.us/elano/profil/spieler/20053,https://img.a.transfermarkt.technology/portrait/small/20053-1413549445.jpg?lm=1,N/A,14.06.1981,Iracemápolis,Retired
