rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Lallianzuala Chhangte,Unknown,102,35,19,8.245,N/A,Chhangte,19,7,0,Mumbai City FC,Attack - Right Winger,"1,66 m",India,in,https://www.transfermarkt.us/lallianzuala-chhangte/profil/spieler/425586,https://img.a.transfermarkt.technology/portrait/small/425586-1710931776.JPG?lm=1,N/A,06.08.1997,"Lunglei, Mizoram",Mumbai City FC
2,Greg Stewart,Unknown,45,17,18,3.743,N/A,Stewart,Unknown,7,0,Mumbai City FC,Attack - Centre-Forward,"1,78 m",Scotland,unknown,https://www.transfermarkt.us/greg-stewart/profil/spieler/156775,https://img.a.transfermarkt.technology/portrait/small/156775-1727283563.JPG?lm=1,N/A,17.03.1990,Stirling,Mohun Bagan Super Giant
3,Bipin Singh,Bipin Singh Thounajam,155,27,16,10.294,N/A,Singh,14,5,0,Mumbai City FC,Attack - Left Winger,"1,72 m",India,in,https://www.transfermarkt.us/bipin-singh/profil/spieler/416250,https://img.a.transfermarkt.technology/portrait/small/416250-1708694100.jpg?lm=1,N/A,10.03.1995,"---, Manipur",Mumbai City FC
4,Ahmed Jahouh,أحمد جحوح,69,6,16,5.616,N/A,Jahouh,-,21,1,Mumbai City FC,Midfield - Defensive Midfield,"1,87 m",Morocco,ma,https://www.transfermarkt.us/ahmed-jahouh/profil/spieler/234953,https://img.a.transfermarkt.technology/portrait/small/234953-1712334695.png?lm=1,N/A,31.07.1988,Nador,Retired
5,Jorge Pereyra Díaz,Jorge Rolando Pereyra Díaz,53,27,10,4.030,N/A,Pereyra Díaz,Unknown,15,1,Mumbai City FC,Attack - Centre-Forward,"1,79 m",Argentina,ar,https://www.transfermarkt.us/jorge-pereyra-diaz/profil/spieler/129660,https://img.a.transfermarkt.technology/portrait/small/129660-1701332013.jpg?lm=1,N/A,05.08.1990,La Rioja,Bengaluru FC
6,Hugo Boumous,"Hugo Adnan Boumous, هوغو عدنان بوموس",16,3,9,1.422,N/A,Boumous,-,4,1,Mumbai City FC,Midfield - Attacking Midfield,"1,72 m",Morocco,ma,https://www.transfermarkt.us/hugo-boumous/profil/spieler/333680,https://img.a.transfermarkt.technology/portrait/small/333680-1742318023.JPG?lm=1,N/A,24.07.1995,Rennes,Odisha FC
7,Arnold,Unknown,18,3,8,1.599,N/A,Arnold,-,2,0,Mumbai City FC,Attack - Right Winger,"1,85 m",DR Congo,unknown,https://www.transfermarkt.us/arnold/profil/spieler/200985,https://img.a.transfermarkt.technology/portrait/small/200985-1478189595.jpg?lm=1,N/A,06.04.1992,Kinshasa,LGC Moncarapachense
8,Cássio Gabriel,Unknown,21,1,6,1.713,N/A,Cássio Gabriel,Unknown,2,0,Mumbai City FC,Midfield - Attacking Midfield,"1,75 m",Brazil,br,https://www.transfermarkt.us/cassio-gabriel/profil/spieler/256362,https://img.a.transfermarkt.technology/portrait/small/256362-1661020068.jpg?lm=1,N/A,23.08.1992,Patrocínio,Ferroviária
9,Yoëll van Nieff,Unknown,54,4,6,4.373,N/A,van Nieff,-,21,1,Mumbai City FC,Midfield - Defensive Midfield,"1,80 m",Netherlands,nl,https://www.transfermarkt.us/yoell-van-nieff/profil/spieler/187301,https://img.a.transfermarkt.technology/portrait/small/187301-1742328379.JPG?lm=1,N/A,17.06.1993,Groningen,Mumbai City FC
10,Éverton Santos,Éverton Leandro dos Santos Pinto,19,7,6,1.678,N/A,Santos,Unknown,0,0,Mumbai City FC,Attack - Centre-Forward,"1,76 m",Brazil,br,https://www.transfermarkt.us/everton-santos/profil/spieler/52820,https://img.a.transfermarkt.technology/portrait/small/s_52820_1134_2012_2.jpg?lm=1,N/A,14.10.1986,São José dos Campos,Retired
11,Vikram Partap Singh,विक्रम प्रताप सिंह,112,17,6,4.942,N/A,Partap Singh,-,20,0,Mumbai City FC,Attack - Right Winger,"1,69 m",India,in,https://www.transfermarkt.us/vikram-partap-singh/profil/spieler/642350,https://img.a.transfermarkt.technology/portrait/small/642350-1708538390.jpg?lm=1,N/A,16.01.2002,"---, Chandigarh",Mumbai City FC
12,Rowllin Borges,Unknown,59,4,5,3.864,N/A,Borges,14,11,0,Mumbai City FC,Midfield - Defensive Midfield,"1,82 m",India,in,https://www.transfermarkt.us/rowllin-borges/profil/spieler/407510,https://img.a.transfermarkt.technology/portrait/small/407510-1712242407.png?lm=1,N/A,05.06.1992,"Nuvem, Goa",FC Goa
13,Paulo Machado,Paulo Ricardo Ribeiro de Jesus Machado,29,3,5,2.396,N/A,Machado,20,3,0,Mumbai City FC,Midfield - Central Midfield,"1,74 m",Portugal,pt,https://www.transfermarkt.us/paulo-machado/profil/spieler/29039,https://img.a.transfermarkt.technology/portrait/small/s_29039_683_2012_1.jpg?lm=1,N/A,31.03.1986,Bairro do Cerco,FC Saint-Paul
14,Alberto Noguera,Alberto Noguera Ripoll,47,6,5,2.778,N/A,Noguera,Unknown,6,0,Mumbai City FC,Midfield - Attacking Midfield,"1,75 m",Spain,es,https://www.transfermarkt.us/alberto-noguera/profil/spieler/185401,https://img.a.transfermarkt.technology/portrait/small/185401-1712251983.png?lm=1,N/A,24.09.1989,Madrid,Bengaluru FC
15,Jayesh Rane,Unknown,47,0,5,1.980,N/A,Rane,Unknown,11,0,Mumbai City FC,Midfield - Defensive Midfield,"1,73 m",India,in,https://www.transfermarkt.us/jayesh-rane/profil/spieler/342422,https://img.a.transfermarkt.technology/portrait/small/342422-1712252302.png?lm=1,N/A,20.02.1993,"Mumbai, Maharashtra",Mumbai City FC
16,Achille Emaná,Achille Emaná Edzimbi,20,5,4,1.719,N/A,Emaná,10,3,0,Mumbai City FC,Midfield - Attacking Midfield,"1,80 m",Cameroon,cm,https://www.transfermarkt.us/achille-emana/profil/spieler/7020,https://img.a.transfermarkt.technology/portrait/small/s_7020_3711_2013_11_15_1.jpg?lm=1,N/A,05.06.1982,Bipindi,Retired
17,Raynier Fernandes,Raynier Raymond Fernandes,76,3,4,4.022,N/A,Fernandes,21,6,0,Mumbai City FC,Midfield - Central Midfield,"1,72 m",India,in,https://www.transfermarkt.us/raynier-fernandes/profil/spieler/482067,https://img.a.transfermarkt.technology/portrait/small/482067-1712242175.png?lm=1,N/A,19.02.1996,"Mumbai, Maharashtra",Odisha FC
18,Sony Nordé,Sony Nordé,23,4,4,1.623,N/A,Nordé,20,0,0,Mumbai City FC,Midfield - Attacking Midfield,"1,70 m",Haiti,ht,https://www.transfermarkt.us/sony-norde/profil/spieler/86634,https://img.a.transfermarkt.technology/portrait/small/86634-1585018758.png?lm=1,N/A,27.07.1989,Jérémie,Malut United FC
19,Mourtada Fall,Unknown,68,8,3,5.402,N/A,Fall,Unknown,9,0,Mumbai City FC,Defender - Centre-Back,"1,92 m",Senegal,sn,https://www.transfermarkt.us/mourtada-fall/profil/spieler/147271,https://img.a.transfermarkt.technology/portrait/small/147271-1712335650.png?lm=1,N/A,26.12.1987,Dakar,Odisha FC
20,Diego Forlán,Diego Forlán Corazo,12,5,3,1.032,N/A,Forlán,10,0,0,Mumbai City FC,Attack - Centre-Forward,,Uruguay,uy,https://www.transfermarkt.us/diego-forlan/profil/spieler/3408,https://img.a.transfermarkt.technology/portrait/small/3408-1456484557.jpg?lm=1,N/A,19.05.1979,Montevideo,Retired
21,Matías Defederico,Matías Adrián Defederico,14,3,3,1.024,N/A,Defederico,-,1,0,Mumbai City FC,Midfield - Attacking Midfield,"1,70 m",Argentina,ar,https://www.transfermarkt.us/matias-defederico/profil/spieler/56936,https://img.a.transfermarkt.technology/portrait/small/56936-1442236708.jpg?lm=1,N/A,23.08.1989,Buenos Aires,Retired
22,Bartholomew Ogbeche,Bartholomew Owogbalor Ogbeche,23,7,3,959.000,N/A,Ogbeche,-,3,0,Mumbai City FC,Attack - Centre-Forward,"1,80 m",Nigeria,ng,https://www.transfermarkt.us/bartholomew-ogbeche/profil/spieler/5574,https://img.a.transfermarkt.technology/portrait/small/5574-1418927419.jpg?lm=1,N/A,01.10.1984,Ogoja,Retired
23,Modou Sougou,Pape Amodou Sougou,32,15,3,2.643,N/A,Sougou,19,8,0,Mumbai City FC,Attack - Right Winger,"1,80 m",Senegal,sn,https://www.transfermarkt.us/modou-sougou/profil/spieler/33831,https://img.a.transfermarkt.technology/portrait/small/s_33831_244_2012_2.jpg?lm=1,N/A,18.12.1984,Fissel,Retired
24,Subhasish Bose,Unknown,34,1,3,2.944,N/A,Unknown,Unknown,6,0,Mumbai City FC,Unknown,Unknown,India,in,https://www.transfermarkt.us/subhasish-bose/profil/spieler/421051,https://img.a.transfermarkt.technology/portrait/small/421051-1712158150.png?lm=1,N/A,18.08.1995,Unknown,Mohun Bagan Super Giant
25,Selim Benachour,سليم بن عاشور,11,1,3,708.000,N/A,Benachour,23,2,0,Mumbai City FC,Midfield - Attacking Midfield,"1,70 m",Tunisia,tn,https://www.transfermarkt.us/selim-benachour/profil/spieler/12148,https://img.a.transfermarkt.technology/portrait/small/s_12148_2784_2013_10_04_1.jpg?lm=1,N/A,08.09.1981,Paris,Retired
