rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Jithin M.S,Unknown,76,13,14,5.125,N/A,Unknown,Unknown,9,0,NorthEast United FC,Unknown,Unknown,India,in,https://www.transfermarkt.us/jithin-m-s/profil/spieler/630443,https://img.a.transfermarkt.technology/portrait/small/630443-1724082739.JPG?lm=1,N/A,16.01.1998,Unknown,NorthEast United FC
2,Federico Gallego,Federico Gallego Revetria,47,9,12,3.574,N/A,Gallego,Unknown,8,0,NorthEast United FC,Midfield - Attacking Midfield,"1,77 m",Uruguay,uy,https://www.transfermarkt.us/federico-gallego/profil/spieler/202209,https://img.a.transfermarkt.technology/portrait/small/202209-1590842863.jpg?lm=1,N/A,13.06.1990,Montevideo,IA Sud América
3,Alaeddine Ajaraie,علاء الدين أجاراي,29,26,9,2.389,N/A,Ajaraie,Unknown,3,0,NorthEast United FC,Attack - Centre-Forward,"1,77 m",Morocco,ma,https://www.transfermarkt.us/alaeddine-ajaraie/profil/spieler/724898,https://img.a.transfermarkt.technology/portrait/small/724898-1727337399.jpg?lm=1,N/A,05.01.1993,Rabat,NorthEast United FC
4,Parthib Gogoi,Parthib Sunder Gogoi,68,16,9,3.391,N/A,Gogoi,-,8,1,NorthEast United FC,Attack - Right Winger,Unknown,India,in,https://www.transfermarkt.us/parthib-gogoi/profil/spieler/760172,https://img.a.transfermarkt.technology/portrait/small/760172-1715149832.png?lm=1,N/A,30.01.2003,"---, Assam",NorthEast United FC
5,Ashutosh Mehta,Unknown,18,1,4,1.406,N/A,Mehta,2,5,0,NorthEast United FC,Defender - Right-Back,"1,76 m",India,in,https://www.transfermarkt.us/ashutosh-mehta/profil/spieler/343446,https://img.a.transfermarkt.technology/portrait/small/343446-1658503491.jpg?lm=1,N/A,21.02.1991,"---, Maharashtra",Jamshedpur FC
6,Gani Nigam,Gani Ahmed Nigam,36,2,4,1.279,N/A,Nigam,Unknown,5,0,NorthEast United FC,Attack - Left Winger,"1,71 m",India,in,https://www.transfermarkt.us/gani-nigam/profil/spieler/565393,https://img.a.transfermarkt.technology/portrait/small/565393-1715149900.png?lm=1,N/A,01.05.1998,"Kozhikode, Kerala",Diamond Harbour FC
7,Imran Khan,Unknown,38,2,4,1.858,N/A,Khan,-,4,0,NorthEast United FC,Attack - Left Winger,Unknown,India,in,https://www.transfermarkt.us/imran-khan/profil/spieler/622311,https://img.a.transfermarkt.technology/portrait/small/622311-1722331592.png?lm=1,N/A,01.03.1995,"---, Manipur",Jamshedpur FC
8,Koke,Unknown,12,4,4,975.000,N/A,Koke,Unknown,0,0,NorthEast United FC,Attack - Centre-Forward,,Spain,es,https://www.transfermarkt.us/koke/profil/spieler/16132,https://img.a.transfermarkt.technology/portrait/small/16132-1706796311.jpg?lm=1,N/A,27.04.1983,Málaga,Retired
9,Suhair VP,Suhair Vadakkepeedika,38,7,4,2.847,N/A,VP,-,2,0,NorthEast United FC,Attack - Right Winger,"1,75 m",India,in,https://www.transfermarkt.us/suhair-vp/profil/spieler/559426,https://img.a.transfermarkt.technology/portrait/small/559426-1712337294.png?lm=1,N/A,27.07.1992,"Palakkad, Kerala",Gokulam Kerala FC
10,Romain Philippoteaux,Unknown,48,4,4,3.203,N/A,Philippoteaux,Unknown,4,0,NorthEast United FC,Midfield - Left Midfield,"1,70 m",France,fr,https://www.transfermarkt.us/romain-philippoteaux/profil/spieler/255220,https://img.a.transfermarkt.technology/portrait/small/255220-1599422741.jpg?lm=1,N/A,02.03.1988,Apt,Retired
11,Halicharan Narzary,Unknown,29,0,4,1.792,N/A,Narzary,19,1,0,NorthEast United FC,Attack - Left Winger,"1,80 m",India,in,https://www.transfermarkt.us/halicharan-narzary/profil/spieler/343461,https://img.a.transfermarkt.technology/portrait/small/343461-1712325841.png?lm=1,N/A,10.05.1994,"Kokrajhar,  Assam",Bengaluru FC
12,Emil Benny,Unknown,20,0,4,1.152,N/A,Benny,Unknown,1,0,NorthEast United FC,Midfield - Attacking Midfield,"1,71 m",India,in,https://www.transfermarkt.us/emil-benny/profil/spieler/760463,https://img.a.transfermarkt.technology/portrait/small/760463-1650173201.jpg?lm=1,N/A,19.09.2000,"Wayanad, Kerala",Gokulam Kerala FC
13,Mohammed Ali Bemammer,محمد علي بامعمر,53,5,4,4.481,N/A,Bemammer,6,13,0,NorthEast United FC,Midfield - Defensive Midfield,"1,84 m",Morocco,ma,https://www.transfermarkt.us/mohammed-ali-bemammer/profil/spieler/193766,https://img.a.transfermarkt.technology/portrait/small/193766-1727336722.jpg?lm=1,N/A,19.11.1989,Fès,NorthEast United FC
14,Néstor Albiach,Néstor Albiach Roger,56,15,4,3.835,N/A,Albiach,Unknown,2,0,NorthEast United FC,Attack - Second Striker,"1,87 m",Spain,es,https://www.transfermarkt.us/nestor-albiach/profil/spieler/257379,https://img.a.transfermarkt.technology/portrait/small/257379-1715149571.png?lm=1,N/A,18.08.1992,Xirivella,NorthEast United FC
15,Luís Machado,Luís Miguel Vieira Babo Machado,22,7,3,1.644,N/A,Luís Machado,Unknown,3,0,NorthEast United FC,Attack - Left Winger,"1,70 m",Portugal,pt,https://www.transfermarkt.us/luis-machado/profil/spieler/195308,https://img.a.transfermarkt.technology/portrait/small/195308-1668766634.png?lm=1,N/A,04.11.1992,Lamego,Kitchee
16,Míchel Zabaco,Miguel Zabaco Tomé,50,2,3,4.370,N/A,Zabaco,Unknown,4,0,NorthEast United FC,Defender - Centre-Back,"1,85 m",Spain,es,https://www.transfermarkt.us/michel-zabaco/profil/spieler/126872,https://img.a.transfermarkt.technology/portrait/small/126872-1727336329.JPG?lm=1,N/A,06.02.1989,Burgos,NorthEast United FC
17,Thoi Singh,Huidrom Thoi Singh,24,2,3,848.000,N/A,Singh,Unknown,0,0,NorthEast United FC,Attack - Centre-Forward,Unknown,India,in,https://www.transfermarkt.us/thoi-singh/profil/spieler/761742,https://img.a.transfermarkt.technology/portrait/small/761742-1715148867.png?lm=1,N/A,04.05.2004,"---, Manipur",NorthEast United FC
18,Martín Cháves,Martín Nicolás Cháves García,18,3,3,1.423,N/A,Cháves,-,3,0,NorthEast United FC,Midfield - Attacking Midfield,"1,65 m",Uruguay,uy,https://www.transfermarkt.us/martin-chaves/profil/spieler/658056,https://img.a.transfermarkt.technology/portrait/small/658056-1589780122.png?lm=1,N/A,12.05.1998,Colonia del Sacramento,Gokulam Kerala FC
19,Nicolás Vélez,Nicolás Leandro Vélez,25,8,3,1.543,N/A,Vélez,Unknown,4,0,NorthEast United FC,Attack - Centre-Forward,"1,73 m",Argentina,ar,https://www.transfermarkt.us/nicolas-velez/profil/spieler/153537,https://img.a.transfermarkt.technology/portrait/small/153537-1487185920.jpg?lm=1,N/A,04.07.1990,Buenos Aires,Retired
20,Diomansy Kamara,Diomansy Mehdi Moustapha Kamara,12,3,3,812.000,N/A,Kamara,-,6,0,NorthEast United FC,Attack - Right Winger,"1,84 m",Senegal,sn,https://www.transfermarkt.us/diomansy-kamara/profil/spieler/6053,https://img.a.transfermarkt.technology/portrait/small/s_6053_825_2013_09_06_1.jpg?lm=1,N/A,08.11.1980,Paris,Retired
21,Buanthanglun Samte,Unknown,39,0,3,3.082,N/A,Samte,Unknown,7,0,NorthEast United FC,Defender - Left-Back,Unknown,India,in,https://www.transfermarkt.us/buanthanglun-samte/profil/spieler/642742,https://img.a.transfermarkt.technology/portrait/small/642742-1715150388.png?lm=1,N/A,03.11.1999,"---, West Bengal",NorthEast United FC
22,Mayakkannan Muthu,Unknown,28,0,2,2.411,N/A,Mayakkannan Muthu,Unknown,3,0,NorthEast United FC,Midfield - Defensive Midfield,"1,69 m",India,in,https://www.transfermarkt.us/mayakkannan-muthu/profil/spieler/642340,https://img.a.transfermarkt.technology/portrait/small/642340-1588591786.JPG?lm=1,N/A,04.06.1997,"Ramanathapuram, Tamil Nadu",NorthEast United FC
23,Danilo,Unknown,19,1,2,1.282,N/A,Danilo,Unknown,2,0,NorthEast United FC,Attack - Centre-Forward,"1,86 m",Brazil,br,https://www.transfermarkt.us/danilo/profil/spieler/325089,https://img.a.transfermarkt.technology/portrait/small/325089-1661015429.png?lm=1,N/A,25.04.1991,Bicas,Sisaket United
24,Seiminlen Doungel,Unknown,26,5,2,1.664,N/A,Doungel,16,5,0,NorthEast United FC,Attack - Left Winger,"1,72 m",India,in,https://www.transfermarkt.us/seiminlen-doungel/profil/spieler/343421,https://img.a.transfermarkt.technology/portrait/small/343421-1589184018.jpg?lm=1,N/A,03.01.1994,"Saikul, Manipur",Jamshedpur FC
25,Hamza Regragui,حمزة الركراكي,26,0,2,1.114,N/A,Regragui,-,5,0,NorthEast United FC,Defender - Centre-Back,"1,90 m",Morocco,ma,https://www.transfermarkt.us/hamza-regragui/profil/spieler/537209,https://img.a.transfermarkt.technology/portrait/small/537209-1715103506.png?lm=1,N/A,13.06.1997,Unknown,NorthEast United FC
26,Guillermo Fernández,Guillermo Fernández Hierro,24,10,2,1.471,N/A,Fernández,-,0,0,NorthEast United FC,Attack - Centre-Forward,"1,81 m",Spain,es,https://www.transfermarkt.us/guillermo-fernandez/profil/spieler/142023,https://img.a.transfermarkt.technology/portrait/small/142023-1724428274.jpg?lm=1,N/A,23.05.1993,Bilbao,NorthEast United FC
27,Keegan Pereira,Keegan Joseph Clarance Pereira,16,0,2,832.000,N/A,Pereira,-,1,0,NorthEast United FC,Defender - Left-Back,"1,75 m",India,in,https://www.transfermarkt.us/keegan-pereira/profil/spieler/351113,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,07.11.1987,"Mumbai, Maharashtra",Goalorious Mothers SC
28,Hernán Santana,Hernán Daniel Santana Trujillo,17,1,2,1.522,N/A,Santana,Unknown,7,0,NorthEast United FC,Midfield - Central Midfield,"1,80 m",Spain,es,https://www.transfermarkt.us/hernan-santana/profil/spieler/176133,https://img.a.transfermarkt.technology/portrait/small/176133-1447321525.jpg?lm=1,N/A,26.08.1990,Las Palmas de Gran Canaria,Without Club
29,Bartholomew Ogbeche,Bartholomew Owogbalor Ogbeche,19,12,2,1.585,N/A,Ogbeche,-,2,0,NorthEast United FC,Attack - Centre-Forward,"1,80 m",Nigeria,ng,https://www.transfermarkt.us/bartholomew-ogbeche/profil/spieler/5574,https://img.a.transfermarkt.technology/portrait/small/5574-1418927419.jpg?lm=1,N/A,01.10.1984,Ogoja,Retired
30,Nim Dorjee Tamang,Unknown,12,0,2,989.000,N/A,Tamang,-,2,0,NorthEast United FC,Defender - Centre-Back,"1,78 m",India,in,https://www.transfermarkt.us/nim-dorjee-tamang/profil/spieler/416246,https://img.a.transfermarkt.technology/portrait/small/416246-1712243287.png?lm=1,N/A,30.10.1995,"Melli, Sikkim",FC Goa
31,Redeem Tlang,Unknown,79,5,2,4.788,N/A,Tlang,Unknown,16,0,NorthEast United FC,Attack - Right Winger,"1,67 m",India,in,https://www.transfermarkt.us/redeem-tlang/profil/spieler/343419,https://img.a.transfermarkt.technology/portrait/small/343419-1715149753.png?lm=1,N/A,22.02.1995,"Shillong, Meghalaya",NorthEast United FC
32,Sanju Pradhan,Unknown,11,0,2,590.000,N/A,Pradhan,-,2,0,NorthEast United FC,Midfield - Central Midfield,"1,68 m",India,in,https://www.transfermarkt.us/sanju-pradhan/profil/spieler/157439,https://img.a.transfermarkt.technology/portrait/small/157439-1614925179.jpeg?lm=1,N/A,15.08.1989,"Gangtok, Sikkim",Bhawanipore FC
33,Pragyan Sundar Gogoi,Unknown,43,0,2,2.160,N/A,Gogoi,Unknown,7,0,NorthEast United FC,Midfield - Central Midfield,Unknown,India,in,https://www.transfermarkt.us/pragyan-sundar-gogoi/profil/spieler/630252,https://img.a.transfermarkt.technology/portrait/small/630252-1587622077.jpeg?lm=1,N/A,25.01.1999,"---, Assam",Kannur Warriors Football Club
34,Tondonba Singh,Ngasepam Tondonba Singh,58,0,2,3.590,N/A,Singh,Unknown,4,0,NorthEast United FC,Defender - Left-Back,"1,69 m",India,in,https://www.transfermarkt.us/tondonba-singh/profil/spieler/559612,https://img.a.transfermarkt.technology/portrait/small/559612-1715150521.png?lm=1,N/A,14.11.1994,"---, Manipur",NorthEast United FC
35,Rowllin Borges,Unknown,50,5,2,4.390,N/A,Borges,14,8,0,NorthEast United FC,Midfield - Defensive Midfield,"1,82 m",India,in,https://www.transfermarkt.us/rowllin-borges/profil/spieler/407510,https://img.a.transfermarkt.technology/portrait/small/407510-1712242407.png?lm=1,N/A,05.06.1992,"Nuvem, Goa",FC Goa
36,Gurjinder Kumar,ਹਰਸ਼ਦੀਪ ਕੌਰ,47,0,2,3.782,N/A,Kumar,-,10,0,NorthEast United FC,Defender - Left-Back,"1,78 m",India,in,https://www.transfermarkt.us/gurjinder-kumar/profil/spieler/225332,https://img.a.transfermarkt.technology/portrait/small/225332-1591179798.png?lm=1,N/A,10.10.1990,"Nawanshahr, Punjab",Malappuram FC
37,Rochharzela,Unknown,46,5,2,1.710,N/A,Rochharzela,Unknown,5,0,NorthEast United FC,Attack - Right Winger,"1,72 m",India,in,https://www.transfermarkt.us/rochharzela/profil/spieler/561100,https://img.a.transfermarkt.technology/portrait/small/561100-1715149674.png?lm=1,N/A,15.04.1998,"---, Mizoram",Mohammedan SC (Kolkata)
38,Dinesh Singh,Soraisham Dinesh Singh,47,0,2,3.868,N/A,Singh,Unknown,17,0,NorthEast United FC,Defender - Centre-Back,"1,75 m",India,in,https://www.transfermarkt.us/dinesh-singh/profil/spieler/630001,https://img.a.transfermarkt.technology/portrait/small/630001-1715150687.png?lm=1,N/A,05.12.1997,"Huikap Mayai Leikai, Manipur",NorthEast United FC
39,Puitea,Unknown,30,0,2,1.921,N/A,Unknown,Unknown,1,0,NorthEast United FC,Unknown,Unknown,India,in,https://www.transfermarkt.us/puitea/profil/spieler/481050,https://img.a.transfermarkt.technology/portrait/small/481050-1663864544.jpg?lm=1,N/A,30.03.1998,Unknown,Odisha FC
40,Simão,Unknown,10,3,2,511.000,N/A,Simão,11,1,0,NorthEast United FC,Attack - Left Winger,"1,74 m",Portugal,pt,https://www.transfermarkt.us/simao/profil/spieler/8019,https://img.a.transfermarkt.technology/portrait/small/8019-1720493547.jpg?lm=1,N/A,31.10.1979,Vila Real,Retired
