name,club,periods
Dimitrios Diamantakos,Kerala Blasters FC,2022-2024
Adrián Luna,Kerala Blasters FC,2021-2025
Bartholomew Ogbeche,Kerala Blasters FC,"2019-2020, 2021-2021"
Kwame Peprah,Kerala Blasters FC,2023-2025
Noah Sadaoui,Kerala Blasters FC,2024-2025
Jesús Jiménez,Kerala Blasters FC,2024-2025
C.K. Vineeth,Kerala Blasters FC,"2015-2015, 2016-2016, 2017-2019, 2019-2019"
Iain Hume,Kerala Blasters FC,"2014-2015, 2017-2018"
Sahal Abdul Samad,Kerala Blasters FC,2017-2023
Mohammed Aimen,Kerala Blasters FC,2023-2025
Rahul KP,Kerala Blasters FC,2019-2025
Jorge Pereyra Díaz,Kerala Blasters FC,2021-2022
Álvaro Vázquez,Kerala Blasters FC,2021-2022
Raphaël Messi Bouli,Kerala Blasters FC,2019-2020
Jordan Murray,Kerala Blasters FC,2020-2021
Chris Dagnall,Kerala Blasters FC,2015-2015
Mohammed Rafi,Kerala Blasters FC,"2015-2016, 2016-2017, 2019-2020"
Antonio German,Kerala Blasters FC,"2015-2016, 2016-2017"
Gary Hooper,Kerala Blasters FC,2020-2021
Slavisa Stojanovic,Kerala Blasters FC,2018-2020
Matej Poplatnik,Kerala Blasters FC,"2018-2019, 2020-2020"
Danish Farooq,Kerala Blasters FC,2023-2025
Mark Sifneos,Kerala Blasters FC,2017-2018
Ivan Kalyuzhnyi,Kerala Blasters FC,2022-2023
Daisuke Sakai,Kerala Blasters FC,2023-2024
Kervens Belfort,Kerala Blasters FC,2016-2017
Fedor Černych,Kerala Blasters FC,2024-2024
Milos Drincic,Kerala Blasters FC,2023-2025
Bidyashagar Singh,Kerala Blasters FC,"2022-2023, 2023-2024"
Ishan Pandita,Kerala Blasters FC,2023-2025
Apostolos Giannou,Kerala Blasters FC,2022-2023
Vicente Gómez,Kerala Blasters FC,2020-2021
Seiminlen Doungel,Kerala Blasters FC,2018-2019
Jackichand Singh,Kerala Blasters FC,2017-2018
Korou Singh,Kerala Blasters FC,2024-2025
Muhammad Ajsal,Kerala Blasters FC,
Justine Emmanuel,Kerala Blasters FC,"2023-2023, 2024-2024"
Penn Orji,Kerala Blasters FC,2014-2015
Pulga,Kerala Blasters FC,"2014-2016, 2016-2016, 2018-2018"
Sanchez Watt,Kerala Blasters FC,2015-2015
Sergio Cidoncha,Kerala Blasters FC,2019-2021
Nikola Krcmarevic,Kerala Blasters FC,2018-2020
Costa Nhamoinesu,Kerala Blasters FC,2020-2021
Duckens Nazon,Kerala Blasters FC,2016-2017
Courage Pekuson,Kerala Blasters FC,2017-2020
Jeakson Singh,Kerala Blasters FC,"2018-2018, 2019-2024"
Prasanth K,Kerala Blasters FC,"2016-2017, 2017-2022"
Halicharan Narzary,Kerala Blasters FC,"2018-2019, 2019-2020"
Nishu Kumar,Kerala Blasters FC,"2020-2023, 2024-2024"
Harmanjot Khabra,Kerala Blasters FC,2021-2023
Enes Sipovic,Kerala Blasters FC,2021-2022
Sushanth Mathew,Kerala Blasters FC,2014-2015
Wes Brown,Kerala Blasters FC,2017-2018
João Coimbra,Kerala Blasters FC,2015-2016
Prabir Das,Kerala Blasters FC,"2023-2025, 2025-2025"
Alexandre Coeff,Kerala Blasters FC,2024-2025
Huidrom Naocha Singh,Kerala Blasters FC,"2023-2024, 2024-2025"
Aritra Das,Kerala Blasters FC,
Ishfaq Ahmed,Kerala Blasters FC,"2014-2015, 2015-2016, 2016-2017"
Deependra Singh Negi,Kerala Blasters FC,2017-2019
Vlatko Drobarov,Kerala Blasters FC,2019-2020
Vibin Mohanan,Kerala Blasters FC,2022-2025
Milagres Gonsalves,Kerala Blasters FC,2014-2015
Marko Leskovic,Kerala Blasters FC,2021-2024
Aaron Hughes,Kerala Blasters FC,2016-2017
Abdul Hakku,Kerala Blasters FC,"2018-2022, 2022-2022"
Didier Kadio,Kerala Blasters FC,2016-2017
Puitea,Kerala Blasters FC,2020-2023
Sandeep Singh,Kerala Blasters FC,2020-2025
Gudjón Baldvinsson,Kerala Blasters FC,2018-2018
Cédric Hengbart,Kerala Blasters FC,"2014-2015, 2016-2017"
Nihal Sudeesh,Kerala Blasters FC,"2022-2024, 2025-2025"
Michael Chopra,Kerala Blasters FC,"2014-2014, 2016-2017"
Seityasen Singh,Kerala Blasters FC,"2019-2022, 2022-2022"
Pedro Gusmão,Kerala Blasters FC,2014-2014
Dusan Lagator,Kerala Blasters FC,2025-2025
Dimitar Berbatov,Kerala Blasters FC,2017-2018
Josu Currais,Kerala Blasters FC,"2015-2016, 2016-2017"
Cavin Lobo,Kerala Blasters FC,2015-2015
Stephen Pearson,Kerala Blasters FC,2014-2015
Freddy Lallawmawma,Kerala Blasters FC,2023-2025
Mohammed Azhar,Kerala Blasters FC,2023-2025
C.S. Sabeeth,Kerala Blasters FC,2014-2014
Pritam Singh,Kerala Blasters FC,2017-2020
Muhammed Jasim,Kerala Blasters FC,
Loken Meitei,Kerala Blasters FC,2017-2019
Jamie McAllister,Kerala Blasters FC,2014-2015
Zakeer Mundampara,Kerala Blasters FC,2018-2019
Mario Arqués,Kerala Blasters FC,2019-2020
Marvan Hussain,Kerala Blasters FC,2022-2025
Ouzin Ndoye,Kerala Blasters FC,2016-2017
Avinabo Bag,Kerala Blasters FC,2014-2015
Gaurav K,Kerala Blasters FC,
Roshan Gigi,Kerala Blasters FC,
Tejas Krishna,Kerala Blasters FC,
Marcus Williams,Kerala Blasters FC,2015-2016
Naveen Kumar,Kerala Blasters FC,"2018-2019, 2019-2019"
Bilal Khan,Kerala Blasters FC,2019-2021
Muhammed Basith,Kerala Blasters FC,
