rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Sunil Chhetri,सुनिल छेत्री,297,128,25,23.723,"2013-2015, 2016-2016, 2017-2025",Chhetri,11,31,0,Bengaluru FC,Attack - Centre-Forward,"1,70 m",India,in,https://www.transfermarkt.us/sunil-chhetri/profil/spieler/64601,https://img.a.transfermarkt.technology/portrait/small/64601-1711917449.jpg?lm=1,,03.08.1984,"Secunderabad, Telangana",Bengaluru FC
2,Miku,Nicolás Ladislao Fedor Flores,39,25,4,3.416,2017-2019,Miku,7,4,0,Bengaluru FC,Attack - Centre-Forward,"1,86 m",Venezuela,ve,https://www.transfermarkt.us/miku/profil/spieler/58001,https://img.a.transfermarkt.technology/portrait/small/58001-1739035697.JPG?lm=1,,19.08.1985,Caracas,Metropolitanos FC
3,Udanta Singh,Unknown,201,22,22,12.691,"2014-2016, 2016-2023",Unknown,Unknown,9,0,Bengaluru FC,Unknown,Unknown,India,in,https://www.transfermarkt.us/udanta-singh/profil/spieler/351114,https://img.a.transfermarkt.technology/portrait/small/351114-1727330220.JPG?lm=1,,14.06.1996,Unknown,FC Goa
4,C.K. Vineeth,Chekiyot Kizhakkeveettill Vineeth,76,20,1,3.865,"2014-2015, 2015-2016, 2016-2017",Vineeth,-,5,0,Bengaluru FC,Midfield - Right Midfield,"1,76 m",India,in,https://www.transfermarkt.us/c-k-vineeth/profil/spieler/315434,https://img.a.transfermarkt.technology/portrait/small/315434-1587125026.png?lm=1,,20.05.1988,"Kannur, Kerala",Thrissur Magic FC
5,Cleiton Silva,Cleiton Augusto Oliveira Silva,42,19,10,3.475,2020-2022,Silva,Unknown,7,0,Bengaluru FC,Attack - Centre-Forward,"1,75 m",Brazil,br,https://www.transfermarkt.us/cleiton-silva/profil/spieler/281827,https://img.a.transfermarkt.technology/portrait/small/281827-1701409745.jpg?lm=1,,03.02.1987,Manaus,East Bengal FC
6,Rahul Bheke,Unknown,115,16,2,9.78,"2017-2021, 2024-2025",Unknown,Unknown,17,0,Bengaluru FC,Unknown,Unknown,India,in,https://www.transfermarkt.us/rahul-bheke/profil/spieler/400929,https://img.a.transfermarkt.technology/portrait/small/400929-1712252842.png?lm=1,,06.12.1990,Unknown,Bengaluru FC
7,Javi Hernández,Francisco Javier Hernández González,53,15,5,4.091,2022-2024,Hernández,-,8,0,Bengaluru FC,Midfield - Attacking Midfield,"1,84 m",Spain,es,https://www.transfermarkt.us/javi-hernandez/profil/spieler/62917,https://img.a.transfermarkt.technology/portrait/small/62917-1697282120.jpg?lm=1,,06.06.1989,Salamanca,Jamshedpur FC
8,Sean Rooney,Sean Daniel Rooney,45,14,0,3.392,2013-2015,Rooney,-,3,0,Bengaluru FC,Attack - Centre-Forward,"1,77 m",Australia,au,https://www.transfermarkt.us/sean-rooney/profil/spieler/123149,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,,01.03.1989,"Blacktown, New South Wales",Retired
9,Siva Sakthi N,Sivasakthi Narayanan,76,14,3,2.84,2020-2025,Siva Sakthi N,-,2,0,Bengaluru FC,Attack - Centre-Forward,Unknown,India,in,https://www.transfermarkt.us/siva-sakthi-n/profil/spieler/759256,https://img.a.transfermarkt.technology/portrait/small/759256-1712325423.png?lm=1,,09.07.2001,"Sivagangai, Tamil Nadu",Bengaluru FC
10,Eugeneson Lyngdoh,Unknown,73,13,3,5.426,,Lyngdoh,-,15,0,Bengaluru FC,Midfield - Central Midfield,"1,69 m",India,in,https://www.transfermarkt.us/eugeneson-lyngdoh/profil/spieler/351108,https://img.a.transfermarkt.technology/portrait/small/351108-1588080062.jpeg?lm=1,,10.09.1986,"Shillong, Meghalaya",Without Club
11,Robin Singh,Unknown,48,12,1,2.619,"2013-2015, 2016-2016",Singh,-,14,1,Bengaluru FC,Attack - Centre-Forward,"1,85 m",India,in,https://www.transfermarkt.us/robin-singh/profil/spieler/188148,https://img.a.transfermarkt.technology/portrait/small/188148-1588664971.png?lm=1,,09.05.1990,"Noida, Uttar Pradesh",Without Club
12,Erik Paartalu,Erik Endel Paartalu,89,12,11,7.323,2017-2021,Paartalu,24,17,0,Bengaluru FC,Midfield - Defensive Midfield,"1,93 m",Australia,au,https://www.transfermarkt.us/erik-paartalu/profil/spieler/42009,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,,03.05.1986,Sydney,Retired
13,Roy Krishna,Unknown,33,10,6,2.906,2022-2023,Krishna,-,6,0,Bengaluru FC,Attack - Centre-Forward,"1,70 m",Fiji,fj,https://www.transfermarkt.us/roy-krishna/profil/spieler/64495,https://img.a.transfermarkt.technology/portrait/small/64495-1703934045.JPG?lm=1,,30.08.1987,"Siberia, Macuata",Odisha FC
14,Semboi Haokip,Thongkhosiem Haokip,41,10,2,1.412,2017-2021,Haokip,Unknown,1,0,Bengaluru FC,Attack - Centre-Forward,"1,80 m",India,in,https://www.transfermarkt.us/semboi-haokip/profil/spieler/301042,https://img.a.transfermarkt.technology/portrait/small/301042-1585143891.jpg?lm=1,,13.03.1993,"Gangpijang, Manipur",Sporting Club de Goa
15,Thoi Singh,Khangebam Thoi Singh,60,9,0,4.197,"2013-2015, 2016-2016",Singh,Unknown,11,0,Bengaluru FC,Attack - Right Winger,"1,67 m",India,in,https://www.transfermarkt.us/thoi-singh/profil/spieler/351106,https://img.a.transfermarkt.technology/portrait/small/351106-1591006053.png?lm=1,,05.10.1990,"Thoubal, Manipur",Calicut Football Club
16,Ryan Williams,Ryan Dale Williams,39,9,4,2.871,2023-2025,Williams,-,4,1,Bengaluru FC,Midfield - Right Midfield,"1,75 m",Australia,au,https://www.transfermarkt.us/ryan-williams/profil/spieler/192239,https://img.a.transfermarkt.technology/portrait/small/192239-1723043328.jpg?lm=1,,28.10.1993,Subiaco,Bengaluru FC
17,Daniel Lalhlimpuia,Unknown,50,8,2,2.35,"2015-2016, 2016-2018",Lalhlimpuia,-,1,0,Bengaluru FC,Attack - Centre-Forward,"1,77 m",India,in,https://www.transfermarkt.us/daniel-lalhlimpuia/profil/spieler/424365,https://img.a.transfermarkt.technology/portrait/small/424365-1590869906.png?lm=1,,12.09.1997,"Serchhip, Mizoram",Mumbai City FC
18,Edgar Méndez,Edgar Antonio Méndez Ortega,27,8,4,1.826,,Méndez,-,6,0,Bengaluru FC,Attack - Right Winger,"1,87 m",Spain,es,https://www.transfermarkt.us/edgar-mendez/profil/spieler/133794,https://img.a.transfermarkt.technology/portrait/small/133794-1742326142.jpg?lm=1,,02.01.1990,Arafo,Bengaluru FC
19,Deshorn Brown,Deshorn Dwayne Brown,20,7,2,904.0,2020-2021,Brown,-,3,0,Bengaluru FC,Attack - Centre-Forward,"1,88 m",Jamaica,jm,https://www.transfermarkt.us/deshorn-brown/profil/spieler/228500,https://img.a.transfermarkt.technology/portrait/small/228500-1561302805.jpg?lm=1,,22.12.1990,Manchester,Without Club
20,Juanan,Unknown,122,7,1,10.787,2016-2021,Juanan,Unknown,21,0,Bengaluru FC,Defender - Centre-Back,"1,92 m",Spain,es,https://www.transfermarkt.us/juanan/profil/spieler/72203,https://img.a.transfermarkt.technology/portrait/small/s_72203_708_2012_1.jpg?lm=1,,27.04.1987,Palma de Mallorca,Retired
21,Alberto Noguera,Alberto Noguera Ripoll,27,6,5,2.06,2024-2025,Noguera,Unknown,5,0,Bengaluru FC,Midfield - Attacking Midfield,"1,75 m",Spain,es,https://www.transfermarkt.us/alberto-noguera/profil/spieler/185401,https://img.a.transfermarkt.technology/portrait/small/185401-1712251983.png?lm=1,,24.09.1989,Madrid,Bengaluru FC
22,Nishu Kumar,Nishu Kumar Tashni,93,6,0,6.752,2015-2020,Kumar,5,7,2,Bengaluru FC,Defender - Left-Back,"1,69 m",India,in,https://www.transfermarkt.us/nishu-kumar/profil/spieler/419520,https://img.a.transfermarkt.technology/portrait/small/419520-1663864485.JPG?lm=1,,05.11.1997,"Muzaffarnagar, Uttar Pradesh",East Bengal FC
23,Alan Costa,Unknown,44,5,2,3.267,2021-2023,Alan Costa,Unknown,0,0,Bengaluru FC,Defender - Centre-Back,"1,95 m",Brazil,br,https://www.transfermarkt.us/alan-costa/profil/spieler/271860,https://img.a.transfermarkt.technology/portrait/small/271860-1447748530.jpg?lm=1,,30.10.1990,São Paulo,Brasiliense FC (DF)
24,Jorge Pereyra Díaz,Jorge Rolando Pereyra Díaz,19,5,5,1.181,2024-2025,Pereyra Díaz,Unknown,4,0,Bengaluru FC,Attack - Centre-Forward,"1,79 m",Argentina,ar,https://www.transfermarkt.us/jorge-pereyra-diaz/profil/spieler/129660,https://img.a.transfermarkt.technology/portrait/small/129660-1701332013.jpg?lm=1,,05.08.1990,La Rioja,Bengaluru FC
25,Song-yong Kim,김성용,18,5,1,1.424,2015-2016,Kim,-,1,0,Bengaluru FC,Attack - Centre-Forward,"1,86 m","Korea, North",unknown,https://www.transfermarkt.us/song-yong-kim/profil/spieler/115773,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,,26.02.1987,"---, Tokyo",Retired
